F' R U B U F
U2 L F' R U' F2 U'
U2 L F' R U2 D R2
U2 L F' R D U2 R2
U2 L F' R D' L2 U2
U2 L F' U' F2 U' L'
U2 L F' D R U2 R
U2 L F' D' L2 R U2
U2 L F' D' R L2 U2
U2 L' F' R U B' U
F L' F' R2 D B R'
F' L2 R B' U B2 U
F' L2 R B' U2 D' R2
F' L2 R B' D L2 U2
F' L2 R B' D' U2 R2
F' L2 B' R U B U
R' U F' U R F' U2
F' R L2 B' U B2 U
F' R L2 B' U2 D' R2
F' R L2 B' D L2 U2
F' R L2 B' D' U2 R2
F' R U R' U F R
F' R U D B U F
F' R U D' B U F
F' R U D2 B U F
F' R U B R U F
F' R U B R' U F
F' R U B R2 U F
F' R U B U D F
F' R U B U D' F
F' R U B U D2 F
F' R U B U F D
F' R U B U F D'
F' R U B U F D2
F' R U B D U F
F' R U B D' U F
F' R U B D2 U F
D R U' F' B L U
D R U' B L F' U
D R U' B F' L U
F' R U2 R2 F D R2
F' R U2 F U' B U
F' R D U B U F
F' R D' U B U F
F' R D2 U B U F
F' R B' U B2 U F
F' R B' U2 D' R2 F
F' R B' U2 D' F R2
F' R B' U2 F D' R2
F' R B' D L2 B' U2
F' R B' D' U2 R2 F
F' R B' D' U2 F R2
F' R B2 U B' U F
R U' F B L U L2
R U' B L F U L'
R U' B F L U L2
U R2 F U' L' B R
U R2 F U' B L' R
U R2 F U' B R L'
R2 D B R' U B U'
R2 D B2 D B' L R'
R2 D B2 D B' R' L
F' U F2 U L' F' R
F U' F2 R U2 F R
R2 F L' D F' B R'
R2 F L' D B F' R'
R2 F L' D' F' B R
R2 F L' D' B F' R
R2 F L' F' D B R'
R2 F L' B D' F' R
U F U F2 L' R U2
U F U F2 R L' U2
U F U' L' R D2 B2
U F U' L' D2 R B2
U F U' L' D2 B2 R
U F U' R L' D2 B2
U F U' R D2 L' B2
U F U' R D2 B2 L'
U F U' D2 L' R B2
U F U' D2 L' B2 R
U F U' D2 R L' B2
U F U' D2 R B2 L'
U F U' D2 B2 L' R
U F U' D2 B2 R L'
R2 F D L' F' B R'
R2 F D L' B F' R'
R2 F D B L' F' R'
F' D R U B U F
U F D R2 U' L' R'
U F D R2 U' R' L'
R2 F D' L' F' B R
R2 F D' L' B F' R
R2 F D' B L' F' R
R2 F B L' D' F' R
U F D2 U' L' R B2
U F D2 U' L' B2 R
U F D2 U' R L' B2
U F D2 U' R B2 L'
U F D2 U' B2 L' R
U F D2 U' B2 R L'
R2 F B D' L' F' R
U2 F' L R U' F U'
U2 F' L' R U B' U
U F' L' R U' L U'
L' F' R U B U F
U2 F' R L U' F U'
U2 F' R L' U B' U
L2 F' R U B U F
U2 F' R U B' U R'
U2 F' R U' F U' R
U F' R L' U' L U'
L F' R U B U F
R' F' U R F' U2 F2
F' D' R U B U F
F' D2 R U B U F
U' B U' L F' R U2
U' B U' F' L R U2
U' B U' F' R L U2
F' B R U B U F
R2 B F L' D' F' R
R2 B F D' L' F' R
D2 B' L R2 D B R'
D2 B' R2 L D B R'
D2 B' R2 D L B R'
U' B' U' F' R U2 R2
B' F' R U B U F
F' B' R U B U F
B2 F' R U B U F
B F' R U B U F
D2 B2 R2 D B L R'
D2 B2 R2 D B R' L
F' B2 R U B U F
