F2 D' L B' R' U2
F2 L U R' F' R U
F2 L U2 D' F' L' F
F2 L D R U2 F' L'
F2 L D R' B U2 L
F' L D F' U2 F' L'
F2 L D B' R' B U2
F2 L D' U2 F' L' F
F2 L B' D R' B U2
F2 R D' L B' R' U2
F2 R' D' L B' R' U2
F2 R2 D' L B' R' U2
F2 D L R U2 F' L'
F2 D L R' B U2 L
F2 D L B' R' B U2
F2 D R L U2 F' L'
F2 D R' L B U2 L
F2 D B' R' B L U2
F2 D' L R B' R' U2
F2 D' L R' B' R' U2
F2 D' L R2 B' R' U2
F2 D' L D B' R' U2
F2 D' L D' B' R' U2
F2 D' L D2 B' R' U2
F2 D' L B' R' U2 D
F2 D' L B' R' U2 D'
F2 D' L B' R' U2 D2
F2 D' L B' R' D U2
F2 D' L B' R' D' U2
F2 D' L B' R' D2 U2
F2 D' L B' D R' U2
F2 D' L B' D' R' U2
F2 D' L B' D2 R' U2
F2 D' R L B' R' U2
F2 D' R' L B' R' U2
F2 D' R2 L B' R' U2
U' F2 L U F R U
L F2 U R' F' R U
L2 F2 U2 D R F' L'
R' F2 D' L B' R' U2
L2 F2 D U2 R F' L'
L F2 U2 D' F' L' F
L F2 D R U2 F' L'
R2 F2 D' L B' R' U2
L F2 D R' B U2 L
L F2 D B' R' B U2
R F2 D' L B' R' U2
L F2 D' U2 F' L' F
L F2 B' D R' B U2
D2 B U L F B R'
D2 B U L B R' F
D2 B U L B F R'
D2 B U' L B R' F'
F2 B' D R' B L U2
L B' F2 D R' B U2
B' F2 D R' B L U2
