U L U' B' U2 R'
B L B' U L U
L' U2 D' F R B2
L' U2 D' F B2 R
L' U2 D' B2 F R
L' U2 F R D' B2
L' U2 F D' R B2
L' U2 F D' B2 R
L' D' U2 F R B2
L' D' U2 F B2 R
L' D' U2 B2 F R
U L R B U D2 F2
U L R B U' B2 U2
U L R B D' R2 U
U L R B D2 U F2
U L U L2 F L2 R
U L U L2 F R L2
U L U' L2 U2 F R
U L U' D B' U2 R'
U L U' D' B' U2 R'
U L U' D2 B' U2 R'
U L U' B L B2 U2
U L U' B' L U2 R'
U L U' B' L' U2 R'
U L U' B' L2 U2 R'
U L U' B' U2 R' D
U L U' B' U2 R' D'
U L U' B' U2 R' D2
U L U' B' U2 D R'
U L U' B' U2 D' R'
U L U' B' U2 D2 R'
U L U' B' D U2 R'
U L U' B' D' U2 R'
U L U' B' D2 U2 R'
U L D U' B' U2 R'
U L D' U' B' U2 R'
U L D2 U' B' U2 R'
U' L F U B' U2 B
B L F B' U L U
B L F' B' U L U
B L F2 B' U L U
B L B' U L U D
B L B' U L U D'
B L B' U L U D2
B L B' U L D U
B L B' U L D' U
B L B' U L D2 U
B L B' U D L U
B L B' U D' L U
B L B' U D2 L U
B2 L B' D L U2 B'
B L B' D U L U
B L B' D' U L U
B L B' D2 U L U
B L B' F U L U
B L B' F' U L U
B L B' F2 U L U
U L B2 U' B L U2
U L' U D' F R B2
U L' U D' F B2 R
U L' U D' B2 F R
U L' U F R D' B2
U L' U F D' R B2
U L' U F D' B2 R
F' L' U2 D' F R B2
F' L' U2 D' F B2 R
F' L' U2 D' B2 F R
F' L' U2 F R D' B2
F2 L' U2 D' F R B2
F2 L' U2 D' F B2 R
F' L' U2 F D' R B2
F' L' U2 F D' B2 R
F2 L' U2 D' B2 F R
B' L' U2 F R' D B2
F2 L' U2 F R D' B2
F2 L' U2 F D' R B2
F2 L' U2 F D' B2 R
F L' U2 D' F R B2
F L' U2 D' F B2 R
F L' U2 D' B2 F R
F L' U2 F R D' B2
F L' U2 F D' R B2
F L' U2 F D' B2 R
F' L' D' U2 F R B2
F' L' D' U2 F B2 R
F' L' D' U2 B2 F R
F2 L' D' U2 F R B2
F2 L' D' U2 F B2 R
F2 L' D' U2 B2 F R
U2 L' D' F L R B2
U2 L' D' F L B2 R
U2 L' D' F R L B2
F L' D' U2 F R B2
F L' D' U2 F B2 R
U L' D' U F R B2
U L' D' U F B2 R
F L' D' U2 B2 F R
U L' D' U B2 F R
U2 L' F R D' L B2
U2 L' F D' L R B2
U2 L' F D' L B2 R
U2 L' F D' R L B2
B L2 D L' F B' U2
B L2 D L' B' F U2
L' U L2 U' B' U2 R'
U R L B U D2 F2
U R L B U' B2 U2
U R L B D' R2 U
U R L B D2 U F2
U R D' L B R' U
L' U' D2 R2 U' F R
L' U2 R D' F R B2
L' U2 R D' F B2 R
L' U2 R D' B2 F R
L' U2 R F R D' B2
L' U2 R F D' R B2
L' U2 R F D' B2 R
L' U2 R' D' F R B2
L' U2 R' D' F B2 R
L' U2 R' D' B2 F R
L' U2 R' F R D' B2
L' U2 R' F D' R B2
L' U2 R' F D' B2 R
L' U2 R2 D' F R B2
L' U2 R2 D' F B2 R
L' U2 R2 D' B2 F R
L' U2 R2 F R D' B2
L' U2 R2 F D' R B2
L' U2 R2 F D' B2 R
L' U2 D' R F R B2
L' U2 D' R F B2 R
L' U2 D' R B2 F R
L' U2 D' R' F R B2
L' U2 D' R' F B2 R
L' U2 D' R' B2 F R
L' U2 D' R2 F R B2
L' U2 D' R2 F B2 R
L' U2 D' R2 B2 F R
L' U2 D' F R B2 D
L' U2 D' F R B2 D'
L' U2 D' F R B2 D2
L' U2 D' F R' B2 R2
L' U2 D' F B' R B'
L' U2 D' F B2 R D
L' U2 D' F B2 R D'
L' U2 D' F B2 R D2
L' U2 D' F B2 D R
L' U2 D' F B2 D' R
L' U2 D' F B2 D2 R
L' U2 D' B' F R B'
L' U2 D' B2 R F R
L' U2 D' B2 R' F R
L' U2 D' B2 R2 F R
L' U2 D' B2 D F R
L' U2 D' B2 D' F R
L' U2 D' B2 D2 F R
L' U2 D' B2 F R D
L' U2 D' B2 F R D'
L' U2 D' B2 F R D2
L' U2 D' B2 F D R
L' U2 D' B2 F D' R
L' U2 D' B2 F D2 R
L' U2 D2 F D R B2
L' U2 D2 F D B2 R
L' U2 F R U' L2 U
L' U2 F R D' B2 D
L' U2 F R D' B2 D'
L' U2 F R D' B2 D2
L' U2 F R B D' B2
L' U2 F R B' D' B2
L' U2 F R B2 D' B2
L' U2 F R2 D' R' B2
L' U2 F U' L2 U R
L' U2 F D R D2 B2
L' U2 F D' R B2 D
L' U2 F D' R B2 D'
L' U2 F D' R B2 D2
L' U2 F D' R' B2 R2
L' U2 F D' B' R B'
L' U2 F D' B2 R D
L' U2 F D' B2 R D'
L' U2 F D' B2 R D2
L' U2 F D' B2 D R
L' U2 F D' B2 D' R
L' U2 F D' B2 D2 R
L' U2 F B R D' B2
L' U2 F B D' R B2
L' U2 F B D' B2 R
L' U2 F B' R D' B2
L' U2 F B' D' R B2
L' U2 F B' D' B2 R
L' U2 F B2 R D' B2
L' U2 F B2 D' R B2
L' U2 F B2 D' B2 R
L' U2 B D' F R B2
L' U2 B D' F B2 R
L' U2 B D' B2 F R
L' U2 B F R D' B2
L' U2 B F D' R B2
L' U2 B F D' B2 R
L' U2 B' D' F R B2
L' U2 B' D' F B2 R
L' U2 B' D' B2 F R
L' U2 B' F R D' B2
L' U2 B' F D' R B2
L' U2 B' F D' B2 R
L' U2 B2 D' F R B2
L' U2 B2 D' F B2 R
L' U2 B2 D' B2 F R
L' U2 B2 F R D' B2
L' U2 B2 F D' R B2
L' U2 B2 F D' B2 R
L' D L2 F2 B' U2 R'
L' D L2 B' F2 U2 R'
D' U L R B R' U
D2 U L R B U F'
D2 U L U F R F'
F' U L U' B' U2 R'
F2 U L U' B' U2 R'
F U L U' B' U2 R'
D' U R L B R' U
D2 U R L B U F'
L' D F2 U2 F R F2
L' D F2 B L U2 F'
L' D F2 B' U2 F' R'
L' D B F2 L U2 F'
L' D B' F2 U2 F' R'
L' D' L2 B' U2 R' B'
U D' L R B R' U
L' D' U2 R F R B2
L' D' U2 R F B2 R
L' D' U2 R B2 F R
L' D' U2 R' F R B2
L' D' U2 R' F B2 R
L' D' U2 R' B2 F R
L' D' U2 R2 F R B2
L' D' U2 R2 F B2 R
L' D' U2 R2 B2 F R
L' D' U2 F R B2 D
L' D' U2 F R B2 D'
L' D' U2 F R B2 D2
L' D' U2 F R' B2 R2
L' D' U2 F B' R B'
L' D' U2 F B2 R D
L' D' U2 F B2 R D'
L' D' U2 F B2 R D2
L' D' U2 F B2 D R
L' D' U2 F B2 D' R
L' D' U2 F B2 D2 R
L' D' U2 B' F R B'
L' D' U2 B2 R F R
L' D' U2 B2 R' F R
L' D' U2 B2 R2 F R
L' D' U2 B2 D F R
L' D' U2 B2 D' F R
L' D' U2 B2 D2 F R
L' D' U2 B2 F R D
L' D' U2 B2 F R D'
L' D' U2 B2 F R D2
L' D' U2 B2 F D R
L' D' U2 B2 F D' R
L' D' U2 B2 F D2 R
B' U' L' U' R' F B'
B' U' L' U' R' B' F
B' U' L' U' F R' B'
U D' R L B R' U
L' D' B' U2 R' F B'
L' D' B' U2 R' B' F
L' D' B' U2 F R' B'
U D2 L R B U F'
U D2 L U F R F'
U D2 R L B U F'
L' D2 U' R2 U' F R
L' D2 U2 F D R B2
L' D2 U2 F D B2 R
D F' U L R B U
D F' U R L B U
D F2 U L U F R
L' F2 D F2 U2 F R
L2 B L U2 D' F B2
L2 B L U2 D' B2 F
L2 B L U2 F D' B2
L2 B L D F2 U2 F'
L2 B L D' U2 F B2
L2 B L D' U2 B2 F
L B L B2 U L' U
F' B L B' U L U
L' B U2 D' F B2 R'
L' B U2 D' B2 R' F
L' B U2 D' B2 F R'
L' B U2 F D' B2 R'
F2 B L B' U L U
B F L B' U L U
L' B D F2 L U2 F'
F B L B' U L U
L' B D' U2 F B2 R'
L' B D' U2 B2 R' F
L' B D' U2 B2 F R'
L B' L U L' U R'
L B' L' U L U R'
U B' L' U F R B
L B' L2 U L2 U R'
L B' L2 U2 R' D' B2
L B' L2 U2 D' R' B2
L B' L2 D F2 U2 R'
L B' L2 D' U2 R' B2
L2 B' U L' U R' F'
B F' L B' U L U
L' B' U2 R' D' F B2
L' B' U2 R' D' B2 F
L' B' U2 R' F D' B2
L' B' U2 D' R' F B2
L' B' U2 D' R' B2 F
L' B' U2 D' F R' B2
L' B' U2 F R' D' B2
L' B' U2 F D' R' B2
L B' U B' U B R'
L B' U B2 U B2 R'
L' B' D F2 U2 F' R'
L B' U2 R' U R U'
L B' U2 R2 D R B2
L B' U2 R2 D B2 R
L' B' D' U2 R' F B2
L' B' D' U2 R' B2 F
L' B' D' U2 F R' B2
B F2 L B' U L U
