F2 R U R B
F2 L R U R B
F2 L' R U R B
F2 L2 R U R B
F2 R L U R B
F2 R L' U R B
F2 R L2 U R B
F2 R U R D B
F2 R U R D' B
F2 R U R D2 B
F2 R U R B D
F2 R U R B D'
F2 R U R B D2
F2 R U D R B
F2 R U D' R B
F2 R U D2 R B
F2 R U B R B
F2 R U B' R B
F2 R U B2 R B
F2 R D U R B
F2 R D' U R B
F2 R D2 U R B
F2 R B L U R
U F2 R U B R
F2 B L R U R
F2 B R L U R
B F2 L R U R
B F2 R L U R
F2 L R U R D B
F2 L R U R D' B
F2 L R U R D2 B
F2 L R U R B D
F2 L R U R B D'
F2 L R U R B D2
F2 L R U D R B
F2 L R U D' R B
F2 L R U D2 R B
F2 L R U B R B
F2 L R U B' R B
F2 L R U B2 R B
F2 L R D U R B
F2 L R D' U R B
F2 L R D2 U R B
F2 L R B L U R
F' L F' R U R B
D' L F2 L2 U' L' B'
B L F2 U R2 D F2
B L F2 U2 L2 U' R2
B L F2 D B2 U F2
F2 L B L R U R
F2 L B R L U R
F2 L' R U R D B
F2 L' R U R D' B
F2 L' R U R D2 B
F2 L' R U R B D
F2 L' R U R B D'
F2 L' R U R B D2
F2 L' R U D R B
F2 L' R U D' R B
F2 L' R U D2 R B
F2 L' R U B R B
F2 L' R U B' R B
F2 L' R U B2 R B
F2 L' R D U R B
F2 L' R D' U R B
F2 L' R D2 U R B
F2 L' R B L U R
B' L' R' U' R' D' L2
B' L' R' U' D' L2 R'
B' L' R' U' D' R' L2
B' L' R' U2 F2 U R'
B' L' R' D' U' L2 R'
B' L' R' D' U' R' L2
D' L' U' L' D R2 B'
D' L' U' L' D B' R2
D' L' U' L' B' D R2
D' L' U' D L' R2 B'
D' L' U' D L' B' R2
D' L' U' D R2 L' B'
U' L' U' R2 D' B' L2
U' L' U' R2 B' D' L2
B L' U' R2 D' L2 B2
B L' U' R2 D' B2 L2
U' L' U' B' R2 D' L2
B L' U2 L2 F2 U R2
U' L' U2 F2 U R2 B'
U' L' U2 F2 U B' R2
B L' U2 F2 L2 U R2
D' L' D U' L' R2 B'
D' L' D U' L' B' R2
D' L' D U' R2 L' B'
B' L' D' R' F2 U' L2
B' L' D' F2 R' U' L2
U' L' D' F2 U' B' L2
B L' D' F2 U' L2 B2
B L' D' F2 U' B2 L2
F' L' F' R U R B
D' L' F2 U R U2 B
U' L' F2 U B' R2 F'
F2 L' B L R U R
F2 L' B R L U R
F2 L2 R U R D B
F2 L2 R U R D' B
F2 L2 R U R D2 B
F2 L2 R U R B D
F2 L2 R U R B D'
F2 L2 R U R B D2
F2 L2 R U D R B
F2 L2 R U D' R B
F2 L2 R U D2 R B
F2 L2 R U B R B
F2 L2 R U B' R B
F2 L2 R U B2 R B
F2 L2 R D U R B
F2 L2 R D' U R B
F2 L2 R D2 U R B
F2 L2 R B L U R
F' L2 F' R U R B
D' L2 F2 L U' L' B'
F2 L2 B L R U R
F2 L2 B R L U R
F L2 B' R' U' R' F'
F2 R L U R D B
F2 R L U R D' B
F2 R L U R D2 B
F2 R L U R B D
F2 R L U R B D'
F2 R L U R B D2
F2 R L U D R B
F2 R L U D' R B
F2 R L U D2 R B
F2 R L U B R B
F2 R L U B' R B
F2 R L U B2 R B
F2 R L D U R B
F2 R L D' U R B
F2 R L D2 U R B
F2 R L B L U R
F2 R L' U R D B
F2 R L' U R D' B
F2 R L' U R D2 B
F2 R L' U R B D
F2 R L' U R B D'
F2 R L' U R B D2
F2 R L' U D R B
F2 R L' U D' R B
F2 R L' U D2 R B
F2 R L' U B R B
F2 R L' U B' R B
F2 R L' U B2 R B
F2 R L' D U R B
F2 R L' D' U R B
F2 R L' D2 U R B
F2 R L' B L U R
F2 R L2 U R D B
F2 R L2 U R D' B
F2 R L2 U R D2 B
F2 R L2 U R B D
F2 R L2 U R B D'
F2 R L2 U R B D2
F2 R L2 U D R B
F2 R L2 U D' R B
F2 R L2 U D2 R B
F2 R L2 U B R B
F2 R L2 U B' R B
F2 R L2 U B2 R B
F2 R L2 D U R B
F2 R L2 D' U R B
F2 R L2 D2 U R B
F2 R L2 B L U R
F2 R U L R B L'
F2 R U L2 R B L2
F2 R U R L B L'
F2 R U R L2 B L2
F2 R U R D B D
F2 R U R D B D'
F2 R U R D B D2
F2 R U R D' B D
F2 R U R D' B D'
F2 R U R D' B D2
F2 R U R D2 B D
F2 R U R D2 B D'
F2 R U R D2 B D2
F2 R U R B2 D B'
F2 R U R B2 D' B'
F2 R U R B2 D2 B'
F2 R U R' B R2 B
F2 R U R' B' R2 B
F2 R U R' B2 R2 B
R' U F2 R U B R2
F2 R U D R D B
F2 R U D R D' B
F2 R U D R D2 B
F2 R U D R B D
F2 R U D R B D'
F2 R U D R B D2
F2 R U D B R B
F2 R U D B' R B
F2 R U D B2 R B
F2 R U D' R D B
F2 R U D' R D' B
F2 R U D' R D2 B
F2 R U D' R B D
F2 R U D' R B D'
F2 R U D' R B D2
F2 R U D' B R B
F2 R U D' B' R B
F2 R U D' B2 R B
F2 R U D2 R D B
F2 R U D2 R D' B
F2 R U D2 R D2 B
F2 R U D2 R B D
F2 R U D2 R B D'
F2 R U D2 R B D2
F2 R U D2 B R B
F2 R U D2 B' R B
F2 R U D2 B2 R B
F2 R U B R D B
F2 R U B R D' B
F2 R U B R D2 B
F2 R U B R B D
F2 R U B R B D'
F2 R U B R B D2
F2 R U B D R B
F2 R U B D' R B
F2 R U B D2 R B
F2 R U B' R D B
F2 R U B' R D' B
F2 R U B' R D2 B
F2 R U B' R B D
F2 R U B' R B D'
F2 R U B' R B D2
F2 R U B' D R B
F2 R U B' D' R B
F2 R U B' D2 R B
F2 R U B2 R D B
F2 R U B2 R D' B
F2 R U B2 R D2 B
F2 R U B2 R B D
F2 R U B2 R B D'
F2 R U B2 R B D2
F2 R U B2 D R B
F2 R U B2 D' R B
F2 R U B2 D2 R B
F2 R U' L' U2 R B'
F2 R U' L' U2 B' R
F2 R U' F2 L' U2 B'
F2 R D L U R B
F2 R D L' U R B
F2 R D L2 U R B
F2 R D U R D B
F2 R D U R D' B
F2 R D U R D2 B
F2 R D U R B D
F2 R D U R B D'
F2 R D U R B D2
F2 R D U B R B
F2 R D U B' R B
F2 R D U B2 R B
F2 R D B L U R
F2 R D' L U R B
F2 R D' L' U R B
F2 R D' L2 U R B
L' U' L R2 D' L2 B'
F2 R D' U R D B
F2 R D' U R D' B
F2 R D' U R D2 B
F2 R D' U R B D
F2 R D' U R B D'
F2 R D' U R B D2
F2 R D' U B R B
F2 R D' U B' R B
F2 R D' U B2 R B
F2 R D' B L U R
F2 R D2 L U R B
F2 R D2 L' U R B
F2 R D2 L2 U R B
L' U' L' R2 D' B' L2
L' U' L' R2 B' D' L2
F2 R D2 U R D B
F2 R D2 U R D' B
F2 R D2 U R D2 B
F2 R D2 U R B D
F2 R D2 U R B D'
F2 R D2 U R B D2
F2 R D2 U B R B
F2 R D2 U B' R B
F2 R D2 U B2 R B
F2 R D2 B L U R
L' U' L' B' R2 D' L2
F2 R B L U R D
F2 R B L U R D'
F2 R B L U R D2
F2 R B L U D R
F2 R B L U D' R
F2 R B L U D2 R
F2 R B L D U R
F2 R B L D' U R
F2 R B L D2 U R
F2 R B L B U R
F2 R B L B' U R
F2 R B L B2 U R
L' U' R2 L D' L2 B'
L' U' R2 L' D' B' L2
L' U' R2 L' B' D' L2
F2 R B D L U R
L' U' R2 D' L' B' L'
F2 R B D' L U R
F2 R B D2 L U R
F2 R B' U R D B2
F2 R B' U2 R' U' R2
B' R' L' U' R' D' L2
B' R' L' U' D' L2 R'
B' R' L' U' D' R' L2
B' R' L' U2 F2 U R'
B' R' L' D' U' L2 R'
B' R' L' D' U' R' L2
R2 U' F2 L' R U B'
R2 U' F2 R L' U B'
B' R' U2 F2 R U R2
B' R' D' L' U' L' R'
B' R' D' L' U' R' L'
B R' F2 L R U R2
B R' F2 R L U R2
L' U2 F' L' F' U R2
B' R2 U' F2 L' R U
B' R2 U' F2 R L' U
U2 R2 U' F2 R U B
B R2 U' F2 L R U
B R2 U' F2 R L U
F2 R2 D R' U R B
F2 R2 D' R' U R B
F2 R2 D2 R' U R B
B' R2 F2 L' R U R'
B' R2 F2 R L' U R'
B R2 F2 L R U R'
B R2 F2 R L U R'
F2 U R2 U' R' U B
R' D' L' U' L' R' B'
R' D' L' U' R' L' B'
F' U F' R U B R
R D' L' U' L' R B'
R D' L' U' L' B' R
R D' L' U' R L' B'
B U F2 L R U R
B U F2 R L U R
L' D' F2 U' L' B' L'
L' D' F2 B' R' U' L2
L' D' B' R' F2 U' L2
L' D' B' F2 R' U' L2
B U' F2 L R U R
B U' F2 R L U R
F' U2 F' L' R U R
F' U2 F' R L' U R
L F L2 B' R' U' R'
B U2 F2 L R U R
B U2 F2 R L U R
F2 D R B L B U
U2 F' L' F' R U R
F2 D B L B R U
L' F' U2 F' L' U R2
U' F2 L' R U R B'
U' F2 L' R U B' R
U F2 L R U B R
U' F2 R L' U R B'
U' F2 R L' U B' R
U F2 L' R U B R
R' F2 R U R B R
R' F2 R B L U R2
U F2 L2 R U B R
R2 F2 R U R B R2
U F2 R L U B R
U F2 R L' U B R
U F2 R L2 U B R
U F2 R U D B R
U F2 R U D' B R
U F2 R U D2 B R
U F2 R U B R D
U F2 R U B R D'
U F2 R U B R D2
U F2 R U B D R
U F2 R U B D' R
U F2 R U B D2 R
U F2 R U B' R B2
U F2 R U B2 R B'
U F2 R D U B R
U F2 R D' U B R
U F2 R D2 U B R
R F2 R U' L' U2 B'
U F2 R B' U R B2
U F2 R B' U B2 R
U F2 R B2 U R B'
U F2 R B2 U B' R
U F2 D R B2 U B'
U F2 D B2 R U B
R2 F2 B L R U R'
R2 F2 B R L U R'
U F2 B R U B R
U F2 B' R U B R
L' B L F2 R U R
U F2 B2 R U B R
F2 B L R U R D
F2 B L R U R D'
F2 B L R U R D2
F2 B L R U D R
F2 B L R U D' R
F2 B L R U D2 R
F2 B L R D U R
F2 B L R D' U R
F2 B L R D2 U R
F2 B L R B U R
F2 B L R B' U R
F2 B L R B2 U R
L' B U2 L F2 U R2
F' B L F' R U R
F2 B L D R B2 U
F2 B L D B2 R U
F2 B L B R U R
L' B U2 F2 L U R2
F2 B L B' R U R
F2 B L B2 R U R
R2 B U' F2 L R U
R2 B U' F2 R L U
F2 B R L U R D
F2 B R L U R D'
F2 B R L U R D2
F2 B R L U D R
F2 B R L U D' R
F2 B R L U D2 R
F2 B R L D U R
F2 B R L D' U R
F2 B R L D2 U R
F2 B R L B U R
F2 B R L B' U R
F2 B R L B2 U R
F2 B R D L U R
F2 B R D' L U R
F2 B R D2 L U R
F2 B R B' U R B
R2 B F2 L R U R'
R2 B F2 R L U R'
U B F2 R U B R
F2 B D L R B2 U
F2 B D L B2 R U
F2 B D R L B2 U
L' B' R' U' R' D' L2
L' B' R' U' D' L2 R'
L' B' R' U' D' R' L2
L' B' R' U2 F2 U R'
L' B' R' D' U' L2 R'
L' B' R' D' U' R' L2
B F' L F' R U R
F2 B' R U D R B2
F2 B' R U D B2 R
F2 B' R U2 R2 U' R'
F2 B' R D U R B2
F2 B' R D U B2 R
F2 B' R D2 L2 U R
L' B' D' R' F2 U' L2
L' B' D' F2 R' U' L2
F2 B' D B2 L R U
F2 B' D B2 R L U
U B' F2 R U B R
B F2 L R U R D
B F2 L R U R D'
B F2 L R U R D2
B F2 L R U D R
B F2 L R U D' R
B F2 L R U D2 R
B F2 L R D U R
B F2 L R D' U R
B F2 L R D2 U R
B F2 L R B U R
B F2 L R B' U R
B F2 L R B2 U R
B F2 L D R B2 U
B F2 L D B2 R U
B F2 L B R U R
B F2 L B' R U R
