L U R2 F' U
L R U R F' U
R L U R F' U
R2 L U F' U F
D2 L U' L B U'
D' L U' B U' F2
D L B2 U' B' U'
L R2 U F' U F
L U R2 D F' U
L U R2 D' F' U
L U R2 D2 F' U
L U R2 F' U D
L U R2 F' U D'
L U R2 F' U D2
L U R2 F' D U
L U R2 F' D' U
L U R2 F' D2 U
L U F R2 F' U
L U F' R2 F' U
L U F2 R2 F' U
L U' D' B U' F2
L U' D2 L2 B U'
L U' D2 B L2 U'
L U' B U' D' F2
L U' B U2 R2 U
L U' B D' U' F2
L U' B D2 L2 U'
U R2 F' U' L U2
U R2 F' B2 U R'
U R2 B2 F' U R'
L D B2 U' B' U'
L D' U' B U' F2
L D2 U' L2 B U'
L D2 U' B L2 U'
R2 F' U' F L U2
L B' D B2 U2 L2
L B' D' R2 U2 F2
R' L U R' F' U L'
L R U R D F' U
L R U R D' F' U
L R U R D2 F' U
L R U R F' U D
L R U R F' U D'
L R U R F' U D2
L R U R F' D U
L R U R F' D' U
L R U R F' D2 U
R2 L U D F' U F
R L U R D F' U
R L U R D' F' U
R L U R D2 F' U
R L U R F' U D
R L U R F' U D'
R L U R F' U D2
R L U R F' D U
R L U R F' D' U
R L U R F' D2 U
R2 L U D' F' U F
R2 L U D2 F' U F
R' L U F' R' U L'
R2 L U F' R U F
R2 L U F' R' U F
R2 L U F' R2 U F
R2 L U F' U D F
R2 L U F' U D' F
R2 L U F' U D2 F
R2 L U F' U F D
R2 L U F' U F D'
R2 L U F' U F D2
R2 L U F' D U F
R2 L U F' D' U F
R2 L U F' D2 U F
D' L R2 U F' U F'
R' L U' B U' L F
D L R2 B2 U F' U
U L U L' R2 F' U
D' L U R2 F' U F'
D' L U D R2 F' U
F L U R2 F' U B
U L U R2 L' F' U
D L U D' R2 F' U
R2 L D U F' U F
D2 L U' L D B U'
D2 L U' L D' B U'
D2 L U' L D2 B U'
D' L U' L B U' F2
D2 L U' L B U' D
D2 L U' L B U' D'
D2 L U' L B U' D2
D2 L U' L B D U'
D2 L U' L B D' U'
D2 L U' L B D2 U'
D' L U' L' B U' F2
D2 L U' L' B L2 U'
D2 L U' L2 B L' U'
D' L U' L2 B U' F2
D2 L U' D L B U'
D2 L U' D' L B U'
D' L U' D' L2 B U'
D' L U' D' B L2 U'
D2 L U' D2 L B U'
D L U' D L2 B U'
D L U' D B L2 U'
D L U' D2 B U' F2
D' L U' B L U' F2
D' L U' B L' U' F2
D' L U' B L2 U' F2
D' L U' B U' F2 D
D' L U' B U' F2 D'
D' L U' B U' F2 D2
D' L U' B D' L2 U'
D L U' B U B U2
R2 L D' U F' U F
U' L U2 R2 F' U R2
D' L U2 F2 U B U'
R2 L D2 U F' U F
D' L D U R2 F' U
D2 L D U' L B U'
D L D U' L2 B U'
D L D U' B L2 U'
D' L D' U' L2 B U'
D2 L D' U' L B U'
D' L D' U' B L2 U'
D L D' U R2 F' U
D2 L D2 U' L B U'
D L D2 U' B U' F2
D' L D2 B2 U' B' U'
L R B U R F' U
R2 L B U F' U F
R L B U R F' U
F L F' U R2 F' U
L R B' U R F' U
R2 L B' U F' U F
R L B' U R F' U
F2 L F2 U R2 F' U
L R B2 U R F' U
R2 L B2 U F' U F
R L B2 U R F' U
D' L B U2 F2 D' L2
U' L B U2 R2 U R2
L R' U R' F' U L'
L R' U F' R' U L'
D' L B' U' B2 U' F2
D' L B' U2 F2 D L2
