U L B' U2 R' B
D2 L R F U' F2 B'
D2 L R F U' B' F2
U2 L U' B' U2 R' B
R' L F L2 U' F B
R' L F L2 U' B F
R' L F U B' U2 B2
R' L F U' B D2 F2
L R F U F2 B' U2
L R F U B' F2 U2
R L F U F2 B' U2
R L F U B' F2 U2
D2 L F R U' F' B'
D2 L F R U' B' F'
U L F B' U2 R' B
U L F' B' U2 R' B
U L F2 B' U2 R' B
U L B' L U2 R' B
U L B' L' U2 R' B
U L B' L2 U2 R' B
U L B' U2 R' D B
U L B' U2 R' D' B
U L B' U2 R' D2 B
U L B' U2 R' B D
U L B' U2 R' B D'
U L B' U2 R' B D2
R' L' U' F B D' R2
L' R' U' F B D' R2
R' L' U' B D' R2 F
R' L' U' B D' F R2
L' R' U' B D' R2 F
L' R' U' B D' F R2
R' L' U' B F D' R2
L' R' U' B F D' R2
U L B' F U2 R' B
U L B' F' U2 R' B
U L B' F2 U2 R' B
R' L' U2 B' U F B2
R' L' U2 B' U B2 F
L' R' U2 B' U F B2
L' R' U2 B' U B2 F
U' L' R' F L B R
U' L' R2 F L R B
U' L' R2 F R L B
U2 L' U R' F B R
U2 L' U R' B F R
U2 L' U R2 F R B
U2 L' U F R' B R2
L R' F L2 U' F B
L R' F L2 U' B F
L R' F U B' U2 B2
L R' F U' B D2 F2
U L' U2 R' F B R
U L' U2 R' B F R
U L' U2 R2 F R B
U L' U2 F R' B R2
U' L' D2 F L R B'
U' L' D2 F L B' R
U' L' D2 F R L B'
U' L' F L R' B R2
U' L' F R' L B R2
U' L' F D2 L R B'
U' L' F D2 L B' R
U' L' F D2 R L B'
U L' B' U2 R' F B
U L' B' U2 R' B F
U L' B' U2 F R' B
R' U L B' U2 R' B2
R' U L' U2 F B R
R' U L' U2 B F R
R U L F' B' U2 R'
R U L B' F' U2 R'
U L2 B' U2 R' F' B
U L2 B' U2 R' B F'
D2 R L F U' F2 B'
D2 R L F U' B' F2
R U F' L B' U2 R'
R U F' L' U2 F R
R U F' B L B' U2
R' U B L B' U2 B
R U B L F' B' U2
R U B L B' F' U2
R U B F' L B' U2
R' U' L' F L B R
U' R F D2 R F' B2
U' R F D2 R B2 F'
U' R F D2 B2 R F'
U' R F' L' U2 F L
L' U' R' F B D' R2
L' U' R' B D' R2 F
L' U' R' B D' F R2
L' U' R' B F D' R2
R' U' D2 F B R F'
R' U' D2 B F R F'
L' U' F R' B D' R2
U' R' L' F L B R
R' U' F D2 B R F'
R' U' F B D2 R F'
R U' F D2 R F' B2
R U' F D2 R B2 F'
R U' F D2 B2 R F'
R U' F' L' U2 F L
D2 R' U B L U2 B'
R' U' B L' F L R
R' U' B L' F R L
R' U' B D2 F R F'
R' U' B F D2 R F'
R' U2 L' U F B R
R' U2 L' U B F R
U' R' D2 F B R F'
U' R' D2 B F R F'
R2 U2 L' U F R B'
R2 U2 L' U F B' R
R2 U2 L' U B' F R
U' R' F D2 B R F'
U' R' F B D2 R F'
U' R' B L' F L R
U' R' B L' F R L
L' U2 R' B' U F B2
L' U2 R' B' U B2 F
U' R' B D2 F R F'
U' R' B F D2 R F'
U' R2 L' F L R B
U' R2 L' F R L B
L' U2 B' R' U F B
L' U2 B' R' U B F
R' D L F L' U' B
U' R2 D2 F R F' B
U' R2 D2 F R B F'
U' R2 F D2 R F' B
U' R2 F D2 R B F'
F' U L B' U2 R' B
F2 U L B' U2 R' B
F U L B' U2 R' B
R' D2 U' F B R F'
R' D2 U' B F R F'
U F L B' U2 R' B
D F L' U2 B' L U
L F L2 R' U' F B
L F L2 R' U' B F
L F R U F' B' U2
L F R U B' F' U2
L F R' L2 U' F B
L F R' L2 U' B F
L F R' U B' U2 B2
L F R' U' B D2 F2
U F' L B' U2 R' B
U F2 L B' U2 R' B
U B' L' U2 R' F B
U B' L' U2 R' B F
U B' L' U2 F R' B
U B' L2 U2 R' F' B
U B' L2 U2 R' B F'
U B' R' F2 L' F B
U B' R' F2 L' B F
U B' R' F2 B L' F
U B' R' B F2 L' F
