B D' F2 R F' L'
R2 L U L2 F' U2 L'
R2 L U F' L2 U2 L
R2 L U' D2 R2 B L
D L U' B' L B2 R'
R2 L D2 U' R2 B L
D2 L D F2 B' U' B2
D2 L D B' F2 U' B2
D2 L D2 B' U' R2 B2
D2 L D2 B' U' B2 R2
D2 L B' U L2 U2 B2
D2 L B' U' B2 D2 R2
D L B' U' L B2 R'
D2 L' U' L2 B' U' B2
L R2 U L2 F' U2 L'
L R2 U F' L2 U2 L
L R2 U' D2 R2 B L
L R2 D2 U' R2 B L
L' U2 D F2 B' L B2
L' U2 D B' L F2 B2
L' U2 D B' L B2 F2
L' U2 D B' F2 L B2
L' U2 B2 D F2 B' L
L' U2 B2 D B' L F2
L' U2 B2 D B' F2 L
L' D U2 F2 B' L B2
L' D U2 B' L F2 B2
L' D U2 B' L B2 F2
L' D U2 B' F2 L B2
L D F2 U' B' L B2
L' D B' L F2 R B2
L' D B' L F2 B2 R
L' D B' L B2 F2 R
L D F2 B' U' L B2
L' D B' U2 L F2 B2
L' D B' U2 L B2 F2
L' D B' U2 F2 L B2
L D B' F2 U' L B2
L' D' R2 F' R B2 U2
L' D' R2 F' B2 R U2
L' D' R2 B2 F' R U2
L' D' F B2 U2 B' L'
L' D' F' B2 R U2 B'
L' D' B2 U2 D2 B' L
L' D' B2 D2 U2 B' L
L' D' B2 F U2 B' L'
L' D' B2 F' R U2 B'
D' F B D L' F R
D2 F2 L B' U' R B2
D2 F2 L B' U' B2 R
B D' F L' F R F'
B D' F D2 L' F R
B D' F2 L R F' L'
B D' F2 L' R F' L'
B D' F2 L2 R F' L'
B D' F2 R L F' L'
B D' F2 R L' F' L'
B D' F2 R L2 F' L'
B D' F2 R D F' L'
B D' F2 R D' F' L'
B D' F2 R D2 F' L'
B D' F2 R F' L' D
B D' F2 R F' L' D'
B D' F2 R F' L' D2
B D' F2 R F' D L'
B D' F2 R F' D' L'
B D' F2 R F' D2 L'
F' D2 L B' U' B2 R'
F2 D2 L B' U' R B2
F2 D2 L B' U' B2 R
D' F2 B D' R F' L'
D2 B D F L' F R
U' B D' F2 R F' L'
U2 B D' F2 R F' L'
D' B F D L' F R
U B D' F2 R F' L'
D' B F2 D' R F' L'
F2 B D' R F L' F2
B F D' F L' R F'
B F D' F R L' F'
F B D' F L' R F'
F B D' F R L' F'
L' B2 U2 D F2 B' L
L' B2 U2 D B' L F2
L' B2 U2 D B' F2 L
L' B2 D U2 F2 B' L
L' B2 D U2 B' L F2
L' B2 D U2 B' F2 L
L' B2 D B' L F2 R
L B2 D F2 U' B' L
B F2 D' R F L' F2
