F2 L2 D' R F' B
F2 L2 D' R B F'
L' U2 D L' F B'
L' U2 D L' B' F
L' D U2 L' F B'
L' D U2 L' B' F
L' R U2 D L' F B
L' R U2 D L' B F
L' R U2 D B L' F
L' R D U2 L' F B
L' R D U2 L' B F
L' R D U2 B L' F
F2 L D' L R F' B
F2 L D' L R B F'
F2 L D' R L F' B
F2 L D' R L B F'
F2 L D' R F' L B
R L' U2 D L' F B
R L' U2 D L' B F
R L' U2 D B L' F
F2 L' R D L' F B
F2 L' R D L' B F
F2 L' R D B L' F
R L' D U2 L' F B
R L' D U2 L' B F
R L' D U2 B L' F
B L' U R' U L' B'
B' L' U2 D L' F2 B'
B' L' U2 D L' B' F2
U2 L' U2 D B' L' F
U2 L' U2 B' L' D F2
F2 L' D L' R F B
F2 L' D L' R B F
F2 L' D R L' F B
F2 L' D R L' B F
F2 L' D R B L' F
F L' D L' F R B
B' L' D U2 L' F2 B'
B' L' D U2 L' B' F2
U2 L' D U2 B' L' F
F2 L' D' L' R F' B
F2 L' D' L' R B F'
F2 L' D' R L' F' B
F2 L' D' R L' B F'
F2 L' D' R B L' F'
B' L' D' B2 U2 L' B'
F2 L2 R B U' R' U
F2 L2 D' R D F' B
F2 L2 D' R D B F'
F2 L2 D' R D' F' B
F2 L2 D' R D' B F'
F2 L2 D' R D2 F' B
F2 L2 D' R D2 B F'
F2 L2 D' R F' D B
F2 L2 D' R F' D' B
F2 L2 D' R F' D2 B
F2 L2 D' R F' B D
F2 L2 D' R F' B D'
F2 L2 D' R F' B D2
F2 L2 D' R B D F'
F2 L2 D' R B D' F'
F2 L2 D' R B D2 F'
F2 L2 D' R B F' D
F2 L2 D' R B F' D'
F2 L2 D' R B F' D2
F2 L2 D' B R F' B
F2 L2 D' B R B F'
F2 L2 D' B' R F' B
F2 L2 D' B' R B F'
F L2 D' F R F' B
F L2 D' F R B F'
F2 L2 D' B2 R F' B
F2 L2 D' B2 R B F'
F L2 F D' R F' B
F L2 F D' R B F'
F' L2 F' D' R F' B
F' L2 F' D' R B F'
F2 L2 B R D' F2 B
F2 L2 B R D' B F2
F2 L2 B R B D' F2
F2 R L' D L' F B
F2 R L' D L' B F
F2 R L' D B L' F
F2 R L2 B U' R' U
F2 R B L2 U' R' U
F2 R B U' R' U L2
L' U' B' L R' U' L2
L' U' B' R' L U' L2
L' U2 L' B' U L U'
B R' F2 U L2 R B'
B R' F2 U L2 B' R
B R' F2 U R L2 B'
L' U2 D L' D F B'
L' U2 D L' D B' F
L' U2 D L' D' F B'
L' U2 D L' D' B' F
L' U2 D L' D2 F B'
L' U2 D L' D2 B' F
L' U2 D L' F D B'
L' U2 D L' F D' B'
L' U2 D L' F D2 B'
L' U2 D L' F B' D
L' U2 D L' F B' D'
L' U2 D L' F B' D2
L' U2 D L' B' D F
L' U2 D L' B' D' F
L' U2 D L' B' D2 F
L' U2 D L' B' F D
L' U2 D L' B' F D'
L' U2 D L' B' F D2
L2 U2 D L F B' U2
L2 U2 D L B' F U2
L' U2 D B L' F B'
L' U2 D B L' B' F
L' U2 D B' L' F B'
L' U2 D B' L' B' F
L' U2 D B2 L' F B'
L' U2 D B2 L' B' F
L' U2 B' L' D F2 B'
L' U2 B' L' D B' F2
L' U2 B' L' B' D F2
L2 D L B' U2 L' B'
L' D R U2 L' F B
L' D R U2 L' B F
L' D R U2 B L' F
L' D U2 L' D F B'
L' D U2 L' D B' F
L' D U2 L' D' F B'
L' D U2 L' D' B' F
L' D U2 L' D2 F B'
L' D U2 L' D2 B' F
L' D U2 L' F D B'
L' D U2 L' F D' B'
L' D U2 L' F D2 B'
L' D U2 L' F B' D
L' D U2 L' F B' D'
L' D U2 L' F B' D2
L' D U2 L' B' D F
L' D U2 L' B' D' F
L' D U2 L' B' D2 F
L' D U2 L' B' F D
L' D U2 L' B' F D'
