B2 L R2 U' B2 L
B2 L U R U2 B2
U2 R U R2 U R2
F2 R D' L' F2 R
U' R' U D2 L2 R
U' R' U D2 R L2
U' R' U' R2 U2 R'
U' R' D2 U L2 R
U' R' D2 U R L2
B2 R2 L U' B2 L
B U R B U2 B2
U' F2 R' U L' R
U' F2 R' U R L'
U2 L R U R2 U R2
B2 L R U' B2 D L2
B2 L R' U R2 U2 B2
B2 L R' U' B2 D2 L2
B2 L R2 U R' U2 B2
B2 L R2 U' L B2 L
B2 L R2 U' L' B2 L
B2 L R2 U' L2 B2 L
B2 L R2 U' B2 L D
B2 L R2 U' B2 L D'
B2 L R2 U' B2 L D2
B2 L R2 U' B2 D L
B2 L R2 U' B2 D' L
B2 L R2 U' B2 D2 L
B2 L R2 B' U' B' L
B2 L U R U2 B2 D
B2 L U R U2 B2 D'
B2 L U R U2 B2 D2
B2 L U R D2 F2 U2
B2 L U R F U2 B2
B2 L U R F' U2 B2
B2 L U R F2 U2 B2
B2 L U R2 U2 B2 L
B2 L U D2 R F2 U2
B2 L U D2 F2 U2 L'
B2 L U F2 U2 L' B2
B2 L U F2 U2 B2 L'
B2 L U' R2 B2 L R2
B2 L U' R2 B2 R2 L
B2 L U' F2 L' F2 B2
B2 L U' F2 L' B2 F2
B2 L U' F2 B2 L' F2
B2 L U' B2 U2 R U2
B2 L U' B2 F2 L' F2
B2 L U2 F2 U L' B2
B2 L U2 F2 U B2 L'
B2 L D' R2 U R' U2
B2 L D' R2 B2 U' L
B2 L D2 U R F2 U2
B2 L D2 U F2 U2 L'
B2 L B' U R U2 B'
U2 L' R U R2 U R2
F2 L' R D R2 D2 F2
F2 L' R D' F2 D2 R2
F2 L' R' U F2 U' F2
F2 L' R' D R2 D' F2
F2 L' R2 U F2 L' U'
F2 L' U F2 U2 R' U
F2 L' U' R' U D R2
F2 L' U' R' U2 F2 U'
F2 L' U' R' D U R2
F2 L' U' R' D2 B2 U
F2 L' U' D R' U R'
F2 L' U' D2 R' B2 U
B2 L' U' B2 D F2 L'
F2 L' D R D' R F2
F2 L' D R2 U' R U
F2 L' D U' R' U R'
F2 L' D2 R D' R2 F2
F2 L' D2 R D' F2 R2
F2 L' D2 U' R' B2 U
F2 L' F2 U' R' U R
U2 L2 R U R2 U R2
B L2 U R F B U2
B L2 U R B F U2
F' L2 U' R' F' B' U
F' L2 U' R' B' F' U
R' U R2 D' F2 U2 F2
R U R2 U2 R2 U' R2
U2 R L U R2 U R2
B2 R L U' B2 D L2
U2 R L' U R2 U R2
F2 R L' D R2 D2 F2
F2 R L' D' F2 D2 R2
U2 R L2 U R2 U R2
U2 R U R2 U R2 D
U2 R U R2 U R2 D'
U2 R U R2 U R2 D2
U2 R U R2 D B2 U
U2 R U R2 B U R2
U2 R U R2 B' U R2
U2 R U R2 B2 U R2
U2 R U B R2 U R2
U R U R2 U2 R U'
U2 R U B' R2 U R2
U2 R U B2 R2 U R2
U R U' R' U2 R' U
U R U' D' R' U' F2
U R U' D2 L2 R' U'
U R U' D2 R' L2 U'
U2 R U2 D' F2 D R2
F2 R D L' R2 D2 F2
F2 R D R2 L' D2 F2
F2 R D R2 D2 L' F2
U2 R D B2 U B2 U
U2 R D B2 U2 D' R2
U2 R D B2 D L2 U2
U2 R D B2 D' U2 R2
F2 R D' L' R F2 R
F2 R D' L' R' F2 R
F2 R D' L' R2 F2 R
F2 R D' L' F2 R D
F2 R D' L' F2 R D'
F2 R D' L' F2 R D2
F2 R D' L' F2 D R
F2 R D' L' F2 D' R
F2 R D' L' F2 D2 R
F2 R D' R L' F2 R
F2 R D' R' L' F2 R
F2 R D' R2 L' F2 R
U R D B2 U L U
U2 R D' U2 F2 D R2
U R D' U' R' U' F2
U R D2 U' L2 R' U'
U R D2 U' R' L2 U'
F' R F' D' L' F2 R
R2 U' R U D2 L2 R'
R2 U' R U D2 R' L2
R2 U' R U' R2 U2 R
R2 U' R D' F2 U R'
R2 U' R D2 U L2 R'
R2 U' R D2 U R' L2
L' U' R' U D2 L2 R
L' U' R' U D2 R L2
L' U' R' U' R2 U2 R'
L' U' R' D2 U L2 R
L' U' R' D2 U R L2
L2 U' R' U D2 L2 R
L2 U' R' U D2 R L2
L2 U' R' U' R2 U2 R'
L2 U' R' D2 U L2 R
L2 U' R' D2 U R L2
L U' R' U D2 L2 R
L U' R' U D2 R L2
L U' R' U' R2 U2 R'
R' U' R2 U2 R2 D B2
L U' R' D2 U L2 R
L U' R' D2 U R L2
U2 R B U R2 B' U
U2 R B U B' R2 U
R U' R2 U R2 D2 L2
U2 R B' U B R2 U
U2 R B2 U R2 B2 U
U2 R B2 U B2 R2 U
U2 R B2 U2 D' R2 F2
U2 R B2 U2 D' F2 R2
U2 R B2 D L2 B2 U2
U2 R B2 D B2 L2 U2
U2 R B2 D' U2 R2 F2
U2 R B2 D' U2 F2 R2
B2 R' L U R2 U2 B2
U R B2 U L R2 U
U R B2 U R2 L U
B2 R' L U' B2 D2 L2
F2 R' L' U F2 U' F2
F2 R' L' D R2 D' F2
U' R' U L D2 L2 R
U' R' U L D2 R L2
U' R' U L' D2 L2 R
U' R' U L' D2 R L2
U' R' U L2 D2 L2 R
U' R' U L2 D2 R L2
U' R' U R U2 R U2
U' R' U R F2 L' F2
U' R' U D R D L2
U' R' U D' R D' L2
U' R' U D2 L2 R D
U' R' U D2 L2 R D'
U' R' U D2 L2 R D2
U' R' U D2 L2 D R
U' R' U D2 L2 D' R
U' R' U D2 L2 D2 R
U' R' U D2 R L2 D
U' R' U D2 R L2 D'
U' R' U D2 R L2 D2
F' R' U F U' F' L'
L' U' F2 R' U L' R
L' U' F2 R' U R L'
U2 R' U D2 L2 D' B2
U' R' U' L R2 U2 R'
F2 R' U F2 U' F2 L'
L2 U' F2 R' U L' R
L2 U' F2 R' U R L'
U' R' U' L' R2 U2 R'
U' R' U' L2 R2 U2 R'
U' R' U' R2 L U2 R'
U' R' U' R2 L' U2 R'
U' R' U' R2 L2 U2 R'
U' R' U' R2 U2 R' D
U' R' U' R2 U2 R' D'
U' R' U' R2 U2 R' D2
U' R' U' R2 U2 D R'
U' R' U' R2 U2 D' R'
U' R' U' R2 U2 D2 R'
U' R' U' R2 D U2 R'
U' R' U' R2 D' U2 R'
U' R' U' R2 D2 U2 R'
L U' F2 R' U L' R
L U' F2 R' U R L'
U2 R' U' R2 U' R2 U'
U2 R' U' R2 U2 D B2
U2 R' U' R2 D U2 B2
U2 R' U' R2 D' F2 U2
U' R' U2 D B2 U' R
U2 R' U2 D B2 U' B2
B2 R' D L B2 R' U'
F2 R' D L' R2 D' F2
U' R' D U R D L2
U' R' D U2 B2 U' R
F2 R' D R2 L' D' F2
F2 R' D R2 D' L' F2
R U' B' R2 F' U R2
U2 R' D U2 B2 U' B2
R2 U' B2 R U L R'
R2 U' B2 R U R' L
U' R' D' U R D' L2
U' R' D' F2 U' L' U2
U2 R' D' F2 U D2 B2
U2 R' D' F2 U' F2 U2
U2 R' D' F2 D' L2 U
U2 R' D' F2 D2 U B2
U' R' D2 U L2 R D
U' R' D2 U L2 R D'
U' R' D2 U L2 R D2
U' R' D2 U L2 D R
U' R' D2 U L2 D' R
U' R' D2 U L2 D2 R
U' R' D2 U R L2 D
U' R' D2 U R L2 D'
U' R' D2 U R L2 D2
U2 R' D2 U L2 D' B2
U' R' D2 B U L2 R
U' R' D2 B U R L2
U' R' D2 B' U L2 R
U' R' D2 B' U R L2
U' R' D2 B2 U L2 R
U' R' D2 B2 U R L2
