R' B' L2 U F' L'
B L U2 L B2 U F
L2 R' U F' L' D R2
L2 R' U F' D L' R2
L2 R' U F' D R2 L'
R' L2 U F' L' D R2
R' L2 U F' D L' R2
R' L2 U F' D R2 L'
B' L2 R' U D L2 F'
B' L2 R' U D F' L2
B' L2 R' U F' D L2
B' L2 R' U2 B2 U' F'
B' L2 R' D U L2 F'
B' L2 R' D U F' L2
B' L2 R' D2 F2 U F
B' L2 U2 L B2 U' F
B' L2 U2 B2 L U' F
U L2 U2 F B L U'
B' L2 D R' U L2 F'
B' L2 D R' U F' L2
U L2 U2 B F L U'
B' L2 D2 R' F2 U F
B' L2 D2 F2 R' U F'
B2 L2 F B R' U F'
B2 L2 B R' F U F2
B2 L2 B F R' U F'
B R U' D' R2 F' B2
B R U' D' R2 B2 F'
B R U2 B2 L2 U F
B R D' U' R2 F' B2
B R D' U' R2 B2 F'
B R D2 R2 F2 U' F
B R D2 F2 R2 U' F'
B' R' L2 U D L2 F'
B' R' L2 U D F' L2
B' R' L2 U F' D L2
B' R' L2 U2 B2 U' F'
B' R' L2 D U L2 F'
B' R' L2 D U F' L2
B' R' L2 D2 F2 U F
B R' U' D' F' R2 B2
B R' U' D' F' B2 R2
B R' U' D' B2 F' R2
B R' U' F' D' R2 B2
B R' U' F' D' B2 R2
B R' U2 L2 B2 U F'
B R' U2 B2 L2 U F'
B R' D' U' F' R2 B2
B R' D' U' F' B2 R2
B R' D' U' B2 F' R2
B R' D2 F2 R2 U' F
F' R' B' L2 U F' L'
U' R' B' L2 R' F' U
U' R' B' R' L2 F' U
U' R' B' R' F' L2 U
D' R' B' U F' B' L'
D' R' B' U B' F' L'
F2 R' B' L2 U F' L'
F R' B' L2 U F' L'
L2 U2 F L B U' F
L2 U2 F B L U' F
L2 U2 B F L U' F
U' R2 F' B' L2 R' U
U' R2 F' B' R' L2 U
U' R2 B' L2 F' R' U
U' R2 B' F' L2 R' U
U' R2 B' F' R' L2 U
B2 U L2 F B R U
B2 U L2 B F R U
R2 D' F' R B' U B'
R2 D' F' B' R U B'
R' D' B' U F' B' L'
R' D' B' U B' F' L'
R2 D' B' F' R U B'
B' U2 L B2 R' U' F
R2 F' R B' L2 U F'
B' D' R' U F' B2 L
B' D' R' U B2 L F'
B' D' R' U B2 F' L
B D' R' U' F' R' B2
R2 F' B' L2 R U F'
R2 F' B' R L2 U F'
B D2 R' F2 R' U' F
U' B L U2 L B2 U
R' B L2 B2 U F' L'
U' B U2 B2 L2 R' U
U' B U2 B2 R' L2 U
U' B D' L U' R2 B2
U' B D' L U' B2 R2
U' B D2 L R2 F2 U'
U' B D2 L F2 R2 U'
U' B D2 R2 L F2 U'
U' B D2 R2 F2 L U'
U' B D2 F2 L R2 U'
U' B D2 F2 R2 L U'
U' B' L2 R' U D L2
U' B' L2 R' U2 B2 U'
U' B' L2 R' D U L2
U' B' L2 R' D2 F2 U
U' B' L2 U2 B2 L U'
U' B' L2 D R' U L2
R' B' L2 U L F' L'
R' B' L2 U L' F' L'
R' B' L2 U L2 F' L'
R' B' L2 U D F' L'
R' B' L2 U D' F' L'
R' B' L2 U D2 F' L'
R' B' L2 U F' L' D
R' B' L2 U F' L' D'
R' B' L2 U F' L' D2
R' B' L2 U F' D L'
R' B' L2 U F' D' L'
R' B' L2 U F' D2 L'
U' B' L2 D2 R' F2 U
U' B' L2 D2 F2 R' U
R' B' L2 D U F' L'
R' B' L2 D' U F' L'
R' B' L2 D2 U F' L'
R2 B' L2 R U F' L'
U' B' R' L2 U D L2
U' B' R' L2 U2 B2 U'
U' B' R' L2 D U L2
U' B' R' L2 D2 F2 U
R2 B' L2 D' F' R U
R2 B' L2 F' R U F'
R2 B' R L2 U F' L'
R' B' U D' F' L' B2
R' B' U D' F' B2 L'
R' B' U D' B2 F' L'
R' B' U F' D' L' B2
R' B' U F' D' B2 L'
U' B' D' R' U B2 L
R' B' D' U F' L' B2
R' B' D' U F' B2 L'
R' B' D' U B2 F' L'
R2 B' D' F' R U B2
R2 B' F' L2 R U F'
R2 B' F' R L2 U F'
U' B2 L2 F B R' U
U' B2 L2 B R' F U
U' B2 L2 B F R' U
R' B2 L2 B U F' L'
U B2 L2 F B R U
U B2 L2 B F R U
