F2 R' D L' F B'
F2 R' D L' B' F
F2 D L' R' F B'
F2 D L' R' B' F
F2 D L' F R' B'
F2 D R' L' F B'
F2 D R' L' B' F
D F2 L' R' F B'
D F2 L' R' B' F
D F2 L' F R' B'
D F2 R' L' F B'
D F2 R' L' B' F
D' L R F U2 R2 F2
D' L R F U2 F2 R2
D L R F B' U2 R2
D L R B' F U2 R2
D L R' D2 L2 F B'
D L R' D2 L2 B' F
D' L' R U2 F' R2 B'
D' L' R U2 F' B' R2
D' L' R U2 B' F' R2
D L' R U2 R2 F B'
D L' R U2 R2 B' F
D L' R U2 F R2 B'
D L' R U2 F B' R2
D L' R U2 B' R2 F
D L' R U2 B' F R2
D L' R' D2 F B' L2
D L' R' D2 B' F L2
D L' R' F D2 B' L2
D L' R' F B' D2 L2
D' L' R' B' D2 L2 F2
D' L' R' B' D2 F2 L2
F2 L' R' B' U L U'
D L' R' B' D2 F L2
D L' R' B' F D2 L2
F2 L' R2 D' R F' B'
F2 L' R2 D' R B' F'
F2 L' R2 D' B' R F'
F2 L' D' R F' R2 B'
F2 L' D' R F' B' R2
F2 L' D' R B' F' R2
F2 L' D' R' B' D2 F2
D L' F R' D2 B' L
D L' F D2 R' B' L
D' R L F U2 R2 F2
D' R L F U2 F2 R2
D R L F B' U2 R2
D' R L' U2 F' R2 B'
D' R L' U2 F' B' R2
D' R L' U2 B' F' R2
D R L B' F U2 R2
D R L' U2 R2 F B'
D R L' U2 R2 B' F
D R L' U2 F R2 B'
D R L' U2 F B' R2
D R L' U2 B' R2 F
D R L' U2 B' F R2
R U B L R' U R'
R U B R' L U R'
D' R U2 F' R B R
D R' L D2 L2 F B'
D R' L D2 L2 B' F
D' R' L' B' D2 L2 F2
D' R' L' B' D2 F2 L2
D R' L' D2 F B' L2
D R' L' D2 B' F L2
D R' L' F D2 B' L2
D R' L' F B' D2 L2
F2 R' L' B' U L U'
D R' L' B' D2 F L2
D R' L' B' F D2 L2
F2 R' D L' D F B'
F2 R' D L' D B' F
F2 R' D L' D' F B'
F2 R' D L' D' B' F
F2 R' D L' D2 F B'
F2 R' D L' D2 B' F
F2 R' D L' F D B'
F2 R' D L' F D' B'
F2 R' D L' F D2 B'
F2 R' D L' F B' D
F2 R' D L' F B' D'
F2 R' D L' F B' D2
F2 R' D L' B' D F
F2 R' D L' B' D' F
F2 R' D L' B' D2 F
F2 R' D L' B' F D
F2 R' D L' B' F D'
F2 R' D L' B' F D2
F' R' D F' L' F B'
F' R' D F' L' B' F
F2 R' D B L' F B'
F2 R' D B L' B' F
F2 R' D B' L' F B'
F2 R' D B' L' B' F
F2 R' D B2 L' F B'
F2 R' D B2 L' B' F
F R' F D L' F B'
F R' F D L' B' F
F' R' F' D L' F B'
F' R' F' D L' B' F
R U2 R D' B R F'
R U2 R B R D' F2
F2 R' B' L' D F2 B'
F2 R' B' L' D B' F2
F2 R' B' L' B' D F2
F2 R2 L' D' R F' B'
F2 R2 L' D' R B' F'
F2 R2 L' D' B' R F'
F2 R2 D L' R F B'
F2 R2 D L' R B' F
F2 R2 D L' B' R F
F2 R2 D R L' F B'
F2 R2 D R L' B' F
F' R2 D' R F' L' B'
F2 R2 D' L' R F' B'
F2 R2 D' L' R B' F'
F2 R2 D' L' B' R F'
F2 R2 D' R L' F' B'
F2 R2 D' R L' B' F'
R' D L D L2 F B'
R' D L D L2 B' F
R' D L' D F B' L2
R' D L' D B' F L2
R' D L' F D B' L2
L' D F2 R' B' L' F
L' D' R U2 F' R2 B'
L' D' R U2 F' B' R2
L' D' R U2 B' F' R2
L' D' R' B' D2 L2 F2
L' D' R' B' D2 F2 L2
L D' R F U2 R2 F2
L D' R F U2 F2 R2
U2 D' R U2 F' B R2
U2 D' R U2 B F' R2
R' D2 L' D' B' L' F
R' D2 L' B' D' L' F
D' U2 R U2 F' B R2
D' U2 R U2 B F' R2
D F L' R' F B' L'
D F L' R' B' F L'
D F L' F R' B' L'
D F R' L' F B' L'
D F R' L' B' F L'
D F R' F L' F B'
D F R' F L' B' F
F2 D L' R F R2 B'
F2 D L' R F B' R2
F2 D L' R B' R2 F
F2 D L' R B' F R2
F2 D L' R' D F B'
F2 D L' R' D B' F
F2 D L' R' D' F B'
F2 D L' R' D' B' F
F2 D L' R' D2 F B'
F2 D L' R' D2 B' F
F2 D L' R' F D B'
F2 D L' R' F D' B'
F2 D L' R' F D2 B'
F2 D L' R' F B' D
F2 D L' R' F B' D'
F2 D L' R' F B' D2
F2 D L' R' B' D F
F2 D L' R' B' D' F
F2 D L' R' B' D2 F
F2 D L' R' B' F D
F2 D L' R' B' F D'
F2 D L' R' B' F D2
F2 D L' R2 B' R F
F2 D L' D R' F B'
F2 D L' D R' B' F
F2 D L' D F R' B'
F2 D L' D' R' F B'
F2 D L' D' R' B' F
F2 D L' D' F R' B'
F2 D L' D2 R' F B'
F2 D L' D2 R' B' F
F2 D L' D2 F R' B'
F2 D L' F R B' R2
F2 D L' F R' D B'
F2 D L' F R' D' B'
F2 D L' F R' D2 B'
F2 D L' F R' B' D
F2 D L' F R' B' D'
F2 D L' F R' B' D2
F2 D L' F R2 B' R
F2 D L' F D R' B'
F2 D L' F D' R' B'
F2 D L' F D2 R' B'
F2 D L' F' R' F2 B'
F2 D L' F' R' B' F2
F2 D R L' F R2 B'
F2 D R L' F B' R2
F2 D R L' B' R2 F
F2 D R L' B' F R2
F2 D R' L' D F B'
F2 D R' L' D B' F
F2 D R' L' D' F B'
F2 D R' L' D' B' F
F2 D R' L' D2 F B'
F2 D R' L' D2 B' F
F2 D R' L' F D B'
F2 D R' L' F D' B'
F2 D R' L' F D2 B'
F2 D R' L' F B' D
F2 D R' L' F B' D'
F2 D R' L' F B' D2
F2 D R' L' B' D F
F2 D R' L' B' D' F
F2 D R' L' B' D2 F
F2 D R' L' B' F D
F2 D R' L' B' F D'
F2 D R' L' B' F D2
F' D R' F' L' F B'
F' D R' F' L' B' F
F2 D R' B L' F B'
F2 D R' B L' B' F
F2 D R' B' L' F B'
F2 D R' B' L' B' F
F2 D R' B2 L' F B'
F2 D R' B2 L' B' F
F2 D R2 L' B' R F
F' D F' L' R' F B'
F' D F' L' R' B' F
F' D F' L' F R' B'
F' D F' R' L' F B'
F' D F' R' L' B' F
D' F' R F' L' R2 B'
D' F' R F' L' B' R2
D' F' R F' R2 L' B'
F2 D B L' F B' R'
F2 D B L' B' R' F
F2 D B L' B' F R'
D F' R' F' L' F B'
D F' R' F' L' B' F
F2 D' L' R F' R2 B'
F2 D' L' R F' B' R2
F2 D' L' R B' F' R2
F2 D' L' R' B' D2 F2
F2 D' R L' F' R2 B'
F2 D' R L' F' B' R2
F2 D' R L' B' F' R2
F' D' R F' L' R2 B'
F' D' R F' L' B' R2
F' D' R F' L' B' R2
F' D' R F' R2 L' B'
F2 D' R' L' B' D2 F2
D' F2 L' R F' R2 B'
D' F2 L' R F' B' R2
D' F2 L' R B' F' R2
D' F2 L' R' B' D2 F2
D F2 L' R F R2 B'
D F2 L' R F B' R2
D F2 L' R B' R2 F
D F2 L' R B' F R2
D F2 L' R' D F B'
D F2 L' R' D B' F
D F2 L' R' D' F B'
D F2 L' R' D' B' F
D F2 L' R' D2 F B'
D F2 L' R' D2 B' F
D F2 L' R' F D B'
D F2 L' R' F D' B'
D F2 L' R' F D2 B'
D F2 L' R' F B' D
D F2 L' R' F B' D'
D F2 L' R' F B' D2
D F2 L' R' B' D F
D F2 L' R' B' D' F
D F2 L' R' B' D2 F
D F2 L' R' B' F D
D F2 L' R' B' F D'
D F2 L' R' B' F D2
D F2 L' R2 B' R F
D F2 L' D R' F B'
D F2 L' D R' B' F
D F2 L' D F R' B'
D F2 L' D' R' F B'
D F2 L' D' R' B' F
D F2 L' D' F R' B'
D F2 L' D2 R' F B'
D F2 L' D2 R' B' F
D F2 L' D2 F R' B'
D F2 L' F R B' R2
D F2 L' F R' D B'
D F2 L' F R' D' B'
D F2 L' F R' D2 B'
D F2 L' F R' B' D
D F2 L' F R' B' D'
D F2 L' F R' B' D2
D F2 L' F R2 B' R
D F2 L' F D R' B'
D F2 L' F D' R' B'
D F2 L' F D2 R' B'
D' F2 R L' F' R2 B'
D' F2 R L' F' B' R2
D F2 L' F' R' F2 B'
D F2 L' F' R' B' F2
D' F2 R L' B' F' R2
D' F2 R' L' B' D2 F2
D F2 R L' F R2 B'
D F2 R L' F B' R2
D F2 R L' B' R2 F
D F2 R L' B' F R2
L' F2 R' D B' L' F
L' F2 R' B' L' D F2
D F2 R' L' D F B'
D F2 R' L' D B' F
D F2 R' L' D' F B'
D F2 R' L' D' B' F
D F2 R' L' D2 F B'
D F2 R' L' D2 B' F
D F2 R' L' F D B'
D F2 R' L' F D' B'
D F2 R' L' F D2 B'
D F2 R' L' F B' D
D F2 R' L' F B' D'
D F2 R' L' F B' D2
D F2 R' L' B' D F
D F2 R' L' B' D' F
D F2 R' L' B' D2 F
D F2 R' L' B' F D
D F2 R' L' B' F D'
D F2 R' L' B' F D2
D F2 R' B L' F B'
D F2 R' B L' B' F
D F2 R' B' L' F B'
D F2 R' B' L' B' F
D F2 R' B2 L' F B'
D F2 R' B2 L' B' F
D F2 R2 L' B' R F
U' F2 D L' R' F B
U' F2 D L' R' B F
U' F2 D L' F R' B
U' F2 D R' L' F B
U' F2 D R' L' B F
U' F2 D R' B L' F
L' F2 D R' B' L' F
D' F2 D2 L' R' F B'
D' F2 D2 L' R' B' F
D' F2 D2 L' F R' B'
D' F2 D2 R' L' F B'
D' F2 D2 R' L' B' F
F2 D2 R' D' L' F B'
F2 D2 R' D' L' B' F
D F2 B L' F B' R'
D F2 B L' B' R' F
D F2 B L' B' F R'
D B F2 L' F B' R'
D B F2 L' B' R' F
D B F2 L' B' F R'
D' B2 L R F U2 F2
D B2 L R F B' U2
D B2 L R B' F U2
D B2 L B' R F U2
D' B2 R L F U2 F2
D B2 R L F B' U2
D B2 R L B' F U2
