F' R U' L' U' R'
F' L R U' L2 U' R'
F' L R U2 R' D F2
F' L R U2 D R' F2
F' L R U2 D F2 R'
F' L R D U2 R' F2
F' L R D U2 F2 R'
F' L R D' B2 L U2
U L R2 U' F L' B
U L R2 U' F B L'
U L R2 U' B F L'
U L U F' R U2 F2
U L U F' U2 F2 L'
U L U' F L' D2 B2
U L U' F D2 L' B2
U L U' F D2 B2 L'
F' L D R U2 R' F2
F' L D R U2 F2 R'
F' L D F2 L' D2 B2
F' L D F2 D2 L' B2
F' L D F2 D2 B2 L'
F' L D' R B2 L U2
F' L D' B2 R U2 R'
U L' U F' R B' U2
U L' U F' B' R U2
U L' U B' F' R U2
F L' U' R U D2 B2
F L' U' R U' F2 U2
F L' U' R D' L2 U
F L' U' R D2 U B2
F L' U' D' L2 R U
F L' U' D' R L2 U
F L' U' D2 R U B2
F L' U2 F2 U' L' U'
F2 L' D' F' L' F B'
F2 L' D' F' L' B' F
F L' D' U' L2 R U
F L' D' U' R L2 U
F L' D2 U' R U B2
F L' D2 B2 U' R U
F' L2 R U' L U' R'
F2 L2 D' F' B' L' F
F2 L2 D' B' F' L' F
R2 U L F L' B R2
R2 U L F B L' R2
R2 U L F B R2 L'
R2 U L B R2 F L'
R2 U L B F L' R2
R2 U L B F R2 L'
F2 L2 B' D' F' L' F
F' R L U' L2 U' R'
F' R L U2 R' D F2
F' R L U2 D R' F2
F' R L U2 D F2 R'
F' R L D U2 R' F2
F' R L D U2 F2 R'
F' R L D' B2 L U2
F' R L2 U' L U' R'
F R U L' R' D2 B2
F R U L' D2 R' B2
F R U R' L' D2 B2
F R U R' D2 L' B2
F R U R' D2 B2 L'
F' R U' L' U' R' D
F' R U' L' U' R' D'
F' R U' L' U' R' D2
F' R U' L' U' D R'
F' R U' L' U' D' R'
F' R U' L' U' D2 R'
F' R U' L' D U' R'
F' R U' L' D' U' R'
F' R U' L' D2 U' R'
F' R U' L' F U' R'
F' R U' L' F' U' R'
F' R U' L' F2 U' R'
F R U D2 L' R' B2
F R U D2 R' L' B2
F R U D2 R' B2 L'
F' R U' D L' U' R'
F' R U' D' L' U' R'
F' R U' D2 L' U' R'
F' R U' F U' R' F'
R2 U B L R2 F L'
R2 U B L F L' R2
R2 U B L F R2 L'
F' R U2 R' U L' U'
R2 U B R2 L F L'
F R U' F2 R U2 R2
F' R U2 F2 R' D' F2
F' R D U' L' U' R'
F' R D' U' L' U' R'
F R D' L2 U L R'
F R D' L2 U R' L
F' R D2 U' L' U' R'
F R D2 U L' R' B2
F R D2 U R' L' B2
F R D2 U R' B2 L'
F' R B2 L U' L2 U'
F' R B2 L U2 D F2
F' R B2 L D U2 F2
F' R B2 L D' B2 U2
U R2 L U' F L' B
U R2 L U' F B L'
U R2 L U' B F L'
F' U' L' U R U2 R'
F U' R U L' D2 B2
F U' R U D2 L' B2
F U' R U D2 B2 L'
F U' R U' F2 R U2
F U' R D' L2 U L
F U' R D2 U L' B2
F U' R D2 U B2 L'
F U' D' L2 R U L
F U' D' R L2 U L
F U' D2 R U L' B2
F U' D2 R U B2 L'
F' U2 L D F2 L' R
F' U2 L D F2 R L'
F2 U2 F U' L' B' U'
R F R U L' B R2
R F R U B L' R2
R F R U B R2 L'
F U2 F2 R U' L' U'
F' D R U' L' U' R'
F2 D F R U2 F' R'
L' F' R U' L' U' R'
U' F' R B U B' U
F2 D F' D2 L' F B2
F2 D F' D2 L' B2 F
F2 D F' D2 B2 L' F
U2 F' R U R' U F'
U2 F' R U' L U' F
L2 F' R U' L' U' R'
U2 F' R B U' L U'
U2 F' R B' U R' U
L F' R U' L' U' R'
U2 F' U2 F2 D' L' F
F2 D' L' F' L' F2 B'
F2 D' L' F' L' B' F2
F D' L' U' L' R U
F D' L' U' R L' U
F' D' R U' L' U' R'
F D' L2 R U L R'
F D' L2 R U R' L
F D' R L2 U L R'
F D' R L2 U R' L
U2 F' B R U' L U'
U2 F' B' R U R2 U
U2 F' B' R U2 D' F2
U2 F' B' R D B2 U2
U2 F' B' R D' U2 F2
U2 F' B2 D' R U2 F'
F D' U' L2 R U L
F D' U' R L2 U L
F2 D' F' L' D2 F B2
F2 D' F' L' D2 B2 F
D' F2 D' L2 B' L F
F D2 L' U' R U B2
F' D2 R U' L' U' R'
F D2 L' B2 U' R U
D F2 D' L' F L' B'
F D2 R U L' R' B2
F D2 R U R' L' B2
F D2 R U R' B2 L'
F D2 U' R U L' B2
F D2 U' R U B2 L'
F D2 B2 L' U' R U
F D2 B2 U' R U L'
F' B R U' L' U' R'
U2 B F' R U' L U'
B' F' R U' L' U' R'
F' B' R U' L' U' R'
B2 F' R U' L' U' R'
B F' R U' L' U' R'
U2 B' F' R U R2 U
U2 B' F' R U2 D' F2
U2 B' F' R D B2 U2
U2 B' F' R D' U2 F2
F' B2 R U' L' U' R'
U2 B2 F' D' R U2 F'
