B R' F' U B
B L R' F' U B
B L' R' F' U B
B L2 R' F' U B
B R' L F' U B
B R' L' F' U B
B R' L2 F' U B
B R' D F' U B
B R' D' F' U B
B R' D2 F' U B
B R' F' L U B
B R' F' L' U B
B R' F' L2 U B
B R' F' U D B
B R' F' U D' B
B R' F' U D2 B
B R' F' U B D
B R' F' U B D'
B R' F' U B D2
B R' F' D U B
B R' F' D' U B
B R' F' D2 U B
L' B R' F' U B
U' B R' U L B
U2 B R' U B L
L2 B R' F' U B
L B R' F' U B
F' B R' F' U B
F2 B R' F' U B
B F R' F' U B
F B R' F' U B
B F' R' F' U B
B F2 R' F' U B
B L R' D F' U B
B L R' D' F' U B
B L R' D2 F' U B
B L R' F' L U B
B L R' F' L' U B
B L R' F' L2 U B
B L R' F' U D B
B L R' F' U D' B
B L R' F' U D2 B
B L R' F' U B D
B L R' F' U B D'
B L R' F' U B D2
B L R' F' D U B
B L R' F' D' U B
B L R' F' D2 U B
B L F R' F' U B
U2 L F B R' U B
B L F' R' F' U B
B L F2 R' F' U B
F' L B R' F' U B
U' L B R' U L B
F2 L B R' F' U B
U2 L B R' F U B
F L B R' F' U B
U2 L B F R' U B
B L' R' D F' U B
B L' R' D' F' U B
B L' R' D2 F' U B
B L' R' F' L U B
B L' R' F' L' U B
B L' R' F' L2 U B
B L' R' F' U D B
B L' R' F' U D' B
B L' R' F' U D2 B
B L' R' F' U B D
B L' R' F' U B D'
B L' R' F' U B D2
B L' R' F' D U B
B L' R' F' D' U B
B L' R' F' D2 U B
B L' F R' F' U B
B L' F' R' F' U B
B L' F2 R' F' U B
F' L' B R' F' U B
U' L' B R' U L B
F2 L' B R' F' U B
F L' B R' F' U B
B L2 R' D F' U B
B L2 R' D' F' U B
B L2 R' D2 F' U B
B L2 R' F' L U B
B L2 R' F' L' U B
B L2 R' F' L2 U B
B L2 R' F' U D B
B L2 R' F' U D' B
B L2 R' F' U D2 B
B L2 R' F' U B D
B L2 R' F' U B D'
B L2 R' F' U B D2
B L2 R' F' D U B
B L2 R' F' D' U B
B L2 R' F' D2 U B
B L2 F R' F' U B
B L2 F' R' F' U B
B L2 F2 R' F' U B
U' L2 B R' U L B
F' L2 B R' F' U B
F2 L2 B R' F' U B
F L2 B R' F' U B
B R' L D F' U B
B R' L D' F' U B
B R' L D2 F' U B
B R' L F' L U B
B R' L F' L' U B
B R' L F' L2 U B
B R' L F' U D B
B R' L F' U D' B
B R' L F' U D2 B
B R' L F' U B D
B R' L F' U B D'
B R' L F' U B D2
B R' L F' D U B
B R' L F' D' U B
B R' L F' D2 U B
B R' L' D F' U B
B R' L' D' F' U B
B R' L' D2 F' U B
B R' L' F' L U B
B R' L' F' L' U B
B R' L' F' L2 U B
B R' L' F' U D B
B R' L' F' U D' B
B R' L' F' U D2 B
B R' L' F' U B D
B R' L' F' U B D'
B R' L' F' U B D2
B R' L' F' D U B
B R' L' F' D' U B
B R' L' F' D2 U B
B R' L2 D F' U B
B R' L2 D' F' U B
B R' L2 D2 F' U B
B R' L2 F' L U B
B R' L2 F' L' U B
B R' L2 F' L2 U B
B R' L2 F' U D B
B R' L2 F' U D' B
B R' L2 F' U D2 B
B R' L2 F' U B D
B R' L2 F' U B D'
B R' L2 F' U B D2
B R' L2 F' D U B
B R' L2 F' D' U B
B R' L2 F' D2 U B
B R' U B U' F' U
L' U' B R' U L B
L2 U' B R' U L B
L U' B R' U L B
B R' D L F' U B
B R' D L' F' U B
B R' D L2 F' U B
B R' D F' L U B
B R' D F' L' U B
B R' D F' L2 U B
B R' D F' U D B
B R' D F' U D' B
B R' D F' U D2 B
B R' D F' U B D
B R' D F' U B D'
B R' D F' U B D2
B R' D F' D U B
B R' D F' D' U B
B R' D F' D2 U B
B R' D' L F' U B
B R' D' L' F' U B
B R' D' L2 F' U B
B R' D' F' L U B
B R' D' F' L' U B
B R' D' F' L2 U B
B R' D' F' U D B
B R' D' F' U D' B
B R' D' F' U D2 B
B R' D' F' U B D
B R' D' F' U B D'
B R' D' F' U B D2
B R' D' F' D U B
B R' D' F' D' U B
B R' D' F' D2 U B
B R' D2 L F' U B
B R' D2 L' F' U B
B R' D2 L2 F' U B
B R' D2 F' L U B
B R' D2 F' L' U B
B R' D2 F' L2 U B
B R' D2 F' U D B
B R' D2 F' U D' B
B R' D2 F' U D2 B
B R' D2 F' U B D
B R' D2 F' U B D'
B R' D2 F' U B D2
B R' D2 F' D U B
B R' D2 F' D' U B
B R' D2 F' D2 U B
B R' F L F2 U B
B R' F L' F2 U B
B R' F L2 F2 U B
B R' F U D' L2 B
B R' F U D' B L2
B R' F U B D' L2
B R' F D' U L2 B
B R' F D' U B L2
B R' F' L U D B
B R' F' L U D' B
B R' F' L U D2 B
B R' F' L U B D
B R' F' L U B D'
B R' F' L U B D2
B R' F' L D U B
B R' F' L D' U B
B R' F' L D2 U B
B R' F' L' U D B
B R' F' L' U D' B
B R' F' L' U D2 B
B R' F' L' U B D
B R' F' L' U B D'
B R' F' L' U B D2
B R' F' L' D U B
B R' F' L' D' U B
B R' F' L' D2 U B
B R' F' L2 U D B
B R' F' L2 U D' B
B R' F' L2 U D2 B
B R' F' L2 U B D
B R' F' L2 U B D'
B R' F' L2 U B D2
B R' F' L2 D U B
B R' F' L2 D' U B
B R' F' L2 D2 U B
B' R' F' B2 R' U B'
B R' F' U L B L'
B R' F' U L2 B L2
B R' F' U D B D
B R' F' U D B D'
B R' F' U D B D2
B R' F' U D' B D
B R' F' U D' B D'
B R' F' U D' B D2
B R' F' U D2 B D
B R' F' U D2 B D'
B R' F' U D2 B D2
B R' F' U B2 D B'
B R' F' U B2 D' B'
B R' F' U B2 D2 B'
B R' F' U' F U2 B
B R' F' U' F' U2 B
B R' F' U' F2 U2 B
B2 R' F' B' R' U B2
B R' F' D L U B
B R' F' D L' U B
B R' F' D L2 U B
B R' F' D U B D
B R' F' D U B D'
B R' F' D U B D2
B R' F' D' L U B
B R' F' D' L' U B
B R' F' D' L2 U B
B R' F' D' U B D
B R' F' D' U B D'
B R' F' D' U B D2
B R' F' D2 L U B
B R' F' D2 L' U B
B R' F' D2 L2 U B
B R' F' D2 U B D
B R' F' D2 U B D'
B R' F' D2 U B D2
B R' F2 L' U B L
B R' F2 D F U B
B R' F2 D' F U B
B R' F2 D2 F U B
B2 R' B' F' R' U B2
B' R' B2 F' R' U B'
L' U2 B R' U B L
L2 U2 B R' U B L
L U2 B R' U B L
F' U' B R' U L B
F2 U' B R' U L B
F U' B R' U L B
F' U2 B R' U B L
F2 U2 B R' U B L
F U2 B R' U B L
B' U2 B2 R' U B L
U' F B R' U L B
L' F B R' F' U B
U2 F B R' U B L
L2 F B R' F' U B
L F B R' F' U B
R' F' R B R' U B
B2 D B' L R' F' U
B2 D B' R' L F' U
B2 D B' R' F' L U
U' F' B R' U L B
L' F' B R' F' U B
U2 F' B R' U B L
L2 F' B R' F' U B
B D' R' F L' F2 U
B D' R' F' U2 R U'
U F' B R' U L' B
U F' B R' U B L'
L F' B R' F' U B
B D' F L' R' F' U
B D' F R' L' F' U
B D' F2 R' F' L' U
B D2 L R' F' U B'
U' F2 B R' U L B
L' F2 B R' F' U B
B D2 R' L F' U B'
U2 F2 B R' U B L
L2 F2 B R' F' U B
B D2 R' F' L U B'
L F2 B R' F' U B
L' B L R' F' U B
U' B L' R' U L2 B
U' B L' R' U B L2
U2 B L R' F U B
L2 B L R' F' U B
L' B L' R' F' U B
U2 B L F R' U B
U' B L2 R' U L' B
