F L2 B' U R' F2
F L2 B' U F2 R'
U2 F L2 U R F2
F' D' L2 B' R' B'
U2 F' D' L2 B2 R'
F' D' B' R' B' L2
B' F L2 U R' F2
B' F L2 U F2 R'
B F L2 U F2 R
F B L2 U F2 R
F' B D' B2 L2 R'
F' B D' B2 R' L2
F' B' R' D' L2 B2
F' B' R' D' B2 L2
B' F' R' D' L2 B2
F B' L2 U R' F2
B' F' R' D' B2 L2
F B' L2 U F2 R'
F' B' D' L2 R' B2
F' B' D' R' L2 B2
F' B' D' R' B2 L2
B' F' D' L2 R' B2
B' F' D' R' L2 B2
B' F' D' R' B2 L2
B F' D' B2 L2 R'
B F' D' B2 R' L2
F' L' U' L' F2 B' U
F' L' U' L' B' F2 U
F L' B' L' U R' F2
F L' B' L' U F2 R'
F L2 R B' U R' F2
F L2 R B' U F2 R'
F L2 R' B' U R' F2
F L2 R' B' U F2 R'
F L2 R2 B' U R' F2
F L2 R2 B' U F2 R'
F L2 U2 F U' R F
U2 L2 U2 B' U' F' R'
F L2 D R2 B' U R'
F L2 D B' R2 U R
F' L2 F2 B' U R' F2
F' L2 F2 B' U F2 R'
F L2 B U' L U2 F2
D' L2 B' U' F' R' B'
F L2 B' R U R2 F2
F L2 B' R U F2 R2
F L2 B' R2 U R F2
F' L2 B' F2 U R' F2
F' L2 B' F2 U F2 R'
F L2 B' U R F2 R2
F L2 B' U R' F2 D
F L2 B' U R' F2 D'
F L2 B' U R' F2 D2
F L2 B' U F R' F
F L2 B' U F2 R' D
F L2 B' U F2 R' D'
F L2 B' U F2 R' D2
F L2 B' U F2 D R'
F L2 B' U F2 D' R'
F L2 B' U F2 D2 R'
F L2 B' D R2 U R
R U F L2 R B U
R U F R L2 B U
R U F R B L2 U
F R L2 B' U R' F2
F R L2 B' U F2 R'
F' R D' L2 B' R' B'
F' R D' B' R' B' L2
F' R B D' B2 L2 R'
F' R B D' B2 R' L2
F R B L2 U F2 R
F' R B' R' D' L2 B2
F' R B' R' D' B2 L2
F' R B' D' L2 R' B2
F' R B' D' R' L2 B2
F' R B' D' R' B2 L2
F R B' L2 U R' F2
F R B' L2 U F2 R'
F R' L2 B' U R' F2
F R' L2 B' U F2 R'
F' R' D' L2 B' R' B'
F' R' D' B' R' B' L2
U2 R' F L2 U R F'
F' R' B D' B2 L2 R'
F' R' B D' B2 R' L2
F R' B L2 U F2 R
F' R' B' R' D' L2 B2
F' R' B' R' D' B2 L2
F' R' B' D' L2 R' B2
F' R' B' D' R' L2 B2
F' R' B' D' R' B2 L2
F R' B' L2 U R' F2
F R' B' L2 U F2 R'
R' U2 F L2 U R F'
L2 U2 F B' U' R F2
F R2 L2 B' U R' F2
F R2 L2 B' U F2 R'
L2 U2 B' F U' R F2
F' R2 D' L2 B' R' B'
F' R2 D' B' R' B' L2
F' R2 B D' B2 L2 R'
F' R2 B D' B2 R' L2
F R2 B L2 U F2 R
F' R2 B' R' D' L2 B2
F' R2 B' R' D' B2 L2
F' R2 B' D' L2 R' B2
F' R2 B' D' R' L2 B2
F' R2 B' D' R' B2 L2
F R2 B' L2 U R' F2
F R2 B' L2 U F2 R'
B' U F L2 U R' F2
B' U F L2 U F2 R'
B U F L2 U F2 R
B' U F' R' D' L2 B2
B' U F' R' D' B2 L2
B' U F' D' L2 R' B2
B' U F' D' R' L2 B2
B' U F' D' R' B2 L2
B U F' D' B2 L2 R'
B U F' D' B2 R' L2
F' U' L' B' L' F2 U
U2 D' F U R F2 B2
U2 D' F U R B2 F2
U2 D' F U B2 R F2
B' U' F L2 U R' F2
B' U' F L2 U F2 R'
B U' F L2 U F2 R
B' U' F' R' D' L2 B2
B' U' F' R' D' B2 L2
B' U' F' D' L2 R' B2
B' U' F' D' R' L2 B2
B' U' F' D' R' B2 L2
F' U' F2 L' B' L' U
B U' F' D' B2 L2 R'
B U' F' D' B2 R' L2
D' U2 F U R F2 B2
D' U2 F U R B2 F2
D' U2 F U B2 R F2
B' U2 F L2 U R' F2
B' U2 F L2 U F2 R'
U' F L' B' L' U F2
F2 U2 F R D' L2 B2
F2 U2 F R D' B2 L2
F2 U2 F D' L2 R B2
F2 U2 F D' L2 B2 R
F2 U2 F D' R L2 B2
F2 U2 F D' R B2 L2
U2 F L2 R' U R2 F2
U2 F L2 R' U F2 R2
F2 U2 F D' B2 L2 R
F2 U2 F D' B2 R L2
U2 F L2 R2 U R' F2
U2 F L2 R2 U F2 R'
B' U2 F' R' D' L2 B2
B' U2 F' R' D' B2 L2
U2 F L2 U R F2 D
U2 F L2 U R F2 D'
U2 F L2 U R F2 D2
U2 F L2 U R' F2 R2
U2 F L2 U R2 F2 R'
B U2 F L2 U F2 R
U2 F L2 D R2 U R'
B' U2 F' D' L2 R' B2
B' U2 F' D' R' L2 B2
B' U2 F' D' R' B2 L2
U2 F L2 B U R F2
U2 F L2 B' U R F2
U2 F L2 B2 U R F2
U F L2 R B U F2
U F L2 U F R F
U2 F R F2 D' L2 B2
U2 F R F2 D' B2 L2
B U2 F' D' B2 L2 R'
B U2 F' D' B2 R' L2
U2 F R' L2 U R2 F2
U2 F R' L2 U F2 R2
U F R L2 B U F2
U F R B L2 U F2
U2 F R2 L2 U R' F2
U2 F R2 L2 U F2 R'
U2 F U R F2 D' B2
U2 F B L2 U R F2
D' F B' U R' F2 B'
D' F B' U R' B' F2
D' F B' U F2 R' B'
U2 F B' L2 U R F2
L2 F B' U R' F2 L'
U2 F B2 L2 U R F2
F2 D F D' L2 B' R'
U2 F' R D' L2 B2 R'
U2 F' R' D' L2 B2 R'
F' D B D2 B2 L2 R'
F' D B D2 B2 R' L2
F' D B' R' D2 B2 L
U2 F' R2 D' L2 B2 R'
F' D B' D2 L2 R' B2
F' D B' D2 R' L2 B2
F' D B' D2 R' B2 L2
U2 F' U' F2 L2 U R
F' D' L' B' R' B' L'
F' D' L2 R B' R' B'
F' D' L2 R' B' R' B'
F' D' L2 R2 B' R' B'
F' D' L2 B' R B' R2
F' D' L2 B' R' D B'
F' D' L2 B' R' D' B'
F' D' L2 B' R' D2 B'
F' D' L2 B' R' B' D
F' D' L2 B' R' B' D'
F' D' L2 B' R' B' D2
F' D' L2 B' R2 B' R
F' D' L2 B' D R' B'
F' D' L2 B' D' R' B'
F' D' L2 B' D2 R' B'
F' D' R L2 B' R' B'
U2 F' D' L2 R B2 R'
U2 F' D' L2 R' B2 R'
U2 F' D' L2 R2 B2 R'
U2 F' D' L2 B2 R' D
U2 F' D' L2 B2 R' D'
U2 F' D' L2 B2 R' D2
U2 F' D' L2 B2 D R'
U2 F' D' L2 B2 D' R'
U2 F' D' L2 B2 D2 R'
U2 F' D' R L2 B2 R'
U2 F' D' R' L2 B2 R'
U2 F' D' R2 L2 B2 R'
F' D' R B' R' B' L2
F' D' R' L2 B' R' B'
F' D' R' B' R' B' L2
F' D' R2 L2 B' R' B'
D' F' B' R' D' B' L2
D' F' B' R' B' D' L2
D2 F' B' D R' B2 L
U2 F' B D' L2 B2 R'
D' F' B' D' R' B' L2
F' D' R2 B' R' B' L2
U2 F' B' D' L2 B2 R'
U2 F' B2 D' L2 B2 R'
B' D' F U R' F2 B2
B' D' F U R' B2 F2
B' D' F U F2 R' B2
B' D' F' R' B2 D' L2
B D' F U F2 B2 R'
B D' F U B2 R' F2
B D' F U B2 F2 R'
B D' F' B2 R' D' L2
B D' F' B2 D' L2 R'
B D' F' B2 D' R' L2
F' D' B' R B' L2 R2
F' D' B' R B' R2 L2
F' D' B' R' B L2 B2
F' D' B' R' B' L2 D
F' D' B' R' B' L2 D'
F' D' B' R' B' L2 D2
F' D' B' R' B2 L2 B
F' D' B' R2 B' L2 R
F' D' B' R2 B' R L2
F' D' B2 L2 B R' B'
B D' B2 F' R' D' L2
B D' B2 F' D' L2 R'
B D' B2 F' D' R' L2
D F2 U2 F R D' L2
D F2 U2 F D' L2 R
D F2 U2 F D' R L2
B' D2 F' D R' B2 L
B' F L2 R U R2 F2
B' F L2 R U F2 R2
B' F L2 R2 U R F2
B' F L2 U R F2 R2
B' F L2 U R' F2 D
B' F L2 U R' F2 D'
B' F L2 U R' F2 D2
B' F L2 U F R' F
B' F L2 U F2 R' D
B' F L2 U F2 R' D'
B' F L2 U F2 R' D2
B' F L2 U F2 D R'
B' F L2 U F2 D' R'
B' F L2 U F2 D2 R'
B' F L2 D R2 U R
L2 B U2 B2 U' F' R'
B' F R L2 U R2 F2
B' F R L2 U F2 R2
F' B L2 F2 U R F2
B2 F L2 B U R' F2
B2 F L2 B U F2 R'
B F L2 R U F2 R
B F L2 R' U F2 R
B F L2 R2 U F2 R
B F L2 U R F2 R
B F L2 U R' F2 R
B F L2 U R2 F2 R
B F L2 U F2 R D
B F L2 U F2 R D'
B F L2 U F2 R D2
B F L2 U F2 D R
B F L2 U F2 D' R
B F L2 U F2 D2 R
B F L2 U' L' U2 F2
F' B R D' B2 L2 R'
F' B R D' B2 R' L2
F B L2 R U F2 R
F B L2 R' U F2 R
F B L2 R2 U F2 R
F B L2 U R F2 R
F B L2 U R' F2 R
F B L2 U R2 F2 R
F B L2 U F2 R D
F B L2 U F2 R D'
F B L2 U F2 R D2
F B L2 U F2 D R
F B L2 U F2 D' R
F B L2 U F2 D2 R
F B L2 U' L' U2 F2
B F L2 B U F2 R
B F L2 B' U F2 R
B F L2 B2 U F2 R
B F R L2 U F2 R
B' F R' F2 D' L2 B2
B' F R' F2 D' B2 L2
F B L2 B U F2 R
F' B R' D' B2 L2 R'
F' B R' D' B2 R' L2
F B L2 B' U F2 R
F B L2 B2 U F2 R
B' F R2 L2 U R F2
F B R L2 U F2 R
U2 B F L2 U R F2
B F R' L2 U F2 R
F' B R2 D' B2 L2 R'
F' B R2 D' B2 R' L2
F B R' L2 U F2 R
B' F U R' F2 D' B2
B F R2 L2 U F2 R
B' F U F2 R' D' B2
B' F U F2 D' R' B2
U2 B F' D' L2 B2 R'
F B R2 L2 U F2 R
F' B U' L2 F2 U R
B F U F2 D' B2 R'
F B U F2 D' B2 R'
F' B D' R B2 L2 R'
F' B D' R B2 R' L2
F' B D' R' B2 L2 R'
F' B D' R' B2 R' L2
F' B D' R2 B2 L2 R'
F' B D' R2 B2 R' L2
F' B D' B L2 B R'
F' B D' B2 L2 R' D
F' B D' B2 L2 R' D'
F' B D' B2 L2 R' D2
F' B D' B2 L2 D R'
F' B D' B2 L2 D' R'
F' B D' B2 L2 D2 R'
F' B D' B2 R' L2 D
F' B D' B2 R' L2 D'
F' B D' B2 R' L2 D2
R B' R' F' D' L2 B2
R B' R' F' D' B2 L2
L2 B' U F R' F2 L'
B' F' L2 F2 U R' F2
B' F' L2 F2 U F2 R'
F' B' L2 F2 U R' F2
F' B' L2 F2 U F2 R'
F B' L2 R U R2 F2
F B' L2 R U F2 R2
B' F' R' U' L2 F2 U
F B' L2 R2 U R F2
B' F' R' U' F2 L2 U
F B' L2 U R F2 R2
F B' L2 U R' F2 D
F B' L2 U R' F2 D'
F B' L2 U R' F2 D2
B F' L2 F2 U R F2
F B' L2 U F R' F
F B' L2 U F2 R' D
F B' L2 U F2 R' D'
F B' L2 U F2 R' D2
F B' L2 U F2 D R'
F B' L2 U F2 D' R'
F B' L2 U F2 D2 R'
B' F' R' D' L' B2 L'
B' F' R' D' L2 B2 D
B' F' R' D' L2 B2 D'
B' F' R' D' L2 B2 D2
B' F' R' D' B L2 B
B' F' R' D' B2 L2 D
B' F' R' D' B2 L2 D'
B' F' R' D' B2 L2 D2
F B' L2 D R2 U R
F' B' R' U' L2 F2 U
F' B' R' U' F2 L2 U
B' F' R' B D' L2 B2
B' F' R' B D' B2 L2
F' B' R' D' L' B2 L'
F' B' R' D' L2 B2 D
F' B' R' D' L2 B2 D'
F' B' R' D' L2 B2 D2
B' F' R' B' D' L2 B2
B' F' R' B' D' B2 L2
F' B' R' D' B L2 B
F' B' R' D' B2 L2 D
F' B' R' D' B2 L2 D'
F' B' R' D' B2 L2 D2
B' F' R' B2 D' L2 B2
B' F' R' B2 D' B2 L2
B F' R D' B2 L2 R'
B F' R D' B2 R' L2
F2 B' R' D' F L' B2
F2 B' R' D' F B2 L'
F2 B' R' D' B2 F L'
F' B' R' B D' L2 B2
F' B' R' B D' B2 L2
F B' R L2 U R2 F2
F B' R L2 U F2 R2
F' B' R' B' D' L2 B2
F' B' R' B' D' B2 L2
F' B' R' B2 D' L2 B2
F' B' R' B2 D' B2 L2
B' F' R2 D' L2 R B2
B' F' R2 D' L2 B2 R
B' F' R2 D' R L2 B2
B' F' R2 D' R B2 L2
B' F' R2 D' B2 L2 R
B' F' R2 D' B2 R L2
F' B' R2 D' L2 R B2
F' B' R2 D' L2 B2 R
F' B' R2 D' R L2 B2
F' B' R2 D' R B2 L2
F' B' R2 D' B2 L2 R
F' B' R2 D' B2 R L2
B F' R' D' B2 L2 R'
B F' R' D' B2 R' L2
F B' R' F2 D' L2 B2
F B' R' F2 D' B2 L2
B F' R2 D' B2 L2 R'
B F' R2 D' B2 R' L2
B' F' U' L2 F2 U R'
F B' R2 L2 U R F2
F' B' U' L2 F2 U R'
D' B' F U R' F2 B'
D' B' F U R' B' F2
D' B' F U F2 R' B'
B' F' U' F2 L2 U R'
U2 B' F L2 U R F2
F' B' U' F2 L2 U R'
D' B' F' R' D' B' L2
D' B' F' R' B' D' L2
L2 B' F U R' F2 L'
F B' U R' F2 D' B2
D2 B' F' D R' B2 L
D' B' F' D' R' B' L2
B F' U' L2 F2 U R
F B' U F2 R' D' B2
F B' U F2 D' R' B2
B' F' D R' D2 B2 L
U2 B' F' D' L2 B2 R'
F' B' D R' D2 B2 L
B' F' D' L' R' B2 L'
B' F' D' L2 R B2 R2
B' F' D' L2 R' B2 D
B' F' D' L2 R' B2 D'
B' F' D' L2 R' B2 D2
B' F' D' L2 R2 B2 R
B' F' D' R L2 B2 R2
B' F' D' R B2 L2 R2
B' F' D' R B2 R2 L2
B' F' D' R' L' B2 L'
B' F' D' R' L2 B2 D
B' F' D' R' L2 B2 D'
B' F' D' R' L2 B2 D2
B' F' D' R' B L2 B
B' F' D' R' B2 L2 D
B' F' D' R' B2 L2 D'
B' F' D' R' B2 L2 D2
B' F' D' R2 L2 B2 R
B' F' D' R2 B2 L2 R
B' F' D' R2 B2 R L2
F' B' D' L' R' B2 L'
F' B' D' L2 R B2 R2
F' B' D' L2 R' B2 D
F' B' D' L2 R' B2 D'
F' B' D' L2 R' B2 D2
F' B' D' L2 R2 B2 R
F' B' D' R L2 B2 R2
F' B' D' R B2 L2 R2
F' B' D' R B2 R2 L2
F' B' D' R' L' B2 L'
F' B' D' R' L2 B2 D
F' B' D' R' L2 B2 D'
F' B' D' R' L2 B2 D2
F' B' D' R' B L2 B
F' B' D' R' B2 L2 D
F' B' D' R' B2 L2 D'
F' B' D' R' B2 L2 D2
F' B' D' R2 L2 B2 R
F' B' D' R2 B2 L2 R
F' B' D' R2 B2 R L2
B F' D' R B2 L2 R'
B F' D' R B2 R' L2
B F' D' R' B2 L2 R'
B F' D' R' B2 R' L2
B F' D' R2 B2 L2 R'
B F' D' R2 B2 R' L2
B F' D' B L2 B R'
B F' D' B2 L2 R' D
B F' D' B2 L2 R' D'
B F' D' B2 L2 R' D2
B F' D' B2 L2 D R'
B F' D' B2 L2 D' R'
B F' D' B2 L2 D2 R'
B F' D' B2 R' L2 D
B F' D' B2 R' L2 D'
B F' D' B2 R' L2 D2
B' F2 R' D' F L' B2
B' F2 R' D' F B2 L'
B' F2 R' D' B2 F L'
F B2 L2 B U R' F2
F B2 L2 B U F2 R'
L2 B2 U2 B U' F' R'
D' B2 D2 F' R D' L2
D' B2 D2 F' D' L2 R
D' B2 D2 F' D' R L2
U2 B2 F L2 U R F2
U2 B2 F' D' L2 B2 R'
