U R B U' F R F'
B R2 U' R' F' U' L
F R2 D F' R' B L
B U F2 L' B' U L2
B U' R' F' R2 U' L
B U2 L B' R' D B2
R F B U' L R F'
R F B U' R L F'
R F B U' R F' L
F D' B U2 L R B'
F D' B U2 L B' R
F D' B U2 R L B'
U2 B L U' R B U'
R B F U' L R F'
R B F U' R L F'
R B F U' R F' L
B F U2 R D' L B'
B F U2 D' L R B'
B F U2 D' L B' R
B F U2 D' R L B'
F B U2 R D' L B'
F B U2 D' L R B'
F B U2 D' L B' R
F B U2 D' R L B'
B F D' U2 L R B'
B F D' U2 L B' R
B F D' U2 R L B'
F B D' U2 L R B'
F B D' U2 L B' R
F B D' U2 R L B'
