B2 U' L B U F
R' L U' D L' F R
R' L D U' L' F R
R' L B' L F U' L2
B2 L B U L' D F2
B2 L B U2 L U' L2
B2 L B' R' B2 U L'
L R' U' D L' F R
L R' D U' L' F R
B' L' U D L F2 B'
B' L' U D L B' F2
B' L' U D F2 L B'
L2 R' F B' L U' L
B' L' D U L F2 B'
B' L' D U L B' F2
B' L' D U F2 L B'
L R' B' L F U' L2
L2 R' B' F L U' L
U' L' B2 L B' R' U
D2 L2 R' F L' U' L'
R' L2 F B' L U' L
U L2 R' D2 F L' U'
R' L2 B' F L U' L
D2 L2 F L' R' U' L'
U L2 D2 R' F L' U'
D2 L2 F R' L' U' L'
U L2 D2 F L' R' U'
U L2 D2 F R' L' U'
U' R B R' B2 L U
D' R B D' F' R2 B
U' R B' U2 L R2 U'
U' R B' U2 R2 L U'
D2 R' L2 F L' U' L'
U R' L2 D2 F L' U'
R' U' B R' B2 U B
R U' B R' B2 L U
R' U' B' U2 L U' B
R2 U' B' U2 L R U'
R2 U' B' U2 R L U'
U R' U2 B R' B2 U
U R' U2 B' U2 L U'
R U' B' U2 L R2 U'
R U' B' U2 R2 L U'
U R' D2 L2 F L' U'
B R' B L B U L'
R' U2 B' U2 L U' L'
L D R' U' L' F R
U' R2 B' U2 L R U'
U' R2 B' U2 R L U'
D2 U L2 R' F L' U'
D2 U L2 F L' R' U'
D2 U L2 F R' L' U'
D2 U R' L2 F L' U'
B2 U' L R' U F R
B2 U' L D B U F
B2 U' L D' B U F
B2 U' L D2 B U F
B2 U' L B R U F
B2 U' L B R' U F
B2 U' L B R2 U F
B2 U' L B U D F
B2 U' L B U D' F
B2 U' L B U D2 F
B2 U' L B U F D
B2 U' L B U F D'
B2 U' L B U F D2
B2 U' L B D U F
B2 U' L B D' U F
B2 U' L B D2 U F
B U' L' R' B2 U B
B2 U' L2 B L' U F
B2 U' R' L U F R
B U' R' L' B2 U B
B U' R' B2 L' U B'
B2 U' D L B U F
B2 U' D' L B U F
B2 U' D2 L B U F
R' D2 L2 F L' U' L'
U D2 L2 R' F L' U'
U D2 L2 F L' R' U'
U D2 L2 F R' L' U'
U D2 R' L2 F L' U'
L2 F R' B' L U' L
B2 D U' L B U F
B2 D' U' L B U F
B2 D2 U' L B U F
U' B R' B L B U
R' B U' R' B2 U B2
R B R' B2 L U L'
R B U' R' B2 L U
B2 F U' L B U F
R2 B' U L R U' R'
R2 B' U R L U' R'
U' B' U2 D L U' B'
R B' U L R2 U' R2
R B' U R2 L U' R2
U' B' D U2 L U' B'
U B' U2 L B R' U'
B2 F' U' L B U F
U' B2 L B U2 L U'
U' B2 L B' R' B2 U
F' B2 U' L B U F
B2 F2 U' L B U F
F2 B2 U' L B U F
F B2 U' L B U F
