D2 L' U' F B' R'
D2 L' U' B' R' F
D2 L' U' B' F R'
L U F U2 R F'
L' U' R F' B' R'
L' U' R B' F' R'
L' U' R2 B' R' F'
L' U' B' R F' R2
D' F L' U' B' R'
L' R U' F' B' D' R2
L' R U' B' D' F' R2
L' R U' B' F' D' R2
L' R U2 B U F' B2
L' R U2 B U B2 F'
F' L U F U2 R F'
D2 L U F B' U2 R
F2 L U F U2 R F'
F L U F U2 R F'
D2 L U B' F U2 R
R' L F' U F2 B U2
R' L F' U B F2 U2
R' L F' D R2 U' F'
R L' U' F' B' D' R2
R L' U' B' D' F' R2
R L' U' B' F' D' R2
R L' U2 B U F' B2
R L' U2 B U B2 F'
U2 L' R B' U F' B2
U2 L' R B' U B2 F'
D2 L' R' F' U' F2 B'
D2 L' R' F' U' B' F2
D2 L' U' R F B' R'
D2 L' U' R B' R' F
D2 L' U' R B' F R'
F' L' U' R F' B' R'
D2 L' U' R' F B' R'
F' L' U' R B' F' R'
D2 L' U' R' B' R' F
D2 L' U' R' B' F R'
D2 L' U' R2 F B' R'
D2 L' U' R2 B' R' F
D2 L' U' R2 B' F R'
F2 L' U' R F' B' R'
F2 L' U' R B' F' R'
D2 L' U' D F B' R'
F' L' U' R2 B' R' F'
D2 L' U' D B' R' F
D2 L' U' D B' F R'
D2 L' U' D' F B' R'
D2 L' U' D' B' R' F
D2 L' U' D' B' F R'
D2 L' U' D2 F B' R'
D2 L' U' D2 B' R' F
D2 L' U' D2 B' F R'
F2 L' U' R2 B' R' F'
D2 L' U' F R B' R'
D2 L' U' F R' B' R'
F L' U' R F' B' R'
D2 L' U' F R2 B' R'
F L' U' R B' F' R'
D2 L' U' F D B' R'
D2 L' U' F D' B' R'
D2 L' U' F D2 B' R'
D2 L' U' F B' R' D
D2 L' U' F B' R' D'
D2 L' U' F B' R' D2
D2 L' U' F B' D R'
D2 L' U' F B' D' R'
D2 L' U' F B' D2 R'
D2 L' U' F' B' R' F2
F L' U' R2 B' R' F'
D2 L' U' B' R F R2
D2 L' U' B' R' D F
D2 L' U' B' R' D' F
D2 L' U' B' R' D2 F
D2 L' U' B' R' F D
D2 L' U' B' R' F D'
D2 L' U' B' R' F D2
D2 L' U' B' D R' F
D2 L' U' B' D F R'
D2 L' U' B' D' R' F
D2 L' U' B' D' F R'
D2 L' U' B' D2 R' F
D2 L' U' B' D2 F R'
D2 L' U' B' F R' D
D2 L' U' B' F R' D'
D2 L' U' B' F R' D2
D2 L' U' B' F D R'
D2 L' U' B' F D' R'
D2 L' U' B' F D2 R'
D2 L' U' B' F' R' F2
F' L' U' B' R F' R2
F2 L' U' B' R F' R2
R' L' F' R2 U' F' B'
R' L' F' R2 U' B' F'
F L' U' B' R F' R2
L' R' F' R2 U' F' B'
L' R' F' R2 U' B' F'
R' L' F' U B U2 B2
L' R' F' U B U2 B2
R' L' F' U' B' D2 F2
L' R' F' U' B' D2 F2
L R' F' U F2 B U2
L R' F' U B F2 U2
L R' F' D R2 U' F'
D2 L' D U' F B' R'
D2 L' D U' B' R' F
D2 L' D U' B' F R'
D2 L' D' U' F B' R'
D2 L' D' U' B' R' F
D2 L' D' U' B' F R'
D2 L' D2 U' F B' R'
D2 L' D2 U' B' R' F
D2 L' D2 U' B' F R'
D2 L' F' U' F2 B' R'
D2 L' F' U' B' R' F2
D2 L' F' U' B' F2 R'
D' L' F2 U' B' R' F'
D2 L' F2 U' F' B' R'
D2 L' F2 U' B' F' R'
U2 L' B' R U F' B
U2 L' B' R U B F'
L2 U L' F U2 R F'
L' U L2 F U2 R F'
L' U F U2 R F' B'
L' U F U2 R B' F'
L' U F U2 B' R F'
L U F L U2 R F'
L U F L' U2 R F'
L U F L2 U2 R F'
U2 R L' B' U F' B2
U2 R L' B' U B2 F'
L U F U2 R D F'
L U F U2 R D' F'
L U F U2 R D2 F'
L U F U2 R F' D
L U F U2 R F' D'
L U F U2 R F' D2
L U F B U2 R F'
L U F B' U2 R F'
L U F B2 U2 R F'
U2 R U F' B' R' B2
U2 R U B' F' R' B2
L U B F U2 R F'
L U B' F U2 R F'
L U B2 F U2 R F'
U' R F' U' L' B' U
L' U' R D F' B' R'
L' U' R D B' F' R'
L' U' R D' F' B' R'
L' U' R D' B' F' R'
L' U' R D2 F' B' R'
L' U' R D2 B' F' R'
L' U' R F B' R' F2
L' U' R F' R B' R'
L' U' R F' R' B' R'
L' U' R F' R2 B' R'
L' U' R F' D B' R'
L' U' R F' D' B' R'
L' U' R F' D2 B' R'
L' U' R F' B' R' D
L' U' R F' B' R' D'
L' U' R F' B' R' D2
L' U' R F' B' D R'
L' U' R F' B' D' R'
L' U' R F' B' D2 R'
L' U' R F2 B' R' F
L' U' R B' D F' R'
L' U' R B' D' F' R'
L' U' R B' D2 F' R'
L' U' R B' F R' F2
L' U' R B' F' R' D
L' U' R B' F' R' D'
L' U' R B' F' R' D2
L' U' R B' F' D R'
L' U' R B' F' D' R'
L' U' R B' F' D2 R'
L' U' R B' F2 R' F
L' U' R' B' R' D2 F2
L' U' R' B' D2 R' F2
L' U' R' B' D2 F2 R'
L' U' R2 D B' R' F'
L' U' R2 D' B' R' F'
L' U' R2 D2 B' R' F'
L' U' R2 F B' R' F'
L' U' R2 F' B' R' F'
L' U' R2 F2 B' R' F'
L' U' R2 B' R' D F'
