U' F' L' B2 U' B
U' F' B2 L' U' B'
U' B2 F' L' U' B'
B L R2 F' B U F2
B L R2 B F' U F2
B L U2 F' B U' F2
B L U2 B F' U' F2
B2 L D2 F' R U' F2
F' L B' R' B' U' F
U' L' F' B2 L' U' B
U' L' B2 F' L' U' B
B2 L2 D2 F' R U' F'
B R2 L F' B U F2
B R2 L B F' U F2
B R2 F' L B U F
D2 R2 F2 B L U F
D2 R2 B L F2 U F'
D R2 B L U F L
D2 R2 B F2 L U F
R2 D B L U F L
U' D F' L' U' B' L'
D U' F' L' U' B' L'
B' U' F' R' B' L' U'
R2 D2 F2 B L U F
R2 D2 B L F2 U F'
R2 D2 B F2 L U F
B' U2 F' R' B' U' F'
B2 D L F' U' F2 B'
B2 D L F' U' B' F2
U' F' L B2 L2 U' B'
U' F' L' R B2 U' B
U' F' L' R' B2 U' B
U' F' L' R2 B2 U' B
U' F' L' U' D B' L2
U' F' L' D U' B' L2
U' F' L' B2 U' D B
U' F' L' B2 U' D' B
U' F' L' B2 U' D2 B
U' F' L' B2 U' B D
U' F' L' B2 U' B D'
U' F' L' B2 U' B D2
U' F' L' B2 D U' B
U' F' L' B2 D' U' B
U' F' L' B2 D2 U' B
U' F' R L' B2 U' B
B2 D F' L U' F B'
B2 D F' L U' B' F
U' F' R B2 L' U' B'
U2 F' L2 B2 R' U' F'
U' F' R' L' B2 U' B
U' F' R' B2 L' U' B'
U' F' R2 L' B2 U' B
U' F' R2 B2 L' U' B'
U' F' D L' U' B' L'
U' F' B L' B U' B2
U' F' B2 L' R U' B'
U' F' B2 L' R' U' B'
U' F' B2 L' R2 U' B'
U' F' B2 L' U' D B'
U' F' B2 L' U' D' B'
U' F' B2 L' U' D2 B'
U' F' B2 L' U' B' D
U' F' B2 L' U' B' D'
U' F' B2 L' U' B' D2
U' F' B2 L' D U' B'
U' F' B2 L' D' U' B'
U' F' B2 L' D2 U' B'
U' F' B2 R L' U' B'
U' F' B2 R' L' U' B'
U' F' B2 R2 L' U' B'
U' F' B2 D L' U' B'
U' F' B2 D' L' U' B'
U' F' B2 D2 L' U' B'
L F' B' R' B' U' F2
B2 D2 L F' R U' F2
R2 B L R2 F' U F2
R2 B L U2 B U' F
B2 D2 F' L R U' F
B2 D2 F' R L U' F
R2 B R2 L F' U F2
R2 B R2 F' L U F
U' B F' L' B U' B2
L' B' U' F' R' B' U'
B' F' R' B' L U' F
F' B' R' B' L U' F
B2 F' D L U' F B'
B2 F' D L U' B' F
L B' F' R' B' U' F2
U' B2 D F' L' U' B'
U' B2 D' F' L' U' B'
U' B2 D2 F' L' U' B'
F' B2 D L U' F B'
F' B2 D L U' B' F
L2 B2 D2 F' R U' F'
U' B2 F' L' R U' B'
U' B2 F' L' R' U' B'
U' B2 F' L' R2 U' B'
U' B2 F' L' U' D B'
U' B2 F' L' U' D' B'
U' B2 F' L' U' D2 B'
U' B2 F' L' U' B' D
U' B2 F' L' U' B' D'
U' B2 F' L' U' B' D2
U' B2 F' L' D U' B'
U' B2 F' L' D' U' B'
U' B2 F' L' D2 U' B'
U' B2 F' R L' U' B'
U' B2 F' R' L' U' B'
U' B2 F' R2 L' U' B'
U' B2 F' D L' U' B'
U' B2 F' D' L' U' B'
U' B2 F' D2 L' U' B'
L B2 D2 F' R U' F2
