D R F2 L' B' R'
D L R2 F U2 F R
D L F R2 U2 F R
D L' R F2 B' L' R'
D L' R F2 B' R' L'
D L' R B' F2 L' R'
D L' R B' F2 R' L'
D L' R2 B' R' F2 L'
D2 L' D B' L2 R' F
D2 L' D B' L2 F R'
D2 L' D B' R' L2 F
D' L' D2 B' L' R' F2
D' L' D2 B' L' F2 R'
D' L' D2 B' R' L' F2
D L' D2 B' L2 R' F
D L' D2 B' L2 F R'
D L' D2 B' R' L2 F
B' L' F2 R U R2 B'
B' L' F2 R U B' R2
U L' F2 R B L U
D L' F2 D2 B' L2 R'
D L' F2 D2 B' R' L2
D L' F2 B' D2 L2 R'
D L' F2 B' D2 R' L2
D' L' B' L2 R' F L
D' L' B' L2 F L R'
D' L' B' L2 F R' L
D' L' B' R' L2 F L
D L' B' R F2 L' R2
D L' B' R F2 R2 L'
D L' B' F2 D2 L2 R'
D L' B' F2 D2 R' L2
D' L' B2 U2 L' B R'
D' L' B2 U2 B L' R'
D' L' B2 U2 B R' L'
D' L2 D2 F2 B' R' B
D' L2 D2 B' R' F2 B
D' L2 D2 B' R' B F2
D' L2 D2 B' F2 R' B
F L2 D2 B' U' R' B
F L2 B' U' D2 R' B
F L2 B' D2 U' R' B
D R L' F2 B' L' R'
D R L' F2 B' R' L'
D R L' B' F2 L' R'
D R L' B' F2 R' L'
L' U F2 R B U B2
D R F2 L' R B' R'
D R F2 L' R' B' R'
D R F2 L' R2 B' R'
D R F2 L' D B' R'
D R F2 L' D' B' R'
D R F2 L' D2 B' R'
D R F2 L' B' R' D
D R F2 L' B' R' D'
D R F2 L' B' R' D2
D R F2 L' B' D R'
D R F2 L' B' D' R'
D R F2 L' B' D2 R'
D R F2 R L' B' R'
D R F2 R' L' B' R'
D R F2 R2 L' B' R'
D R F2 D L' B' R'
D R F2 D' L' B' R'
D R F2 D2 L' B' R'
D R F2 B' L' R' B'
D R F2 B' R' L' B'
D R B' F2 L' R' B'
D R B' F2 R' L' B'
L' U' F2 R U B' R'
D R2 L F U2 F R
D R2 L' B' R' F2 L'
B' R2 D R F2 L' B'
D R2 U2 F R F B
D R2 U2 F R B F
D R2 F U2 F R B
R' D R F2 L' B' R'
R2 D R F2 L' B' R'
R D R F2 L' B' R'
D R2 B L F U2 F
D R2 B' R' F2 L' B'
F U L2 B' R' F' U'
U2 D' B' L2 F R B
D' U2 B' L2 F R B
L' D2 B2 L' U' B R'
L2 D2 B2 R' U' B R'
L2 D2 B2 U' R' B R'
L2 D2 B2 U' B R' B
U F L2 B' R' F' U'
D F R2 U2 F R B
B D L R2 F U2 F
B D L F R2 U2 F
B' D R F2 L' R2 B'
B' D R F2 L' B' R2
B' D R F2 R2 L' B'
B' D R2 U2 R F2 B
B' D R2 U2 R B F2
B D R2 L F U2 F
D F' R2 B L F U2
B D' L F B2 R' U2
B D' L B2 R' F U2
B D' L B2 F R' U2
B' D' L2 D2 R' F2 B
B' D' L2 D2 R' B F2
B' D' L2 D2 F2 R' B
D F2 L D2 L2 B' R'
D F2 L' D2 B' L2 R'
D F2 L' D2 B' R' L2
D F2 L' B' D2 L2 R'
D F2 L' B' D2 R' L2
L' F2 R B U B2 R'
L' F2 R B2 U B R'
B' D' B2 L F U2 L
L' F2 B R U B2 R'
D F2 D2 L' B' L' R'
D F2 D2 L' B' R' L'
D B L R2 F U2 F
D B L F R2 U2 F
D B R2 L F U2 F
L2 B D2 B2 U' R' B
L' B F2 R U B2 R'
D' B' L' R' B' L' F
D' B' L2 D2 R' F B
D' B' L2 D2 R' B F
D' B' L2 D2 F R' B
D' B' L2 F D2 R' B
D' B' R' L' B' L' F
L' B' R' U' F2 R U
D B' R F2 L' R2 B'
D B' R F2 L' B' R2
D B' R F2 R2 L' B'
D B' R2 U2 R F2 B
D B' R2 U2 R B F2
L' B' U' F2 R U R2
D' B2 U2 L2 R B R'
D' B2 U2 R L2 B R'
D' B2 U2 R B L2 R'
D' B2 U2 R B R' L2
