B2 L F L' R U'
B2 L F R L' U'
L F L' R B2 U'
L F L' B2 R U'
L F R L' B2 U'
L F R B2 L' U'
L F B2 L' R U'
L F B2 R L' U'
L B2 F L' R U'
L B2 F R L' U'
B2 L R F L' R U'
B2 L R F R L' U'
F L R F L2 B2 U'
F L R F B2 L2 U'
F L R B2 F L2 U'
B2 L R' F L' R U'
B2 L R' F R L' U'
B2 L R2 F L' R U'
B2 L R2 F R L' U'
R' L F L' R B2 U'
R' L F L' B2 R U'
R' L F R L' B2 U'
R2 L F L' R B2 U'
L R F L' R B2 U'
R' L F R B2 L' U'
B2 L D F R U' F'
R2 L F L' B2 R U'
L R F L' B2 R U'
R2 L F R L' B2 U'
R L F L' R B2 U'
L R F R L' B2 U'
R2 L F R B2 L' U'
L R F R B2 L' U'
R L F L' B2 R U'
R L F R L' B2 U'
R L F R B2 L' U'
R' L F B2 L' R U'
R' L F B2 R L' U'
R2 L F B2 L' R U'
L R F B2 L' R U'
R2 L F B2 R L' U'
L R F B2 R L' U'
R L F B2 L' R U'
R L F B2 R L' U'
B' L F L' R B' U'
B' L F L' B' R U'
B2 L F L' R U' D
B2 L F L' R U' D'
B2 L F L' R U' D2
B2 L F L' R D U'
B2 L F L' R D' U'
B2 L F L' R D2 U'
B2 L F L' D R U'
B2 L F L' D' R U'
B2 L F L' D2 R U'
B' L F R L' B' U'
D L F R U' L F'
D L F R U' F' L
B2 L F R L' U' D
B2 L F R L' U' D'
B2 L F R L' U' D2
B2 L F R L' D U'
B2 L F R L' D' U'
B2 L F R L' D2 U'
B2 L F R D L' U'
B L F L' B R U'
B2 L F R D' L' U'
B2 L F R D2 L' U'
B2 L F D L' R U'
B2 L F D R L' U'
B2 L F D' L' R U'
B2 L F D' R L' U'
B2 L F D2 L' R U'
B2 L F D2 R L' U'
B L F B L' R U'
B L F B R L' U'
R' L B2 F L' R U'
R' L B2 F R L' U'
L R B2 F L' R U'
R2 L B2 F L' R U'
L R B2 F R L' U'
R2 L B2 F R L' U'
R L B2 F L' R U'
R L B2 F R L' U'
B L B F L' R U'
B L B F R L' U'
F L B2 R F L2 U'
F' L' R D B' U L2
F' L' R D2 F2 B' U
F' L' R D2 B' F2 U
F' L' R B' U2 B' U'
F L' R B2 U2 B U
F L' R' B2 R2 F' U'
L R' F L' R B2 U'
L R' F L' B2 R U'
L R' F R L' B2 U'
L R' F R B2 L' U'
L R' F B2 L' R U'
L R' F B2 R L' U'
F' L' D R B' U L2
F' L' D B' R U L2
F' L' D2 R F2 B' U
F' L' D2 R B' F2 U
F' L' D2 B' R F2 U
L R' B2 F L' R U'
