D' L B' R2 F' U
D L2 F2 R F' U'
U2 D' L R2 B' U
U2 D' L B' R2 U
U2 D' R2 L B' U
D' U2 L R2 B' U
D' U2 L B' R2 U
D' U2 R2 L B' U
D' L R2 B' U2 B U'
F L U L2 B2 U2 B2
U2 L U F D2 F2 R
U2 L U F' R D2 F2
U2 L U F' D2 R F2
F' L U B2 U2 R B2
F' L U B2 U2 B2 R
F L U B2 L2 U2 B2
F L U' L2 B2 U2 L2
F L U' B2 L2 U2 L2
U2 L D2 B U R' F2
U2 L D2 B U F2 R'
D' L F B' R2 F' U
D' L F' B' R2 F' U
D' L F2 B' R2 F' U
U2 L B R2 U F' R
U2 L B U R2 F' R
D' L B' R2 D F' U
D' L B' R2 D' F' U
D' L B' R2 D2 F' U
D' L B' R2 F' U D
D' L B' R2 F' U D'
D' L B' R2 F' U D2
D' L B' R2 F' D U
D' L B' R2 F' D' U
D' L B' R2 F' D2 U
D' L B' F R2 F' U
D' L B' F' R2 F' U
D' L B' F2 R2 F' U
D' L' U2 L2 R2 B' U
D' L' U2 L2 B' R2 U
D' L' U2 R2 L2 B' U
D' L' D' F U' F B2
D' L' D' F U' B2 F
D L' D2 L' R2 F U'
D L' D2 L' F R2 U'
F' L' D2 R2 U' R' F2
D' L' D2 R2 F L2 U'
F' L' D2 R2 U' F2 R'
D' L' D2 F L2 R2 U'
D' L' D2 F R2 L2 U'
D L' D2 R2 L' F U'
D' L' F U' D' F2 B2
D' L' F U' D' B2 F2
D' L' F U2 L2 R2 U
D' L' F U2 R2 L2 U
D' L' F D' U' F2 B2
D' L' F D' U' B2 F2
D' L' F D2 L2 R2 U'
D' L' F D2 R2 L2 U'
F L' B2 D F2 U2 L2
F L' B2 D' R2 U2 B2
D L2 R F2 R F U'
D L2 R' U2 L' B U
D L2 R' U2 B L' U
D L2 R2 U2 L' B' U
D L2 F' R F' R U'
D L2 F2 R D F' U'
D L2 F2 R D' F' U'
D L2 F2 R D2 F' U'
D L2 F2 R F' U' D
D L2 F2 R F' U' D'
D L2 F2 R F' U' D2
D L2 F2 R F' D U'
D L2 F2 R F' D' U'
D L2 F2 R F' D2 U'
L U F L' B2 U2 B2
L U F B2 L' U2 B2
D R L2 F2 R F U'
L U F' B2 U2 R B2
L U F' B2 U2 B2 R
D' R U2 L R B' U
D' R U2 L B' R U
D' R U2 R L B' U
U2 R D' L R2 B' U
U2 R D' L B' R2 U
U2 R D' R2 L B' U
L U B2 F L' U2 B2
L U B2 F' U2 R B2
L U B2 F' U2 B2 R
D R F L2 F2 R U'
D R F' L2 U2 L' U
D R' L2 U2 L' B U
D R' L2 U2 B L' U
D' R' U2 L R' B' U
D' R' U2 R' L B' U
U2 R' D' L R2 B' U
U2 R' D' L B' R2 U
U2 R' D' R2 L B' U
R' U2 D' L R2 B' U
R' U2 D' L B' R2 U
R' U2 D' R2 L B' U
R2 U2 D' L R2 B' U
R2 U2 D' L B' R2 U
R2 U2 D' R2 L B' U
R U2 D' L R2 B' U
R U2 D' L B' R2 U
D' R2 L B' U2 B U'
R U2 D' R2 L B' U
D R2 L2 U2 L' B' U
U2 R2 D' L R2 B' U
U2 R2 D' L B' R2 U
U2 R2 D' R2 L B' U
R' D L2 F2 R F' U'
R2 D L2 F2 R F' U'
R D L2 F2 R F' U'
