F' U R F B
F' U R B F
B L F' U R F
U' L' F' U R B'
U' L' F' U B' R
F' U R D F B
F' U R D B F
F' U R D' F B
F' U R D' B F
F' U R D2 F B
F' U R D2 B F
F' U R F D B
F' U R F D' B
F' U R F D2 B
F' U R F B D
F' U R F B D'
F' U R F B D2
F' U R B D F
F' U R B D' F
F' U R B D2 F
F' U R B F D
F' U R B F D'
F' U R B F D2
F' U R2 F R' B
F' U D R F B
F' U D R B F
F' U D' R F B
F' U D' R B F
F' U D2 R F B
F' U D2 R B F
F' U B R F B
F' U B R B F
F' U B' R F B
F' U B' R B F
F' U B2 R F B
F' U B2 R B F
B U' L F' U R
B U' F' L U R
F' D U R F B
F' D U R B F
U' F' L' U R B'
U' F' L' U B' R
L' F' U R F B
L' F' U R B F
L2 F' U R F B
L2 F' U R B F
L F' U R F B
L F' U R B F
F' D' U R F B
F' D' U R B F
F' D2 U R F B
F' D2 U R B F
F' L U D2 R F' B
F' L U D2 R B F'
F' L D2 U R F' B
F' L D2 U R B F'
B L F' R' U R2 F
B L F' R' U F R2
U' L F' U R D2 B2
U' L F' U D2 R B2
U' L F' U D2 B2 R
B L F' R2 U R' F
B L F' R2 U F R'
U' L F' U' F2 L' U2
B L F' U R D F
B L F' U R D' F
B L F' U R D2 F
B L F' U R F D
B L F' U R F D'
B L F' U R F D2
B L F' U R' F R2
B L F' U R2 F R'
B L F' U D R F
B L F' U D' R F
B L F' U D2 R F
U' L F' D' L2 U R
U' L F' D2 U R B2
U' L F' D2 U B2 R
B L F' D U R F
B L F' D' U R F
B L F' D2 U R F
B L F' B U R F
B L F' B' U R F
B L F' B2 U R F
B L B F' U R F
B L B' F' U R F
B L B2 F' U R F
B L' U' L2 F' U R
B L' U' F' L2 U R
U' L' F' U R D B'
U' L' F' U R D' B'
U' L' F' U R D2 B'
U' L' F' U R B' D
U' L' F' U R B' D'
U' L' F' U R B' D2
U' L' F' U R' B' R2
U' L' F' U D R B'
U' L' F' U D B' R
U' L' F' U D' R B'
U' L' F' U D' B' R
U' L' F' U D2 R B'
U' L' F' U D2 B' R
U' L' F' U B R B2
U' L' F' U B' R D
U' L' F' U B' R D'
U' L' F' U B' R D2
U' L' F' U B' D R
U' L' F' U B' D' R
U' L' F' U B' D2 R
U' L' F' D U R B'
U' L' F' D U B' R
U' L' F' D' U R B'
U' L' F' D' U B' R
U' L' F' D2 U R B'
U' L' F' D2 U B' R
U' L' F' B U R B2
U' L' F' B U B2 R
U' L' F' B2 U B R
F' L' B L U R F
U' L' B F' U R B2
U' L' B F' U B2 R
U' L' B2 F' U B R
F' L2 U R B D2 F2
B L2 U' L' F' U R
F' L2 U' B' U2 R B
U' L2 F' L U R B'
U' L2 F' L U B' R
U R U' D2 B L R'
U R U' D2 B R' L
L' U' L' F' U R B'
L' U' L' F' U B' R
U R D2 U' B L R'
U R D2 U' B R' L
L2 U' L' F' U R B'
L2 U' L' F' U B' R
F2 R F U R F B
F2 R F U R B F
L U' L' F' U R B'
L U' L' F' U B' R
U R F' U' B L R
U R F' U' B R L
L' U' F' L' U R B'
L' U' F' L' U B' R
L2 U' F' L' U R B'
L2 U' F' L' U B' R
F' R' U R B R F
L U' F' L' U R B'
L U' F' L' U B' R
F' R' U F R B R
F2 R' F U R F B
F2 R' F U R B F
F R' F2 U R F' B
F R' F2 U R B F'
F' R2 U R F B R2
F' R2 U R B R2 F
F' R2 U R B F R2
F' R2 U R' F D2 B2
F' R2 U F R B R2
F2 R2 F U R F B
F2 R2 F U R B F
F' U L R B L' F
F' U R L B L' F
D2 U R U' B L R'
D2 U R U' B R' L
F' U R D F D B
F' U R D F D' B
F' U R D F D2 B
F' U R D F B D
F' U R D F B D'
F' U R D F B D2
F' U R D B D F
F' U R D B D' F
F' U R D B D2 F
F' U R D B F D
F' U R D B F D'
F' U R D B F D2
F' U R D' F D B
F' U R D' F D' B
F' U R D' F D2 B
F' U R D' F B D
F' U R D' F B D'
F' U R D' F B D2
F' U R D' B D F
F' U R D' B D' F
F' U R D' B D2 F
F' U R D' B F D
F' U R D' B F D'
F' U R D' B F D2
F' U R D2 F D B
F' U R D2 F D' B
F' U R D2 F D2 B
F' U R D2 F B D
F' U R D2 F B D'
F' U R D2 F B D2
F' U R D2 B D F
F' U R D2 B D' F
F' U R D2 B D2 F
F' U R D2 B F D
F' U R D2 B F D'
F' U R D2 B F D2
F' U R F L B L'
F' U R F L2 B L2
F' U R F D B D
F' U R F D B D'
F' U R F D B D2
F' U R F D' B D
F' U R F D' B D'
F' U R F D' B D2
F' U R F D2 B D
F' U R F D2 B D'
F' U R F D2 B D2
F' U R F B2 D B'
F' U R F B2 D' B'
F' U R F B2 D2 B'
F' U R F2 D F' B
F' U R F2 D B F'
F' U R F2 D' F' B
F' U R F2 D' B F'
F' U R F2 D2 F' B
F' U R F2 D2 B F'
F' U R F2 B D F'
F' U R F2 B D' F'
F' U R F2 B D2 F'
F' U R B R F R'
F' U R B R2 F R2
F' U R B D F D
F' U R B D F D'
F' U R B D F D2
F' U R B D' F D
F' U R B D' F D'
F' U R B D' F D2
F' U R B D2 F D
F' U R B D2 F D'
F' U R B D2 F D2
F' U R B F2 D F'
F' U R B F2 D' F'
F' U R B F2 D2 F'
F' U R B2 D F B'
F' U R B2 D B' F
F' U R B2 D' F B'
F' U R B2 D' B' F
F' U R B2 D2 F B'
F' U R B2 D2 B' F
F' U R B2 F D B'
F' U R B2 F D' B'
F' U R B2 F D2 B'
D U R F' U' B L
F' U R' F R2 D2 B2
F' U R' B R2 F B
F' U R' B R2 B F
F' U R' B' R2 F B
F' U R' B' R2 B F
U D R F' U' B L
F' U R' B2 R2 F B
F' U R' B2 R2 B F
F' U R2 F R' D B
F' U R2 F R' D' B
F' U R2 F R' D2 B
F' U R2 F R' B D
F' U R2 F R' B D'
