U2 L2 R2 U R2 B'
U2 L2 R2 U B' R2
D2 L2 U L2 F U2
D2 L2 U' D2 R2 B'
D2 L2 U' D2 B' R2
D2 L2 U' B' D2 R2
D2 L2 D F2 U' B'
D2 L2 D2 U' R2 B'
D2 L2 D2 U' B' R2
U2 R2 L2 U R2 B'
U2 R2 L2 U B' R2
U R2 U D2 L2 B'
U2 R2 U' F U2 R2
U R2 U' R2 F U2
U R2 U' F R2 U2
U R2 D2 U L2 B'
F U R2 U D2 L2
F U R2 U D2 L2
F U R2 U' R2 U2
F U R2 D' F2 U
F U R2 D2 U L2
D2 U' L2 U' B' L2
U' D' F2 D R2 B
D' U' F2 D R2 B
F U' D2 L2 U' L2
U' D2 L2 U' B' L2
F2 U2 R2 U B R2
F U2 D' F2 D' L2
F U2 F2 D' L2 F2
F U2 F2 D' F2 L2
D2 F U' L2 U' L2
U F U R2 U R2
D F B2 U' B2 U'
D F B2 U2 D L2
D F B2 D U2 L2
D F B2 D' R2 U2
B2 D F B2 U2 L2
B2 D B2 U2 L2 B'
B2 D B2 F U2 L2
F D B2 U' B2 U'
F D B2 U2 D L2
F D B2 D U2 L2
F D B2 D' R2 U2
B2 D' R2 F U2 F
B2 D' F R2 U2 F
F D' U2 F2 D' L2
U2 F2 D' F2 L2 B'
F D2 U' L2 U' L2
B' F U R2 F' U
B2 F D B2 U2 L2
B2 F D' R2 U2 F2
F B' U R2 F' U
D B2 U2 D L2 B'
D B2 D U2 L2 B'
D B2 D F U2 L2
D B2 D' R2 F U2
D B2 D' F R2 U2
D B2 F U' B2 U'
D B2 F U2 D L2
D B2 F D U2 L2
F B2 D B2 U2 L2
D B2 F D' R2 U2
F B2 D' R2 U2 F2
R2 L U L' F U2 F'
R2 L U' L' F U2 L
D' L U L' F U2 F
D L U L' F B2 U2
D L U L' B2 F U2
D L U B2 L' F U2
F' L D2 L2 U' B2 R'
D2 L F2 L U' R B'
D2 L F2 L U' B' R
L R2 U L' F U2 F'
L2 R2 U L2 F U2 F'
R2 L2 U L2 F U2 F'
L R2 U' L' F U2 L
L2 R2 U' L2 U2 L2 B'
R2 L2 U' L2 U2 L2 B'
L2 R2 U' L2 F U2 L2
R2 L2 U' L2 F U2 L2
L2 R2 U' D2 B' R2 F'
R2 L2 U' D2 B' R2 F'
L2 R2 U' B' D2 R2 F'
R2 L2 U' B' D2 R2 F'
D2 L2 R U L2 F U2
D2 L2 R U' D2 R2 B'
D2 L2 R U' D2 B' R2
D2 L2 R U' B' D2 R2
D2 L2 R D F2 U' B'
D2 L2 R D2 U' R2 B'
D2 L2 R D2 U' B' R2
L2 R2 D2 U' B' R2 F'
R2 L2 D2 U' B' R2 F'
D2 L2 R' U L2 F U2
D2 L2 R' U' D2 R2 B'
D2 L2 R' U' D2 B' R2
D2 L2 R' U' B' D2 R2
D2 L2 R' D F2 U' B'
D2 L2 R' D2 U' R2 B'
D2 L2 R' D2 U' B' R2
D2 L2 R2 U L2 F U2
D2 L2 R2 U' D2 R2 B'
D2 L2 R2 U' D2 B' R2
D2 L2 R2 U' B' D2 R2
D2 L2 R2 D F2 U' B'
U2 L2 R2 U R B' R
U2 L2 R2 U R2 D B'
U2 L2 R2 U R2 D' B'
U2 L2 R2 U R2 D2 B'
U2 L2 R2 U R2 B' D
U2 L2 R2 U R2 B' D'
U2 L2 R2 U R2 B' D2
U2 L2 R2 U B R2 B2
U2 L2 R2 U B' R2 D
U2 L2 R2 U B' R2 D'
U2 L2 R2 U B' R2 D2
D2 L2 R2 D2 U' R2 B'
D2 L2 R2 D2 U' B' R2
U2 L2 R2 D B2 U B
U L2 R2 U D2 B' L2
U L2 R2 U B' D2 L2
U L2 R2 U' R2 U2 B'
U2 L2 R2 B U R2 B2
U2 L2 R2 B U B2 R2
U L2 R2 D' F2 U B'
D2 L2 U L2 D F U2
D2 L2 U L2 D' F U2
D2 L2 U L2 D2 F U2
D2 L2 U L2 F U2 D
D2 L2 U L2 F U2 D'
D2 L2 U L2 F U2 D2
D2 L2 U L2 F D U2
D2 L2 U L2 F D' U2
D2 L2 U L2 F D2 U2
U L2 R2 D2 U B' L2
D' L2 U L2 F U2 F
U2 L2 R2 B2 U B R2
D L2 U L2 F B2 U2
D L2 U L2 B2 F U2
D2 L2 U F L2 F U2
D2 L2 U F' L2 F U2
D2 L2 U F2 L2 F U2
U L2 U R2 U R2 B'
U L2 U R2 U B' R2
D2 L2 U' R D2 R2 B'
D2 L2 U' R D2 B' R2
D2 L2 U' R B' D2 R2
D2 L2 U' R' D2 R2 B'
D2 L2 U' R' D2 B' R2
D L2 U B2 L2 U2 B
D2 L2 U' R' B' D2 R2
D2 L2 U' R2 D2 R2 B'
D2 L2 U' R2 D2 B' R2
D2 L2 U' R2 B' D2 R2
D2 L2 U' D B' D R2
D2 L2 U' D2 R B' R
D2 L2 U' D2 R2 D B'
D2 L2 U' D2 R2 D' B'
D2 L2 U' D2 R2 D2 B'
D2 L2 U' D2 R2 B' D
D2 L2 U' D2 R2 B' D'
D2 L2 U' D2 R2 B' D2
D2 L2 U' D2 B R2 B2
D2 L2 U' D2 B' R2 D
D2 L2 U' D2 B' R2 D'
D2 L2 U' D2 B' R2 D2
D' L2 U' F2 D2 R2 B'
D' L2 U' F2 D2 B' R2
D' L2 U' F2 B' D2 R2
D2 L2 U' B' R D2 R2
D2 L2 U' B' R' D2 R2
D2 L2 U' B' R2 D2 R2
D2 L2 U' B' U2 L2 U2
D2 L2 U' B' D2 R2 D
D2 L2 U' B' D2 R2 D'
D2 L2 U' B' D2 R2 D2
D L2 U' D2 R2 F2 B'
D L2 U' D2 R2 B' F2
D L2 U' D2 F2 R2 B'
D L2 U' D2 F2 B' R2
D' L2 U' B' F2 D2 R2
D L2 U' D2 B' R2 F2
D L2 U' D2 B' F2 R2
D2 L2 U' B2 D2 B R2
U' L2 U' B' L2 D' F2
U' L2 U2 R2 U B' L2
D2 L2 U2 D' B2 U B
D2 L2 D R F2 U' B'
D2 L2 D R' F2 U' B'
D2 L2 D R2 F2 U' B'
D2 L2 D U' B' D R2
D2 L2 D F2 R U' B'
D2 L2 D F2 R' U' B'
D2 L2 D F2 R2 U' B'
D2 L2 D F2 U' D B'
D2 L2 D F2 U' D' B'
D2 L2 D F2 U' D2 B'
D2 L2 D F2 U' B' D
D2 L2 D F2 U' B' D'
D2 L2 D F2 U' B' D2
D2 L2 D F2 D U' B'
D2 L2 D F2 D' U' B'
D2 L2 D F2 D2 U' B'
D2 L2 D' U2 B2 U B
U' L2 D' B2 U' F2 B
U' L2 D' B2 U' B F2
U2 L2 D' F2 D' B' L2
U2 L2 D' F2 B' D' L2
D2 L2 D2 R U' R B'
D2 L2 D2 R U' B' R
U2 L2 D' B' F2 D' L2
D2 L2 D2 R' U' R' B'
F' L2 D2 L2 U' R2 B2
F' L2 D2 L2 U' B2 R2
F2 L2 D2 L2 U' R2 B
D2 L2 D2 U' R B' R
D2 L2 D2 U' R2 D B'
D2 L2 D2 U' R2 D' B'
D2 L2 D2 U' R2 D2 B'
D2 L2 D2 U' R2 B' D
D2 L2 D2 U' R2 B' D'
D2 L2 D2 U' R2 B' D2
D2 L2 D2 U' B R2 B2
D2 L2 D2 U' B' R2 D
D2 L2 D2 U' B' R2 D'
D2 L2 D2 U' B' R2 D2
D2 L2 D2 F U' R2 B'
D2 L2 D2 F U' B' R2
D2 L2 D2 F' U' R2 B'
D2 L2 D2 F' U' B' R2
D2 L2 D2 F2 U' R2 B'
D2 L2 D2 F2 U' B' R2
D L2 D2 U' R2 F2 B'
D L2 D2 U' R2 B' F2
D L2 D2 U' F2 R2 B'
D L2 D2 U' F2 B' R2
D L2 D2 U' B' R2 F2
D L2 D2 U' B' F2 R2
D2 L2 F U L2 F U2
L U L' D F B2 U2
L U L' D B2 F U2
D2 L2 F U' D2 R2 B'
D2 L2 F U' D2 B' R2
L U L' D' F U2 F
D2 L2 F U' B' D2 R2
L U L' F U R2 U
L U L' F U2 D' F2
L U L' F D B2 U2
L U L' F D' U2 F2
D2 L2 F D F2 U' B'
D2 L2 F D2 U' R2 B'
D2 L2 F D2 U' B' R2
L2 U L2 D F B2 U2
L2 U L2 D B2 F U2
L2 U L2 D' F U2 F
D2 L2 F' U L2 F U2
L2 U L2 F U R2 U
L2 U L2 F U2 D' F2
L2 U L2 F D B2 U2
L2 U L2 F D' U2 F2
D2 L2 F' U' D2 R2 B'
D2 L2 F' U' D2 B' R2
D2 L2 F' U' B' D2 R2
D2 L2 F' D F2 U' B'
D2 L2 F' D2 U' R2 B'
D2 L2 F' D2 U' B' R2
D2 L2 F2 U L2 F U2
R U R U' R' F U2
D2 L2 F2 U' D2 R2 B'
D2 L2 F2 U' D2 B' R2
R U R U' F R' U2
D2 L2 F2 U' B' D2 R2
D2 L2 F2 D F2 U' B'
R' U R' U' R F U2
D2 L2 F2 D2 U' R2 B'
D2 L2 F2 D2 U' B' R2
U2 L2 F2 D' F2 B' L2
U2 L2 F2 D' B' L2 F2
U2 L2 F2 D' B' F2 L2
U2 L2 F2 B' D' L2 F2
U2 L2 F2 B' D' F2 L2
U2 L2 B R2 U R2 B2
U2 L2 B R2 U B2 R2
U2 L2 B' D' F2 D' L2
U2 L2 B' F2 D' L2 F2
U2 L2 B' F2 D' F2 L2
U2 L2 B2 R2 U R2 B
R' U F U R' U R
D2 R L2 U L2 F U2
D2 R L2 U' D2 R2 B'
D2 R L2 U' D2 B' R2
D2 R L2 U' B' D2 R2
D2 R L2 D F2 U' B'
D2 R L2 D2 U' R2 B'
D2 R L2 D2 U' B' R2
F R U R U' R' U2
D2 R U' L2 U' B' L2
D' R U' F2 D R2 B
D2 R F U' L2 U' L2
D R F B2 U' B2 U'
D R F B2 U2 D L2
D R F B2 D U2 L2
D R F B2 D' R2 U2
F' R F2 U' L' U' L
D R B2 U2 D L2 B'
D R B2 D U2 L2 B'
D R B2 D F U2 L2
D R B2 D' R2 F U2
L2 U' D' F2 D' R2 B'
L2 U' D' F2 D' B' R2
D R B2 D' F R2 U2
D R B2 F U' B2 U'
D R B2 F U2 D L2
D R B2 F D U2 L2
D R B2 F D' R2 U2
L2 U' D2 R2 D F2 B'
L2 U' D2 R2 D B' F2
L2 U' D2 R2 B' D F2
L2 U' D2 B' R2 D F2
D2 R' L2 U L2 F U2
D2 R' L2 U' D2 R2 B'
D2 R' L2 U' D2 B' R2
D2 R' L2 U' B' D2 R2
D2 R' L2 D F2 U' B'
D2 R' L2 D2 U' R2 B'
D2 R' L2 D2 U' B' R2
D2 R' U' L2 U' B' L2
F R' U R' U' R U2
F R' U R' F2 U L'
D' R' U' F2 D R2 B
F2 R' U2 R' U B R
F R' U' B2 L U' L'
L2 U' B' D' F2 D' R2
L2 U' B' D2 R2 D F2
R' U2 L2 R' U R B'
R' U2 L2 R' U B' R
D2 R' F U' L2 U' L2
B2 R' F U' B2 L U'
R U2 L2 R U R' B'
D R' F B2 U' B2 U'
D R' F B2 U2 D L2
D R' F B2 D U2 L2
D R' F B2 D' R2 U2
R' U2 R' L2 U R B'
R' U2 R' L2 U B' R
R U2 R L2 U R' B'
R U2 R U' F U2 R'
L' U2 R2 U B2 R' B
L2 U2 R2 U D2 R2 B'
L2 U2 R2 U D2 B' R2
L2 U2 R2 U B' D2 R2
L2 U2 R2 U' L2 F U2
L2 U2 R2 D' B2 U B
L2 U2 R2 D2 U R2 B'
L2 U2 R2 D2 U B' R2
L' U2 R2 B2 U R' B
L U2 R2 U' L' F U2
D R' B2 U2 D L2 B'
D R' B2 D U2 L2 B'
D R' B2 D F U2 L2
D R' B2 D' R2 F U2
D R' B2 D' F R2 U2
F R' B2 U' L B2 U'
D R' B2 F U' B2 U'
D R' B2 F U2 D L2
D R' B2 F D U2 L2
