F' U B' R U2 B2
F' U' B D2 F2 L'
L2 F L' D B R2
L2 F L' B D R2
L2 F D L' B R2
L2 F D B L' R2
L2 F D B R2 L'
L2 F B L' D R2
L2 F B D L' R2
L2 F B D R2 L'
L2 F' U' F2 L' B
L2 F' U' F2 B L'
L2 F' U' B F2 L'
L2 B F L' D R2
L2 B F D L' R2
L2 B F D R2 L'
F' L' U' F2 L' F B
F' L' U' F2 L' B F
F' L' U' F2 B L' F
F' L' U' B F2 L' F
F' L2 U' F2 L' F' B
F' L2 U' F2 L' B F'
F' L2 U' F2 B L' F'
F' L2 U' B F2 L' F'
F L2 D F L B R2
U' L2 F L' D B R2
U' L2 F L' B D R2
U2 L2 F L' D B R2
U2 L2 F L' B D R2
F L2 F L D' B R'
U' L2 F D L' B R2
U' L2 F D B L' R2
U' L2 F D B R2 L'
U L2 F L' D B R2
U L2 F L' B D R2
U2 L2 F D L' B R2
U' L2 F B L' D R2
U2 L2 F D B L' R2
U2 L2 F D B R2 L'
U' L2 F B D L' R2
U' L2 F B D R2 L'
U2 L2 F B L' D R2
U2 L2 F B D L' R2
U2 L2 F B D R2 L'
U L2 F D L' B R2
U L2 F D B L' R2
U L2 F D B R2 L'
U L2 F B L' D R2
U' L2 F' U' F2 L' B
U L2 F B D L' R2
U' L2 F' U' F2 B L'
U L2 F B D R2 L'
U' L2 F' U' B F2 L'
U2 L2 F' U' F2 L' B
U2 L2 F' U' F2 B L'
U2 L2 F' U' B F2 L'
U L2 F' U' F2 L' B
U L2 F' U' F2 B L'
U L2 F' U' B F2 L'
F L2 F2 U' L F' B
F L2 F2 U' L B F'
F L2 F2 U' F' L B
U' L2 B F L' D R2
U' L2 B F D L' R2
U' L2 B F D R2 L'
U2 L2 B F L' D R2
U2 L2 B F D L' R2
U2 L2 B F D R2 L'
U L2 B F L' D R2
U L2 B F D L' R2
U L2 B F D R2 L'
L2 U F L' D B R2
L2 U F L' B D R2
L2 U F D L' B R2
L2 U F D B L' R2
L2 U F D B R2 L'
L2 U F B L' D R2
L2 U F B D L' R2
L2 U F B D R2 L'
L2 U F' U' F2 L' B
L2 U F' U' F2 B L'
L2 U F' U' B F2 L'
L2 U B F L' D R2
L2 U B F D L' R2
L2 U B F D R2 L'
L2 U' F L' D B R2
L2 U' F L' B D R2
L2 U' F D L' B R2
L2 U' F D B L' R2
L2 U' F D B R2 L'
L2 U' F B L' D R2
L2 U' F B D L' R2
L2 U' F B D R2 L'
L2 U' F' U' F2 L' B
L2 U' F' U' F2 B L'
L2 U' F' U' B F2 L'
L2 U' B F L' D R2
L2 U' B F D L' R2
L2 U' B F D R2 L'
L2 U2 F L' D B R2
L2 U2 F L' B D R2
L2 U2 F D L' B R2
L2 U2 F D B L' R2
L2 U2 F D B R2 L'
L2 U2 F B L' D R2
L2 U2 F B D L' R2
L2 U2 F B D R2 L'
L2 U2 F' U' F2 L' B
L2 U2 F' U' F2 B L'
L2 U2 F' U' B F2 L'
F' R2 U F' R' B' U2
L2 U2 B F L' D R2
L2 U2 B F D L' R2
L2 U2 B F D R2 L'
F' U R2 F' R' B' U2
F' U D B' R U2 B2
F' U D' B' R U2 B2
F' U D2 B' R U2 B2
B U F' U R B2 U2
B U F' U B2 R U2
B U F' U' D2 F2 L'
B U F' D2 U' F2 L'
F' U F2 B' U2 L' B2
F' U F2 B' U2 B2 L'
F' U B R B2 U2 B2
F' U B' R U2 B2 D
F' U B' R U2 B2 D'
F' U B' R U2 B2 D2
F' U B' R D2 F2 U2
F' U B' R F U2 B2
F' U B' R F' U2 B2
F' U B' R F2 U2 B2
F' U B' R2 U2 B2 L
F' U B' D2 R F2 U2
F' U B' D2 F2 U2 L'
F' U B' F2 U2 L' B2
F' U B' F2 U2 B2 L'
F' U' L' F2 L' F B
F' U' L' F2 L' B F
F' U' L' F2 B L' F
F' U' L' B F2 L' F
F' U' L2 F2 L' F' B
F' U' L2 F2 L' B F'
F' U' L2 F2 B L' F'
F' U' L2 B F2 L' F'
F' U' D B D2 F2 L'
F' U' D' B D2 F2 L'
F' U' D2 B D2 F2 L'
F' U' F L2 F L' B
F' U' F L2 F B L'
F' U' F L2 B F L'
B' U' F' R2 U' B2 L
B' U' F' U R U2 B2
F' U' F2 L2 F L B
F' U' F2 B L' D2 F2
F' U' F2 B D2 L' F2
F' U' B L D2 F2 L'
F' U' B L' D2 F2 L'
F' U' B L2 D2 F2 L'
F' U' B U2 R B2 U2
F' U' B U2 B2 R U2
F' U' B D2 L F2 L'
F' U' B D2 L' F2 L'
F' U' B D2 L2 F2 L'
F' U' B D2 F2 L' D
F' U' B D2 F2 L' D'
F' U' B D2 F2 L' D2
F' U' B D2 F2 D L'
F' U' B D2 F2 D' L'
F' U' B D2 F2 D2 L'
F' U' B F2 L' D2 F2
F' U' B F2 D2 L' F2
F' U' B' R U2 R' B2
L2 F L B L2 D R2
L' F L' D F B R2
L' F L' D B R2 F
L' F L' D B F R2
L2 F L' R2 D R2 B
L2 F L' U F2 U' B
L' F L' B D R2 F
L' F L' B D F R2
L2 F L' D B R2 D
L2 F L' D B R2 D'
L2 F L' D B R2 D2
L2 F L' D B' R2 B2
L2 F L' D B2 R2 B'
L2 F L' D' B D2 R2
L2 F L' B R D R2
L2 F L' B R' D R2
L2 F L' B R2 D R2
L2 F L' B U F2 U'
L2 F L' B D R2 D
L2 F L' B D R2 D'
L2 F L' B D R2 D2
L2 F L' B2 D R2 B'
L2 F L' B2 D B' R2
L2 F L2 D L B R2
L2 F R2 L' D R2 B
L2 F R2 D L' R2 B
L2 F R2 D R2 L' B
L2 F R2 D R2 B L'
L2 F D L B L2 R2
L2 F D L B R2 L2
L2 F D L' B R2 D
L2 F D L' B R2 D'
L2 F D L' B R2 D2
L2 F D L' B' R2 B2
L2 F D L' B2 R2 B'
L2 F D B L' R2 D
L2 F D B L' R2 D'
L2 F D B L' R2 D2
L2 F D B R2 L' D
L2 F D B R2 L' D'
L2 F D B R2 L' D2
L2 F D B R2 D L'
L2 F D B R2 D' L'
L2 F D B R2 D2 L'
L2 F D B' L' R2 B2
L2 F D B' L' B2 R2
L2 F D B' R2 L' B2
L2 F D B' R2 B2 L'
L2 F D B2 R2 B' L'
L2 F D' B D2 L' R2
L2 F D' B D2 R2 L'
F D L2 F L B R2
L2 F D2 L' D' B R2
L' F B L' D R2 F
L' F B L' D F R2
L2 F B L' R D R2
L2 F B L' R' D R2
L2 F B L' R2 D R2
L2 F B L' U F2 U'
L2 F B L' D R2 D
L2 F B L' D R2 D'
L2 F B L' D R2 D2
L2 F B L2 D L R2
L2 F B L2 D R2 L
L2 F B R L' D R2
L2 F B R D L' R2
L2 F B R D R2 L'
L2 F B R' L' D R2
L2 F B R' D L' R2
L2 F B R' D R2 L'
L2 F B R2 L' D R2
L2 F B R2 D L' R2
L2 F B R2 D R2 L'
L2 F B D L' R2 D
L2 F B D L' R2 D'
L2 F B D L' R2 D2
L2 F B D R2 L' D
L2 F B D R2 L' D'
L2 F B D R2 L' D2
L2 F B D R2 D L'
L2 F B D R2 D' L'
L2 F B D R2 D2 L'
L2 F B D2 L' D' R2
L2 F B' L' B2 D R2
F' D U B' R U2 B2
L2 F B2 D R2 B' L'
L2 F B2 D B' L' R2
L2 F B2 D B' R2 L'
F' D U' B D2 F2 L'
L2 F' L U' F2 L' B
L2 F' L U' F2 B L'
L2 F' L U' B F2 L'
L2 F' L' U' F2 L' B
L2 F' L' U' F2 B L'
L2 F' L' U' B F2 L'
L2 F' L2 U' F2 L' B
L2 F' L2 U' F2 B L'
L2 F' L2 U' B F2 L'
R2 F' R D B' L U2
F D B L' R2 D2 F2
F D B R2 L' D2 F2
U' F' U B' R U2 B2
F D B R2 D2 L' F2
D2 F' U B' U2 L B2
F D B D2 L' F2 R
U' F' U' B D2 F2 L'
U2 F' U B' R U2 B2
L2 F' U' L F2 L' B
L2 F' U' L F2 B L'
L2 F' U' L B F2 L'
F D B' U2 L' R2 B2
F D B' U2 L' B2 R2
F D B' U2 R2 L' B2
F D B' U2 R2 B2 L'
L2 F' U' L' F2 L' B
F D B' U2 B2 L' R2
L2 F' U' L' F2 B L'
F D B' U2 B2 R2 L'
L2 F' U' L' B F2 L'
L' F' U' F2 L' F B
L' F' U' F2 L' B F
L' F' U' F2 B L' F
L2 F' U' L2 F2 L' B
L2 F' U' L2 F2 B L'
L2 F' U' L2 B F2 L'
L' F' U' B F2 L' F
L2 F' U' F2 L B L2
L2 F' U' F2 L' D B
L2 F' U' F2 L' D' B
L2 F' U' F2 L' D2 B
L2 F' U' F2 L' B D
L2 F' U' F2 L' B D'
L2 F' U' F2 L' B D2
L2 F' U' F2 D L' B
L2 F' U' F2 D B L'
L2 F' U' F2 D' L' B
L2 F' U' F2 D' B L'
L2 F' U' F2 D2 L' B
L2 F' U' F2 D2 B L'
L2 F' U' F2 B L' D
L2 F' U' F2 B L' D'
L2 F' U' F2 B L' D2
L2 F' U' F2 B D L'
L2 F' U' F2 B D' L'
L2 F' U' F2 B D2 L'
L2 F' U' F2 B' L' B2
L2 F' U' B L F2 L'
L2 F' U' B L' F2 L'
L2 F' U' B L2 F2 L'
U2 F' U' B D2 F2 L'
L2 F' U' B F2 L' D
L2 F' U' B F2 L' D'
L2 F' U' B F2 L' D2
L2 F' U' B F2 D L'
L2 F' U' B F2 D' L'
L2 F' U' B F2 D2 L'
L2 F' U' B' F2 L' B2
F D B2 R2 B' L' F'
U F' U B' R U2 B2
U F' U' B D2 F2 L'
F D' L2 U2 F L B
L2 F' B' U' F2 L' B2
L2 F' B' U' F2 B2 L'
