L B' R' U' F' R2
B' L R' B' U' F' R2
F L B' R' U' F' R
U2 L B' U' R F B
U2 L B' U' R B F
L2 R' U' F' L' R2 B'
L2 R' U' F' L' B' R2
L2 R' U' F' R2 L' B'
F2 L' U F R U B
R' L2 U' F' L' R2 B'
R' L2 U' F' L' B' R2
R' L2 U' F' R2 L' B'
B' L2 R' U' F' L' R2
B' L2 R' U' F' R2 L'
B' R D B2 L2 F L'
B' R' L B' U' F' R2
B' R' L2 U' F' L' R2
B' R' L2 U' F' R2 L'
L D B' R' U' F' R2
L D' B' R' U' F' R2
L D2 B' R' U' F' R2
L' F R' U F' R B
L F B' R' U' F' R
B' D2 R' B U' F' R2
L B' L R' U' F' R2
L B' L' R' U' F' R2
L B' L2 R' U' F' R2
D' B' R' U' L F' R2
D' B' R' U' F' L R2
D' B' R' U' F' R2 L
D2 B' R' B U' F' R2
L2 B' R' U' F' L' R2
L2 B' R' U' F' R2 L'
L B' R' L U' F' R2
L B' R' L' U' F' R2
L B' R' L2 U' F' R2
L B' R' U' F R2 F2
L B' R' U' F' R2 D
L B' R' U' F' R2 D'
L B' R' U' F' R2 D2
L B' R' U' F2 R2 F
L B' R' D' F2 U' F
L B' R' F U' R2 F2
L B' R' F U' F2 R2
L B' R' F2 U' R2 F
L B' R' F2 U' F R2
L B' D R' U' F' R2
L B' D' R' U' F' R2
L B' D2 R' U' F' R2
L B' F R' U' F' R
R B2 D L2 F L' B'
