F' L' R U R2 U
F' L' R U2 D' F2
F' L' R D B2 U2
F' L' R D' U2 F2
F' R L' U R2 U
F' R L' U2 D' F2
F' R L' D B2 U2
F' R L' D' U2 F2
F' R U2 D' F2 R
F' R D L' B2 U2
F' R D B2 L' U2
F' R D' L' U2 F2
F' R D' U2 F2 R
F' L' R U R2 U D
F' L' R U R2 U D'
F' L' R U R2 U D2
F' L' R U R2 D U
F' L' R U R2 D' U
F' L' R U R2 D2 U
F' L' R U' D2 L2 U'
F' L' R U2 D' F2 D
F' L' R U2 D' F2 D'
F' L' R U2 D' F2 D2
F' L' R U2 F D' F2
F' L' R U2 F' D' F2
F' L' R U2 F2 D' F2
F' L' R D B2 U2 D
F' L' R D B2 U2 D'
F' L' R D B2 U2 D2
F' L' R D B2 D U2
F' L' R D B2 D' U2
F' L' R D B2 D2 U2
F' L' R D' U2 F2 D
F' L' R D' U2 F2 D'
F' L' R D' U2 F2 D2
F' L' R D' B U2 F2
F' L' R D' B' U2 F2
F' L' R D' B2 U2 F2
F' L' R D2 U' L2 U'
F L' R D' F2 D' B2
F L' R D2 B2 D F2
F' L' R B U R2 U
F' L' R B U2 D' F2
F' L' R B D B2 U2
F' L' R B D' U2 F2
F' L' R B' U R2 U
F' L' R B' U2 D' F2
F' L' R B' D B2 U2
F' L' R B' D' U2 F2
F' L' R B2 U R2 U
F' L' R B2 U2 D' F2
F' L' R B2 D B2 U2
F' L' R B2 D' U2 F2
F' L' U R' U D2 L2
F' L' U R' U' R2 U2
F' L' U R' D' F2 U
F' L' U R' D2 U L2
F' L' U F2 R' U L'
F' L' D R U R2 U
F' L' D R U2 D' F2
F' L' D R D B2 U2
F' L' D R D' U2 F2
F' L' D' R U R2 U
F' L' D' R U2 D' F2
F' L' D' R D B2 U2
F' L' D' R D' U2 F2
F L' D' R D' F2 B2
F L' D' R D' B2 F2
F' L' D2 R U R2 U
F' L' D2 R U2 D' F2
F' L' D2 R D B2 U2
F' L' D2 R D' U2 F2
F L' D2 R B2 D' F2
F' L' B' D' R U2 F'
F' L' B2 R U' L U'
F' L2 R D L B2 U2
F' L2 R D B2 U2 R'
F' L2 R D' L U2 F2
F' R L' U R2 U D
F' R L' U R2 U D'
F' R L' U R2 U D2
F' R L' U R2 D U
F' R L' U R2 D' U
F' R L' U R2 D2 U
F' R L' U' D2 L2 U'
F' R L' U2 D' F2 D
F' R L' U2 D' F2 D'
F' R L' U2 D' F2 D2
F' R L' U2 F D' F2
F' R L' U2 F' D' F2
F' R L' U2 F2 D' F2
F' R L' D B2 U2 D
F' R L' D B2 U2 D'
F' R L' D B2 U2 D2
F' R L' D B2 D U2
F' R L' D B2 D' U2
F' R L' D B2 D2 U2
F' R L' D' U2 F2 D
F' R L' D' U2 F2 D'
F' R L' D' U2 F2 D2
F' R L' D' B U2 F2
F' R L' D' B' U2 F2
F' R L' D' B2 U2 F2
F' R L' D2 U' L2 U'
F' R L' B U R2 U
F' R L' B U2 D' F2
F' R L' B D B2 U2
F' R L' B D' U2 F2
F' R L' B' U R2 U
F' R L' B' U2 D' F2
F' R L' B' D B2 U2
F' R L' B' D' U2 F2
F' R L' B2 U R2 U
F' R L' B2 U2 D' F2
F' R L' B2 D B2 U2
F' R L' B2 D' U2 F2
F R L' D' F2 D' B2
F R L' D2 B2 D F2
F' R L2 D L B2 U2
F' R L2 D B2 U2 R'
F' R L2 D' L U2 F2
F' R U R2 U' L' U2
F' R U2 D' R F2 R
F' R U2 D' R' F2 R
F' R U2 D' R2 F2 R
F' R U2 D' F2 R D
F' R U2 D' F2 R D'
F' R U2 D' F2 R D2
F' R U2 D' F2 D R
F' R U2 D' F2 D' R
F' R U2 D' F2 D2 R
F' R U2 F2 D' R F2
F' R D L B2 L2 U2
F' R D L' U2 D2 F2
F' R D L' D2 U2 F2
F' R D L' B2 U2 D
F' R D L' B2 U2 D'
F' R D L' B2 U2 D2
F' R D L' B2 D U2
F' R D L' B2 D' U2
F' R D L' B2 D2 U2
F' R D L2 B2 U2 R'
F' R D B L' B U2
F' R D B2 L' U2 D
F' R D B2 L' U2 D'
F' R D B2 L' U2 D2
F' R D B2 L' D U2
F' R D B2 L' D' U2
F' R D B2 L' D2 U2
F' R D B2 D L' U2
F' R D B2 D' L' U2
F' R D B2 D2 L' U2
F' R D' L' U2 F2 D
F' R D' L' U2 F2 D'
F' R D' L' U2 F2 D2
F' R D' L' D2 B2 U2
F' R D' L' B U2 F2
F' R D' L' B' U2 F2
F' R D' L' B2 U2 F2
F' R D' U2 R F2 R
F' R D' U2 R' F2 R
F' R D' U2 R2 F2 R
F' R D' U2 F2 R D
F' R D' U2 F2 R D'
F' R D' U2 F2 R D2
F' R D' U2 F2 D R
F' R D' U2 F2 D' R
F' R D' U2 F2 D2 R
F' R D' B L' U2 F2
F' R D' B U2 F2 R
F' R D' B' L' U2 F2
F' R D' B' U2 F2 R
F' R D' B2 L' U2 F2
F' R D' B2 U2 F2 R
F' R D2 L' U' L' U'
F R D2 B2 D L' F2
F' R B L' U R2 U
F' R B L' U2 D' F2
F' R B L' D B2 U2
F' R B L' D' U2 F2
F' R B U2 D' F2 R
F' R B D L' B2 U2
F' R B D B2 L' U2
F' R B D' L' U2 F2
F' R B D' U2 F2 R
F' R B' L' U R2 U
F' R B' L' U2 D' F2
F' R B' L' D B2 U2
F' R B' L' D' U2 F2
F' R B' U2 D' F2 R
F' R B' D L' B2 U2
F' R B' D B2 L' U2
F' R B' D' L' U2 F2
F' R B' D' U2 F2 R
F' R B2 L' U R2 U
F' R B2 L' U2 D' F2
F' R B2 L' D B2 U2
F' R B2 L' D' U2 F2
F' R B2 U2 D' F2 R
F' R B2 D L' B2 U2
F' R B2 D B2 L' U2
