U B R' F' U2 R
U' L F L' B R' U2
U' L F B L' R' U2
U' L F B L' R' U2
U' L F B R' L' U2
U' L B R' F L' U2
U L B R' F' U2 R
U' L B F L' R' U2
U' L B F R' L' U2
U' L' R2 F' R B' L
U' L' R2 F' B' L R
U' L' R2 F' B' R L
U' L' R2 B' L F' R
U' L' R2 B' F' L R
U' L' R2 B' F' R L
F L' B R' U L U
U L' B R' F' U2 R
U L2 B R' F' U2 R
R2 U F' R B' L B2
R2 U F' B' L R B
R2 U F' B' R L B
R2 U F' B2 R B L
L' U B R' F' U2 R
L2 U B R' F' U2 R
L U B R' F' U2 R
R2 U B' L F' R B
R2 U B' F' L R B
R2 U B' F' R L B
R2 U B2 F' R B L
R2 U' L' F' R B' L
R2 U' L' F' B' L R
R2 U' L' F' B' R L
R2 U' L' B' L F' R
R2 U' L' B' F' L R
R2 U' L' B' F' R L
R2 U' F' L' R B' L
R2 U' F' L' B' L R
R2 U' F' L' B' R L
R2 U' F' R L' B' L
B R' U D' L B' U
B R' D' U L B' U
B R' F L' U L2 U
B R' F L' U2 D' B2
B R' F L' D F2 U2
B R' F L' D' U2 B2
B R' F' U L U R
U' R2 L' F' R B' L
U' R2 L' F' B' L R
U' R2 L' F' B' R L
U' R2 L' B' L F' R
U' R2 L' B' F' L R
U' R2 L' B' F' R L
U' R2 F' L' R B' L
U' R2 F' L' B' L R
U' R2 F' L' B' R L
U' R2 F' R L' B' L
F U L' B R' F' U2
F' U B R' U2 R2 B
F' U B R' F' U2 R2
F U B L' R' F' U2
F U B R' L' F' U2
F U' L' B R' U2 B2
F U' L' B U2 B2 L
F U' B L' R' U2 B'
F U' B R' L' U2 B'
U' F L' B R' U2 B2
U' F L' B U2 B2 L
U F L' B R' F' U2
U' F B L' R' U2 B'
U' F B R' L' U2 B'
B D R' U L B U
U F B L' R' F' U2
U F B R' L' F' U2
B D' R' U L B' U
R2 F' B' L R D B2
U F' B R' U2 R2 B
R2 F' B' R L D B2
U F' B R' F' U2 R2
R2 F' B' R D L B2
U' B L R' F L' U2
U F2 B R' F' L' U2
U' B L F L' R' U2
U' B L F R' L' U2
U B L R' F' U2 R
U B L' R' F' U2 R
U' B R' L F L' U2
U B L2 R' F' U2 R
U' B R' F L' U2 B'
U' B R' F' U2 R B
U B R' L F' U2 R
U B R' L' F' U2 R
U B R' L2 F' U2 R
U B R' F L' F2 U2
U B R' F' L U2 R
U B R' F' L' U2 R
U B R' F' L2 U2 R
U B R' F' U2 R D
U B R' F' U2 R D'
U B R' F' U2 R D2
U B R' F' U2 D R
U B R' F' U2 D' R
U B R' F' U2 D2 R
U B R' F' D U2 R
U B R' F' D' U2 R
U B R' F' D2 U2 R
B F L' R' U L2 U
B F L' R' U2 D' B2
B F L' R' D F2 U2
B F L' R' D' U2 B2
B F L' U2 D' B2 L
B F L' D R' F2 U2
B F L' D F2 R' U2
B F L' D' R' U2 B2
B F L' D' U2 B2 L
F B L' R' U L2 U
F B L' R' U2 D' B2
F B L' R' D F2 U2
F B L' R' D' U2 B2
F B L' U2 D' B2 L
F B L' D R' F2 U2
F B L' D F2 R' U2
F B L' D' R' U2 B2
F B L' D' U2 B2 L
U' B F L' R' U2 B'
F' B R' U L U R2
U' B F R' L' U2 B'
B F R' L' U L2 U
B F R' L' U2 D' B2
B F R' L' D F2 U2
B F R' L' D' U2 B2
F B R' L' U L2 U
F B R' L' U2 D' B2
F B R' L' D F2 U2
F B R' L' D' U2 B2
U B F L' R' F' U2
U B F R' L' F' U2
U B F' R' U2 R2 B
U B F' R' F' U2 R2
U B F2 R' F' L' U2
R2 B' L F' R D B2
R' B' R' U' L F' R
R' B' R' U' F' L R
R' B' R' U' F' R L
B F' R' U L U R2
R2 B' F' L R D B2
R2 B' F' R L D B2
R2 B' F' R D L B2
