B2 L F' R U B' L2
D' L' R' D' R' F B
D' L' R' D' R' B F
D' L' R' D' F R' B
D' L' R' F D' R' B
D' L' F R' D' R' B
D' L2 R2 D L F B'
D' L2 R2 D L B' F
B' L2 F L' U' B' L2
D2 R D L' R2 F B
D2 R D L' R2 B F
D2 R D R2 L' F B
D2 R D R2 L' B F
D2 R D R2 B L' F
D' R' L' D' R' F B
D' R' L' D' R' B F
D' R' L' D' F R' B
D' R' L' F D' R' B
D2 R' D L' F B R2
D2 R' D L' B R2 F
D2 R' D L' B F R2
D2 R' D B L' R2 F
D2 R' D B L' F R2
D2 R' D B R2 L' F
D' R2 L2 D L F B'
D' R2 L2 D L B' F
L' D R F' D2 R2 B2
L' D R F' D2 B2 R2
D' R2 B' L' D' F B2
D' R2 B' L' D' B2 F
D' R2 B' L' F D' B2
F2 R2 B2 U L F B'
F2 R2 B2 U L B' F
L2 D' L' R2 F B' L2
L2 D' L' R2 B' F L2
L2 D' L' F R2 B' L2
L2 D' L' F B' L2 R2
L2 D' L' F B' R2 L2
L2 D' L' B' R2 F L2
L2 D' L' B' F L2 R2
L2 D' L' B' F R2 L2
L2 D' R2 L' F B' L2
L2 D' R2 L' B' F L2
L F' R B2 U L2 B
L F' R B2 U B L2
B' D' B' L U L2 F
D' B R' U' L' R' F
D' B R' U' L' F R'
D' B R' U' R' L' F
B D2 B R' U L' B
B D2 B R' U B L'
D' B' L U L2 R2 F
D' B' L U L2 F R2
D' B' L U R2 L2 F
D' B' L' R2 D' F B2
D' B' L' R2 D' B2 F
D' B' L' R2 F D' B2
D' B' L' F R2 D' B2
L B' L2 U F L' U'
D' B' R2 L' D' F B2
D' B' R2 L' D' B2 F
D' B' R2 L' F D' B2
D' B2 U' L' R2 F B'
D' B2 U' L' R2 B' F
D' B2 U' L' F R2 B'
D' B2 U' L' F B' R2
D' B2 U' L' B' R2 F
D' B2 U' L' B' F R2
D' B2 U' R2 L' F B'
D' B2 U' R2 L' B' F
