D' B L U' R' B'
B L U2 D2 B' L U
B L D2 U2 B' L U
B L F U2 B' L' U
B L F' R U2 B' U
D' L B L U' R' B2
B L' F L2 U2 L U
F2 L' F B L R U'
F2 L' F B R L U'
B L' F' L2 R F2 U'
B L' F' R L2 F2 U'
B L' F' R F2 L2 U'
F' L' B R F L U'
F2 L' B F L R U'
F2 L' B F R L U'
F' L2 B L R F U'
F' L2 B R L F U'
F2 L2 B L F R U'
L' D' F B L U' B'
L2 D' B L F U' B'
L' D' B F L U' B'
L' D2 F B L R' U'
L' D2 F B R' L U'
L' D2 B R' F L U'
L2 D2 B L R' F U'
L2 D2 B L F R' U'
L' D2 B F L R' U'
L2 D2 B R' L F U'
L' D2 B F R' L U'
D' F B L U' R' B'
L' F B L U' D' B2
L' F B L U2 L2 U
L' F B L D' U' B2
L' F B L D2 R2 U'
U2 F' L' B R F U'
B D' L U' B R' B2
D' F' B L U' R' B'
L' F' B L R F2 U'
L' F' B R L F2 U'
L' F' B R F2 L U'
L2 F' B L R F U'
U2 F' B L' R F U'
U2 F' B R L' F U'
L2 F' B R L F U'
F' D' B L R U' R2
F' D' B R L U' R2
D' F2 B L U' R' B'
L2 F2 B L F R U'
D' B L R U' R2 B'
D' B L R U' B' R2
D2 B L R F' R2 U'
D2 B L R' U2 B U
D' B L R2 U' R B'
D' B L R2 U' B' R
D' B L U' R B' R2
D' B L U' R' D B'
D' B L U' R' D' B'
D' B L U' R' D2 B'
D' B L U' R' B' D
D' B L U' R' B' D'
D' B L U' R' B' D2
D' B L U' R2 B' R
D' B L U' D R' B'
D' B L U' D' R' B'
D' B L U' D2 R' B'
D' B L D U' R' B'
D' B L D' U' R' B'
D' B L D2 U' R' B'
D' B L F U' R' B'
D' B L F' U' R' B'
D' B L F2 U' R' B'
L2 B L F U2 L' U
L2 B L F' R F2 U'
D2 B R L F' R2 U'
D' B R L U' R2 B'
D' B R L U' B' R2
D2 B R F' L R2 U'
D2 B R F' R2 L U'
D2 B R' L U2 B U
F' D2 B L R F' U'
F' D2 B R L F' U'
F' D2 B R F' L U'
D' B R2 L U' R B'
D' B R2 L U' B' R
F' B L R U2 B' U
F' B L' R F L2 U'
B F L U2 B' L2 U
F2 B L' F L2 R U'
F2 B L' F R L2 U'
F B L U2 B' L2 U
F' B R L U2 B' U
L' B D' F L U' B'
F' B R L' F L2 U'
L2 B D' L F U' B'
D' B D2 L U' R' B
D' B F L U' R' B'
L B D' L U' R2 B'
L B D' L U' B' R2
L' B F L U' D' B2
L' B F L U2 L2 U
L' B F L D' U' B2
L' B F L D2 R2 U'
D' B F' L U' R' B'
L' B F' L R F2 U'
L' B F' R L F2 U'
L' B F' R F2 L U'
L2 B F' L R F U'
D' B F2 L U' R' B'
U2 B F' L' R F U'
L2 B F' R L F U'
U2 B F' R L' F U'
L2 B F2 L F R U'
F' B D2 L R F' U'
F' B D2 R L F' U'
F' B D2 R F' L U'
B F' L R U2 B' U
B F' L' R F L2 U'
B F' R L U2 B' U
B F' R L' F L2 U'
L B' D R' U L2 B
L B' D R' U B L2
B F' D2 L R F' U'
B F' D2 R L F' U'
B F' D2 R F' L U'
B F2 L' F L2 R U'
B F2 L' F R L2 U'
