B L D' F U2 L'
B D' L F U2 L'
D' B L F U2 L'
D B L R' F U2
D B L F R' U2
D B R' L F U2
B L R F U F2 U
B L R F U2 D' L2
B L R F D R2 U2
B L R F D' U2 L2
B L R' F U' B U'
B L U2 L2 D B' L
B L U2 D L2 B' L
B L D U2 L2 B' L
B L D' R F U2 L'
B L D' R' F U2 L'
B L D' R2 F U2 L'
B L D' F R U2 L'
B L D' F R' U2 L'
B L D' F R2 U2 L'
B L D' F U2 L' D
B L D' F U2 L' D'
B L D' F U2 L' D2
B L D' F U2 D L'
B L D' F U2 D' L'
B L D' F U2 D2 L'
B L D' F D U2 L'
B L D' F D' U2 L'
B L D' F D2 U2 L'
B L D' F' R F2 U2
B L F R U F' U
B L F R' U' B U'
D' L F B L U2 L2
D L F B L R' U2
D L F B R' L U2
B L F2 D' F' R U2
D L B R' F L U2
D' L B F L U2 L2
D L B F L R' U2
D L B F R' L U2
B' L' R' B' D L2 F
D L' R' B' L R' F'
D L' R' B' R' L F'
D L' R' B' R' F' L
D L' R2 F' B' L R'
D L' R2 F' B' R' L
D L' R2 B' L F' R'
D L' R2 B' F' L R'
D L' R2 B' F' R' L
R' L' B' R' D L2 F'
R' L' B' R' D F' L2
R' L' B' R' F' D L2
L' R' B' R' D L2 F'
L' R' B' R' D F' L2
L' R' B' R' F' D L2
R' L' B' D L2 R' F'
R' L' B' D R' L2 F'
R' L' B' D R' F' L2
L' R' B' D L2 R' F'
L' R' B' D R' L2 F'
L' R' B' D R' F' L2
D L' B L R' U2 B2
D L' B L U2 B2 L
D L' B R' L U2 B2
D L' B R' U2 B2 R'
D L' B U2 B2 L R'
D L' B U2 B2 R' L
D L' B' L R' D2 F2
D L' B' L D2 R' F2
D L' B' L D2 F2 R'
D L' B' R' L D2 F2
D L' B' R' D2 L F2
D L' B' R' D2 F2 L
D L' B' D2 L R' F2
D L' B' D2 L F2 R'
D L' B' D2 R' L F2
D L' B' D2 R' F2 L
D L' B' D2 F2 L R'
D L' B' D2 F2 R' L
D L2 B L R' U2 B'
D L2 B R' L U2 B'
B R L F U F2 U
B R L F U2 D' L2
B R L F D R2 U2
B R L F D' U2 L2
B R' L F U' B U'
B' R' L' B' D L2 F
D R' L' B' L R' F'
D R' L' B' R' L F'
D R' L' B' R' F' L
R' U' B L F R U'
D' R' F L' B' R' F'
D R2 L' F' B' L R'
D R2 L' F' B' R' L
D R2 L' B' L F' R'
D R2 L' B' F' L R'
D R2 L' B' F' R' L
U' R2 U F' L' B' R'
D' R2 F L' F2 B' R'
D' R2 F L' B' R' F2
D' R2 F L' B' F2 R'
D R2 F' L' B' L R'
D R2 F' L' B' R' L
L' D R' B' L R' F'
L' D R' B' R' L F'
L' D R' B' R' F' L
L' D R2 F' B' L R'
L' D R2 F' B' R' L
L' D R2 B' L F' R'
L' D R2 B' F' L R'
L' D R2 B' F' R' L
L D F B L R' U2
L D F B R' L U2
L' D B L R' U2 B2
L' D B L U2 B2 L
L' D B R' L U2 B2
L' D B R' U2 B2 R'
L' D B U2 B2 L R'
L' D B U2 B2 R' L
L' D B' L R' D2 F2
L' D B' L D2 R' F2
L' D B' L D2 F2 R'
L' D B' R' L D2 F2
L' D B' R' D2 L F2
L' D B' R' D2 F2 L
L D B R' F L U2
L' D B' D2 L R' F2
L' D B' D2 L F2 R'
L' D B' D2 R' L F2
L' D B' D2 R' F2 L
L' D B' D2 F2 L R'
L' D B' D2 F2 R' L
L D B F L R' U2
L D B F R' L U2
U2 D B R' F' L' U2
L D' F B L U2 L2
L D' B F L U2 L2
D U2 B R' F' L' U2
D' F L' R' B' R' F'
D' F L' R2 F' B' R'
D' F L' R2 B' F' R'
D' F L' B' R' D2 F2
D' F L' B' D2 R' F2
D' F L' B' D2 F2 R'
D' F R' L' B' R' F'
D' F R2 L' F' B' R'
D' F R2 L' B' F' R'
B D L U2 L2 B' L
B D L D2 F U2 L'
L F D B L R' U2
L F D B R' L U2
D' F B L U2 L2 B'
D' F B L F U2 L2
D F B L R' F U2
D F B L F R' U2
D F B R' L F U2
F' D B L R' F U2
F' D B L F R' U2
F' D B R' L F U2
F2 D B L R' F U2
F2 D B L F R' U2
F2 D B R' L F U2
F D B L R' F U2
F D B L F R' U2
F D B R' L F U2
B D' L R F U2 L'
B D' L R' F U2 L'
B D' L R2 F U2 L'
B D' L F R U2 L'
B D' L F R' U2 L'
B D' L F R2 U2 L'
B D' L F U2 L' D
B D' L F U2 L' D'
B D' L F U2 L' D2
B D' L F U2 D L'
B D' L F U2 D' L'
B D' L F U2 D2 L'
B D' L F D U2 L'
B D' L F D' U2 L'
B D' L F D2 U2 L'
B D' L F' R F2 U2
B D' R L F U2 L'
D' F' B L R F U2
D' F' B R L F U2
B D' R' L F U2 L'
D F' B L R' F U2
D F' B L F R' U2
D F' B R' L F U2
B D' R2 L F U2 L'
B D' F L U2 L2 B'
B D' F L F U2 L2
B D' F' L R F U2
B D' F' R L F U2
F' D' B L F U2 L'
B D' F2 L F R U2
F2 D' B L F U2 L'
D' F2 R2 F' L' B' R'
F D' B L F U2 L'
B D2 L F U' B' U'
D' F2 B L F R U2
D F2 B L R' F U2
D F2 B L F R' U2
D F2 B R' L F U2
D' B L R F U2 L'
D' B L R' F U2 L'
D' B L R2 F U2 L'
D2 B L F U' B' U'
D' B L F R U2 L'
D' B L F R' U2 L'
D' B L F R2 U2 L'
D' B L F U2 L' D
D' B L F U2 L' D'
D' B L F U2 L' D2
D' B L F U2 D L'
D' B L F U2 D' L'
D' B L F U2 D2 L'
D' B L F D U2 L'
D' B L F D' U2 L'
D' B L F D2 U2 L'
D' B L F' R F2 U2
L2 B L U2 D B' L
L2 B L D U2 B' L
D B L R F R2 U2
D B L R' D F U2
D B L R' D' F U2
D B L R' D2 F U2
D B L R' F U2 D
D B L R' F U2 D'
D B L R' F U2 D2
D B L R' F D U2
D B L R' F D' U2
D B L R' F D2 U2
D B L D R' F U2
D B L D F R' U2
D B L D' R' F U2
D B L D' F R' U2
D B L D2 R' F U2
D B L D2 F R' U2
D B L F R' U2 D
D B L F R' U2 D'
D B L F R' U2 D2
D B L F R' D U2
D B L F R' D' U2
D B L F R' D2 U2
D B L F D R' U2
D B L F D' R' U2
D B L F D2 R' U2
D B L F' R' F2 U2
D' B R L F U2 L'
D' B R' L F U2 L'
D B R L F R2 U2
D' B R2 L F U2 L'
D B R' L D F U2
D B R' L D' F U2
D B R' L D2 F U2
D B R' L F U2 D
D B R' L F U2 D'
D B R' L F U2 D2
D B R' L F D U2
D B R' L F D' U2
D B R' L F D2 U2
D B R' D L F U2
D B R' D' L F U2
D B R' D2 L F U2
D B R' F L F U2
D B R' F' L F U2
D B R' F2 L F U2
F' B L D' F U2 L'
F2 B L D' F U2 L'
D2 B D L F U2 L'
B F L D' F U2 L'
F B L D' F U2 L'
D B D L R' F U2
D B D L F R' U2
D B D R' L F U2
