U L' R' F' U
U R' L' F' U
U L R' F' L2 U
U L' R' D F' U
U L' R' D' F' U
U L' R' D2 F' U
U L' R' F' U D
U L' R' F' U D'
U L' R' F' U D2
U L' R' F' D U
U L' R' F' D' U
U L' R' F' D2 U
U L' D R' F' U
U L' D' R' F' U
U L' D2 R' F' U
U L' F R' F' U
U L' F' R' F' U
U L' F2 R' F' U
U L2 R' F' L U
U R' L F' L2 U
U R' L' D F' U
U R' L' D' F' U
U R' L' D2 F' U
U R' L' F' U D
U R' L' F' U D'
U R' L' F' U D2
U R' L' F' D U
U R' L' F' D' U
U R' L' F' D2 U
U R' L2 F' L U
U R' D L' F' U
U R' D' L' F' U
U R' D2 L' F' U
D2 U L' R' F' U
D' U L' R' F' U
U D L' R' F' U
D U L' R' F' U
D2 U R' L' F' U
D' U R' L' F' U
U D R' L' F' U
D U R' L' F' U
U D' L' R' F' U
U D' R' L' F' U
U D2 L' R' F' U
U D2 R' L' F' U
U F R' F' L' U
U L R' D' F' U B2
U L R' F L2 F2 U
U L R' F' L2 U D
U L R' F' L2 U D'
U L R' F' L2 U D2
U L R' F' L2 D U
U L R' F' L2 D' U
U L R' F' L2 D2 U
U L R' F' U D' B2
U L R' F' D' U B2
U2 L U' L2 R' F' U
U2 L U' R' L2 F' U
U2 L U' R' F' L2 U
U' L U2 R' F L2 U
U' L U2 F L2 R' U
U' L U2 F R' L2 U
U L D' R' F' U B2
U L F L2 R' F' U
U L F R' L2 F' U
U L F R' F' L2 U
U L F' L2 R' F' U
U L F' R' L2 F' U
U L F' R' F' L2 U
U L F2 L2 R' F' U
U L F2 R' L2 F' U
U L F2 R' F' L2 U
L' R' U' L U F U
R' L' U' L U F U
U L' R F R2 F' U
U L' R F' R2 F' U
U L' R F2 R2 F' U
U L' R' D F' U D
U L' R' D F' U D'
U L' R' D F' U D2
U L' R' D F' D U
U L' R' D F' D' U
U L' R' D F' D2 U
U L' R' D' F' U D
U L' R' D' F' U D'
U L' R' D' F' U D2
U L' R' D' F' D U
U L' R' D' F' D' U
U L' R' D' F' D2 U
U L' R' D2 F' U D
U L' R' D2 F' U D'
U L' R' D2 F' U D2
U L' R' D2 F' D U
U L' R' D2 F' D' U
U L' R' D2 F' D2 U
U L' R' F U D' L2
U L' R' F D' U L2
U L' R' F2 D F U
U L' R' F2 D' F U
U L' R' F2 D2 F U
B L' U' L U2 F L
U L' D R' D F' U
U L' D R' D' F' U
U L' D R' D2 F' U
U L' D R' F' U D
U L' D R' F' U D'
U L' D R' F' U D2
U L' D R' F' D U
U L' D R' F' D' U
U L' D R' F' D2 U
U L' D F R' F' U
U L' D F' R' F' U
U L' D F2 R' F' U
U L' D' R' D F' U
U L' D' R' D' F' U
U L' D' R' D2 F' U
U L' D' R' F' U D
U L' D' R' F' U D'
U L' D' R' F' U D2
U L' D' R' F' D U
