F L B' U B U
U' L U B' L' F U2
F L D B' U B U
F L D' B' U B U
F L D2 B' U B U
F2 L F' B' U B U
F' L F2 B' U B U
F L B' L U B U
F L B' L' U B U
F L B' L2 U B U
F L B' U D B U
F L B' U D' B U
F L B' U D2 B U
F L B' U B U D
F L B' U B U D'
F L B' U B U D2
F L B' U B D U
F L B' U B D' U
F L B' U B D2 U
F L B' D U B U
F L B' D' U B U
F' L B' F2 U B U
F2 L B' F' U B U
F L B' D2 U B U
F L B2 U2 D' R2 F'
F L B2 D L2 B U2
F L B2 D B L2 U2
F L B2 D' U2 R2 F'
F L B2 D' B U2 R2
F L' U R U R' F
F L' U R U F R'
F L' U R' U R F
F L' U R2 U R2 F
F L' U R2 U F R2
F L' U2 F U F' U'
F L' U2 F2 D F' R2
U L' F U' F' L' U
F2 L' F' U2 F2 D R2
F L' B U B' U F
F L' B' U B U F
F L' B2 U B2 U F
F L' B2 U2 D' R2 F
F L' B2 U2 D' F R2
F L' B2 U2 F D' R2
F L' B2 D L2 B' U2
F L' B2 D' U2 R2 F
F L' B2 D' U2 F R2
F L2 U R U R' F'
F L2 U B' R' U R
R' U L' F2 L' F' B'
R' U L' F2 L' B' F'
L2 U R U R' F' B'
L2 U R U R' B' F'
R U L2 B2 L F B
R U L2 B2 L B F
L' U R' U R F B
L' U R' U R B F
F L2 B U B' R' U
R' U F2 L' F D2 B2
D2 R U F' D2 B2 L
D2 R U' F R' U2 F2
R U B' L2 B' L F
R' U' D2 R F U2 F2
R U' D2 R' F B U2
R' U' F U2 L' F L'
R U' D2 R' B F U2
R' U' F U2 F L' F
R U' D2 F R' B U2
R U' F D2 R' B U2
D2 R' U' B R F U2
F' R' U' F2 U2 L' F
F U R' U D2 R F'
F U R' D2 U R F'
U' D F U' L' U' L
F U D' B R' U R
F U D2 R U F' R'
F U' L U B' L' U2
D U' F U' L' U' L
L D' B' U L B U
R2 D2 R U L2 F' B'
R2 D2 R U L2 B' F'
R' D2 U' R F U2 F2
R D2 U' R' F B U2
R D2 U' R' B F U2
R D2 U' F R' B U2
D2 F U R U F' R'
D' F U B R' U R
U' F U' L' U' F L
D F U' L' U L U2
D' F B U R' B' U
B2 D F L2 U' L U'
F2 D F' U R U R'
D F' R U D2 B2 L
D F' R U' R' F2 U2
D F' R U' F2 R' U2
D F' R D2 U B2 L
D F' D2 R U B2 L
F D' U B R' U R
B' D' F U B R' U
R' F2 R2 U L' F B
R' F2 R2 U L' B F
R' F2 R2 U B L' F
R' F2 U L' F D2 B2
F D' B U R' B' U
F' D2 R U F' B2 L
F' D2 R U B2 L F'
F' D2 R U B2 F' L
F D2 U R U F' R'
L2 B U B' R' U B'
B' F L B' U B2 U
B' F L B' U2 D' R2
B' F L B' D L2 U2
B' F L B' D' U2 R2
B2 F L D L2 U2 F
B2 F L D B' L2 U2
B2 F L D' B' U2 R2
B' F L' U B U F
B2 F L B' U B' U
B2 F L' U B2 U F
B2 F L' U2 D' R2 F
B2 F L' U2 D' F R2
B2 F L' U2 F D' R2
B2 F L' D L2 B' U2
B2 F L' D' U2 R2 F
B2 F L' D' U2 F R2
D' B F U R' B' U
B' F U D' B R' U
L B' L U B U B2
L B' L U2 B' D' R2
B' F D' U B R' U
L B' L' F U B U
L B' L2 U B L U
F B' L B' U B2 U
F B' L B' U2 D' R2
F B' L B' D L2 U2
F B' L B' D' U2 R2
F B' L' U B U F
L B' U L B U B2
L B' U B L U B'
F B' U D' B R' U
F B' D' U B R' U
F B2 L D L2 U2 F
F B2 L D B' L2 U2
F B2 L D' B' U2 R2
F B2 L B' U B' U
F B2 L' U B2 U F
F B2 L' U2 D' R2 F
F B2 L' U2 D' F R2
F B2 L' U2 F D' R2
F B2 L' D L2 B' U2
F B2 L' D' U2 R2 F
F B2 L' D' U2 F R2
