B U' B R U
U' B2 R U B'
U' L B2 R U B'
B2 L' R U L B'
U' L' B2 R U B'
B2 L2 R U L2 B'
U' L2 B2 R U B'
B2 R L' U L B'
B2 R L2 U L2 B'
D2 U F2 L' U' B
R' D' R B R F2
R' D' F2 R B R
B' U' R B' U B'
B U' D B R U
B U' D' B R U
B U' D2 B R U
B' U' B' R U B'
B U' B R U D
B U' B R U D'
B U' B R U D2
B U' B R U D2
B U' B R D U
B U' B R D' U
B U' B R D2 U
B U' B D R U
B U' B D R U
B U' B D' R U
B U' B D2 R U
B U' B' R B2 U
B U' B2 R B' U
U D2 F2 L' U' B
B D U' B R U
D2 F2 L' U' L B
B D' U' B R U
B D' U' B R U
B D2 U' B R U
D' B R' D' R' F2
D' B R' D' F2 R'
D' B R2 U' R' U
D2 B U F2 L' U'
D' B U' R U R
U' B' R B' U B'
U' B2 R U D B'
U' B2 R U D' B'
U' B2 R U D2 B'
U' B2 R U B' D
U' B2 R U B' D'
U' B2 R U B' D2
U' B2 R D U B'
U' B2 R D' U B'
U' B2 R D2 U B'
L2 B2 R U B' L2
L B2 R U B' L'
U' B2 D R U B'
U' B2 D' R U B'
U' B2 D2 R U B'
U2 L U B2 R U B'
B L U' B R U L'
F2 L D L' F2 B R
F2 L D L' B F2 R
U L U2 B2 R U B'
F2 L D B L' F2 R
F2 L D' L' B R2 F'
F L D' L' F B R2
F L D' L' B R2 F
F L D' L' B F R2
F2 L D' B L' R2 F'
F2 L D' B R2 L' F'
F L D' B L' R2 F
F L D' B L' F R2
F L D' B R2 L' F
U L D2 F2 L' U' B
L' R B2 U' R' U2 B
B L B R U B' L'
U' L B' R B' U B'
U' L B2 R U D B'
U' L B2 R U D' B'
U' L B2 R U D2 B'
U' L B2 R U B' D
U' L B2 R U B' D'
U' L B2 R U B' D2
U' L B2 R D U B'
U' L B2 R D' U B'
U' L B2 R D2 U B'
U' L B2 D R U B'
U' L B2 D' R U B'
U' L B2 D2 R U B'
B2 L' R U L D B'
B2 L' R U L D' B'
B2 L' R U L D2 B'
B2 L' R U L B' D
B2 L' R U L B' D'
B2 L' R U L B' D2
B2 L' R F U L B'
B2 L' R F' U L B'
B2 L' R F2 U L B'
U2 L' U B2 R U B'
F2 L' U' L D' B R2
F2 L' U' D' L B R2
U L' U2 B2 R U B'
F2 L' D' U' L B R2
F2 L' D2 F2 U' L B
U L' D2 F2 L' U' B
R L' B2 U' R' U2 B
B2 L' F' U L F B'
B2 L' F' U L B' F
D2 L' F2 L' U' L2 B
D2 L' F2 L' U' B L2
B L' B R U B' L
U' L' B' R B' U B'
U' L' B2 R U D B'
U' L' B2 R U D' B'
U' L' B2 R U D2 B'
U' L' B2 R U B' D
U' L' B2 R U B' D'
U' L' B2 R U B' D2
U' L' B2 R D U B'
U' L' B2 R D' U B'
U' L' B2 R D2 U B'
U' L' B2 D R U B'
U' L' B2 D' R U B'
U' L' B2 D2 R U B'
B2 L2 R U L2 D B'
B2 L2 R U L2 D' B'
B2 L2 R U L2 D2 B'
B2 L2 R U L2 B' D
B2 L2 R U L2 B' D'
B2 L2 R U L2 B' D2
B2 L2 R U B L2 B'
B2 L2 R U B' L2 B'
B2 L2 R U B2 L2 B'
B2 L2 R U' F U2 L2
U2 L2 U B2 R U B'
B L2 U' B R U L2
U L2 U2 B2 R U B'
U L2 D2 F2 L' U' B
D2 L2 F2 L' U' L' B
D2 L2 F2 L' U' B L'
B L2 B R U B' L2
U' L2 B' R B' U B'
U' L2 B2 R U D B'
U' L2 B2 R U D' B'
U' L2 B2 R U D2 B'
U' L2 B2 R U B' D
U' L2 B2 R U B' D'
U' L2 B2 R U B' D2
U' L2 B2 R D U B'
U' L2 B2 R D' U B'
U' L2 B2 R D2 U B'
F2 L2 B2 R' U B' L2
U' L2 B2 D R U B'
U' L2 B2 D' R U B'
U' L2 B2 D2 R U B'
B2 R L' U L D B'
B2 R L' U L D' B'
B2 R L' U L D2 B'
B2 R L' U L B' D
B2 R L' U L B' D'
B2 R L' U L B' D2
B2 R L' F U L B'
B2 R L' F' U L B'
B2 R L' F2 U L B'
B2 R L2 U L2 D B'
B2 R L2 U L2 D' B'
B2 R L2 U L2 D2 B'
B2 R L2 U L2 B' D
B2 R L2 U L2 B' D'
B2 R L2 U L2 B' D2
B2 R L2 U B L2 B'
B2 R L2 U B' L2 B'
B2 R L2 U B2 L2 B'
B2 R L2 U' F U2 L2
U' R U R D' R2 B
U' R U R' D' B R2
B2 R U B' U B U'
B2 R U B2 D L2 B
B2 R U B2 D B L2
B2 R D L' U L B'
B2 R D L2 U L2 B'
B' R D B' L2 U L2
L2 U B2 R U B' L2
B2 R D' L' U L B'
B2 R D' L2 U L2 B'
L U B2 R U B' L'
B2 R D2 L' U L B'
B2 R D2 L2 U L2 B'
B2 R F L' U L B'
B2 R F L2 U L2 B'
B2 R F' L' U L B'
B2 R F' L2 U L2 B'
B2 R F2 L' U L B'
B2 R F2 L2 U L2 B'
B' R B' L' U L B'
R' U' R2 B L B U
B' R B' L2 U L2 B'
U' R B' D B' L U
R2 U' R2 B2 R U B'
U' R B2 U R' B R
U' R B2 U2 R' U' B
U2 R B2 U D2 L B'
U' R B2 D2 L U B'
R2 U' D' R' U R' B
U2 R B2 D2 U L B'
D' R' U' R2 U R B
R' U' B L B R2 U
B' R' U' R2 B' U B'
B' R' U' B' R2 U B'
B R' U' R2 B' U R'
B R' U' B' R2 U R
D' R' D R B R2 F'
L2 U' B2 R U B' L2
D' R' D' R F2 B R2
D' R' D' R B R2 F2
D' R' D' R B F2 R2
L U' B2 R U B' L'
D' R' D' F2 R B R2
B' R' B D' F2 B R2
B' R' B D' B R2 F2
B' R' B D' B F2 R2
B2 R' B' U' B R2 U
B' R' B2 U' B R2 U
B2 R' B2 D' F2 B R2
B2 R' B2 D' B R2 F2
B2 R' B2 D' B F2 R2
R2 U2 F' U R' B2 U
B R2 U F' U2 R' U
B' R2 U' R' B' U B'
B R2 U' R2 B R U
D' R2 U2 F' U R' U
L2 U2 B2 R U B' L2
U' R2 D' R' U R' B
L U2 B2 R U B' L'
R' D R D2 F2 B R2
R' D R D2 B R2 F2
R' D R D2 B F2 R2
R' D R B D2 R2 F'
B R2 F' U' R' U R
R' D R' D2 R2 F2 B
R' D R' D2 R2 B F2
B2 R2 B' U' B R' U
D2 U L F2 L' U' B
B U L U2 B R U
F2 U L' U' D' B R2
D2 U L' F2 L' U' B
F2 U L' U2 B2 U B'
F2 U L' D' U' B R2
F2 U L' D2 F2 U' B
B U L' U2 B R U
D2 U L2 F2 L' U' B
B U L2 U2 B R U
F2 U D' L' U' B R2
D' U F2 L' U' B R2
D2 U F2 L' U' D B
D2 U F2 L' U' D' B
D2 U F2 L' U' D2 B
D2 U F2 L' U' B D
D2 U F2 L' U' B D'
D2 U F2 L' U' B D2
D2 U F2 L' D U' B
D2 U F2 L' D' U' B
D2 U F2 L' D2 U' B
F2 U D2 L' F2 U' B
D2 U F2 D L' U' B
D2 U F2 D' L' U' B
D2 U F2 D2 L' U' B
R' D' R B R F2 D
R' D' R B R F2 D'
R' D' R B R F2 D2
R' D' R B R' F2 R2
R' D' R B R2 F2 R'
R' D' R B' R F2 B2
R' D' R B' R B2 F2
R' D' R B2 R F2 B'
R' D' R B2 R B' F2
R2 D' R D' R F2 B
R2 D' R D' R B F2
B U F2 L' U2 B U
R' D' R2 F2 R' B R
R2 D' R2 B U' R U
R2 D' U' R' U R' B
U' D' R U R' B R2
D' U' R U R' B R2
R' D' F R B R F
B U' L B L' R U
B U' L B R L' U
R D' F L' U L R2
R D' F L' U R2 L
R' D' F2 R D B R
R' D' F2 R D' B R
R' D' F2 R D2 B R
R' D' F2 R B R D
R' D' F2 R B R D'
R' D' F2 R B R D2
R' D' F2 R B D R
R' D' F2 R B D' R
R' D' F2 R B D2 R
R' D' F2 R B' R B2
R' D' F2 R B2 R B'
F2 U' L2 B2 R' U B'
B' U' R D B' L2 U
R' D' F2 B R B R
R' D' F2 B' R B R
R' D' F2 B2 R B R
B U' L2 B L2 R U
B U' L2 B R L2 U
B' U' R B' U D B'
B' U' R B' U D' B'
B' U' R B' U D2 B'
B' U' R B' U B' D
B' U' R B' U B' D'
B' U' R B' U B' D2
B' U' R B' D U B'
B' U' R B' D' U B'
B' U' R B' D2 U B'
R' D' B R B R F2
B U' R D B U R'
R' D' B F2 R B R
B' U' R' B' R2 U B'
R' D' B' R B R F2
R' D' B' F2 R B R
R' D' B2 R B R F2
B' U' D R B' L2 U
R' D' B2 F2 R B R
B' U' D B' L2 R U
B' U' D B' R L2 U
U D' F2 L' U' B R2
U' D' B' R U R B2
U' D' B' R U B2 R
D' U' B' R U R B2
D' U' B' R U B2 R
B U' D B R U D
B U' D B R U D'
B U' D B R U D2
B U' D B R D U
B U' D B R D' U
B U' D B R D2 U
B U' D B D R U
B U' D B D' R U
B U' D B D2 R U
B U' D B' R B2 U
B U' D B2 R B' U
D' U' B2 R U R B'
U' D' B2 R U R B'
D' U' B2 R U B' R
U' D' B2 R U B' R
B U' D' B R U D
B U' D' B R U D'
B U' D' B R U D2
B U' D' B R D U
B U' D' B R D' U
B U' D' B R D2 U
B U' D' B D R U
B U' D' B D' R U
B U' D' B D2 R U
B U' D' B' R B2 U
B U' D' B2 R B' U
B U' D2 B R U D
B U' D2 B R U D'
B U' D2 B R U D2
B U' D2 B R D U
B U' D2 B R D' U
B U' D2 B R D2 U
B U' D2 B D R U
B U' D2 B D' R U
B U' D2 B D2 R U
B U' D2 B' R B2 U
B U' D2 B2 R B' U
R' D2 R D F2 B R2
R' D2 R D B R2 F2
R' D2 R D B F2 R2
R' D2 R B D R2 F2
R' D2 R B D F2 R2
R' D2 R' D R2 F2 B
R' D2 R' D R2 B F2
U D2 L F2 L' U' B
U D2 L' F2 L' U' B
B' U' B' R U D B'
B' U' B' R U D' B'
B' U' B' R U D2 B'
B' U' B' R U B' D
B' U' B' R U B' D'
B' U' B' R U B' D2
B' U' B' R D U B'
B' U' B' R D' U B'
B' U' B' R D2 U B'
B U' B R' U D' F2
B U' B R' D' U F2
B U' B R2 D R' U
B U' B R2 D' R' U
B U' B R2 D2 R' U
B' U' B' D R U B'
B' U' B' D' R U B'
B' U' B' D2 R U B'
B U' B D R U D
B U' B D R U D'
B U' B D R U D2
B U' B D R D U
B U' B D R D' U
B U' B D R D2 U
B U' B D' R U D
B U' B D' R U D'
B U' B D' R U D2
B U' B D' R D U
B U' B D' R D' U
B U' B D' R D2 U
B U' B D2 R U D
B U' B D2 R U D'
B U' B D2 R U D2
B U' B D2 R D U
B U' B D2 R D' U
B U' B D2 R D2 U
U D2 L2 F2 L' U' B
B U' B' R U D' R2
B U' B' R D' U R2
F' U' B2 R' U F' B'
F' U' B2 R' U B' F'
B U' B' R B2 U D
B U' B' R B2 U D'
B U' B' R B2 U D2
B U' B' R B2 D U
B U' B' R B2 D' U
B U' B' R B2 D2 U
B U' B' R' B2 R2 U
B U' B' D' R U R
B U' B2 R D B' U
B U' B2 R D' B' U
B U' B2 R D2 B' U
B U' B2 R B' U D
B U' B2 R B' U D'
B U' B2 R B' U D2
B U' B2 R B' D U
B U' B2 R B' D' U
B U' B2 R B' D2 U
B U' B2 R' B' R2 U
B U' B2 D R B' U
B U' B2 D B' R U
B U' B2 D' R B' U
B U' B2 D' B' R U
B U' B2 D2 R B' U
B U' B2 D2 B' R U
B U2 L U B R U
B U2 L' U B R U
L' D2 F2 L' U' L2 B
L' D2 F2 L' U' B L2
B U2 L2 U B R U
