L D' F2 B' R' U
L D' B' R' F2 U
L D' B' F2 R' U
L D2 B' R' U L2
L B' R' U' R' U2
L B' D' R' F2 U
L B' D' F2 R' U
L B' D2 R' U L2
F' L D' F2 B' R' U
U' L D' F2 B' U F'
F2 L D' F2 B' R' U
F' L D' B' R' F2 U
F' L D' B' F2 R' U
F2 L D' B' R' F2 U
F L D' F2 B' R' U
U' L D' B' F2 U F'
F2 L D' B' F2 R' U
F L D' B' R' F2 U
F L D' B' F2 R' U
F' L D2 B' R' U L2
F2 L D2 B' R' U L2
U' L D2 B' U F L2
F L D2 B' R' U L2
L R F2 B' R' U L'
R L F2 B' R' U L'
R2 L B' R' U' R U2
L R B' R' U D2 L2
L R B' R' U' R2 U2
L R B' R' D' F2 U
L R B' R' D2 U L2
R2 L B' R' F2 U L'
R L B' R' U D2 L2
R L B' R' U' R2 U2
R L B' R' D' F2 U
R L B' R' D2 U L2
L R B' F2 R' U L'
R L B' F2 R' U L'
D2 L B' R' B U L
F' L B' R' U' R' U2
F2 L B' R' U' R' U2
F L B' R' U' R' U2
U' L B' U D2 F L2
U' L B' U F D2 L2
U' L B' U' R2 U2 F
F' L B' D' R' F2 U
F' L B' D' F2 R' U
F' L B' D2 R' U L2
F2 L B' D' R' F2 U
F2 L B' D' F2 R' U
U' L B' D' F2 U F'
F2 L B' D2 R' U L2
U' L B' D2 U F L2
F L B' D' R' F2 U
F L B' D' F2 R' U
F L B' D2 R' U L2
L R2 B' R' U' R U2
L R2 B' R' F2 U L'
R2 U L R' B' U F'
R2 U L B' R' U F'
R2 U R' L B' U F'
L U' R2 U B' R' U
U' R2 U L B' R' U
U2 R2 U L B' U F
L D B' R' U2 B' U'
L2 D' L' F2 B' R' U
L2 D' L' B' R' F2 U
L2 D' L' B' F2 R' U
L D' R F2 B' R' U
D U B2 R' U' F' R
L D' R B' R' F2 U
L D' R B' F2 R' U
U D B2 R' U' F' R
L D' R' F2 B' R' U
L D' R' B' R' F2 U
L D' R' B' F2 R' U
L D' R2 F2 B' R' U
L D' R2 B' R' F2 U
L D' R2 B' F2 R' U
L D' F B' R' F U
L D' F2 R B' R' U
L D' F2 R' B' R' U
L D' F2 R2 B' R' U
L D' F2 D B' R' U
L D' F2 D' B' R' U
L D' F2 D2 B' R' U
L D' F2 B' R' U D
L D' F2 B' R' U D'
L D' F2 B' R' U D2
L D' F2 B' R' D U
L D' F2 B' R' D' U
L D' F2 B' R' D2 U
L D' F2 B' D R' U
L D' F2 B' D' R' U
L D' F2 B' D2 R' U
L D' B' R F2 R2 U
L D' B' R' U D' L2
L D' B' R' D' U L2
L D' B' R' F2 U D
L D' B' R' F2 U D'
L D' B' R' F2 U D2
L D' B' R' F2 D U
L D' B' R' F2 D' U
L D' B' R' F2 D2 U
L D' B' D' R' U L2
L D' B' F R' F U
L D' B' F2 R' U D
L D' B' F2 R' U D'
L D' B' F2 R' U D2
L D' B' F2 R' D U
L D' B' F2 R' D' U
L D' B' F2 R' D2 U
L D' B' F2 D R' U
L D' B' F2 D' R' U
L D' B' F2 D2 R' U
L2 D2 L' B' R' U L'
L D2 R B' R' U L2
L D2 R' B' R' U L2
L D2 R2 B' R' U L2
L D2 F B' R' U L2
L D2 F' B' R' U L2
L D2 F2 B' R' U L2
L D2 B' R' U L2 D
L D2 B' R' U L2 D'
L D2 B' R' U L2 D2
L D2 B' R' D F2 U
L D2 B' R' F U L2
L D2 B' R' F' U L2
L D2 B' R' F2 U L2
L D2 B' D R' F2 U
L D2 B' D F2 R' U
L D2 B' F R' U L2
L D2 B' F' R' U L2
L D2 B' F2 R' U L2
L F D' F2 B' R' U
L F D' B' R' F2 U
L F D' B' F2 R' U
L F D2 B' R' U L2
L F B' R' U' R' U2
L F B' D' R' F2 U
L F B' D' F2 R' U
L F B' D2 R' U L2
L F' D' F2 B' R' U
L F' D' B' R' F2 U
L F' D' B' F2 R' U
L F' D2 B' R' U L2
L F' B' R' U' R' U2
L F' B' D' R' F2 U
L F' B' D' F2 R' U
L F' B' D2 R' U L2
R F2 L B' R' U L2
D' F2 D L B' R' U
B' D2 R' B L U L
L F2 D' F2 B' R' U
L F2 D' B' R' F2 U
L F2 D' B' F2 R' U
L F2 D2 B' R' U L2
L F2 B' R' U' R' U2
L F2 B' D' R' F2 U
L F2 B' D' F2 R' U
L F2 B' D2 R' U L2
L B R' B2 R' U L
D2 B' R' B L U L
L B' R U D' F2 L'
L B' R D' U F2 L'
L B' R F2 R2 U L'
L B' R' U B2 L B2
L B' R' U' R' U2 D
L B' R' U' R' U2 D'
L B' R' U' R' U2 D2
L B' R' U' R' D U2
L B' R' U' R' D' U2
L B' R' U' R' D2 U2
L B' R' U' D R' U2
L B' R' U' D' R' U2
L B' R' U' D2 R' U2
L B' R' U2 B2 U' L
L B' R' D U' R' U2
L B' R' D' U' R' U2
L B' R' D2 U' R' U2
L B' R' F U' R' U2
L B' R' F' U' R' U2
L B' R' F2 U' R' U2
L B' U' R2 U R U
L B' U2 D B2 L U'
L B' D R' U D L2
L B' D R' U2 B2 U'
L B' D R' D U L2
L B' D R' D2 F2 U
L B' D U2 B2 L U'
L B' D' R F2 R2 U
L B' D' R' U D' L2
L B' D' R' D' U L2
L B' D' R' F2 U D
L B' D' R' F2 U D'
L B' D' R' F2 U D2
L B' D' R' F2 D U
L B' D' R' F2 D' U
L B' D' R' F2 D2 U
L B' D' F R' F U
L B' D' F2 R' U D
L B' D' F2 R' U D'
L B' D' F2 R' U D2
L B' D' F2 R' D U
L B' D' F2 R' D' U
L B' D' F2 R' D2 U
L B' D' F2 D R' U
L B' D' F2 D' R' U
L B' D' F2 D2 R' U
L B' D2 R' U L2 D
L B' D2 R' U L2 D'
L B' D2 R' U L2 D2
L B' D2 R' D F2 U
L B' D2 R' F U L2
L B' D2 R' F' U L2
L B' D2 R' F2 U L2
L B' D2 F R' U L2
L B' D2 F' R' U L2
L B' D2 F2 R' U L2
L B' F R' U' R' U2
L B' F D' R' F2 U
L B' F D' F2 R' U
L B' F D2 R' U L2
L B' F' R' U' R' U2
L B' F' D' R' F2 U
L B' F' D' F2 R' U
L B' F' D2 R' U L2
L B' F2 R' U' R' U2
L B' F2 D' R' F2 U
L B' F2 D' F2 R' U
L B' F2 D2 R' U L2
