B L D2 F2 D R2
U' L2 D F L' B
U' L2 D F B L'
U' L2 D B F L'
U' L2 B D F L'
B' R' U2 B2 D' R2
B2 R2 U' F' B' L
B2 R2 U' B' L F'
B2 R2 U' B' F' L
B2 U B R' U2 B2
B2 U B U2 B2 L
B2 U' B' L D2 F2
B2 U' B' D2 L F2
B2 U' B' D2 F2 L
B' U2 B2 L D' R2
B' U2 B2 D' L R2
B' U2 B2 D' R2 L
B D2 L F2 D R2
B D2 F2 L D R2
B D2 F2 D L R2
B D2 F2 D R2 L
L2 B' U' F B2 L
L2 B' U' B2 F L
L2 B2 U' F B' L
L2 B2 U' B' F L
B L R D2 F2 D R2
B' L R' U2 B2 D' R2
B L R' D2 F2 D R2
B L R2 D2 F2 D R2
B L U' D' R2 U R2
B' L U2 B2 L D' R2
B' L U2 B2 D' L R2
B' L U2 B2 D' R2 L
B L U2 B2 U B2 U
B L U2 B2 U2 D' R2
B L U2 B2 D L2 U2
B L U2 B2 D' U2 R2
F2 L D B L R2 F
F2 L D B L F R2
F2 L D B R2 L F
B L D F2 D R2 F2
B L D F2 D F2 R2
B L D' U' R2 U R2
F' L D' B L R' F
F' L D' B L F R'
F' L D' B R' L F
B L D2 R F2 D R2
B L D2 R' F2 D R2
B L D2 R2 F2 D R2
B L D2 F2 R D R2
B L D2 F2 R' D R2
B L D2 F2 R2 D R2
B L D2 F2 U F2 U'
B L D2 F2 D R2 D
B L D2 F2 D R2 D'
B L D2 F2 D R2 D2
B L F2 D R2 D F2
B L F2 D2 F2 D' R2
F2 L B L D R2 F
U' L B L D F L'
F2 L B L D F R2
F L B L F D R2
U' L B U' F R U
F2 L B D L R2 F
F2 L B D L F R2
F2 L B D R2 L F
B' L' R' U2 B2 D' R2
B' L' U2 B2 L D' R2
B' L' U2 B2 D' L R2
B' L' U2 B2 D' R2 L
U2 L' F' U L' F B
U2 L' F' U L' B F
U2 L' F' U B L' F
U' L' B L D L2 F
U' L' B L' D F L2
U' L' B L' F D L2
B L' B' U' L2 F B
B L' B' U' L2 B F
B' L2 R' U2 B2 D' R2
B2 L2 U F B R' U2
B2 L2 U B R' F U2
B2 L2 U B F R' U2
B' L2 U2 B2 L D' R2
B' L2 U2 B2 D' L R2
B' L2 U2 B2 D' R2 L
U' L2 D F L B L2
U' L2 D F L' D B
U' L2 D F L' D' B
U' L2 D F L' D2 B
U' L2 D F L' B D
U' L2 D F L' B D'
U' L2 D F L' B D2
U' L2 D F D L' B
U' L2 D F D B L'
U' L2 D F D' L' B
U' L2 D F D' B L'
U' L2 D F D2 L' B
U' L2 D F D2 B L'
U' L2 D F B L' D
U' L2 D F B L' D'
U' L2 D F B L' D2
U' L2 D F B D L'
U' L2 D F B D' L'
U' L2 D F B D2 L'
U' L2 D F B' L' B2
F2 L2 D F B L R2
F2 L2 D F B R2 L
U' L2 D B F L' D
U' L2 D B F L' D'
U' L2 D B F L' D2
U' L2 D B F D L'
U' L2 D B F D' L'
U' L2 D B F D2 L'
U' L2 D B' F L' B2
F2 L2 D B R2 F L
F2 L2 D B F L R2
F2 L2 D B F R2 L
U' L2 D' F B' L B2
U' L2 D' B' F L B2
B L2 D2 L' F2 D R2
U' L2 D2 B D' F L'
U' L2 F L B D L2
U' L2 F D' B' L B2
F' L2 F B L D' R2
F' L2 F B D' L R2
F' L2 F B D' R2 L
U' L2 F B2 D' B' L
F L2 F D B L R2
F L2 F D B R2 L
F L2 F B L D R2
F L2 F B D L R2
F L2 F B D R2 L
U2 L2 F' U L' F2 B
U2 L2 F' U L' B F2
U2 L2 F' U B L' F2
U' L2 B D F L' D
U' L2 B D F L' D'
U' L2 B D F L' D2
U' L2 B D F D L'
U' L2 B D F D' L'
U' L2 B D F D2 L'
F' L2 B D' R2 F L
F' L2 B D' F L R2
F' L2 B D' F R2 L
F' L2 B F L D' R2
F' L2 B F D' L R2
F' L2 B F D' R2 L
F2 L2 B D R2 F L
F2 L2 B D F L R2
F2 L2 B D F R2 L
F L2 B F L D R2
F L2 B F D L R2
F L2 B F D R2 L
D2 L2 B' U' F B2 L
D2 L2 B' U' B2 F L
F' L2 B' U F B2 L
F' L2 B' U B2 F L
D' L2 B' U' F B2 L
D' L2 B' U' B2 F L
D L2 B' U' F B2 L
D L2 B' U' B2 F L
D2 L2 B2 U' F B' L
D2 L2 B2 U' B' F L
D' L2 B2 U' F B' L
D' L2 B2 U' B' F L
U' L2 B2 D F B' L'
U' L2 B2 D B' F L'
U' L2 B2 D' F B' L
U' L2 B2 D' B' F L
U' L2 B2 F D' B' L
D L2 B2 U' F B' L
D L2 B2 U' B' F L
B R L D2 F2 D R2
B R D2 L F2 D R2
L' U' L' F B D L2
B R D2 F2 L D R2
B R D2 F2 D L R2
B R D2 F2 D R2 L
L' U' L' B D F L2
L' U' L' B F D L2
B' R' L U2 B2 D' R2
B R' L D2 F2 D R2
B' R' L' U2 B2 D' R2
L2 U' F L' B D L2
B' R' L2 U2 B2 D' R2
B' R' U L' U B2 R'
B' R' U' R U' R' B2
B' R' U' R' U' R B2
B' R' U' R' U' B2 R
B' R' U' R2 U' R2 B2
B' R' U' R2 U' B2 R2
B' R' U' D' R2 U' R2
B' R' U2 R B2 D' R2
B' R' U2 R' B2 D' R2
B' R' U2 R2 B2 D' R2
B' R' U2 B2 R D' R2
B' R' U2 B2 R' D' R2
B' R' U2 B2 R2 D' R2
B' R' U2 B2 U' B2 U
B' R' U2 B2 D' R2 D
B' R' U2 B2 D' R2 D'
B' R' U2 B2 D' R2 D2
B' R' D' U' R2 U' R2
B R' D2 L F2 D R2
B' R' D2 F2 U' F2 U'
B' R' D2 F2 U2 D R2
B' R' D2 F2 D U2 R2
B' R' D2 F2 D' L2 U2
B R' D2 F2 L D R2
B R' D2 F2 D L R2
B R' D2 F2 D R2 L
B' R' F U' F' U' B2
B' R' F' U' F U' B2
B' R' F2 U' F2 U' B2
B' R' F2 U2 B2 D R2
U R' B' U F' L' U
B R2 L D2 F2 D R2
L' U2 F' U L' F B
L' U2 F' U L' B F
L' U2 F' U B L' F
L2 U2 F' U L' F2 B
L2 U2 F' U L' B F2
L2 U2 F' U B L' F2
B2 R2 U' F B' L F2
B2 R2 U' F' B' L D
B2 R2 U' F' B' L D'
B2 R2 U' F' B' L D2
B2 R2 U' F' B' D L
B2 R2 U' F' B' D' L
B2 R2 U' F' B' D2 L
B2 R2 U' B' L D F'
B2 R2 U' B' L D' F'
B2 R2 U' B' L D2 F'
B2 R2 U' B' L F' D
B2 R2 U' B' L F' D'
B2 R2 U' B' L F' D2
B2 R2 U' B' L' F' L2
B2 R2 U' B' D L F'
B2 R2 U' B' D F' L
B2 R2 U' B' D' L F'
B2 R2 U' B' D' F' L
B2 R2 U' B' D2 L F'
B2 R2 U' B' D2 F' L
B2 R2 U' B' F L F2
B2 R2 U' B' F' L D
B2 R2 U' B' F' L D'
B2 R2 U' B' F' L D2
B2 R2 U' B' F' D L
B2 R2 U' B' F' D' L
B2 R2 U' B' F' D2 L
U R2 D F' B' U2 L
U R2 D B' F' U2 L
B R2 D2 L F2 D R2
U R2 D' F' R B' U2
U R2 D' F' B' R U2
U R2 D' B' F' R U2
B R2 D2 F2 L D R2
B R2 D2 F2 D L R2
B R2 D2 F2 D R2 L
U R2 F' D B' U2 L
B2 R2 B U' F' B2 L
B2 R2 B U' B2 L F'
B2 R2 B U' B2 F' L
U R2 B' D' F' R U2
B' U L' U B2 L R'
B' U L' U B2 R' L
U' D L2 D F L' B
U' D L2 D F B L'
U' D L2 D B F L'
U' D L2 B D F L'
B' U R' U R U B2
B2 U R' U2 B' L F
B2 U R2 U2 F' B' L
B2 U R2 U2 B' L F'
B2 U R2 U2 B' F' L
L2 D B' U' F B2 L
L2 D B' U' B2 F L
L2 D B2 U' F B' L
L2 D B2 U' B' F L
B2 U F B R' U2 B2
B2 U F B U2 B2 L
B2 U F' B R' U2 B2
B2 U F' B U2 B2 L
B2 U F2 B R' U2 B2
B2 U F2 B U2 B2 L
B2 U B R' U2 B2 D
B2 U B R' U2 B2 D'
B2 U B R' U2 B2 D2
B2 U B R' D2 F2 U2
B2 U B R' F U2 B2
B2 U B R' F' U2 B2
B2 U B R' F2 U2 B2
B2 U B U2 L B2 L
B2 U B U2 L' B2 L
B2 U B U2 L2 B2 L
B2 U B U2 B2 L D
B2 U B U2 B2 L D'
B2 U B U2 B2 L D2
B2 U B U2 B2 D L
B2 U B U2 B2 D' L
B2 U B U2 B2 D2 L
B2 U B D2 R' F2 U2
B2 U B D2 F2 R' U2
B2 U B F R' U2 B2
B2 U B F U2 B2 L
B2 U B F' R' U2 B2
B2 U B F' U2 B2 L
B2 U B F2 R' U2 B2
B2 U B F2 U2 B2 L
B2 U B' L D2 F2 R
B2 U B' D2 L F2 R
U' D' L2 D F L' B
D' U' L2 D F L' B
U' D' L2 D F B L'
D' U' L2 D F B L'
U' D' L2 D B F L'
D' U' L2 D B F L'
D2 U' L2 D F L' B
D2 U' L2 D F B L'
D2 U' L2 D B F L'
U' D' L2 B D F L'
D' U' L2 B D F L'
B U B2 R' U' R U'
D2 U' L2 B D F L'
B' U' L B2 L D F2
D U' L2 D F L' B
D U' L2 D F B L'
D U' L2 D B F L'
D U' L2 B D F L'
B' U' L2 B2 D L F2
B' U' L2 B2 D F2 L
B' U' R U' R' B2 L
L' D' B' L U' B2 L
B' U' R2 U' R2 B2 L
B2 U' R2 F' R2 B' L
B2 U' R2 F' B' L R2
B2 U' R2 F' B' R2 L
L2 D' B' U' F B2 L
L2 D' B' U' B2 F L
B2 U' R2 B' L F' R2
B2 U' R2 B' F' L R2
B2 U' R2 B' F' R2 L
L' D' B2 U' B' L F
L2 D' B2 U' F B' L
L2 D' B2 U' B' F L
B U' D' R2 U L R2
B U' D' R2 U R2 L
B2 U' F B' L D2 F2
B2 U' F B' D2 L F2
B2 U' F B' D2 F2 L
B2 U' F' B' L D2 F2
B2 U' F' B' D2 L F2
B2 U' F' B' D2 F2 L
B2 U' F2 B' L D2 F2
U' D2 L2 D F L' B
U' D2 L2 D F B L'
U' D2 L2 D B F L'
B2 U' F2 B' D2 L F2
B2 U' F2 B' D2 F2 L
B2 U' B R' U2 R B2
B2 U' B R' U2 B2 R
U' D2 L2 B D F L'
B2 U' B' L U2 B2 U2
B2 U' B' L D2 F2 D
B2 U' B' L D2 F2 D'
B2 U' B' L D2 F2 D2
B2 U' B' L F D2 F2
B2 U' B' L F' D2 F2
B2 U' B' L F2 D2 F2
B2 U' B' L2 D2 L' F2
B2 U' B' U2 B2 R' U2
B2 U' B' D' L D' F2
B' U' B2 L U L' U'
B2 U' B' D2 L F2 D
B2 U' B' D2 L F2 D'
B2 U' B' D2 L F2 D2
B2 U' B' D2 L' F2 L2
B2 U' B' D2 F' L F'
B2 U' B' D2 F2 L D
B2 U' B' D2 F2 L D'
B2 U' B' D2 F2 L D2
B2 U' B' D2 F2 D L
B2 U' B' D2 F2 D' L
B2 U' B' D2 F2 D2 L
B2 U' B' F L D2 F2
B2 U' B' F D2 L F2
B2 U' B' F D2 F2 L
B2 U' B' F' L D2 F2
B' U' B2 L2 D L' F2
B2 U' B' F' D2 L F2
B2 U' B' F' D2 F2 L
B2 U' B' F2 L D2 F2
B2 U' B' F2 D2 L F2
B2 U' B' F2 D2 F2 L
B2 U' B2 L B L F
B2 U' B2 L2 F B L
B2 U' B2 L2 B F L
B' U2 L B2 L D' R2
B' U2 L B2 D' L R2
B' U2 L B2 D' R2 L
B' U2 L' B2 L D' R2
B' U2 L' B2 D' L R2
B' U2 L' B2 D' R2 L
B' U2 L2 B2 L D' R2
B' U2 L2 B2 D' L R2
B' U2 L2 B2 D' R2 L
B2 U2 R2 U F' B' L
B2 U2 R2 U B' L F'
B2 U2 R2 U B' F' L
L2 D2 B' U' F B2 L
L2 D2 B' U' B2 F L
L2 D2 B2 U' F B' L
L2 D2 B2 U' B' F L
B' U2 F U F' B2 L
B' U2 F U B2 L F'
B' U2 F U B2 F' L
U' F L2 D F L' B
U' F L2 D F B L'
U' F L2 D B F L'
U' F L2 B D F L'
B' U2 F' U F B2 L
B' U2 F' U B2 F L
B' U2 F2 U F2 B2 L
B' U2 F2 U B2 L F2
B' U2 F2 U B2 F2 L
B' U2 B2 L R D' R2
B' U2 B2 L R' D' R2
B' U2 B2 L R2 D' R2
B' U2 B2 L U' B2 U
B' U2 B2 L D' R2 D
B' U2 B2 L D' R2 D'
B' U2 B2 L D' R2 D2
B' U2 B2 L2 D' L' R2
B' U2 B2 L2 D' R2 L'
B' U2 B2 R L D' R2
B' U2 B2 R D' L R2
B' U2 B2 R D' R2 L
B' U2 B2 R' L D' R2
B' U2 B2 R' D' L R2
B' U2 B2 R' D' R2 L
B' U2 B2 R2 L D' R2
B' U2 B2 R2 D' L R2
B' U2 B2 R2 D' R2 L
B' U2 B2 D' L R2 D
B' U2 B2 D' L R2 D'
B' U2 B2 D' L R2 D2
B' U2 B2 D' R2 L D
B' U2 B2 D' R2 L D'
B' U2 B2 D' R2 L D2
B' U2 B2 D' R2 D L
B' U2 B2 D' R2 D' L
B' U2 B2 D' R2 D2 L
B' U2 B2 D2 L D R2
L2 F U F' U' B L
U2 F U B D2 F2 L'
B U2 B2 R' U B2 U
B U2 B2 R' U2 D' R2
B U2 B2 R' D L2 U2
B U2 B2 R' D' U2 R2
B U2 B2 U B2 U L
B U2 B2 D L2 R' U2
B U2 B2 D R' L2 U2
B U2 B2 D' R' U2 R'
U2 F U' B' R U2 B2
F2 D L B L R2 F
F2 D L B L F R2
F2 D L B R2 L F
F2 D L2 F B L R2
F2 D L2 F B R2 L
F2 D L2 B R2 F L
F2 D L2 B F L R2
F2 D L2 B F R2 L
B D L2 B U' B' L'
B D L2 B' U' L' B
B D L2 B' U' B L'
B D L2 B2 U' L' B2
B D L2 B2 U' B2 L'
