F' L' U' L U2 F U
F' L' U' L' B' L2 U'
F' L' U2 F' L' D F2
B R2 F U' L B R
L2 D F' L' U2 F' L'
B U' L R2 D B R'
B U' R2 L D B R'
B U' R2 D L B R'
R2 F B' U' B2 L R
R2 F B' U' B2 R L
R2 F B2 U' R B' L
R2 F B2 U' B' L R
R2 F B2 U' B' R L
L2 F' L' U' L' B' U'
F D B R2 U' L R'
F D B R2 U' R' L
F D2 B U' L B R
F' B L' U' L U' L
B' F U R' F2 U2 R2
B' F U F2 L' R' U2
B' F U F2 R' L' U2
B' F U' R D2 L2 B2
B' F U' R D2 B2 L2
F2 B U F L' U2 L2
B' F U' D2 B2 L R
B' F U' D2 B2 R L
B F U F2 L' U2 L2
B F U' L R D2 B2
B F U' L D2 R B2
B F U' L D2 B2 R
B F U' R L D2 B2
F B U F2 L' U2 L2
B F U' R D2 L B2
F B U' L R D2 B2
B F U' D2 L R B2
B F U' D2 L B2 R
F B U' L D2 R B2
B F U' D2 R L B2
F B U' L D2 B2 R
F B U' R L D2 B2
F B U' R D2 L B2
F B U' D2 L R B2
F B U' D2 L B2 R
F B U' D2 R L B2
B F D R2 U' L R'
B F D R2 U' R' L
F B D R2 U' L R'
F B D R2 U' R' L
B' F D2 U' B2 L R
B' F D2 U' B2 R L
B F D2 U' L R B2
B F D2 U' L B2 R
B F D2 U' R L B2
B' F' L' R' U' L U'
F' B' L' R' U' L U'
F B D2 U' L R B2
F B D2 U' L B2 R
F B D2 U' R L B2
B F' L' U' L U' L
B' F' R' L' U' L U'
F' B' R' L' U' L U'
F2 B' U R' F L' U2
F2 B' U F L' R' U2
F2 B' U F R' L' U2
F B' U R' F2 U2 R2
F B' U F2 L' R' U2
F B' U F2 R' L' U2
R2 B' F U' B2 L R
R2 B' F U' B2 R L
F B' U' R D2 L2 B2
F B' U' R D2 B2 L2
F B' U' D2 B2 L R
F B' U' D2 B2 R L
F B' D2 U' B2 L R
F B' D2 U' B2 R L
B' F2 U R' F L' U2
B' F2 U F L' R' U2
B' F2 U F R' L' U2
B F2 U F L' U2 L2
R2 B2 F U' R B' L
R2 B2 F U' B' L R
R2 B2 F U' B' R L
