F L B2 R' U B
F L R' B2 R' U B'
L2 R D' B' U' R2 B
F2 L F' B2 R' U B
F' L F2 B2 R' U B
F L B2 L R' U B
F L B2 L' R' U B
F' L B2 R' F2 U B
F L B2 L2 R' U B
F L B2 R' L U B
F L B2 R' L' U B
F L B2 R' L2 U B
F L B2 R' U D B
F L B2 R' U D' B
F L B2 R' U D2 B
F L B2 R' U B D
F L B2 R' U B D'
F L B2 R' U B D2
F L B2 R' D U B
F L B2 R' D' U B
F L B2 R' D2 U B
F' L B2 F2 R' U B
F2 L B2 F' R' U B
L2 R' D' B' U' R2 B2
L2 R' D' B' U' B2 R2
L2 R' D2 F2 B' U' B2
L2 R' D2 B' F2 U' B2
L2 R' B' U2 B' U B'
R' L2 D' B' U' R2 B2
R' L2 D' B' U' B2 R2
R L2 D' B' U' R2 B
R' L2 D2 F2 B' U' B2
R' L2 D2 B' F2 U' B2
B' L2 R' F B' U' B2
B' L2 R' B' F U' B2
R' L2 B' U2 B' U B'
B' L2 F R' B' U' B2
B' L2 F B' R' U' B
B' L2 B' R' F U' B
B' L2 B' F R' U' B
B2 R D2 R2 F U B
B2 R F D2 R2 U B2
F R B2 D2 R2 U B
F R' L B2 R' U B'
B' R' L2 F B' U' B2
B' R' L2 B' F U' B2
F R' U D' B R2 F'
B2 R' U2 L2 B' U' B2
B2 R' D F U F B
B2 R' D F U B F
F' R' D' L2 B R2 F'
F' R' D' B L2 R2 F'
F' R' D' B R2 L2 F'
F' R' D' B R2 F' L2
F R' D' U B R2 F'
B2 R' F U D F2 B
B2 R' F U D B F2
B2 R' F U B D F2
B2 R' F U2 L2 U' B
B2 R' F D U F2 B
B2 R' F D U B F2
F R' B2 U D F2 B'
F R' B2 U D B' F2
F R' B2 U B' D F2
F R' B2 D U F2 B'
F R' B2 D U B' F2
F R' B2 D2 R2 U B'
D2 R2 D F L' U R2
F U R' D' B R2 F'
R' D' F U B R2 F'
L2 D' F' R B' U' R
L2 D' F' B' R U' R
R' D' B R2 F' D' L2
L2 D' B' F' R U' R
B2 U2 L2 R' B' U' B2
B2 U2 L2 B' R' U' B
B2 U2 R' L2 B' U' B2
U' F L B2 R' U B
R' F L B2 R' U B'
D' F L' U R2 D2 F2
D' F L' U' B2 U2 R2
U2 F L B2 R' U B
D' F L' B U R2 F'
U F L B2 R' U B
R' F U D' B R2 F'
R' F D' U B R2 F'
D' F D2 L' U F2 R
D' F B L' U R2 F'
R' F B2 U D F2 B'
R' F B2 U D B' F2
R' F B2 U B' D F2
R' F B2 D U F2 B'
R' F B2 D U B' F2
R' F B2 D2 R2 U B'
R F B2 D2 R2 U B2
R' F' D' L2 B R2 F'
R' F' D' B L2 R2 F'
R' F' D' B R2 L2 F'
R' F' D' B R2 F' L2
R F' D L2 R2 U2 F2
R F' D R2 L2 U2 F2
R F' D' B2 U2 L2 R2
R F' D' B2 U2 R2 L2
B2 D' F L' U D2 F2
B2 D' F L' U' B2 U2
B2 D' F L' D' R2 U
B2 D' F L' D2 U F2
B2 D' F D' L' R2 U
B2 D' F D' R2 L' U
B2 D' F D2 L' U F2
B2 D2 R2 D F L' U
B2 D2 R2 F L U B'
B2 D2 F L R2 U B'
B2 D2 F R2 L U B'
L2 B R' B2 U' B' R'
B2 F R D2 R2 U B
D' B F L' U R2 F'
B2 F R' U D F2 B
B2 F R' U D B F2
B2 F R' U B D F2
B2 F R' U2 L2 U' B
B2 F R' D U F2 B
B2 F R' D U B F2
B2 F U2 L2 R' U' B
B2 F U2 R' L2 U' B
R' B' L2 F B' U' B'
B' F D B' L U F2
R' B' L2 B' F U' B'
B2 F D2 L R2 U B'
B2 F D2 R2 L U B'
L2 B' R' U' B D' R2
L2 B' R' U2 B' U B2
L2 B' U' R' B D' R2
L2 B' U2 D B' L U
L2 B' D U2 B' L U
F B' D B' L U F2
L B2 L' R' F U B
L B2 L' F R' U B
L B2 L2 R' U B L
L B2 R' L' F U B
L B2 R' L2 U B L
D' B2 U F L' U R2
F B2 R D2 R2 U B
F B2 R' U D F2 B
F B2 R' U D B F2
F B2 R' U B D F2
F B2 R' U2 L2 U' B
F B2 R' D U F2 B
F B2 R' D U B F2
R' B2 D F U F B'
R' B2 D F U B' F
R' B2 D2 R2 F U B'
R' B2 D2 F R2 U B'
R' B2 F U D F2 B'
R' B2 F U D B' F2
R' B2 F U B' D F2
R' B2 F D U F2 B'
R' B2 F D U B' F2
R' B2 F D2 R2 U B'
F B2 U2 L2 R' U' B
F B2 U2 R' L2 U' B
R B2 D2 R2 F U B
F B2 D2 L R2 U B'
R B2 F D2 R2 U B2
F B2 D2 R2 L U B'
