F' L R2 U R' B'
F' R2 L U R' B'
F' R2 U D2 R' B
F' R2 D2 U R' B
L F' R2 U R' B'
F' L R2 U R B' R2
F' L R2 U R' D B'
F' L R2 U R' D' B'
F' L R2 U R' D2 B'
F' L R2 U R' B' D
F' L R2 U R' B' D'
F' L R2 U R' B' D2
F' L R2 U R2 B' R
F' L R2 U D R' B'
F' L R2 U D' R' B'
F' L R2 U D2 R' B'
F' L R2 D U R' B'
F' L R2 D' U R' B'
F' L R2 D2 U R' B'
F' L U D' R F2 B'
F' L U D' R B' F2
F' L U D' B' R F2
F' L U B' D' R F2
F' L D' U R F2 B'
F' L D' U R B' F2
F' L D' U B' R F2
B' L F' R2 U R' B'
U2 L F' R2 U R' B'
U' L F' R2 U R' B'
B2 L F' R2 U R' B'
B L F' R2 U R' B'
U L F' R2 U R' B'
D' L F' B' L U F'
F' L B R2 U R' B2
D' L B' L F' U F'
D' L B' F' L U F'
F' L' R2 U' F U2 R'
F L' U F2 R2 U B
F L' U2 D' L2 F2 B'
F L' U2 D' L2 B' F2
F L' D R2 F B2 U2
F L' D R2 B2 F U2
F L' D F R2 B2 U2
F L' D F B2 R2 U2
F L' D B2 R2 F U2
F L' D B2 F R2 U2
F L' D' U2 L2 F2 B'
F L' D' U2 L2 B' F2
F L' D' F U2 F L2
F L' F U R2 F U
F L' F U F R2 U
L U F' R2 U R' B'
L2 U' F' L' R2 U R'
L2 U' F' R2 L' U R'
L U' F' R2 U R' B'
F' R2 L U R B' R2
F' R2 L U R' D B'
F' R2 L U R' D' B'
F' R2 L U R' D2 B'
F' R2 L U R' B' D
F' R2 L U R' B' D'
F' R2 L U R' B' D2
F' R2 L U R2 B' R
F' R2 L U D R' B'
F' R2 L U D' R' B'
F' R2 L U D2 R' B'
F' R2 L D U R' B'
F' R2 L D' U R' B'
F' R2 L D2 U R' B'
F' R2 L' U' F U2 R'
R2 U2 D2 B U' R' B
F' R2 U L R' B' L'
L2 U2 F' R2 U R' B
F' R2 U R' L B' L'
F' R2 U D2 R' D B
F' R2 U D2 R' D' B
F' R2 U D2 R' D2 B
F' R2 U D2 R' B D
F' R2 U D2 R' B D'
F' R2 U D2 R' B D2
L U2 F' R2 U R' B'
F' R2 U' L U2 R' B'
F' R2 U' L' F U2 R'
F2 R2 D F L' U R
F' R2 D2 L U R' B
F' R2 D2 L' U R' B
F' R2 D2 L2 U R' B
F' R2 D2 U R' D B
F' R2 D2 U R' D' B
F' R2 D2 U R' D2 B
F' R2 D2 U R' B D
F' R2 D2 U R' B D'
F' R2 D2 U R' B D2
