U L' R B' L' U
U L' B' L' R U
U L' B' R L' U
L' U L' R B' U
L' U L' B' R U
L' U R L' B' U
U R L' B' L' U
U' R B L2 F U
U2 B' R' D' F2 B2
U2 B' R' D' B2 F2
L2 R U' R' U' F' U'
L2 R F U R D2 L2
L2 R F U' R' U2 R2
L2 R F B2 U L R
L2 R F B2 U R L
L2 R F' U' L' R' U2
L2 R F' U' R' L' U2
L2 R B2 F U L R
L2 R B2 F U R L
U L' R D B' L' U
U L' R D' B' L' U
U L' R D2 B' L' U
U L' R B L' B2 U
U L' R B' L' U D
U L' R B' L' U D'
U L' R B' L' U D2
U L' R B' L' D U
U L' R B' L' D' U
U L' R B' L' D2 U
U L' R B' D L' U
U L' R B' D' L' U
U L' R B' D2 L' U
U L' R B2 L' B U
U L' R' B' L' R2 U
U L' R' B' R2 L' U
F' L' U L' U' B' U2
B' L' U L' R B' U
B' L' U L' B' R U
B2 L' U L' R B' U
B' L' U R L' B' U
B2 L' U L' B' R U
B L' U L' R B' U
B2 L' U R L' B' U
B L' U L' B' R U
B L' U R L' B' U
U' L' U2 L' R B' U
U' L' U2 L' B' R U
U' L' U2 R L' B' U
U L' D R B' L' U
U L' D B' L' R U
U L' D B' R L' U
U L' D' R B' L' U
U L' D' B' L' R U
U L' D' B' R L' U
U L' D2 R B' L' U
U L' D2 B' L' R U
U L' D2 B' R L' U
R L2 U' R' U' F' U'
U L' B L' R B2 U
U L' B L' B2 R U
U L' B R L' B2 U
U L' B R B2 L' U
U L' B' L' R U D
U L' B' L' R U D'
U L' B' L' R U D2
U L' B' L' R D U
U L' B' L' R D' U
U L' B' L' R D2 U
U L' B' L' D R U
U L' B' L' D' R U
U L' B' L' D2 R U
U L' B' R L' U D
U L' B' R L' U D'
U L' B' R L' U D2
U L' B' R L' D U
U L' B' R L' D' U
U L' B' R L' D2 U
U L' B' R D L' U
U L' B' R D' L' U
U L' B' R D2 L' U
U L' B' D L' R U
U L' B' D R L' U
U L' B' D' L' R U
U L' B' D' R L' U
U L' B' D2 L' R U
U L' B' D2 R L' U
U L' B2 L' B R U
U' L2 R B U2 B' U'
U L2 R D' B U R'
U2 L2 R B' U L2 R'
U2 L2 R B' U R' L2
R L2 F U R D2 L2
R L2 F U' R' U2 R2
R L2 F B2 U L R
R L2 F B2 U R L
U L2 R2 D2 R' B U
R L2 F' U' L' R' U2
R L2 F' U' L' R' U2
R L2 F' U' R' L' U2
U L2 U2 F2 L' F U'
U L2 D' R B U R'
R L2 B2 F U L R
R L2 B2 F U R L
L U L R U2 F U'
L' U L' R D B' U
L' U L' R D' B' U
L' U L' R D2 B' U
L' U L' R B' U D
L' U L' R B' U D'
L' U L' R B' U D2
L' U L' R B' D U
L' U L' R B' D' U
L' U L' R B' D2 U
U L2 D' B R U R2
L' U L' R' B' R2 U
L' U L' D R B' U
L' U L' D B' R U
L2 U L' R B' U B
L' U L' D' R B' U
L' U L' D' B' R U
U L2 D2 R U2 F' U'
L' U L' D2 R B' U
L' U L' D2 B' R U
L U L' R B' L2 U
U L2 D2 R' B R2 U
L' U L' B R B2 U
L' U L' B' R U D
L' U L' B' R U D'
L' U L' B' R U D2
L' U L' B' R D U
L' U L' B' R D' U
L' U L' B' R D2 U
L' U L' B' D R U
L' U L' B' D' R U
L' U L' B' D2 R U
L U L' B' L2 R U
L U L' B' R L2 U
L' U R L' D B' U
L' U R L' D' B' U
L' U R L' D2 B' U
L' U R L' B' U D
L' U R L' B' U D'
L' U R L' B' U D2
L' U R L' B' D U
L' U R L' B' D' U
L' U R L' B' D2 U
L' U R D L' B' U
L' U R D' L' B' U
L2 U R L' B' U B
L' U R D2 L' B' U
L U R L U2 F U'
L U R L' B' L2 U
L' U R B L' B' U
L' U R B' L' B' U
L' U R B2 L' B' U
L' U R' L' B' R2 U
L2 U R B U B' R'
U2 L2 B' R U L2 R2
U2 L2 B' R U R2 L2
L' U D L' R B' U
L' U D L' B' R U
L' U D R L' B' U
L' U D' L' R B' U
L' U D' L' B' R U
L' U D' R L' B' U
L' U D2 L' R B' U
L' U D2 L' B' R U
L' U D2 R L' B' U
U R L' D B' L' U
U R L' D' B' L' U
U R L' D2 B' L' U
U R L' B L' B2 U
U R L' B' L' U D
U R L' B' L' U D'
U R L' B' L' U D2
U R L' B' L' D U
U R L' B' L' D' U
U R L' B' L' D2 U
U R L' B' D L' U
U R L' B' D' L' U
U R L' B' D2 L' U
U' R L2 B U2 B' U'
U R L' B2 L' B U
U2 R L2 B' U L2 R'
U2 R L2 B' U R' L2
U R L2 D' B U R'
U R U D' B' R' B'
L' U B L' R B' U
L' U B L' B' R U
U R U B D' B2 R'
U R U B' R' D' B2
U R U B' D' R' B2
L' U B R L' B' U
L2 U B R U B' R'
L' U B' L' R B' U
L' U B' L' B' R U
L' U B' R L' B' U
L' U B2 L' R B' U
L' U B2 L' B' R U
L' U B2 R L' B' U
F R D' L' F B2 L
F R D' L' B2 F L
F R D' L2 B2 L F
U R D' L' B' U B'
U R D' U B' R' B'
F R D' B2 L' F L2
U R D' B' U B' R'
D' R F U B2 L R
D' R F U B2 R L
U' R F B L2 F U
U' R F' B L2 F U
U' R F2 B L2 F U
U' R B L2 D F U
U' R B L2 D' F U
U' R B L2 D2 F U
U' R B L2 F U D
U' R B L2 F U D'
U' R B L2 F U D2
U' R B L2 F D U
U' R B L2 F D' U
U' R B L2 F D2 U
U' R B F L2 F U
U' R B F' L2 F U
U R B L' B' L' U
U' R B F2 L2 F U
U2 R B' L2 U L2 R'
U2 R B' L2 U R' L2
U R B' L' B' L' U
U R B2 L' B' L' U
U R' L' B' L' R2 U
U R' L' B' R2 L' U
U' R' U2 L2 R2 B U
U' R' U2 R2 L2 B U
U' R' U2 R2 B L2 U
U' R' D' F' U' F' B2
U' R' D' F' U' B2 F'
U2 R' D' F2 B' R' B'
U' R' D2 L2 F' R2 U'
U2 R' D' B' R' F2 B'
U2 R' D' B' R' B' F2
U2 R' D' B' F2 R' B'
U' R' D2 F' L2 R2 U'
U' R' D2 F' R2 L2 U'
U' R' F' U' D' F2 B2
U' R' F' U' D' B2 F2
U' R' F' U2 L2 R2 U
U' R' F' U2 R2 L2 U
U' R' F' D' U' F2 B2
U' R' F' D' U' B2 F2
U' R' F' D2 L2 R2 U'
U' R' F' D2 R2 L2 U'
U2 R' B D' F2 B2 R'
U2 R' B D' B2 R' F2
U2 R' B D' B2 F2 R'
U2 R' B' D' R' F2 B2
U2 R' B' D' R' B2 F2
U2 R' B' D' F2 R' B2
U R2 L2 D2 R' B U
U' R2 U2 L2 R' B U
U' R2 U2 R' L2 B U
U' R2 U2 R' B L2 U
L' D U L' R B' U
L' D U L' B' R U
L' D U R L' B' U
D' U L' R B' U B'
B' U L' R B' L' U
B2 U L' R B' L' U
D' U L' B' R U B'
B' U L' B' L' R U
B U L' R B' L' U
B' U L' B' R L' U
B2 U L' B' L' R U
B2 U L' B' R L' U
F' U L2 U' L B' U2
B U L' B' L' R U
B U L' B' R L' U
D' U R L' B' U B'
B' U R L' B' L' U
D' U R U B' R' B'
B2 U R L' B' L' U
F U L2 U D R F'
F U L2 D U R F'
D' U R B' U B' R'
B U R L' B' L' U
D' U B' R U B' R'
L' D' U L' R B' U
L' D' U L' B' R U
L' D' U R L' B' U
U D' L' R B' U B'
U D' L' B' R U B'
R' D' F R F L' B2
R' D' F R F B2 L'
R' D' F R B2 F L'
R' D' F B2 R F L'
U D' R L' B' U B'
U D' R U B' R' B'
D2 U' R2 U2 R' B U
U D' R B' U B' R'
R D' F U B2 L R
R D' F U B2 R L
B' U' R B L2 F U
B2 U' R B L2 F U
B U' R B L2 F U
R' D' B2 F R F L'
F2 U' D' L' F U' B2
U2 D' B' R' D' F2 B'
U2 D' B' R' D' B' F2
U2 D' B' R' B' D' F2
U D' B' R U B' R'
L' D2 U L' R B' U
L' D2 U L' B' R U
L' D2 U R L' B' U
U' D2 R2 U2 R' B U
D' U2 B' R' D' F2 B'
D' U2 B' R' D' B' F2
D' U2 B' R' B' D' F2
F U2 D R D2 F' B2
F U2 D R D2 B2 F'
F U2 D' B2 D2 R F'
R F L2 U R D2 L2
R F L2 U' R' U2 R2
R2 F R D' F2 L' B2
R2 F R D' F2 B2 L'
R2 F R D' B2 F2 L'
R F L2 B2 U L R
R F L2 B2 U R L
B' U2 B' R' D' F2 B2
B' U2 B' R' D' B2 F2
B2 U2 B' R' D' F2 B2
B2 U2 B' R' D' B2 F2
B U2 B' R' D' F2 B2
B U2 B' R' D' B2 F2
D2 F U2 D R F' B2
D2 F U2 D R B2 F'
D2 F U2 D B2 R F'
