B L B U' B2
B L U' B' D L2
U' L D F B' L2
U' L D B' F L2
B L D B U' B2
B L D' B U' B2
B L D2 B U' B2
U' L F D B' L2
B L B R U' B2
B L B R' U' B2
B L B R2 U' B2
B L B U' B2 D
B L B U' B2 D'
B L B U' B2 D2
B L B D' R2 U'
U' L' D L2 F B'
U' L' D L2 B' F
B L' B L2 U' B'
B L2 B L' U' B'
B D' L B R' U'
R' B L B U' B2
R2 B L B U' B2
L B L B U' B
R B L B U' B2
B L R U' D B' L
B L R D U' B' L
B L R' U' B L B2
B L R' B2 U' B L
B L R2 U2 F' U B'
U' L U B2 U' F B
U' L U B2 U' B F
D L U' D' L F B'
D L U' D' L B' F
B L U' D B' D L2
B L U' D' B' D L2
B L U' D2 B' D L2
B2 L U' B' U L U'
B L U' B' L D L2
B L U' B' L' D L2
B L U' B' L2 D L2
B L U' B' U B2 U'
B L U' B' D L2 D
B L U' B' D L2 D'
B L U' B' D L2 D2
B' L U2 R' F' U B'
U' L D F B L2 B2
U' L D F B' L2 D
U' L D F B' L2 D'
U' L D F B' L2 D2
U' L D F B2 L2 B
B L D U' B' D L2
U' L D F' B' L2 F2
U' L D F2 B' L2 F'
U' L D B F L2 B2
U' L D B' F L2 D
U' L D B' F L2 D'
U' L D B' F L2 D2
U' L D B' F' L2 F2
U' L D B' F2 L2 F'
B L D B R U' B2
B L D B R' U' B2
B L D B R2 U' B2
B L D B U' B2 D
B L D B U' B2 D'
B L D B U' B2 D2
B L D B D' R2 U'
U' L D B2 F L2 B
B2 L D' R U' F' B'
B2 L D' R U' B' F'
D L D' U' L F B'
D L D' U' L B' F
U' L D' F D2 B' L2
B L D' U' B' D L2
U' L D' F B' D2 L2
U' L D' B' D2 F L2
U' L D' B' F D2 L2
B L D' B R U' B2
B L D' B R' U' B2
B L D' B R2 U' B2
B L D' B U' B2 D
B L D' B U' B2 D'
B L D' B U' B2 D2
B L D' B D' R2 U'
B L D2 U' B' D L2
U' L D2 B' D' F L2
B L D2 B R U' B2
B L D2 B R' U' B2
B L D2 B R2 U' B2
B L D2 B U' B2 D
B L D2 B U' B2 D'
B L D2 B U' B2 D2
B L D2 B D' R2 U'
U' L F L2 D L2 B'
R' L B L B U' B
U' L F U B2 U' B
R2 L B L B U' B
L R B L B U' B
R L B L B U' B
U' L F D B L2 B2
U' L F D B' L2 D
U' L F D B' L2 D'
U' L F D B' L2 D2
U' L F D B2 L2 B
U' L F D' B' D2 L2
U' L F D2 B' D' L2
U' L F B' U B' U'
U' L F2 D F' B' L2
U' L F2 D B' L2 F'
U' L F2 D B' F' L2
B L B R U' B2 D
B L B R U' B2 D'
B L B R U' B2 D2
B L B R D' R2 U'
B L B R' U' B2 D
B L B R' U' B2 D'
B L B R' U' B2 D2
B L B R' D' R2 U'
B L B R2 U' B2 D
B L B R2 U' B2 D'
B L B R2 U' B2 D2
B L B R2 D' R2 U'
B L B U D2 F2 U2
B L B U F U2 B2
B L B U F' U2 B2
B L B U F2 U2 B2
B L B U' L B2 L'
B L B U' L2 B2 L2
B L B U' R' B2 R
B L B U' R2 B2 R2
B L B U' B D B
B L B U' B D' B
B L B U' B D2 B
B L B U' B' D B'
B L B U' B' D' B'
B L B U' B' D2 B'
B L B U2 L U B2
B L B U2 L' U B2
B L B U2 L2 U B2
B L B U2 D L2 U
B L B D U2 L2 U
B L B D' R2 U' D
B L B D' R2 U' D'
B L B D' R2 U' D2
B L B D' R2 D U'
B L B D' R2 D' U'
B L B D' R2 D2 U'
B L B D2 U F2 U2
B2 L B' L B U' B'
B L B' R B2 U' B2
U' L B' U B' U' F
B L B' R' B2 U' B2
B L B' R2 B2 U' B2
U' L B' F U B' U'
B L B2 U' B D L2
B L B2 D B' U' B2
B L B2 D' B' U' B2
B L B2 D2 B' U' B2
U' L' D L2 D F B'
U' L' D L2 D B' F
U' L' D L2 D' F B'
U' L' D L2 D' B' F
U' L' D L2 D2 F B'
U' L' D L2 D2 B' F
U' L' D L2 F D B'
U' L' D L2 F D' B'
U' L' D L2 F D2 B'
U' L' D L2 F B' D
U' L' D L2 F B' D'
U' L' D L2 F B' D2
U' L' D L2 B' D F
U' L' D L2 B' D' F
U' L' D L2 B' D2 F
U' L' D L2 B' F D
U' L' D L2 B' F D'
U' L' D L2 B' F D2
L R' B L B U' B
B L' B L2 R U' B'
B L' B L2 R' U' B'
B L' B L2 R2 U' B'
B L' B L2 U' D B'
B L' B L2 U' D' B'
B L' B L2 U' D2 B'
B L' B L2 U' B' D
B L' B L2 U' B' D'
B L' B L2 U' B' D2
B L' B L2 D U' B'
B L' B L2 D' U' B'
B L' B L2 D2 U' B'
B L' B R L2 U' B'
B L' B R' L2 U' B'
B L' B R2 L2 U' B'
B L' B' L2 B2 U' B
L R2 B L B U' B
B2 L2 D L' U' F B'
B2 L2 D L' U' B' F
B L2 D L' B U' B2
B L2 D B L' U' B'
B L2 D' L' B U' B2
B L2 D' B L' U' B'
B L2 D2 L' B U' B2
B L2 D2 B L' U' B'
B L2 B L' R U' B'
B L2 B L' R' U' B'
B L2 B L' R2 U' B'
B L2 B L' U' D B'
B L2 B L' U' D' B'
B L2 B L' U' D2 B'
B L2 B L' U' B' D
B L2 B L' U' B' D'
B L2 B L' U' B' D2
B L2 B L' D U' B'
B L2 B L' D' U' B'
B L2 B L' D2 U' B'
B L2 B R L' U' B'
B L2 B R' L' U' B'
B L2 B R2 L' U' B'
B L2 B D L' U' B'
B L2 B D' L' U' B'
B L2 B D2 L' U' B'
B L2 B' L' B2 U' B
B R L U' D B' L
B R L D U' B' L
R' U' L D F B' L2
R' U' L D B' F L2
R' U' L F D B' L2
R2 U' L D F B' L2
R2 U' L D B' F L2
R2 U' L F D B' L2
R U' L D F B' L2
R' U' L' D L2 F B'
R' U' L' D L2 B' F
R U' L D B' F L2
R U' L F D B' L2
R2 U' L' D L2 F B'
R2 U' L' D L2 B' F
R U' L' D L2 F B'
R U' L' D L2 B' F
B2 R B' L B U' B2
L' U' D L F L B'
L U' D B' L F L
B R' L U' B L B2
B R' L B2 U' B L
B2 R' B' L B U' B2
B R2 L U2 F' U B'
L' D L U' L F B'
L' D L U' L B' F
B2 R2 B' L B U' B2
L' D U' L F L B'
U' D L D' F L B'
U' D L F L D' B2
L D U' B' L F L
L' D B L U' L B'
L D B L U' L B2
U2 D F L' R U L'
U2 D F R L' U L'
B2 U B' U' L U' B'
D U' L D' F L B'
D U' L F L D' B2
B2 U' L D B' L' F
B2 U' L B' L' D F2
B2 U' B' U L U' B'
D U2 F L' R U L'
D U2 F R L' U L'
U' F L D F B' L2
U' F L D B' F L2
U' F L F D B' L2
U' F L' D L2 F B'
U' F L' D L2 B' F
B D L D2 B R' U'
U' F' L D F B' L2
U' F' L D B' F L2
U' F' L F D B' L2
U' F' L' D L2 F B'
U' F' L' D L2 B' F
B D' L B R' U' D
B D' L B R' U' D'
B D' L B R' U' D2
B D' L B R' D U'
B D' L B R' D' U'
B D' L B R' D2 U'
B D' L B D R' U'
B D' L B D' R' U'
B D' L B D2 R' U'
B D' L' B L2 R' U'
B D' L' B R' L2 U'
B D' L2 B L' R' U'
B D' L2 B R' L' U'
U' F2 L D F B' L2
U' F2 L D B' F L2
U' F2 L F D B' L2
U' F2 L' D L2 F B'
U' F2 L' D L2 B' F
B D2 L R' U' B L
B D2 L D B R' U'
B D2 L B R' U' B
B D2 R' L U' B L
D' B L R' U R' U2
D' B L R' B2 U' L
R' B L U' B' D L2
R' B L D B U' B2
U' B L F B' D L2
R' B L D' B U' B2
D' B L D R' B2 U'
R' B L D2 B U' B2
D' B L D2 R' U' L2
U' B L B' D F L2
U' B L B' F D L2
L' B L D' B R' U'
R' B L B R U' B2
R' B L B R' U' B2
R' B L B R2 U' B2
R' B L B U' B2 D
R' B L B U' B2 D'
R' B L B U' B2 D2
R' B L B D' R2 U'
R2 B L U' B' D L2
L2 B L B U F U2
R2 B L D B U' B2
R' B L' B L2 U' B'
D B L U' D' L B'
R2 B L D' B U' B2
R2 B L D2 B U' B2
D B L D' U' L B'
R2 B L B R U' B2
R2 B L B R' U' B2
R2 B L B R2 U' B2
R2 B L B U' B2 D
R2 B L B U' B2 D'
R2 B L B U' B2 D2
R2 B L B D' R2 U'
L B L D' B R2 U'
L2 B L' B L2 U' B2
R' B L2 B L' U' B'
R B L U' B' D L2
L B L B U' D B
L B L B U' D' B
L B L B U' D2 B
L B L B U' B D
L B L B U' B D'
L B L B U' B D2
L B L B D U' B
L B L B D' U' B
L B L B D2 U' B
R B L D B U' B2
L' B L2 B L' U' B2
R B L D' B U' B2
R2 B L' B L2 U' B'
R B L D2 B U' B2
R B L B R U' B2
R B L B R' U' B2
R B L B R2 U' B2
R B L B U' B2 D
R B L B U' B2 D'
R B L B U' B2 D2
R B L B D' R2 U'
L B L' B L2 U' B
D' B R' L U R' U2
R2 B L2 B L' U' B'
D' B R' L B2 U' L
R B L' B L2 U' B'
L B L2 B L' U' B
R B L2 B L' U' B'
U' B U B L U' B'
F2 B L F2 B U' B2
F2 B L B F2 U' B2
D' B D L R' B2 U'
D' B D R' L B2 U'
B F L F' B U' B2
B F L B F' U' B2
U B U' B L U' B'
R' B D' L B R' U'
F B L F' B U' B2
F B L B F' U' B2
D2 B D2 L B2 U' B
D' B D2 L R' U' L
D' B D2 R' L U' L
R2 B D' L B R' U'
D B D' L B2 U' B
L B D' L B R2 U'
R B D' L B R' U'
D2 B' U2 R' F2 U B
D2 B' U2 F2 R' U B
D' B' D B2 L R' U'
D' B' D B2 R' L U'
D2 B' D2 B2 L U' B'
D B' D' B2 L U' B'
B F2 L F2 B U' B2
B F2 L B F2 U' B2
L2 B2 D L' U' F B'
L2 B2 D L' U' B' F
L B2 U' B U' R' U
L B2 D L' U' F B
L B2 D L' U' B F
