L U2 F U R2
L' B' L2 U' R2
F L U2 F U R2
F' L U2 F U R2
F2 L U2 F U R2
D L U2 F B2 U
D L U2 B2 F U
D' L F2 U2 F' U
D' L' F2 B' L2 U'
F' L' B' L2 U' R2
F2 L' B' L2 U' R2
D' L' B' L2 F2 U'
D L' B' L2 F U'
F L' B' L2 U' R2
B L' B' L U' R2
D' L' B' F2 L2 U'
L U' R2 U' F U
L U2 D F B2 U
L U2 D B2 F U
L U2 F U R2 D
L U2 F U R2 D'
L U2 F U R2 D2
L U2 F D B2 U
L U2 F B U R2
L U2 F B' U R2
L U2 F B2 U R2
L U2 B F U R2
L U2 B' F U R2
L U2 B2 F U R2
U' R2 F' L' D F2
L D U2 F B2 U
L D U2 B2 F U
U2 D B2 R' F' U
L D' F2 U2 F' U
B2 U2 R' F' U R'
D U2 B2 R' F' U
L F U' R2 D2 L2
L' F B' L2 U' R2
U' F' L' R2 D F2
U' F' R2 L' D F2
L F' U' R2 D' L2
L F' U2 F2 U R2
L' F' B' L2 U' R2
L F' D' F2 U' L2
D' F2 L U2 F U
D' F2 L' B' L2 U'
L F2 U2 F' U R2
L' F2 B' L2 U' R2
L' B L2 B2 U' R2
L B U2 F U R2
L' B' L2 U' R2 D
L' B' L2 U' R2 D'
L' B' L2 U' R2 D2
L' B' L2 D' F2 U'
L' B' L2 F U' R2
L' B' L2 F' U' R2
L' B' L2 F2 U' R2
L' B' U' R2 D F2
L' B' F L2 U' R2
L B' U2 F U R2
L' B' F' L2 U' R2
L' B' F2 L2 U' R2
L' B2 L2 B U' R2
U2 B2 R' F' U R'
L B2 U2 F U R2
D' L R2 F2 R2 B U'
F' L U' R2 U' F U
F2 L U' R2 U' F U
F L U' R2 U' F U
B2 L U2 R' F U R'
F' L U2 D F B2 U
D' L U2 D F U R2
F' L U2 D B2 F U
F2 L U2 D F B2 U
F2 L U2 D B2 F U
D' L U2 D2 F B2 U
B' L U2 F R U R
D' L U2 D2 B2 F U
F' L U2 F U R2 D
F' L U2 F U R2 D'
F' L U2 F U R2 D2
D2 L U2 F U' L U2
F' L U2 F D B2 U
F' L U2 F B U R2
D' L U2 F U2 F U'
F L U2 D F B2 U
F' L U2 F B' U R2
F' L U2 F B2 U R2
D L U2 D' F U R2
D2 L U2 F B2 U R'
F L U2 D B2 F U
B2 L U2 F R' U R'
F2 L U2 F U R2 D
F2 L U2 F U R2 D'
F2 L U2 F U R2 D2
F2 L U2 F D B2 U
F2 L U2 F B U R2
F2 L U2 F B' U R2
F2 L U2 F B2 U R2
D L U2 F U D' R2
D L U2 F D' U R2
D L U2 F B2 U D
D L U2 F B2 U D'
D L U2 F B2 U D2
D L U2 F B2 D U
D L U2 F B2 D' U
D L U2 F B2 D2 U
F L U2 F U R2 D
F L U2 F U R2 D'
F L U2 F U R2 D2
F L U2 F D B2 U
F L U2 F B U R2
F L U2 F B' U R2
F' L U2 B F U R2
F L U2 F B2 U R2
F' L U2 B' F U R2
F2 L U2 B F U R2
D2 L U2 B2 F U R'
F' L U2 B2 F U R2
F2 L U2 B' F U R2
F L U2 B F U R2
F2 L U2 B2 F U R2
F L U2 B' F U R2
D L U2 B2 D F U
D L U2 B2 D' F U
D L U2 B2 D2 F U
D L U2 B2 F U D
D L U2 B2 F U D'
D L U2 B2 F U D2
D L U2 B2 F D U
D L U2 B2 F D' U
D L U2 B2 F D2 U
F L U2 B2 F U R2
D' L D U2 F U R2
F' L D U2 F B2 U
F' L D U2 B2 F U
F2 L D U2 F B2 U
F2 L D U2 B2 F U
F L D U2 F B2 U
F L D U2 B2 F U
D L D' U2 F U R2
F' L D' F2 U2 F' U
U2 L D' F2 R B U'
F2 L D' F2 U2 F' U
F L D' F2 U2 F' U
D' L D2 U2 F B2 U
D' L D2 U2 B2 F U
D L D2 F2 U2 F' U
R2 L F2 R2 B U' R2
D2 L F U L U2 L'
F' L F U' R2 D2 L2
F2 L F U' R2 D2 L2
F L F U' R2 D2 L2
F' L F' U' R2 D' L2
F' L F' U2 F2 U R2
F2 L F' U' R2 D' L2
D L F' U' D' L2 R2
D L F' U' D' R2 L2
F L F' U' R2 D' L2
F2 L F' U2 F2 U R2
D L F' U2 F2 B2 U
D L F' U2 B2 F2 U
D' L F' D' F' U' L2
F' L F' D' F2 U' L2
D2 L F' D2 B2 U' R'
D' L F' D2 F' B2 U'
F L F' U2 F2 U R2
D' L F' D2 B2 F' U'
D L F' D' U' L2 R2
D L F' D' U' R2 L2
F2 L F' D' F2 U' L2
D L F' D2 F2 B2 U'
D L F' D2 B2 F2 U'
F L F' D' F2 U' L2
U2 L F2 R B U' R
D' L F2 R2 B R2 U'
D' L F2 U2 D F' U
D' L F2 U2 D' F' U
D' L F2 U2 D2 F' U
D' L F2 U2 F' U D
D' L F2 U2 F' U D'
D' L F2 U2 F' U D2
D' L F2 U2 F' D U
D' L F2 U2 F' D' U
D' L F2 U2 F' D2 U
F' L F2 U2 F' U R2
D' L F2 D U2 F' U
F2 L F2 U2 F' U R2
D' L F2 D' U2 F' U
D L F2 U2 F' B2 U
D L F2 U2 B2 F' U
D' L F2 D2 U2 F' U
F L F2 U2 F' U R2
D' L F2 B U2 F' U
D' L F2 B' U2 F' U
D' L F2 B2 U2 F' U
F' L B U2 F U R2
F2 L B U2 F U R2
D L B U2 F B U
D L B U2 B F U
F L B U2 F U R2
D' L B F2 U2 F' U
R2 L' U R2 B' L2 U'
R2 L' U B' L2 R2 U'
R2 L' U B' R2 L2 U'
D2 L B' U2 F U R
F' L B' U2 F U R2
F2 L B' U2 F U R2
D L B' U2 F B' U
D L B' U2 B' F U
F L B' U2 F U R2
D' L B' F2 U2 F' U
D2 L B2 U2 F U R'
F' L B2 U2 F U R2
F2 L B2 U2 F U R2
F L B2 U2 F U R2
D' L B2 F2 U2 F' U
U' L' R2 D F' L' F'
U' L' R2 F D F2 L'
U' L' R2 F' D L' F2
D2 L' D B' U' F2 R
D' L' D B' U' R2 F2
D' L' D B' U' F2 R2
R2 L' B D L2 F2 B2
R2 L' B D L2 B2 F2
R2 L' B D F2 L2 B2
R2 L' B D F2 B2 L2
R2 L' B D B2 L2 F2
R2 L' B D B2 F2 L2
R2 L' B' L2 R2 U' R2
R2 L' B' R2 L2 U' R2
F' L' F B' L2 U' R2
F2 L' F B' L2 U' R2
D L' F B' L2 F U'
B L' F B' L U' R2
L' R2 U R2 B' L2 U'
F L' F B' L2 U' R2
U' L' F' R2 D L' F2
L' R2 U B' L2 R2 U'
L' R2 U B' R2 L2 U'
D' L' F' B' L2 F' U'
F' L' F' B' L2 U' R2
F2 L' F' B' L2 U' R2
D' L' F2 L2 U2 F U
D L' F' B' L2 F U'
B L' F' B' L U' R2
F L' F' B' L2 U' R2
D' L' F2 D B' U' F2
D' L' F2 B L2 B2 U'
D' L' F2 B' L2 U' D
D' L' F2 B' L2 U' D'
D' L' F2 B' L2 U' D2
D' L' F2 B' L2 D U'
D' L' F2 B' L2 D' U'
D' L' F2 B' L2 D2 U'
D2 L' F2 B' L2 U' R
D' L' F2 B' U' D F2
D' L' F2 B' D U' F2
F' L' F2 B' L2 U' R2
D' L' F2 B2 L2 B U'
F2 L' F2 B' L2 U' R2
B' L' B L B2 U' R2
D' L' B L2 F2 B2 U'
D' L' B L2 B2 F2 U'
D2 L' B L2 B2 U' R'
B L' F2 B' L U' R2
D L' F2 B' L2 F U'
F' L' B L2 B2 U' R2
F L' F2 B' L2 U' R2
F2 L' B L2 B2 U' R2
F L' B L2 B2 U' R2
D' L' B F2 L2 B2 U'
D' L' B' L F2 L U'
D' L' B' L2 U' D R2
D2 L' B' L2 U L U2
D' L' B' L2 D U' R2
D' L' B' L2 F2 U' D
D' L' B' L2 F2 U' D'
D' L' B' L2 F2 U' D2
D' L' B' L2 F2 D U'
D' L' B' L2 F2 D' U'
D' L' B' L2 F2 D2 U'
F' L' B' L2 U' R2 D
F' L' B' L2 U' R2 D'
F' L' B' L2 U' R2 D2
F' L' B' L2 D' F2 U'
F' L' B' L2 F U' R2
F' L' B' L2 F' U' R2
F' L' B' L2 F2 U' R2
F2 L' B' L2 U' R2 D
F2 L' B' L2 U' R2 D'
F2 L' B' L2 U' R2 D2
F2 L' B' L2 D' F2 U'
F2 L' B' L2 F U' R2
F2 L' B' L2 F' U' R2
F2 L' B' L2 F2 U' R2
B L' B' L U' R2 D
B L' B' L U' R2 D'
B L' B' L U' R2 D2
B L' B' L D' F2 U'
B L' B' L F U' R2
B L' B' L F' U' R2
B L' B' L F2 U' R2
D2 L' B' U' D F2 R
D' L' B' U' D R2 F2
D' L' B' U' D F2 R2
D L' B' L2 D F U'
D L' B' L2 D' F U'
D L' B' L2 D2 F U'
D L' B' L2 F U' D
D L' B' L2 F U' D'
D L' B' L2 F U' D2
D L' B' L2 F D U'
D L' B' L2 F D' U'
D L' B' L2 F D2 U'
F' L' B' U' R2 D F2
F L' B' L2 U' R2 D
F L' B' L2 U' R2 D'
F L' B' L2 U' R2 D2
F L' B' L2 D' F2 U'
F L' B' L2 F U' R2
B' L' B' U2 R' U R'
F L' B' L2 F' U' R2
F L' B' L2 F2 U' R2
D2 L' B' D U' F2 R
D' L' B' D U' R2 F2
D' L' B' D U' F2 R2
F2 L' B' U' R2 D F2
F' L' B' F L2 U' R2
D' L' B' F' L2 F' U'
F' L' B' F' L2 U' R2
D2 L' B' F2 L2 U' R
F L' B' U' R2 D F2
D' L' B' F2 L2 U' D
D' L' B' F2 L2 U' D'
D' L' B' F2 L2 U' D2
D' L' B' F2 L2 D U'
D' L' B' F2 L2 D' U'
D' L' B' F2 L2 D2 U'
D' L' B' F2 U' D F2
F' L' B' F2 L2 U' R2
D' L' B' F2 D U' F2
F2 L' B' F L2 U' R2
B L' B' D' L F2 U'
F2 L' B' F' L2 U' R2
B L' B' D' F2 L U'
F2 L' B' F2 L2 U' R2
D' L' B2 L2 F2 B U'
D' L' B2 L2 B F2 U'
D L' B' F L2 F U'
B L' B' F L U' R2
F' L' B2 L2 B U' R2
D L' B' F' L2 F U'
B L' B' F' L U' R2
F L' B' F L2 U' R2
B2 L' B2 L B U' R2
D L' B' F2 L2 F U'
B L' B' F2 L U' R2
F L' B' F' L2 U' R2
F2 L' B2 L2 B U' R2
F L' B' F2 L2 U' R2
F L' B2 L2 B U' R2
D' L' B2 F2 L2 B U'
U' L2 R2 U L' B' U'
U' L2 R2 F' D' L' F
U' L2 U L' B' U' R2
L R2 F2 R2 B U' R2
U L2 U' L' B' U' R2
L' R2 B D L2 F2 B2
L' R2 B D L2 B2 F2
L' R2 B D F2 L2 B2
L' R2 B D F2 B2 L2
L' R2 B D B2 L2 F2
L' R2 B D B2 F2 L2
L' R2 B' L2 R2 U' R2
L' R2 B' R2 L2 U' R2
R2 U L R2 B U' L
R2 U L B R2 U' L
L U L2 U' B' U' R2
U' L2 F' R2 D' L' F
B' L2 B L B' U' R2
L U R' U F U R'
R2 U R2 L B U' L
B L2 B' L B' U' R2
B2 L2 B2 L B' U' R2
L U D2 L2 U' B' U'
U2 R U2 L B U' R
L U' L2 R2 U B' U'
L U' L2 U B' U' R2
L U' R' U' F U R'
L' U' R2 U B' L2 U'
L U' R2 L2 U B' U'
L U' R2 U' D F U
L U' R2 U' D' F U
L U' R2 U' D2 F U
L U' R2 U' F U D
L U' R2 U' F U D'
L U' R2 U' F U D2
L U' R2 U' F D U
L U' R2 U' F D' U
L U' R2 U' F D2 U
L U' R2 D U' F U
L U' R2 D' U' F U
L U' R2 D2 U' F U
L U' R2 F' D' F L2
D R B2 L R' F U
D R B2 L F R' U
D R B2 R' L F U
L U' F' R2 D' F L2
B2 R' U2 R B U' R2
L' U' B' L2 U' B R2
R' U2 L R B U' R2
U' R' F' L' R' D F2
U' R' F' L' D R' F2
U' R' F' L' D F2 R'
U' R' F' R' L' D F2
R' U2 R L B U' R2
U2 R' F' U2 L U' R'
L U2 R2 F R2 U R2
L U2 D F U D' R2
L U2 D F D' U R2
L U2 D F B2 U D
L U2 D F B2 U D'
L U2 D F B2 U D2
L U2 D F B2 D U
L U2 D F B2 D' U
L U2 D F B2 D2 U
L U2 D B2 D F U
L U2 D B2 D' F U
L U2 D B2 D2 F U
L U2 D B2 F U D
L U2 D B2 F U D'
L U2 D B2 F U D2
L U2 D B2 F D U
L U2 D B2 F D' U
L U2 D B2 F D2 U
D' R2 L F2 R2 B U'
L U2 D' F U2 F U'
U' R2 L' D F' L' F'
U' R2 L' F D F2 L'
U' R2 L' F' D L' F2
L U2 D2 F U D2 R2
L U2 D2 F U' L2 U2
L U2 D2 F D' B2 U
L U2 D2 F D2 U R2
U' R2 L2 U L' B' U'
U' R2 L2 F' D' L' F
L U2 F U R D R
L U2 F U R D' R
L U2 F U R D2 R
L U2 F U R' D R'
L U2 F U R' D' R'
L U2 F U R' D2 R'
L U2 F U F' R2 F
L U2 F U F2 R2 F2
L U2 F U B R2 B'
L U2 F U B2 R2 B2
L U2 F U' L U2 R2
L U2 F U' L' U2 R2
L U2 F U' L2 U2 R2
L U2 F U' D2 L2 U2
U' R2 U L U2 F U
L U2 F U2 D' F2 U'
L U2 F U2 F U' R2
L U2 F U2 F' U' R2
L U2 F U2 F2 U' R2
U' R2 U L' B' L2 U'
L U2 F D B2 U D
L U2 F D B2 U D'
L U2 F D B2 U D2
L U2 F D B2 D U
L U2 F D B2 D' U
L U2 F D B2 D2 U
L U2 F D' U2 F2 U'
L U2 F D2 U' L2 U2
L U2 F B U R2 D
L U2 F B U R2 D'
L U2 F B U R2 D2
L U2 F B D B2 U
L U2 F B' U R2 D
L U2 F B' U R2 D'
L U2 F B' U R2 D2
L U2 F B' D B2 U
L U2 F B2 U R2 D
L U2 F B2 U R2 D'
L U2 F B2 U R2 D2
L U2 F B2 D B2 U
L U2 F' U R2 D' L2
L U2 F2 D F' B2 U
L U2 F2 D B2 F' U
L U2 B D F B2 U
L U2 B D B2 F U
L U2 B F U R2 D
L U2 B F U R2 D'
L U2 B F U R2 D2
L U2 B F D B2 U
U' R2 D F' L' D F2
L U2 B' D F B2 U
L U2 B' D B2 F U
L U2 B' F U R2 D
L U2 B' F U R2 D'
L U2 B' F U R2 D2
L U2 B' F D B2 U
U' R2 D' F' L' D F2
L U2 B2 D F B2 U
L U2 B2 D B2 F U
L U2 B2 F U R2 D
L U2 B2 F U R2 D'
L U2 B2 F U R2 D2
L U2 B2 F D B2 U
U' R2 D2 F' L' D F2
U' R2 F L' D F2 L'
U' R2 F' L' U L2 U'
U' R2 F' L' D F2 D
U' R2 F' L' D F2 D'
U' R2 F' L' D F2 D2
U' R2 F' L' F D F2
U' R2 F' L' F' D F2
U' R2 F' L' F2 D F2
U' R2 F' U L U' L2
U' R2 F' D L' D F2
U' R2 F' D' L' D F2
U' R2 F' D2 L' D F2
L D L2 B' L2 F U'
L D U2 F U D' R2
L D U2 F D' U R2
L D U2 F B2 U D
L D U2 F B2 U D'
L D U2 F B2 U D2
L D U2 F B2 D U
L D U2 F B2 D' U
L D U2 F B2 D2 U
D2 U L2 U' L' B' U'
L D U2 B2 D F U
L D U2 B2 D' F U
L D U2 B2 D2 F U
L D U2 B2 F U D
L D U2 B2 F U D'
L D U2 B2 F U D2
L D U2 B2 F D U
L D U2 B2 F D' U
L D U2 B2 F D2 U
L D F' U' D' L2 R2
L D F' U' D' R2 L2
B' U R B U2 L R
B' U R B U2 R L
L D F' U2 F2 B2 U
L D F' U2 B2 F2 U
L D F' D' U' L2 R2
L D F' D' U' R2 L2
L D F' D2 F2 B2 U'
L D F' D2 B2 F2 U'
B' U R' U2 F' L' R'
B' U R' U2 F' R' L'
L D F2 U2 F' B2 U
L D F2 U2 B2 F' U
U2 D R' F' B2 R' U
L' D B' L2 F U' F
U2 D R' B2 F' R' U
L' D B' U2 B' U F2
L' D B' D' L2 F U'
L D B U2 F B U
L D B U2 B F U
L D B' U2 F B' U
L D B' U2 B' F U
U2 D F B2 R' F' U
U2 D F' B2 R' F' U
L2 D' L' F2 B' U' L
U2 D F2 B2 R' F' U
L2 D' L' B' F2 U' L
L D' L2 F2 B' L2 U'
L D' L2 B' L2 F2 U'
L D' L2 B' F2 L2 U'
U2 D B2 R' D F' U
U2 D B2 R' D' F' U
U2 D B2 R' D2 F' U
U2 D B2 R' F' U D
U2 D B2 R' F' U D'
U2 D B2 R' F' U D2
U2 D B2 R' F' D U
U2 D B2 R' F' D' U
U2 D B2 R' F' D2 U
B' U B U2 L R2 F
B' U B U2 L F R2
B' U B U2 R2 L F
U2 D B2 D R' F' U
U2 D B2 D' R' F' U
U2 D B2 D2 R' F' U
U2 D B2 F R' F' U
U2 D B2 F' R' F' U
U2 D B2 F2 R' F' U
B' U B' R' U2 F' R'
U2 D' L F2 R B U'
L D' R2 F2 R2 B U'
B' U' L R2 F' L' F2
B' U' L F' L' R2 F2
B' U' L F' L' F2 R2
B' U' L F' R2 L' F2
L D' U2 F U2 F U'
B' U' L2 R2 F' L' F
B' U' L2 F' L' R2 F
B' U' L2 F' L' F R2
B' U' L2 F' R2 L' F
L' D' F2 D B' L2 U'
L' D' F2 D2 B' U' F2
L' D' F2 B' L2 U' F
L' D' F2 B' U B' U2
L D' F' D' F' U' L2
L D' F' D2 F' B2 U'
L D' F' D2 B2 F' U'
D2 U' F' L' D F2 R
B U' R D' R F' L'
L D' F2 R2 B R2 U'
B' U' R2 L F' L' F2
L D' F2 U2 D F' U
L D' F2 U2 D' F' U
L D' F2 U2 D2 F' U
L D' F2 U2 F' U D
L D' F2 U2 F' U D'
L D' F2 U2 F' U D2
L D' F2 U2 F' D U
L D' F2 U2 F' D' U
L D' F2 U2 F' D2 U
L D' F2 D U2 F' U
B' U' R2 L2 F' L' F
L D' F2 D' U2 F' U
L' D' B' L2 F2 U' F'
L D' F2 D2 U2 F' U
L D' F2 B U2 F' U
L D' F2 B' U2 F' U
L D' F2 B2 U2 F' U
B' U' R2 F' L F L2
L2 D' B' L' F2 U' L2
B' U' R2 F2 L F L'
F' U' R2 F' L' D F2
L' D' B' F2 L2 U' F
L' D' B' F2 U B' U2
F2 U' R2 F' L' D F2
L D' B F2 U2 F' U
B U' R2 D F' L' F
B U' R2 F' D L' F
F U' R2 F' L' D F2
L D' B' F2 U2 F' U
L D' B2 F2 U2 F' U
B' U' F' L R2 F L2
B' U' F' L F L2 R2
B' U' F' L F R2 L2
F' U' F' L' R2 D F2
B' U' F' R2 L F L2
F2 U' F' L' R2 D F2
F' U' F' R2 L' D F2
D' U2 L F2 R B U'
F2 U' F' R2 L' D F2
B' U' F2 L R2 F L'
B' U' F2 L F L' R2
B' U' F2 L F R2 L'
B' U' F2 R2 L F L'
B U' F' R2 D L' F
F U' F' L' R2 D F2
F U' F' R2 L' D F2
U D2 L2 U' L' B' U'
L D2 U L2 U' B' U'
D U2 R' F' B2 R' U
D U2 R' B2 F' R' U
U' D2 F' L' D F2 R
L D2 U2 F U D2 R2
L D2 U2 F U' L2 U2
L D2 U2 F D' B2 U
L D2 U2 F D2 U R2
D U2 F B2 R' F' U
L D2 F U L2 U2 L2
D U2 F' B2 R' F' U
L D2 F' D2 B2 U' R2
B2 U2 R' D F' U R'
B2 U2 R' D' F' U R'
B2 U2 R' D2 F' U R'
B2 U2 R' F' U R' D
B2 U2 R' F' U R' D'
B2 U2 R' F' U R' D2
B2 U2 R' F' U D R'
B2 U2 R' F' U D' R'
B2 U2 R' F' U D2 R'
B2 U2 R' F' D U R'
B2 U2 R' F' D' U R'
B2 U2 R' F' D2 U R'
D U2 F2 B2 R' F' U
L' D2 B' D2 L2 U' R2
B2 U2 D R' F' B2 U
B2 U2 D R' B2 F' U
F' U2 D B2 R' F' U
F2 U2 D B2 R' F' U
D U2 B2 R' D F' U
D U2 B2 R' D' F' U
D U2 B2 R' D2 F' U
D U2 B2 R' F' U D
D U2 B2 R' F' U D'
D U2 B2 R' F' U D2
D U2 B2 R' F' D U
D U2 B2 R' F' D' U
D U2 B2 R' F' D2 U
D U2 B2 D R' F' U
D U2 B2 D' R' F' U
D U2 B2 D2 R' F' U
D U2 B2 F R' F' U
D U2 B2 F' R' F' U
D U2 B2 F2 R' F' U
F U2 D B2 R' F' U
D F L U2 F B2 U
D F L U2 B2 F U
B2 U2 F R' F' U R'
L' F L2 U2 F U R2
D F L' B' L2 F U'
B2 U2 F' R' F' U R'
B2 U2 F2 R' F' U R'
B U2 B R' F' U R'
F' U2 B2 R' F' U R'
F2 U2 B2 R' F' U R'
L F U L U2 L' R2
L F U L U2 R2 L'
L F U L' U2 L R2
L F U L' U2 R2 L
L F U L2 U2 L2 R2
L F U L2 U2 R2 L2
F' D L U2 F B2 U
F' D L U2 B2 F U
F2 D L U2 F B2 U
