B L B U F U B'
U' L' B D' R2 F' L'
D L' B' L' U' R' B2
D2 L' B' U' R' F2 B2
D2 L' B' U' R' B2 F2
D2 L' B' U' F2 R' B2
B' L2 R' B2 D F L'
B' R U' B2 R2 F' L'
B' R' L2 B2 D F L'
L D L2 B' U' R' B2
L' D B D L2 F2 R
L' D B' L2 U' R' B2
B2 U B U L R' B2
B2 U B U R' L B2
B' U' R B2 R2 F' L'
L' D2 B' U' R' F2 B2
L' D2 B' U' R' B2 F2
L' D2 B' U' F2 R' B2
U' F' L' B D' R2 F'
U B L R2 D' F' R
U B R2 L D' F' R
U B R2 D' L F' R
U B R2 D' F' L R
U B R2 D' F' R L
L' B' L2 U' R' F B2
L' B' L2 U' R' B2 F
L' B' L2 U' F R' B2
L' B' R U' B2 R2 F'
L' B' U' R B2 R2 F'
L' B2 U' B U' R' B2
