U' L U' D R' B
U' L U' D R' B
U' L D U' R' B
U' L F' R U' R2
L' U2 D R' F2 B
L' U2 D R' B F2
L' U2 D F2 R' B
L' D R' F2 L' B
L' D R' F2 B L'
L' D R' B F2 L'
L' D U2 R' F2 B
L' D U2 R' B F2
L' D U2 F2 R' B
U' D L U' R' B
U' D' L U' R' B'
D' U' L U' R' B'
D U' L U' R' B
F' U' L R U' R2
F' U' R L U' R2
L' D' B2 L U2 B'
U' F' L R U' R2
U' F' R L U' R2
F' L R U R' U2 R'
U' L R F' R U' R
F' L R B2 U' L R2
F' L R B2 U' R2 L
U' L R' F' R U' R'
B2 L U D R' U B
U2 L U' L' D R' B
U' L U' D R' D B
U' L U' D R' D' B
U' L U' D R' D2 B
U' L U' D R' B D
U' L U' D R' B D'
U' L U' D R' B D2
U2 L U' D L' R' B
U2 L U' D R' L' B
U2 L U' D R' B L'
F L U2 L2 U L2 R'
F L U2 L2 U R' L2
U' L D R U' R2 B
B2 L D U R' U B
U' L D U' R' D B
U' L D U' R' D' B
U' L D U' R' D2 B
U' L D U' R' B D
U' L D U' R' B D'
U' L D U' R' B D2
U2 L D U' L' R' B
U2 L D U' R' L' B
U2 L D U' R' B L'
U' L D F U' R' B
U' L D F' U' R' B
U' L D F2 U' R' B
B2 L F U L' R' U
B2 L F U R' L' U
U' L F U2 L' U R'
U' L F' R U' R2 D
U' L F' R U' R2 D'
U' L F' R U' R2 D2
U' L F' R D' F2 U'
U' L F' R F U' R2
U' L F' R F' U' R2
U' L F' R F2 U' R2
U' L F' U' R' D B2
U' L F' D R U' R2
U' L F' D' R U' R2
U' L F' D2 R U' R2
U' L F2 R2 U' R B
U' L F2 U' R B R2
F' L' R' D F2 L' B2
F' L' R' D F2 B2 L'
F' L' R' D B2 F2 L'
D L' R' D F2 L' B
D L' R' D F2 B L'
D L' R' D B F2 L'
D L' R' B D F2 L'
U L' U D R' F2 B
U L' U D R' B F2
U L' U D F2 R' B
D' L' U' L2 U' R' B'
F' L' U' L2 R U' R2
F' L' U' R L2 U' R2
D L' U' L2 U' R' B
U' L' U' D R' F2 B
U' L' U' D R' B F2
U' L' U' D F2 R' B
F' L' U2 R' D F2 B2
F' L' U2 R' D B2 F2
F L' U2 L2 U' L2 R'
F L' U2 L2 U' R' L2
D L' U2 R' D F2 B
D L' U2 R' D B F2
D L' U2 R' B D F2
U2 L' D L R' F2 B
U2 L' D L R' B F2
U2 L' D L F2 R' B
U2 L' D R' L F2 B
U2 L' D R' L B F2
U2 L' D R' F2 L B
U' L' D U' R' F2 B
U' L' D U' R' B F2
U' L' D U' F2 R' B
D' L' D F U2 R' F
D' L' D F U2 F R'
U2 L' D F2 L R' B
U2 L' D F2 R' L B
U L' D U R' F2 B
U L' D U R' B F2
U L' D U F2 R' B
D' L' D' F B2 L U2
D' L' D' B2 F L U2
D' L' F U' L2 U' R'
D' L' F U2 R' D F2
D' L' F U2 D R' F2
D' L' F U2 D F2 R'
D' L' F D U2 R' F2
D' L' F D U2 F2 R'
D' L' F D' B2 L U2
U' L' F' L2 R U' R2
U' L' F' R L2 U' R2
F' L2 U' L' R U' R2
F' L2 U' R L' U' R2
D L2 U' L' U' R' B
U' L2 D L' U' R' B
F' R L U R' U2 R'
U' R L F' R U' R
F' R L B2 U' L R2
F' R L B2 U' R2 L
U' R D' L F2 U' B'
U R D B2 R' U B
U' R D' F2 L U' B'
L2 U' L' U' D R' B
L2 U' L' D U' R' B
L2 U' L' F' R U' R2
L' U' L2 U' D R' B
L' U' L2 D U' R' B
U' R F' L R U' R
L' U' L2 F' R U' R2
U' R F' R L U' R
L2 U' D L' U' R' B
U' R' L F' R U' R'
F' R' L' D F2 L' B2
F' R' L' D F2 B2 L'
F' R' L' D B2 F2 L'
D R' L' D F2 L' B
D R' L' D F2 B L'
D R' L' D B F2 L'
D R' L' B D F2 L'
L' U' F' L2 R U' R2
L' U' F' R L2 U' R2
L U' F' R U' R2 F
L U' F' R U' F R2
U2 R' U D' L U' B'
U2 R' D' U L U' B'
U' R' F' L R U' R'
U' R' F' R L U' R'
U2 R' F' U L R U'
U2 R' F' U R L U'
F' R' F2 L' D F2 B2
F' R' F2 L' D B2 F2
D R' F2 L' D F2 B
D R' F2 L' D B F2
D R' F2 L' B D F2
D R' F2 B D L' F
D R' B D F2 L' F
D R' B F2 D L' F
L' U2 D R' F2 D B
L' U2 D R' F2 D' B
L' U2 D R' F2 D2 B
L' U2 D R' F2 B D
L' U2 D R' F2 B D'
L' U2 D R' F2 B D2
L' U2 D R' B F2 D
L' U2 D R' B F2 D'
L' U2 D R' B F2 D2
L' U2 D F R' F B
L' U2 D F R' B F
L' U2 D F2 R' D B
L' U2 D F2 R' D' B
L' U2 D F2 R' D2 B
L' U2 D F2 R' B D
L' U2 D F2 R' B D'
L' U2 D F2 R' B D2
L U2 F L' U L R'
L U2 F L' U R' L
L' U2 F' R' D F2 B2
L' U2 F' R' D B2 F2
U' R2 D' L U' R B'
U' R2 D' L U' B' R
L' D L R' F2 L' B
L' D L R' F2 B L'
L' D L R' B F2 L'
L' D L U2 R' F2 B
L' D L U2 R' B F2
L' D L U2 F2 R' B
L' D L' R' F2 L' B
L' D L' R' F2 B L'
L' D L' R' B F2 L'
L' D L' U2 R' F2 B
L' D L' U2 R' B F2
L' D L' U2 F2 R' B
L' D L2 R' F2 L' B
L' D L2 R' F2 B L'
L' D L2 R' B F2 L'
L' D L2 U2 R' F2 B
L' D L2 U2 R' B F2
L' D L2 U2 F2 R' B
L' D R' L F2 L' B
L' D R' L F2 B L'
L' D R' L B F2 L'
L' D R' L' F2 L' B
L' D R' L' F2 B L'
L' D R' L' B F2 L'
L' D R' L2 F2 L' B
L' D R' L2 F2 B L'
L' D R' L2 B F2 L'
L' D R' F2 L B L2
L' D R' F2 L' D B
L' D R' F2 L' D' B
L' D R' F2 L' D2 B
L' D R' F2 L' B D
L' D R' F2 L' B D'
L' D R' F2 L' B D2
L' D R' F2 D L' B
L' D R' F2 D B L'
L' D R' F2 D' L' B
L' D R' F2 D' B L'
L' D R' F2 D2 L' B
L' D R' F2 D2 B L'
L' D R' F2 B L' D
L' D R' F2 B L' D'
L' D R' F2 B L' D2
L' D R' F2 B D L'
L' D R' F2 B D' L'
L' D R' F2 B D2 L'
L' D R' F2 B' L' B2
L' D R' B L F2 L'
L' D R' B L' F2 L'
