B L R U' L2 R2
B L R U' R2 L2
B L' R' D F2 B2
B L' R' D B2 F2
B R L U' L2 R2
B R L U' R2 L2
B R' L' D F2 B2
B R' L' D B2 F2
R B L U' L2 R'
R B L U' R' L2
B L R U' L2 R2 D
B L R U' L2 R2 D'
B L R U' L2 R2 D2
B L R U' R2 L2 D
B L R U' R2 L2 D'
B L R U' R2 L2 D2
B L R D' F2 B2 U'
B L R D' B2 F2 U'
B L R F U' L2 R2
B L R F U' R2 L2
B L R F' U' L2 R2
B L R F' U' R2 L2
B L R F2 U' L2 R2
B L R F2 U' R2 L2
B L R B U' L2 R2
B L R B U' R2 L2
B L R B' U' L2 R2
B L R B' U' R2 L2
B L R B2 U' L2 R2
B L R B2 U' R2 L2
B L U' L2 R' D B2
B L U' R' L2 D B2
B L D' R B2 U' R2
L' R B L U' L' R'
L' R B L U' R' L'
L R B L U' L R'
L R B L U' R' L
R L B L U' L R'
R L B L U' R' L
B L' R' U L2 R2 U'
B L' R' U R2 L2 U'
B L' R' D F2 B2 D
B L' R' D F2 B2 D'
B L' R' D F2 B2 D2
B L' R' D B2 F2 D
B L' R' D B2 F2 D'
B L' R' D B2 F2 D2
B L' R' F D F2 B2
B L' R' F D B2 F2
B L' R' F' D F2 B2
B L' R' F' D B2 F2
B L' R' F2 D F2 B2
B L' R' F2 D B2 F2
B L' R' B D F2 B2
B L' R' B D B2 F2
B L' R' B' D F2 B2
B L' R' B' D B2 F2
B L' R' B2 D F2 B2
B L' R' B2 D B2 F2
B L' U L2 R U' R2
B L' U R L2 U' R2
B L' D R' F2 D B2
R L' B L U' L' R'
R L' B L U' R' L'
B L' F D R' F2 B
B L' F D R' B F2
B L' F D F2 R' B
U L' B R' D F' B2
U L' B R' D B2 F'
U L' B R' F' D B2
D L2 R U' L F R
D' L2 R F' U' L F
L' U R U B U2 R'
R U R B U2 L' R'
R U R B U2 R' L'
B R L U' L2 R2 D
B R L U' L2 R2 D'
B R L U' L2 R2 D2
B R L U' R2 L2 D
B R L U' R2 L2 D'
B R L U' R2 L2 D2
B R L D' F2 B2 U'
B R L D' B2 F2 U'
B R L F U' L2 R2
B R L F U' R2 L2
B R L F' U' L2 R2
B R L F' U' R2 L2
B R L F2 U' L2 R2
B R L F2 U' R2 L2
B R L B U' L2 R2
B R L B U' R2 L2
B R L B' U' L2 R2
B R L B' U' R2 L2
B R L B2 U' L2 R2
B R L B2 U' R2 L2
D R L2 U' L F R
D' R L2 F' U' L F
B R U' L' R2 D F2
U R U B U2 L' R'
U R U B U2 R' L'
B R U' R2 L' D F2
B R D' L F2 U' L2
R U' L' U2 B' L U2
D' R F' U' L F L'
D' R B L F' U' L2
U2 R B U' L' R' F'
