U2 L2 B U F
U2 L' B L' U F
U2 L2 R' U F R
D2 L2 R2 F' U' F2
U2 L2 D B U F
B L2 D' R2 F U
U2 L2 D' B U F
B L2 D' F R2 U
U2 L2 D2 B U F
B L2 D2 F U F
B L2 F U D2 F2
B L2 F U' B2 U2
B L2 F D' R2 U
B L2 F D2 U F2
U' L2 B U F L2
U2 L2 B R U F
U2 L2 B R' U F
U2 L2 B R2 U F
U2 L2 B U D F
U2 L2 B U D F
U2 L2 B U D' F
U2 L2 B U D2 F
U2 L2 B U F D
U2 L2 B U F D'
U2 L2 B U F D2
U2 L2 B D U F
U2 L2 B D' U F
U2 L2 B D2 U F
U2 R' L2 U F R
L' U2 L' B U F
L' U2 B L' U F
D2 R2 L2 F' U' F2
D2 R2 F' L2 U' F
D2 R2 F' U B' U2
B' U B2 L2 F U
F' U2 L2 B U F
F2 U2 L2 B U F
F U2 L2 B U F
R2 F' U2 L2 U F
U2 B L2 U D2 F2
U2 B L2 U' B2 U2
U2 B L2 D' R2 U
U2 B L2 D2 U F2
L2 B U2 B' U' F
U2 B D' R2 U B2
U B' U L2 B2 U
U B' U B2 L2 U
U B' U2 D' R2 B2
U B' U2 D' B2 R2
U B' D L2 F2 U2
U B' D F2 L2 U2
U B' D' U2 R2 B2
U B' D' U2 B2 R2
D2 L R2 F' L U' F
U2 L D L B U F
U2 L D' L B U F
B L D' L R2 F U
B L D' L F R2 U
B L D' R2 L F U
U2 L D2 L B U F
B L D2 L F U F
R' L' U2 L' B' U F
L' R' U2 L' B' U F
D2 L' R2 F' L' U' F
U L' U L' B U F
U L' U B L' U F
F' L' U2 L' B U F
F2 L' U2 L' B U F
F L' U2 L' B U F
F' L' U2 B L' U F
F2 L' U2 B L' U F
F L' U2 B L' U F
U2 L' D' L' B R' U
U2 L' D' B L' R' U
U2 L' D' B R' L' U
L2 R2 U' F D R2 B
R2 L2 U' F D R2 B
U2 L' B L' R U F
U2 L' B L' R' U F
U2 L' B L' R2 U F
U2 L' B L' U D F
U2 L' B L' U D' F
U2 L' B L' U D2 F
U2 L' B L' U F D
U2 L' B L' U F D'
U2 L' B L' U F D2
U2 L' B L' D U F
U2 L' B L' D' U F
U2 L' B L' D2 U F
U2 L' B R L' U F
U2 L' B R' L' U F
U2 L' B R2 L' U F
U2 L' B' L' B2 U F
B L2 R D' R2 F U
B L2 R D' F R2 U
B L2 R D2 F U F
B L2 R F U D2 F2
B L2 R F U' B2 U2
B L2 R F D' R2 U
B L2 R F D2 U F2
U' L2 R' U F L2 R
U' L2 R' U F R L2
U2 L2 R' U R F R
U2 L2 R' U R' F R
U2 L2 R' U R2 F R
U2 L2 R' U D F R
U2 L2 R' U D' F R
U2 L2 R' U D2 F R
U2 L2 R' U F R D
U2 L2 R' U F R D'
U2 L2 R' U F R D2
U2 L2 R' U F D R
U2 L2 R' U F D' R
U2 L2 R' U F D2 R
U2 L2 R' D U F R
U2 L2 R' D' U F R
U2 L2 R' D2 U F R
B L2 R' D' R2 F U
B L2 R' D' F R2 U
B L2 R' D2 F U F
B L2 R' F U D2 F2
B L2 R' F U' B2 U2
B L2 R' F D' R2 U
B L2 R' F D2 U F2
U2 L2 R' B U F R
D2 L2 R2 U' F D R2
U2 L2 R' B' U F R
U2 L2 R' B2 U F R
D2 L2 R2 D F' U' F2
U2 L2 R2 U F D R2
D2 L2 R2 D' F' U' F2
D2 L2 R2 D2 F' U' F2
U2 L2 R2 U2 F' U' F2
D2 L2 R2 F' L U' F2
D2 L2 R2 F' L' U' F2
D2 L2 R2 F' L2 U' F2
D2 L2 R2 F' U' F2 D
D2 L2 R2 F' U' F2 D'
D2 L2 R2 F' U' F2 D2
D2 L2 R2 F' D' L2 U'
D' L2 R2 F' U' F2 B2
D' L2 R2 F' U' B2 F2
B L2 R2 D' R2 F U
B L2 R2 D' F R2 U
B L2 R2 D2 F U F
B L2 R2 F U D2 F2
B L2 R2 F U' B2 U2
B L2 R2 F D' R2 U
B L2 R2 F D2 U F2
L2 R2 F' U' F2 D2 B2
R2 L2 F' U' F2 D2 B2
U2 L2 U R2 F D R2
U2 L2 U F U' B U
U L2 U B U F B'
U L2 U B U B' F
B L2 U' B2 U F U
D' L2 U2 B U F B
D' L2 U2 B U B F
B L2 U2 D L2 B' U'
U2 L2 D R' U F R
D L2 D R2 F' U' F2
U' L2 D F2 B U F'
U' L2 D B F2 U F'
B L2 D U2 L2 B' U'
B L2 D F U D F2
B L2 D F U2 L2 U'
B L2 D F D U F2
U2 L2 D B R U F
B L2 D F D2 R2 U
U2 L2 D B R' U F
U2 L2 D B R2 U F
U2 L2 D B U D F
U2 L2 D B U D' F
U2 L2 D B U D2 F
U2 L2 D B U F D
U2 L2 D B U F D'
U2 L2 D B U F D2
U2 L2 D B D U F
U2 L2 D B D' U F
U2 L2 D B D2 U F
D' L2 D' R2 F' U' F2
U2 L2 D' R' U F R
B L2 D' R' F R' U
B L2 D' R2 D F U
B L2 D' R2 D' F U
B L2 D' R2 D2 F U
B L2 D' R2 F U D
B L2 D' R2 F U D'
B L2 D' R2 F U D2
B L2 D' R2 F D U
B L2 D' R2 F D' U
B L2 D' R2 F D2 U
B L2 D' F R2 U D
B L2 D' F R2 U D'
B L2 D' F R2 U D2
B L2 D' F R2 D U
B L2 D' F R2 D' U
B L2 D' F R2 D2 U
B L2 D' F U D' F2
U2 L2 D' B R U F
U2 L2 D' B R' U F
U2 L2 D' B R2 U F
B L2 D' F D' U F2
U2 L2 D' B U D F
U2 L2 D' B U D' F
U2 L2 D' B U D2 F
U2 L2 D' B U F D
U2 L2 D' B U F D'
U2 L2 D' B U F D2
U2 L2 D' B D U F
U2 L2 D' B D' U F
U2 L2 D' B D2 U F
B L2 D' F' R2 F2 U
U2 L2 D2 R' U F R
B L2 D2 R F U F
B L2 D2 R' F U F
B L2 D2 R2 F U F
B L2 D2 F R U F
B L2 D2 F R' U F
U2 L2 D2 B R U F
B L2 D2 F R2 U F
U2 L2 D2 B R' U F
U2 L2 D2 B R2 U F
B L2 D2 F U D F
B L2 D2 F U D' F
B L2 D2 F U D2 F
B L2 D2 F U F D
B L2 D2 F U F D'
B L2 D2 F U F D2
U2 L2 D2 B U D F
U2 L2 D2 B U D' F
U2 L2 D2 B U D2 F
U2 L2 D2 B U F D
U2 L2 D2 B U F D'
U2 L2 D2 B U F D2
B L2 D2 F D U F
B L2 D2 F D' U F
U2 L2 D2 B D U F
B L2 D2 F D2 U F
U2 L2 D2 B D' U F
U2 L2 D2 B D2 U F
D2 L2 F R2 F' U' F
B L2 F R U D2 F2
B L2 F R U' B2 U2
B L2 F R D' R2 U
B L2 F R D2 U F2
B L2 F R' U D2 F2
B L2 F R' U' B2 U2
B L2 F R' D' R2 U
B L2 F R' D2 U F2
B L2 F R2 U D2 F2
B L2 F R2 U' B2 U2
B L2 F R2 D' R2 U
B L2 F R2 D2 U F2
B L2 F U D2 F2 D
B L2 F U D2 F2 D'
B L2 F U D2 F2 D2
B L2 F U F D2 F2
B L2 F U F' D2 F2
B L2 F U F2 D2 F2
B L2 F U' B2 U2 D
B L2 F U' B2 U2 D'
B L2 F U' B2 U2 D2
B L2 F U' B2 D U2
B L2 F U' B2 D' U2
B L2 F U' B2 D2 U2
B L2 F U2 D L2 U'
B L2 F D U2 L2 U'
B L2 F D' R2 U D
B L2 F D' R2 U D'
B L2 F D' R2 U D2
B L2 F D' R2 D U
B L2 F D' R2 D' U
B L2 F D' R2 D2 U
B L2 F D2 R U F2
B L2 F D2 R' U F2
B L2 F D2 R2 U F2
B L2 F D2 U F2 D
B L2 F D2 U F2 D'
B L2 F D2 U F2 D2
D2 L2 F' R2 F' U' F'
U' L2 F' B U L2 F2
U' L2 F' B U F2 L2
B L2 F' D' R2 U L2
U' L2 F2 B U L2 F'
U' L2 F2 B U F' L2
B L2 F2 D' F' R2 U
B L2 F2 D2 F' U F'
U' L2 B R U F L2
U' L2 B R' U F L2
U' L2 B R2 U F L2
U2 L2 B R U D F
U2 L2 B R U D' F
U2 L2 B R U D2 F
U2 L2 B R U F D
U2 L2 B R U F D'
U2 L2 B R U F D2
U2 L2 B R D U F
U2 L2 B R D' U F
U2 L2 B R D2 U F
U' L2 B U F L2 D
U' L2 B U F L2 D'
U' L2 B U F L2 D2
U' L2 B U F' L2 F2
U' L2 B U F2 L2 F'
U2 L2 B R' U D F
U2 L2 B R' U D' F
U2 L2 B R' U D2 F
U2 L2 B R' U F D
U2 L2 B R' U F D'
U2 L2 B R' U F D2
U2 L2 B R' D U F
U2 L2 B R' D' U F
U2 L2 B R' D2 U F
U2 L2 B R2 U D F
U2 L2 B R2 U D' F
U2 L2 B R2 U D2 F
U2 L2 B R2 U F D
U2 L2 B R2 U F D'
U2 L2 B R2 U F D2
U2 L2 B R2 D U F
U2 L2 B R2 D' U F
U2 L2 B R2 D2 U F
F' L2 B U2 B' U' F
U2 L2 B U R F R'
U2 L2 B U R2 F R2
U2 L2 B U D F D
U2 L2 B U D F D'
U2 L2 B U D F D2
U2 L2 B U D' F D
U2 L2 B U D' F D'
U2 L2 B U D' F D2
U2 L2 B U D2 F D
U2 L2 B U D2 F D'
U2 L2 B U D2 F D2
U2 L2 B U F2 D F'
U2 L2 B U F2 D' F'
U2 L2 B U F2 D2 F'
U' L2 B D F2 U F'
U2 L2 B U' B U2 F
U2 L2 B U' B' U2 F
U2 L2 B U' B2 U2 F
F2 L2 B U2 B' U' F
U2 L2 B D R U F
U2 L2 B D R' U F
U2 L2 B D R2 U F
U2 L2 B D U F D
U2 L2 B D U F D'
U2 L2 B D U F D2
U2 L2 B D' R U F
U2 L2 B D' R' U F
U2 L2 B D' R2 U F
U' L2 B F' U L2 F2
U' L2 B F' U F2 L2
U2 L2 B D' U F D
U2 L2 B D' U F D'
U2 L2 B D' U F D2
U' L2 B F2 U L2 F'
U' L2 B F2 U F' L2
U2 L2 B D2 R U F
U2 L2 B D2 R' U F
U2 L2 B D2 R2 U F
U2 L2 B D2 U F D
U2 L2 B D2 U F D'
U2 L2 B D2 U F D2
F L2 B U2 B' U' F
U2 L2 B' R B2 U F
U2 L2 B' R' B2 U F
U2 L2 B' R2 B2 U F
U2 L2 B' U D' R2 F
U2 L2 B' U D' F R2
U2 L2 B' U F D' R2
U2 L2 B' D' U R2 F
U2 L2 B' D' U F R2
U2 L2 B2 R B' U F
