B R D' R2 F' U B
B' R' U F' B2 U B'
B' R' U B2 F' U B'
B R' D2 F' U F' B
B R' D2 F' U B F'
B R' F' U D2 F2 B
B R' F' U D2 B F2
B R' F' U' B2 U2 B'
B R' F' D2 U F2 B
B R' F' D2 U B F2
B U' R' B2 U2 B' L
B U' B' R' B' U2 B2
R' F' L2 U F B R
R' F' L2 U B F R
R' F' U' B' U2 R' B2
L2 B R' F' U F2 B
L2 B R' F' U B F2
U' B U D2 L F2 B'
U' B U D2 L B' F2
U' B U D2 F2 L B'
U' B U' B2 R' U2 B
U' B D2 U L F2 B'
U' B D2 U L B' F2
U' B D2 U F2 L B'
U' B' R' U B2 U B'
U' B' R' U2 D' B R2
U' B' R' D L2 U2 B
U' B' R' D' U2 B R2
R B' D' F' R2 U2 R'
