B' L U' R' F
B' L U' F R'
B' L U' R F R2
B' L U' R' D F
B' L U' R' D' F
B' L U' R' D2 F
B' L U' R' F D
B' L U' R' F D'
B' L U' R' F D2
B' L U' D R' F
B' L U' D F R'
B' L U' D' R' F
B' L U' D' F R'
B' L U' D2 R' F
B' L U' D2 F R'
B' L U' F R' D
B' L U' F R' D'
B' L U' F R' D2
B' L U' F D R'
B' L U' F D' R'
B' L U' F D2 R'
B' L U' F' R' F2
B' L D U' R' F
B' L D U' F R'
B' L D' U' R' F
B' L D' U' F R'
B' L D2 U' R' F
B' L D2 U' F R'
B' L F' U' R' F2
B' L F' U' F2 R'
B' L F2 U' F' R'
B2 L B U' R' F
B2 L B U' F R'
B' U' F R' D' F2
B' U2 R U R2 F'
B' U2 R2 U R F'
B' D L U' R' F
B' D L U' F R'
B' D' L U' R' F
B' D' L U' F R'
B' D2 L U' R' F
B' D2 L U' F R'
B' F L U' R' F
B' F L U' F R'
D2 B' L U' R' F
D2 B' L U' F R'
D' B' L U' R' F
D' B' L U' F R'
D B' L U' R' F
D B' L U' F R'
F' B' L U' R' F
F' B' L U' F R'
B' F' L U' R' F
B' F' L U' F R'
F2 B' L U' R' F
F2 B' L U' F R'
F B' L U' R' F
F B' L U' F R'
B' F2 L U' R' F
B' F2 L U' F R'
B' L U L' U2 R' F'
B' L U B U2 F R
B' L U' R F R2 D
B' L U' R F R2 D'
B' L U' R F R2 D2
B' L U' R F' R2 F2
B' L U' R' D F D
B' L U' R' D F D'
B' L U' R' D F D2
B' L U' R' D' F D
B' L U' R' D' F D'
B' L U' R' D' F D2
B' L U' R' D2 F D
B' L U' R' D2 F D'
B' L U' R' D2 F D2
B' L U' R' F2 D F'
B' L U' R' F2 D' F'
B' L U' R' F2 D2 F'
B' L U' R2 D R F
B' L U' R2 D' R F
B' L U' R2 D2 R F
B' L U' D R F R2
B' L U' D R' D F
B' L U' D R' D' F
B' L U' D R' D2 F
B' L U' D R' F D
B' L U' D R' F D'
B' L U' D R' F D2
B' L U' D F R' D
B' L U' D F R' D'
B' L U' D F R' D2
B' L U' D F D R'
B' L U' D F D' R'
B' L U' D F D2 R'
B' L U' D F' R' F2
B' L U' D' R F R2
B' L U' D' R' D F
B' L U' D' R' D' F
B' L U' D' R' D2 F
B' L U' D' R' F D
B' L U' D' R' F D'
B' L U' D' R' F D2
B' L U' D' F R' D
B' L U' D' F R' D'
B' L U' D' F R' D2
B' L U' D' F D R'
B' L U' D' F D' R'
B' L U' D' F D2 R'
B' L U' D' F' R' F2
B' L U' D2 R F R2
B' L U' D2 R' D F
B' L U' D2 R' D' F
B' L U' D2 R' D2 F
B' L U' D2 R' F D
B' L U' D2 R' F D'
B' L U' D2 R' F D2
B' L U' D2 F R' D
B' L U' D2 F R' D'
B' L U' D2 F R' D2
B' L U' D2 F D R'
B' L U' D2 F D' R'
B' L U' D2 F D2 R'
B' L U' D2 F' R' F2
B' L U' F R2 D R
B' L U' F R2 D' R
B' L U' F R2 D2 R
B' L U' F D R' D
B' L U' F D R' D'
B' L U' F D R' D2
B' L U' F D' R' D
B' L U' F D' R' D'
B' L U' F D' R' D2
B' L U' F D2 R' D
B' L U' F D2 R' D'
B' L U' F D2 R' D2
B' L U' F' R F2 R2
B' L U' F' R' F2 D
B' L U' F' R' F2 D'
B' L U' F' R' F2 D2
B' L U' F2 D F' R'
B' L U' F2 D' F' R'
B' L U' F2 D2 F' R'
B L U' B2 U' F B2
B L U' B2 U' B2 F
B' L U2 R U R2 F
B' L U2 R U F R2
B' L U2 R2 U R F
B' L D U' R F R2
B' L D U' R' D F
B' L D U' R' D' F
B' L D U' R' D2 F
B' L D U' R' F D
B' L D U' R' F D'
B' L D U' R' F D2
B' L D U' F R' D
B' L D U' F R' D'
