F L' B2 U' R' B L
R2 U R F' L' R U
R2 U R F' R L' U
R2 U F' L' R F' U
R2 U F' R L' F' U
F2 R F' U' L' B U'
F2 R F' U' B L' U'
R2 U2 D' L' F B' L'
R2 U2 D' L' B' F L'
R2 U2 D' F L' F B'
R2 U2 D' F L' B' F
R' U2 F' R U R' B
R' U2 B U' F' R U
U R2 F' R U L' B
U R2 F' R U B L'
R2 D R' F' B R' U2
R2 D R' B F' R' U2
R2 D B R' F' B U2
R2 D B R' B F' U2
R2 D' U2 L' F B' L'
R2 D' U2 L' B' F L'
R2 D' U2 F L' F B'
R2 D' U2 F L' B' F
R2 D' F U2 L' F B'
R2 D' F U2 L' B' F
R F' R2 U F' R' U
R2 F' U R F' L' U
R F' U R2 F' R' U
R F' U' B U2 R U
R' B' U F' R U B2
R' B2 U F' R U B'
