D F2 L' U' B' U
F2 L U F L U' L
F L U F L U' L2
D L U F U' F L'
F' L F' L' D R2 F2
F' L F' L' D F2 R2
D L F' D F' L' R2
D L F' D F' R2 L'
D L F2 L' U F' U'
F2 L' U L2 F L U'
F2 L' U' B' U2 L' U'
D L' U' B' U F2 L'
F2 L' F2 U' R B' U
F2 L' F2 U' B' R U
D L' F2 U' B' U L'
D L' B' U F2 L' B
D L' B' U F2 B L'
D L' B' U B F2 L'
U L2 U R U B U
D L2 F' D F' L' R
D L2 F' D F' R L'
D L2 F2 L' U F U'
U L2 F2 B' U' L' R'
U L2 F2 B' U' R' L'
U L2 B U L R U2
U L2 B U R L U2
U L2 B' U R U2 R2
U L2 B' U' R' D2 L2
U L2 B' F2 U' L' R'
U L2 B' F2 U' R' L'
L U F D' L B' U'
R U F' L2 B' U' R'
U2 R U D B U F2
U2 R U D2 B R2 U
U2 R U B U D F2
U2 R U B U2 L2 U'
U2 R U B D U F2
U2 R U B D2 R2 U
L U F2 L F' U' L2
U2 R U' L2 U2 B U
U2 R D U B U F2
U2 R D' B2 U B' U
U2 R D2 U B R2 U
U2 R B' D L2 U2 F2
U2 R B' D' B2 U2 R2
U2 R B2 U' L2 F U'
L' U' F2 R B' U L'
L' U' F2 B' R U L'
L' U' B' F2 R U L'
L U2 R U' F L U'
R2 U2 R' U' L2 F' U'
R2 U2 R' U' F' L2 U'
F' U L' B' L' U' R'
U2 D R U B U F2
U' D F U R F L'
B U D F2 B' L' R'
B U D F2 B' R' L'
B U D B' F2 L' R'
B U D B' F2 R' L'
D U B' U' F2 L' R'
D U B' U' F2 R' L'
U D B' U' F2 L' R'
U D B' U' F2 R' L'
F2 U B' L2 U' L R'
F2 U B' L2 U' R' L
B U B' D F2 L' R'
B U B' D F2 R' L'
U2 D' R B2 U B' U
D U' F U R F L'
U2 D' B2 R U B U
D2 U2 R U B R U
D' U2 R B2 U B' U
U2 D2 R U B R U
D U2 R U B U F2
D' U2 B2 R U B U
F2 D L' U' B' U F2
F2 D L' F2 U' B' U
L F D' L B' U' B
B D U F2 B' L' R'
B D U F2 B' R' L'
B D U B' F2 L' R'
B D U B' F2 R' L'
D F' L F' L' D R2
D F' L F' D L' R2
D F' L F' D R2 L'
B' D F2 L' B D' R2
D F' L2 D F' L' R
D F' L2 D F' R L'
D2 F2 L' U' R2 B' U
D2 F2 L' U' B' R2 U
D F2 L U F U' L2
L2 F2 L' U F L U'
D F2 L' R U' B' U
D F2 L' R' U' B' U
D F2 L' R2 U' B' U
D F2 L' U' D B' U
D F2 L' U' D' B' U
D F2 L' U' D2 B' U
D F2 L' U' B' U D
D F2 L' U' B' U D'
D F2 L' U' B' U D2
D F2 L' U' B' D U
D F2 L' U' B' D' U
D F2 L' U' B' D2 U
D F2 L' D U' B' U
D F2 L' D' U' B' U
D F2 L' D2 U' B' U
L F2 L' U L2 F' U'
L F2 L' U F' L2 U'
D F2 L' B D' R2 B'
D F2 L' B D' B' R2
L F2 L' F D R2 F2
L F2 L' F D F2 R2
L' F2 R B' U L' B
L' F2 R B' U B L'
D F2 R L' U' B' U
D F2 R' L' U' B' U
D F2 R2 L' U' B' U
L' F2 U' R B' U L'
L' F2 U' B' R U L'
L F2 U L F' U' L2
D F2 U B' U' L' R'
D F2 U B' U' R' L'
F2 D2 L' U' R2 B' U
F2 D2 L' U' B' R2 U
D F2 D L' U' B' U
D F2 D' L' U' B' U
D F2 D2 L' U' B' U
D F2 B' L' B D' R2
U F2 B' L2 U' L R'
U F2 B' L2 U' R' L
U B L2 U L' R U2
U B L2 U R L' U2
U B L2 F2 U' L' R
U B L2 F2 U' R L'
D B U F2 B' L' R'
D B U F2 B' R' L'
D B U B' F2 L' R'
D B U B' F2 R' L'
U B' L2 U R U2 R2
U B' L2 U' R' D2 L2
U B' L2 F2 U' L' R'
U B' L2 F2 U' R' L'
U B' U' D F2 L' R'
U B' U' D F2 R' L'
U B' D U' F2 L' R'
U B' D U' F2 R' L'
D B' F2 L' B D' R2
U B' F2 L2 U' L R'
U B' F2 L2 U' R' L
