F L U2 R F U B
U2 R F B L U' B2
U2 R B F L U' B2
U' R' F U' F2 B' L'
U' R' F U' B' F2 L'
U' R' F' D R2 B' L'
U' R' F' D B' L' R2
U' R' F' D B' R2 L'
U' R' F' B' L' D R2
U' R' F' B' D L' R2
U' R' F' B' D R2 L'
U' R' B' F' L' D R2
U' R' B' F' D L' R2
U' R' B' F' D R2 L'
F R2 U2 R' F' U B'
F U2 R U B' D L2
F U2 R U2 B U' B2
F U2 R' F' R2 U B'
B2 U2 F U' B L F
U2 F R B L U' B2
U2 F U' B L F B2
U2 F U' B L B2 F
F' B L' F2 B' U' B'
F' B L' B' F2 U' B'
U' B' R' F' L' D R2
U' B' R' F' D L' R2
U' B' R' F' D R2 L'
B' F' L' F2 B' U' B
B' F' L' B' F2 U' B
F' B' L' F2 B' U' B
F' B' L' B' F2 U' B
B2 F' L' F2 B' U' B2
B2 F' L' B' F2 U' B2
B F' L' F2 B' U' B'
B F' L' B' F2 U' B'
F' B2 L' F2 B' U' B2
F' B2 L' B' F2 U' B2
