F' R U B' R' U
R2 L U' F L' B R
B' L R2 U F L' B
B' L R2 U F B L'
B' L R2 U B F L'
R2 L U' F B L' R
R2 L U' F B R L'
R2 L U' B F L' R
R2 L U' B F R L'
B' L U F L' D2 B2
B' L U F D2 L' B2
B' L U F D2 B2 L'
F L U F L2 B' R'
B' L U' F' R U2 F2
B' L U' F' U2 F2 L'
F L U' F L2 R B'
F L U' F L2 B' R
F L U' F R L2 B'
R2 L F L' B D' R2
F' L' R D' B' L U2
B' L' U' F' R B' U2
B' L' U' F' B' R U2
B' L' U' B' F' R U2
F' L' D' R B' L U2
F' L' D' B' L R U2
F' L' D' B' R L U2
L R2 U' F L' B R
L R2 U' F B L' R
L R2 U' F B R L'
L R2 U' B F L' R
L R2 U' B F R L'
L R2 F L' B D' R2
L2 R2 F U' L' F B
L2 R2 F U' L' B F
L2 R2 F U' B L' F
R2 L2 F U' L' F B
R2 L2 F U' L' B F
R2 L2 F U' B L' F
F' R L' D' B' L U2
F' R U R B' R' U
F' R U R' B' R' U
F' R U R2 B' R' U
F' R U D B' R' U
F' R U D' B' R' U
F' R U D2 B' R' U
F' R U B' R' U D
F' R U B' R' U D'
F' R U B' R' U D2
F' R U B' R' D U
F' R U B' R' D' U
F' R U B' R' D2 U
F' R U B' D R' U
F' R U B' D' R' U
F' R U B' D2 R' U
F' R D U B' R' U
F' R D' U B' R' U
F' R D2 U B' R' U
L U' R F L' R B
L U' R F R L' B
L U' R F R B L'
L U' R2 F L' B R
L U' R2 F B L' R
L U' R2 F B R L'
L U' R2 B F L' R
L U' R2 B F R L'
L U' F L' R D2 B2
L U' F L' D2 R B2
L U' F L' D2 B2 R
L U' F R L' D2 B2
L U' F R D2 L' B2
L U' F R D2 B2 L'
L U' F D2 L' R B2
L U' F D2 L' B2 R
L U' F D2 R L' B2
L U' F D2 R B2 L'
L U' F D2 B2 L' R
L U' F D2 B2 R L'
L U' F' L' R U2 F2
L U' F' L' U2 F2 L'
L U' F' R L' U2 F2
L U' F' R U2 F2 R
L U' F' U2 F2 L' R
L U' F' U2 F2 R L'
B' R2 L U F L' B
B' R2 L U F B L'
B' R2 L U B F L'
F' U F2 B' R' U L'
F' U B' R' U D2 L2
F' U B' R' U' R2 U2
F' U B' R' D' F2 U
F' U B' R' D2 U L2
F' U B' F2 R' U L'
B' U' F' R U' L' U'
L2 F U' L' D2 F B2
L2 F U' L' D2 B2 F
F' D R U B' R' U
L' F' R D' B' L U2
U2 F' R B U B2 U
U2 F' R B U2 D' R2
U2 F' R B D L2 U2
U2 F' R B D' U2 R2
D2 F' U B' R' U L
L2 F' U' F2 U' L' F
L' F' D' R B' L U2
F' D' R U B' R' U
L' F' D' B' L R U2
L' F' D' B' R L U2
F' D2 R U B' R' U
R2 B L F L' D' R2
R2 B L F D' L' R2
R2 B L F D' R2 L'
B' F L U F L2 B'
R2 B' L U F L' B2
R2 B' L U F B2 L'
R2 B' L U B2 F L'
F B' L U F L2 B'
U' B' U' F' R B U2
