U L' R U2 B
U R L' U2 B
F2 U' L' R B'
F2 U' L' B' R
F2 U' R L' B'
U L' R U2 D B
U L' R U2 D' B
U L' R U2 D2 B
U L' R U2 B D
U L' R U2 B D'
U L' R U2 B D2
U L' R D U2 B
U L' R D' U2 B
U L' R D2 U2 B
U L' R F U2 B
U L' R F' U2 B
U L' R F2 U2 B
U L' R' F' R2 U2
U L' D R U2 B
U L' D' R U2 B
U L' D2 R U2 B
U L' F2 U2 L' B'
R2 U L' R' F' U2
R2 U R' L' F' U2
U R L' U2 D B
U R L' U2 D' B
U R L' U2 D2 B
U R L' U2 B D
U R L' U2 B D'
U R L' U2 B D2
U R L' D U2 B
U R L' D' U2 B
U R L' D2 U2 B
U R L' F U2 B
U R L' F' U2 B
U R L' F2 U2 B
U R D L' U2 B
U R D' L' U2 B
U R D2 L' U2 B
U R F2 U2 B R
U R' L' F' R2 U2
B' R' U L' R2 U2
B' R' U R2 L' U2
F2 R' U' L' R2 B'
F2 R' U' L' B' R2
F2 R' U' R2 L' B'
F2 R2 U' L' R' B'
F2 R2 U' R' L' B'
D2 U L' R U2 B
D' U L' R U2 B
U D L' R U2 B
D U L' R U2 B
D2 U R L' U2 B
D' U R L' U2 B
U D R L' U2 B
D U R L' U2 B
U D' L' R U2 B
F2 U' L' R D B'
F2 U' L' R D' B'
F2 U' L' R D2 B'
F2 U' L' R B' D
F2 U' L' R B' D'
F2 U' L' R B' D2
F2 U' L' R' B' R2
F2 U' L' D R B'
F2 U' L' D B' R
F2 U' L' D' R B'
F2 U' L' D' B' R
F2 U' L' D2 R B'
U D' R L' U2 B
F2 U' L' D2 B' R
F2 U' L' B R B2
F2 U' L' B' R D
F2 U' L' B' R D'
F2 U' L' B' R D2
F2 U' L' B' D R
F2 U' L' B' D' R
F2 U' L' B' D2 R
F2 U' R L' D B'
F2 U' R L' D' B'
F2 U' R L' D2 B'
F2 U' R L' B' D
F2 U' R L' B' D'
F2 U' R L' B' D2
F2 U' R D L' B'
F2 U' R D' L' B'
F2 U' R D2 L' B'
F2 U' R B L' B'
F2 U' R B' L' B'
F2 U' R B2 L' B'
F2 U' R' L' B' R2
F2 U' D L' R B'
F2 U' D L' B' R
F2 U' D R L' B'
F2 U' D' L' R B'
F2 U' D' L' B' R
F2 U' D' R L' B'
F2 U' D2 L' R B'
F2 U' D2 L' B' R
F2 U' D2 R L' B'
U D2 L' R U2 B
F2 U' B L' R B'
F2 U' B L' B' R
F2 U' B R L' B'
F2 U' B' L' R B'
F2 U' B' L' B' R
F2 U' B' R L' B'
U D2 R L' U2 B
F2 U' B2 L' R B'
F2 U' B2 L' B' R
F2 U' B2 R L' B'
F2 D U' L' R B'
F2 D U' L' B' R
F2 D U' R L' B'
U' F2 L' R F2 B'
U' F2 L' R B' F2
F2 D' U' L' R B'
F2 D' U' L' B' R
F2 D' U' R L' B'
U' F2 L' B' R F2
U' F2 R L' F2 B'
U' F2 R L' B' F2
D2 F2 U' L' R B'
D' F2 U' L' R B'
D' F2 U' L' B' R
D2 F2 U' L' B' R
D' F2 U' R L' B'
D2 F2 U' R L' B'
D F2 U' L' R B'
D F2 U' L' B' R
D F2 U' R L' B'
U F2 U2 L' R B'
U F2 U2 L' B' R
U F2 U2 R L' B'
F2 D2 U' L' R B'
F2 D2 U' L' B' R
F2 D2 U' R L' B'
F2 B' R' U' L' R2
F2 B' R' U' R2 L'
B' F2 R' U' L' R2
B' F2 R' U' R2 L'
U L R U2 D2 B R2
U L R U2 B D2 R2
U' L R F L2 U2 F'
U L R D2 U2 B R2
U L R F L2 U2 B
U L R F' L2 U2 B
U L R F2 L2 U2 B
L' R U' L U F U2
U' L R' D2 L2 R2 B'
U' L R' D2 L2 B' R2
U' L R' D2 R2 L2 B'
U L R' F' L2 R2 U2
U L R' F' R2 L2 U2
U2 L U' L2 R U2 B
U2 L U' R L2 U2 B
U' L U2 L2 R U2 B'
U' L U2 R L2 U2 B'
U' L U2 R F L2 U2
U L D2 R U2 B R
R L' U' L U F U2
B' L' R U' L R2 U'
B' L' R U' R2 L U'
U L' R U L U B
U L' R U L' U B
U L' R U L2 U B
U L' R U2 L B L'
U L' R U2 L2 B L2
U L' R U2 D B D
U L' R U2 D B D'
U L' R U2 D B D2
U L' R U2 D' B D
U L' R U2 D' B D'
U L' R U2 D' B D2
U L' R U2 D2 B D
U L' R U2 D2 B D'
U L' R U2 D2 B D2
U' L' R F U2 F' B'
U' L' R F U2 B' F'
U L' R U2 B2 D B'
U L' R U2 B2 D' B'
U L' R U2 B2 D2 B'
U L' R D U2 B D
U L' R D U2 B D'
U L' R D U2 B D2
U L' R D F U2 B
U' L' R F' U2 F B'
U L' R D F' U2 B
U' L' R F' U2 B' F
U L' R D F2 U2 B
U L' R D' U2 B D
U L' R D' U2 B D'
U L' R D' U2 B D2
U L' R D' F U2 B
U L' R D' F' U2 B
U' L' R F2 U2 F2 B'
U' L' R F2 U2 B' F2
U L' R D' F2 U2 B
U L' R D2 U2 B D
U L' R D2 U2 B D'
U L' R D2 U2 B D2
U L' R D2 F U2 B
U L' R D2 F' U2 B
U L' R D2 F2 U2 B
U L' R F U2 D B
U L' R F U2 D' B
U L' R F U2 D2 B
U L' R F U2 B D
U L' R F U2 B D'
U L' R F U2 B D2
U L' R F D U2 B
U L' R F D' U2 B
U L' R F D2 U2 B
U L' R F' U2 D B
U L' R F' U2 D' B
U L' R F' U2 D2 B
U L' R F' U2 B D
U L' R F' U2 B D'
U L' R F' U2 B D2
U L' R F' D U2 B
U L' R F' D' U2 B
U L' R F' D2 U2 B
U L' R F2 U2 D B
U L' R F2 U2 D' B
U L' R F2 U2 D2 B
U L' R F2 U2 B D
U L' R F2 U2 B D'
U L' R F2 U2 B D2
U L' R F2 D U2 B
U L' R F2 D' U2 B
U L' R F2 D2 U2 B
U L' R' D2 F' U2 L2
U L' R' F R2 F2 U2
U L' R' F' R2 U2 D
U L' R' F' R2 U2 D'
U L' R' F' R2 U2 D2
U L' R' F' R2 D U2
U L' R' F' R2 D' U2
U L' R' F' R2 D2 U2
U L' R' F' U2 D2 L2
U L' R' F' D2 U2 L2
U L' R' F2 R2 F U2
U L' R2 F R' U2 B
U L' R2 F' R' U2 B
U L' R2 F2 R' U2 B
U' L' U2 R U2 R' B'
U L' U2 F2 L' F2 B'
U L' U2 F2 L' B' F2
U L' D R U2 D B
U L' D R U2 D' B
U L' D R U2 D2 B
U L' D R U2 B D
U L' D R U2 B D'
U L' D R U2 B D2
U L' D R D U2 B
U L' D R D' U2 B
U L' D R D2 U2 B
U L' D R F U2 B
U L' D R F' U2 B
U L' D R F2 U2 B
U L' D R' F' R2 U2
U L' D F2 U2 L' B'
U L' D' R U2 D B
U L' D' R U2 D' B
U L' D' R U2 D2 B
U L' D' R U2 B D
U L' D' R U2 B D'
U L' D' R U2 B D2
U L' D' R D U2 B
U L' D' R D' U2 B
U L' D' R D2 U2 B
U L' D' R F U2 B
U L' D' R F' U2 B
U L' D' R F2 U2 B
U L' D' R' F' R2 U2
U L' D' F2 U2 L' B'
U L' D2 R U2 D B
U L' D2 R U2 D' B
U L' D2 R U2 D2 B
U L' D2 R U2 B D
U L' D2 R U2 B D'
U L' D2 R U2 B D2
U L' D2 R D U2 B
U L' D2 R D' U2 B
U L' D2 R D2 U2 B
