D L2 B' R' U' R
U' L' U' B2 U2 B L
B' L2 R' B' U' R F
D L2 R' B' R' U' R2
D L2 R2 B' R' U' R'
B' L2 U R' B' U' F
D L2 D B' R' U' R
D L2 D' B' R' U' R
D L2 D2 B' R' U' R
B' L2 F U R' B' U'
D L2 F B' R' U' R
D L2 F' B' R' U' R
D L2 F2 B' R' U' R
D2 L2 B' R' U' R F2
D L2 B' R' U' R D
D L2 B' R' U' R D'
D L2 B' R' U' R D2
D L2 B' R' U' D R
D L2 B' R' U' D' R
D L2 B' R' U' D2 R
D L2 B' R' D U' R
D L2 B' R' D' U' R
D L2 B' R' D2 U' R
D L2 B' D R' U' R
D L2 B' D' R' U' R
D L2 B' D2 R' U' R
D L2 B' F R' U' R
D L2 B' F' R' U' R
D L2 B' F2 R' U' R
F R U R B R2 F'
F R U' B2 L F U2
U R D L2 B' U' B2
F R D' R2 U R B
B' R' L2 B' U' R F
D R' L2 B' R' U' R2
F R' U R D2 F2 B
F R' U R D2 B F2
F R' U D2 R F2 B
F R' U D2 R B F2
F R' U' B2 U2 R B
F R' D2 U R F2 B
F R' D2 U R B F2
D R2 L2 B' R' U' R'
D' R2 F U R B R
D' R2 F B L U R2
B R2 F L U R2 F2
B R2 F L U F2 R2
R' D L2 B' R' U' R2
D' R2 B F L U R2
F R2 B L U R2 F'
B' U L2 R' B' U' F
D U L2 R B' U' B2
U D L2 R B' U' B2
D U L2 B' R U' B
D U R L2 B' U' B2
U D L2 B' R U' B
B' U R' L2 B' U' F
U D R L2 B' U' B2
L2 D B' L2 R' U' R
L2 D B' R' L2 U' R
U' D' R2 F L' U B'
D' U' R2 F L' U B'
R D' F R2 U R B
D' U' F L' R2 U B'
U' D' F L' R2 U B'
D' U' F R2 L' U B'
U' D' F R2 L' U B'
B U' R2 F L U F2
B U' F L R2 U F'
B U' F L U' B U2
B U' F R2 L U F'
L2 D2 B' R' U' R F2
U' F L U' F B2 U2
U' F L U' B2 F U2
U' F L' U D2 F2 B'
U' F L' U D2 B' F2
U' F L' U' B2 U2 B
U' F L' D' R2 U B'
U' F L' D2 U F2 B'
U' F L' D2 U B' F2
D2 F R' U R F B
D2 F R' U R B F
D' F R2 U R B R
D' F R2 B L U R2
R F U R B R2 F'
U' F D' L' R2 U B'
R F U' B2 L F U2
U' F D' R2 L' U B'
U' F D2 L' U F2 B'
U' F D2 L' U B' F2
D' F B L R2 U R2
D' F B R2 L U R2
R F D' R2 U R B
R2 F B L U R2 F'
F D' R2 U R B R
U2 F' B2 U L' F2 U
F D' R2 B L U R2
D2 F2 U R U' B L
F D' B L R2 U R2
F D' B R2 L U R2
D2 F2 U' L' F' U B'
D2 F2 U' F' L' U B'
D2 F2 B U' L F' U
D2 F2 B U' F' L U
F D2 R' U R F2 B
F D2 R' U R B F2
D' B R2 F L U R2
D' B U' R2 F L U
D' B U' F L R2 U
D' B U' F R2 L U
B F L R2 U F' R2
F' B L' D' B2 L2 F
F B L R2 U F' R2
D' B F L R2 U R2
D' B F R2 L U R2
R2 B F L U R2 F'
B F R2 L U F' R2
D2 B F2 U' L F' U
D2 B F2 U' F' L U
F B R2 L U F' R2
L2 B' L2 R' U' R F
D B' L2 R' B' U' R
L2 B' R' L2 U' R F
L2 B' R' U B' U2 R
D B' R' L2 B' U' R
D B' U L2 R' B' U'
D B' U R' L2 B' U'
B F' L' D' B2 L2 F
U2 B2 U F L' U B'
U2 B2 F' U L' F2 U
