D F2 L' U' B' L
L R F' U D2 B2 R'
L R F' U' L F2 U2
L R F' U' F2 L U2
R L F' U D2 B2 R'
R L F' U' L F2 U2
R L F' U' F2 L U2
L R F' D2 U B2 R'
R L F' D2 U B2 R'
U2 L2 U R F' L' U
U L2 U R F' U B
L2 U L R F' U B'
L2 U R L F' U B'
L2 U R F' L U B'
U' R D' F' L' B2 U
U' R D' F' B2 L' U
U2 R D' F' B2 U B'
U' R D' B2 F' L' U
U2 R D' B2 F' U B'
U' R D2 F' L' U R2
U2 R D2 F' U B R2
U' R F' L' U' L' U2
U' R F' D' L' B2 U
U2 R F' U D2 B R2
U2 R F' U B D2 R2
U' R F' D' B2 L' U
U2 R F' U' L2 U2 B
U' R F' D2 L' U R2
U2 R F' D' B2 U B'
U2 R F' D2 U B R2
R D' L' F' B2 U B
R D' L' B2 F' U B
R D' F' L' B2 U B
R D' F' B2 L' U B'
R D' B2 L' F' U B'
R D' B2 F' L' U B'
R D2 L' F' U R2 B'
R D2 L' F' U B' R2
R D2 F' L' U R2 B'
R D2 F' L' U B' R2
R F L' F2 U R B'
R F L' F2 U B' R
F2 D L' F2 U' B' L
D' F D' L' R2 F B'
D' F D' L' R2 B' F
D' F D' L' F R2 B'
D' F D' L' F B' R2
D' F D' L' B' R2 F
D' F D' L' B' F R2
D' F D' R2 L' F B'
D' F D' R2 L' B' F
R F' L U' F L U2
B' D F2 L' U' B' L
B2 D F2 L' U' B' L
B D F2 L' U' B' L
R F' D' L' B2 U B
R F' D' B2 L' U B'
R F' D2 L' U R2 B'
R F' D2 L' U B' R2
D F2 L' R U' B' L
D F2 L' R' U' B' L
D F2 L' R2 U' B' L
D F2 L' U' B' L D
D F2 L' U' B' L D'
D F2 L' U' B' L D2
D F2 L' U' B' D L
D F2 L' U' B' D' L
D F2 L' U' B' D2 L
D F2 L' B U' B2 L
D F2 R L' U' B' L
D F2 R' L' U' B' L
D F2 R2 L' U' B' L
D F2 B' L' U' B' L2
D B' F2 L' U' B' L2
