B2 L R2 U' B
B2 L U F' U2
B2 R2 L U' B
B2 L R2 U' D B
B2 L R2 U' D' B
B2 L R2 U' D2 B
B2 L R2 U' B D
B2 L R2 U' B D'
B2 L R2 U' B D2
B2 L R2 D U' B
B2 L R2 D' U' B
B2 L R2 D2 U' B
B2 L U D F' U2
B2 L U D' F' U2
B2 L U D2 F' U2
B2 L U F' U2 D
B2 L U F' U2 D'
B2 L U F' U2 D2
B2 L U F' D U2
B2 L U F' D' U2
B2 L U F' D2 U2
B2 L U' R2 B R2
B2 L D R2 U' B
B2 L D U F' U2
B2 L D' R2 U' B
B2 L D' U F' U2
B2 L D2 R2 U' B
B2 L D2 U F' U2
B2 R' D2 L U' B'
B2 R2 L U' D B
B2 R2 L U' D' B
B2 R2 L U' D2 B
B2 R2 L U' B D
B2 R2 L U' B D'
B2 R2 L U' B D2
B2 R2 L D U' B
B2 R2 L D' U' B
B2 R2 L D2 U' B
B2 R2 D L U' B
B2 R2 D' L U' B
B2 R2 D2 L U' B
B' R2 B' L U' B2
B2 U F' U' L U'
B2 U F' U' L U'
F' U' F B2 L U'
F' U' B2 F L U'
B2 D L R2 U' B
B2 D L U F' U2
B2 D R2 L U' B
B2 D' L R2 U' B
B2 D' L U F' U2
U F' U' B2 L U'
B2 D' R2 L U' B
B2 D2 L R2 U' B
B2 D2 L U F' U2
B2 D2 R2 L U' B
L' B2 L R2 U' B
L' B2 L U F' U2
L2 B2 L R2 U' B
L2 B2 L U F' U2
L B2 L R2 U' B
L B2 L U F' U2
L' B2 R2 L U' B
L2 B2 R2 L U' B
L B2 R2 L U' B
R2 B2 U2 R U B'
B2 L R U2 L' U B'
B2 L R D R U' B
B2 L R D' R U' B
B2 L R D2 R U' B
B2 L R' U' R' B R
B2 L R2 U F U2 B
B2 L R2 U F' U2 B
B2 L R2 U F2 U2 B
B2 L R2 U' L B L'
B2 L R2 U' L2 B L2
B2 L R2 U' D B D
B2 L R2 U' D B D'
B2 L R2 U' D B D2
B2 L R2 U' D' B D
B2 L R2 U' D' B D'
B2 L R2 U' D' B D2
B2 L R2 U' D2 B D
B2 L R2 U' D2 B D'
B2 L R2 U' D2 B D2
B2 L R2 U' B2 D B'
B2 L R2 U' B2 D' B'
B2 L R2 U' B2 D2 B'
B2 L R2 U2 L U B
B2 L R2 U2 L' U B
B2 L R2 U2 L2 U B
B2 L R2 D U' B D
B2 L R2 D U' B D'
B2 L R2 D U' B D2
B2 L R2 D' U' B D
B2 L R2 D' U' B D'
B2 L R2 D' U' B D2
B2 L R2 D2 U' B D
B2 L R2 D2 U' B D'
B2 L R2 D2 U' B D2
B2 L U L' F' L U2
B2 L U L2 F' L2 U2
B2 L U D F' U2 D
B2 L U D F' U2 D'
B2 L U D F' U2 D2
B2 L U D F' D U2
B2 L U D F' D' U2
B2 L U D F' D2 U2
B2 L U D' F' U2 D
B2 L U D' F' U2 D'
B2 L U D' F' U2 D2
B2 L U D' F' D U2
B2 L U D' F' D' U2
B2 L U D' F' D2 U2
B2 L U D2 F' U2 D
B2 L U D2 F' U2 D'
B2 L U D2 F' U2 D2
B2 L U D2 F' D U2
B2 L U D2 F' D' U2
B2 L U D2 F' D2 U2
B2 L U F U2 D2 B2
B2 L U F D2 U2 B2
B2 L U F2 D F U2
B2 L U F2 D' F U2
B2 L U F2 D2 F U2
B2 L U' R2 B R2 D
B2 L U' R2 B R2 D'
B2 L U' R2 B R2 D2
B2 L U' R2 B' R2 B2
B2 L U' R2 B2 R2 B'
B2 L U' D R2 B R2
B2 L U' D' R2 B R2
B2 L U' D2 R2 B R2
B2 L U' F D2 F' B2
B2 L U' F D2 B2 F'
B2 L U' B R2 B R2
B2 L U' B U2 F' U2
B2 L U' B' R2 B R2
B2 L U' B' U2 F' U2
B2 L U' B2 R2 B R2
B2 L U' B2 U2 F' U2
B2 L U2 L U' F' U2
B2 L U2 L' U' F' U2
B2 L U2 L2 U' F' U2
B2 L D R2 U' D B
B2 L D R2 U' D' B
B2 L D R2 U' D2 B
B2 L D R2 U' B D
B2 L D R2 U' B D'
B2 L D R2 U' B D2
B2 L D R2 D U' B
B2 L D R2 D' U' B
B2 L D R2 D2 U' B
B2 L D U F' U2 D
B2 L D U F' U2 D'
B2 L D U F' U2 D2
B2 L D U F' D U2
B2 L D U F' D' U2
B2 L D U F' D2 U2
B2 L D U' R2 B R2
B2 L D' R2 U' D B
B2 L D' R2 U' D' B
B2 L D' R2 U' D2 B
B2 L D' R2 U' B D
B2 L D' R2 U' B D'
B2 L D' R2 U' B D2
B2 L D' R2 D U' B
B2 L D' R2 D' U' B
B2 L D' R2 D2 U' B
B2 L D' U F' U2 D
B2 L D' U F' U2 D'
B2 L D' U F' U2 D2
B2 L D' U F' D U2
B2 L D' U F' D' U2
B2 L D' U F' D2 U2
B2 L D' U' R2 B R2
B2 L D2 R2 U' D B
B2 L D2 R2 U' D' B
B2 L D2 R2 U' D2 B
B2 L D2 R2 U' B D
B2 L D2 R2 U' B D'
B2 L D2 R2 U' B D2
B2 L D2 R2 D U' B
B2 L D2 R2 D' U' B
B2 L D2 R2 D2 U' B
B2 L D2 U F' U2 D
B2 L D2 U F' U2 D'
B2 L D2 U F' U2 D2
