F2 U' L' U' R'
F2 L U' L2 U' R'
F2 L U2 R' D F2
F2 L U2 D R' F2
F2 L U2 D F2 R'
F2 L D U2 R' F2
F2 L D U2 F2 R'
F2 L D' B2 L U2
B2 L F2 U' L' U'
F2 L2 U' L U' R'
U R U R2 D2 B2
D2 R U B2 L R2
D2 R U B2 R2 L
U R U' F2 U2 R2
R U' R' F2 U2 R'
R U' F2 R' U2 R'
D' R' D' F2 L' B2
D' R' D' F2 B2 L'
D' R' D' B2 F2 L'
U2 R' D' F2 D' B2
U2 R' D' F2 D' B2
U2 R' D2 B2 D F2
D2 R' B2 D' F2 L'
D' U L2 R U R2
D2 U R U R2 B2
D2 U R U B2 R2
D' U R L2 U R2
U D' L2 R U R2
F2 U' L' U' R' D
F2 U' L' U' R' D'
F2 U' L' U' R' D2
F2 U' L' U' R' D2
F2 U' L' U' D R'
F2 U' L' U' D' R'
F2 U' L' U' D2 R'
F2 U' L' D U' R'
F2 U' L' D' U' R'
F2 U' L' D2 U' R'
U D' R L2 U R2
F2 U' L' F U' R'
F2 U' L' F' U' R'
F2 U' L' F2 U' R'
U2 D' R' D' F2 B2
U2 D' R' D' B2 F2
R' D' F2 D' L' B2
R' D' F2 D' B2 L'
F2 U' D L' U' R'
F2 U' D' L' U' R'
F2 U' D2 L' U' R'
F2 U' F U' R' F'
U D2 R U R2 B2
U D2 R U B2 R2
D' U2 R' D' F2 B2
D' U2 R' D' B2 F2
D2 U2 R' B2 D' F2
U2 D2 R' B2 D' F2
F2 U2 R' U L' U'
R' D2 B2 D F2 L'
F2 U2 F2 R' D' F2
F2 D U' L' U' R'
F2 D' U' L' U' R'
L' F2 U' L' U' R'
L2 F2 U' L' U' R'
L F2 U' L' U' R'
F2 D2 U' L' U' R'
B2 F2 L U' L2 U'
B2 F2 L U2 D F2
F2 B2 L U' L2 U'
B2 F2 L D U2 F2
F2 B2 L U2 D F2
B2 F2 L D' B2 U2
F2 B2 L D U2 F2
F2 B2 L D' B2 U2
D2 L R U B2 L R2
D2 L R U B2 R2 L
U L R U R2 D2 B2
U L R U' F2 U2 R2
L' R U' R' F2 U2 R'
L2 R U' R' F2 U2 R'
L R U' R' F2 U2 R'
L' R U' F2 R' U2 R'
R L U' R' F2 U2 R'
D2 L R' B2 D' F2 L'
L2 R U' F2 R' U2 R'
L R U' F2 R' U2 R'
R L U' F2 R' U2 R'
D' L U L R U R2
D' L U R L U R2
D2 L U R U R2 B2
D2 L U R U B2 R2
B2 L U R U D2 B2
B2 L U R U' F2 U2
B2 L U R D' L2 U
B2 L U R D2 U B2
B2 L U D' L2 R U
B2 L U D' R L2 U
B2 L U D2 R U B2
F2 L U D2 R2 U R
F2 L U' L2 U' R' D
F2 L U' L2 U' R' D'
F2 L U' L2 U' R' D2
F2 L U' L2 U' D R'
F2 L U' L2 U' D' R'
F2 L U' L2 U' D2 R'
F2 L U' L2 D U' R'
F2 L U' L2 D' U' R'
F2 L U' L2 D2 U' R'
F2 L U' L2 F U' R'
F2 L U' L2 F' U' R'
F2 L U' L2 F2 U' R'
F2 L U' F L2 U' R'
F2 L U' F' L2 U' R'
F2 L U' F2 L2 U' R'
R' L D' F2 D' L' B2
R' L D' F2 D' B2 L'
D2 L U2 R' B2 D' F2
F2 L U2 R' U L2 U'
F2 L U2 R' D F2 D
F2 L U2 R' D F2 D'
F2 L U2 R' D F2 D2
F2 L U2 R' F D F2
F2 L U2 R' F' D F2
F2 L U2 R' F2 D F2
F2 L U2 R2 D R F2
F2 L U2 D R F2 R2
F2 L U2 D R' F2 D
F2 L U2 D R' F2 D'
F2 L U2 D R' F2 D2
F2 L U2 D F R' F
F2 L U2 D F2 R' D
F2 L U2 D F2 R' D'
F2 L U2 D F2 R' D2
F2 L U2 D F2 D R'
F2 L U2 D F2 D' R'
F2 L U2 D F2 D2 R'
F2 L U2 D' R' D2 F2
F2 L U2 F R' D F2
F2 L U2 F D R' F2
F2 L U2 F D F2 R'
F2 L U2 F' R' D F2
F2 L U2 F' D R' F2
F2 L U2 F' D F2 R'
F2 L U2 F2 R' D F2
F2 L U2 F2 D R' F2
F2 L U2 F2 D F2 R'
F2 L D L U2 R' F2
F2 L D L U2 F2 R'
F2 L D L' U2 R' F2
F2 L D L' U2 F2 R'
F2 L D L2 U2 R' F2
F2 L D L2 U2 F2 R'
R' L D2 B2 D F2 L'
F2 L D U2 R F2 R2
F2 L D U2 R' F2 D
F2 L D U2 R' F2 D'
F2 L D U2 R' F2 D2
F2 L D U2 F R' F
F2 L D U2 F2 R' D
F2 L D U2 F2 R' D'
F2 L D U2 F2 R' D2
F2 L D U2 F2 D R'
F2 L D U2 F2 D' R'
F2 L D U2 F2 D2 R'
F2 L D B2 L U2 F2
F2 L D' L B2 L U2
F2 L D' L' B2 L U2
F2 L D' L2 B2 L U2
U L D' L2 R U R2
U L D' R L2 U R2
U L D' R L2 U R2
B2 L D' U L2 R U
B2 L D' U R L2 U
F2 L D' U2 R' D2 F2
F2 L D' B2 L U2 D
F2 L D' B2 L U2 D'
F2 L D' B2 L U2 D2
F2 L D' B2 L D U2
F2 L D' B2 L D' U2
F2 L D' B2 L D2 U2
F2 L D' B2 D L U2
F2 L D' B2 D' L U2
F2 L D' B2 D2 L U2
U L D2 R U R2 B2
U L D2 R U B2 R2
F2 L D2 U R2 U R
B2 L D2 U R U B2
F' L F' U' L' U' R'
B2 L F2 U' L' U' D
B2 L F2 U' L' U' D'
B2 L F2 U' L' U' D2
B2 L F2 U' L' D U'
B2 L F2 U' L' D' U'
B2 L F2 U' L' D2 U'
B2 L F2 U' D L' U'
B2 L F2 U' D' L' U'
B2 L F2 U' D2 L' U'
B2 L F2 D U' L' U'
B2 L F2 D' U' L' U'
B2 L F2 D2 U' L' U'
B2 L F2 B U' L' U'
B2 L F2 B' U' L' U'
B2 L F2 B2 U' L' U'
B2 L B F2 U' L' U'
R L' U' R' F2 U2 R'
F2 L B2 L U' L U'
B2 L B' F2 U' L' U'
R L' U' F2 R' U2 R'
F2 L B2 D L U2 F2
F2 L B2 D' L B2 U2
F2 L B2 D' B2 U2 R'
D2 L' R U B2 L R2
D2 L' R U B2 R2 L
B2 L B2 F2 U' L' U'
U L' R U R2 D2 B2
U L' R U' F2 U2 R2
D2 L' R' B2 D' F2 L'
R' L' D' F2 D' L' B2
R' L' D' F2 D' B2 L'
L' R' D' F2 D' L' B2
L' R' D' F2 D' B2 L'
L R' D' F2 D' L' B2
L R' D' F2 D' B2 L'
L2 R' D' F2 D' L' B2
L2 R' D' F2 D' B2 L'
D' L' U L' R U R2
D2 L' U R U R2 B2
D2 L' U R U B2 R2
D' L' U R L' U R2
R' L' D2 B2 D F2 L'
L' R' D2 B2 D F2 L'
L R' D2 B2 D F2 L'
L2 R' D2 B2 D F2 L'
F2 L' U' F U' F' R'
F2 L' U' F' U' R' F
F2 L' U' F' U' F R'
F2 L' U' F2 U' R' F2
F2 L' U' F2 U' F2 R'
D2 L' U2 R' B2 D' F2
F2 L' U2 R' U' R U
F2 L' U2 R2 D' R F2
U L' D' L2 R U R2
U L' D' R L2 U R2
U L' D2 R U R2 B2
U L' D2 R U B2 R2
F' L' F' U' L' U' R'
B2 L' F2 L2 U' L U'
R L2 U' R' F2 U2 R'
R L2 U' F2 R' U2 R'
F2 L' B2 L U' L' U'
R' L2 D' F2 D' L' B2
R' L2 D' F2 D' B2 L'
D2 L2 R U B2 L R2
D2 L2 R U B2 R2 L
D' L2 R U' R' U2 R'
D' L2 R D B2 U L
U L2 R U R2 D2 B2
U L2 R U' F2 U2 R2
D' L2 R B2 U L R2
D' L2 R B2 U R2 L
R' L2 D2 B2 D F2 L'
D2 L2 R' B2 D' F2 L'
D2 L2 U R U R2 B2
D2 L2 U R U B2 R2
F2 L2 U' L U' R' D
F2 L2 U' L U' R' D'
F2 L2 U' L U' R' D2
F2 L2 U' L U' D R'
F2 L2 U' L U' D' R'
F2 L2 U' L U' D2 R'
F2 L2 U' L D U' R'
F2 L2 U' L D' U' R'
F2 L2 U' L D2 U' R'
F2 L2 U' L F U' R'
F2 L2 U' L F' U' R'
F2 L2 U' L F2 U' R'
F2 L2 U' D L U' R'
F2 L2 U' D' L U' R'
F2 L2 U' D2 L U' R'
F2 L2 U' F L U' R'
F2 L2 U' F' L U' R'
F2 L2 U' F2 L U' R'
D2 L2 U2 R' B2 D' F2
F2 L2 U2 R' U L U'
F2 L2 D U' L U' R'
F2 L2 D' U' L U' R'
U L2 D' L2 R U R2
U L2 D' R L2 U R2
F2 L2 D2 U' L U' R'
U L2 D2 R U R2 B2
U L2 D2 R U B2 R2
F' L2 F' U' L' U' R'
L' U R U R2 D2 B2
L' U R U' F2 U2 R2
L2 U R U R2 D2 B2
L2 U R U' F2 U2 R2
L U R U R2 D2 B2
L U R U' F2 U2 R2
B2 L2 F2 U' L' U' R
R U R D2 L2 R B2
R U R D2 L2 B2 R
R U R D2 R L2 B2
R U R D2 R B2 L2
R U R D2 B2 L2 R
R U R D2 B2 R L2
R U R' F2 U2 R' F2
R U R' F2 U2 F2 R'
R U R2 U2 R F2 U2
R U R2 U2 F2 U2 L'
F2 L2 B2 L U R' U
L' U D' L2 R U R2
L' U D' R L2 U R2
L2 U D' L2 R U R2
L2 U D' R L2 U R2
D2 R L U B2 L R2
D2 R L U B2 R2 L
L U D' L2 R U R2
L U D' R L2 U R2
L' U D2 R U R2 B2
L' U D2 R U B2 R2
L2 U D2 R U R2 B2
L2 U D2 R U B2 R2
U R L U R2 D2 B2
D2 R L' U B2 L R2
D2 R L' U B2 R2 L
U R L U' F2 U2 R2
R U D2 L B2 L R'
R U D2 L B2 R' L
L U D2 R U R2 B2
L U D2 R U B2 R2
U R L' U R2 D2 B2
D2 R L2 U B2 L R2
D2 R L2 U B2 R2 L
U R L' U' F2 U2 R2
R U D2 B2 D2 L R2
R U D2 B2 D2 R2 L
D' R L2 U' R' U2 R'
D' R L2 D B2 U L
D' R L2 B2 U L R2
D' R L2 B2 U R2 L
U R L2 U R2 D2 B2
D2 R U L B2 L R2
D2 R U L B2 R2 L
D2 R U L' B2 L R2
D2 R U L' B2 R2 L
U R L2 U' F2 U2 R2
D2 R U L2 B2 L R2
D2 R U L2 B2 R2 L
U' R U R2 D2 L2 B2
U' R U R2 D2 B2 L2
B2 R U D2 B2 L R'
B2 R U D2 B2 R' L
D2 R U B' R2 B' L
U' R U F2 U2 R2 F2
U' R U F2 U2 F2 R2
D2 R U B2 L R2 D
D2 R U B2 L R2 D'
D2 R U B2 L R2 D2
D2 R U B2 R2 L D
D2 R U B2 R2 L D'
D2 R U B2 R2 L D2
D2 R U B2 R2 D L
D2 R U B2 R2 D' L
D2 R U B2 R2 D2 L
U R U R D2 R B2
U R U R D2 B2 R
U R U R' D2 R' B2
U R U R2 U2 F2 U2
U R U R2 D2 B2 D
U R U R2 D2 B2 D'
U R U R2 D2 B2 D2
U R U R2 B D2 B2
U R U R2 B' D2 B2
U R U R2 B2 D2 B2
D2 R U' R' U2 R' B2
B2 R U' L R' F2 U2
B2 R U' L F2 R' U2
U R U D2 B2 D2 R2
U R U F' R2 F B
U R U F' R2 B F
B2 R U' R' L F2 U2
B2 R U' R' F2 L U2
R U F2 R' U2 R' F2
R U F2 R' U2 F2 R'
U R U B R2 D2 B2
U R U B' R2 D2 B2
U R U B2 R2 D2 B2
U R U' L F2 U2 R2
R U F2 U2 R2 F2 L'
U R U' L' F2 U2 R2
B2 R U' F2 L R' U2
B2 R U' F2 R' L U2
U R U' L2 F2 U2 R2
U R U' D2 L2 U2 B2
U R U' F' U2 R2 B
U R U' F2 L U2 R2
U R U' F2 L' U2 R2
U R U' F2 L2 U2 R2
U R U' F2 U2 R2 D
U R U' F2 U2 R2 D'
U R U' F2 U2 R2 D2
U R U' F2 D2 L2 U2
D2 R D L2 B2 U L
U R U2 F' U' R2 B
D2 R D B2 L2 U L'
R U B2 L R2 D2 B2
R U B2 R2 L D2 B2
R U B2 R2 D2 L B2
U R D B2 U D B2
U R D B2 U2 R2 U'
U R D B2 D U B2
U R D B2 D2 L2 U
U R D' L2 U D R2
U R D' L2 U2 F2 U'
U R D' L2 D U R2
U R D' L2 D2 B2 U
R U B2 D2 L B2 R'
R U' L R' F2 U2 R'
B2 R D2 U B2 L R'
B2 R D2 U B2 R' L
U R D2 L U B2 R'
R U' L F2 R' U2 R'
U R D2 U B2 D2 R2
U R D2 U' L2 U2 B2
D2 R F U B2 L R2
D2 R F U B2 R2 L
R U' L' R' F2 U2 R'
R U' L' F2 R' U2 R'
D2 R F' U B2 L R2
D2 R F' U B2 R2 L
R U' L2 R' F2 U2 R'
U2 R F' R2 D' F2 B
U2 R F' R2 D' B F2
U2 R F' R2 B D' F2
R U' L2 F2 R' U2 R'
D2 R F2 U B2 L R2
D2 R F2 U B2 R2 L
R U' R F2 L' R2 U2
R U' R F2 R2 L' U2
R U' R' L F2 U2 R'
R U' R' L' F2 U2 R'
R U' R' L2 F2 U2 R'
R' U' R2 U D2 B2 L
R' U' R2 U' R' F2 U2
R' U' R2 U' F2 R' U2
R U' R' U2 R' D2 B2
R U' R' U2 D2 R' B2
R' U' R2 D2 U B2 L
