L F U R' U L'
F' L R D F B2 U2
F' L R D B2 F U2
F' L R D' F U2 F
F' L R F U R2 U
F' L R F U2 D' F2
F' L R F D B2 U2
F' L R F D' U2 F2
F L U R' U L2 B'
B2 L U F U2 L' R'
B2 L U F U2 R' L'
L R F U R2 U L'
L R F U2 L' D' F2
R L F U R2 U L'
R2 L F U2 D' L' F
L R F U2 D' L' F2
R L F U2 L' D' F2
L R F D B2 U2 L'
R L F U2 D' L' F2
R2 L F D' U2 L' F
L R F D' U2 L' F2
R L F D B2 U2 L'
R L F D' U2 L' F2
F2 L F R U R2 U
F2 L F R U2 D' F2
F2 L F R D B2 U2
F2 L F R D' U2 F2
F L F U R' U L2
L' R' U D2 R2 B' L
R' L' U D2 R2 B' L
L' R' U D2 B' L R2
L' R' U D2 B' R2 L
R' L' U D2 B' L R2
R' L' U D2 B' R2 L
L' R' U' L2 F U2 L'
R' L' U' L2 F U2 L'
L2 R' U' L' F U2 L'
R' L' D2 U R2 B' L
R' L' D2 U B' L R2
R' L' D2 U B' R2 L
L' R' D2 U R2 B' L
L' R' D2 U B' L R2
L' R' D2 U B' R2 L
R' L2 U' L' F U2 L'
L R2 F U2 D' L' F
L R2 F D' U2 L' F
L U R' U' F U2 L'
F' R L D F B2 U2
F' R L D B2 F U2
F' R L D' F U2 F
F' R L F U R2 U
F' R L F U2 D' F2
F' R L F D B2 U2
F' R L F D' U2 F2
F' R D L F B2 U2
F' R D L B2 F U2
F' R D' L F U2 F
U2 R' U' L F' R U2
U R' U' L F U2 L'
U2 R' U' F' L R U2
U2 R' U' F' R L U2
B2 R' F L' D F2 B'
B2 R' F L' D B' F2
B2 R' F L' B' D F2
L' D2 R' U R' B' L
L F R U R2 U L'
L F R U2 L' D' F2
L F R U2 D' L' F2
L F R D B2 U2 L'
L F R D' U2 L' F2
L F R2 U R U L'
L F U R' U L' D
L F U R' U L' D'
L F U R' U L' D2
L F U R' U D L'
L F U R' U D' L'
L F U R' U D2 L'
L F U R' D U L'
L F U R' D' U L'
L F U R' D2 U L'
L F U D R' U L'
L F U D' R' U L'
L F U D2 R' U L'
L F U' B2 L U' L2
L F U2 L' U' R' U
L F D U R' U L'
L F D' U R' U L'
L F D2 U R' U L'
L F B' U2 D L' F
L F B' D U2 L' F
L F B2 U' L U' L2
L F B2 U2 L' D F2
L F' R F2 U R2 U
L F' R F2 U2 D' F2
L F' R F2 D B2 U2
L F' R F2 D' U2 F2
B2 F L U' L2 R' B'
B2 F L U' R' L2 B'
B2 F L' R' D F2 B'
B2 F L' R' D B' F2
B2 F L' R' B' D F2
B2 F L' D R' F2 B'
B2 F L' D R' B' F2
B2 F L' D F2 R' B'
B2 F R' L' D F2 B'
B2 F R' L' D B' F2
B2 F R' L' B' D F2
B' F D L' F B' R'
B' F D L' B' R' F
B' F D L' B' F R'
L B' F U2 D L' F
L B' F D U2 L' F
F B' D L' F B' R'
F B' D L' B' R' F
F B' D L' B' F R'
F B2 L U' L2 R' B'
F B2 L U' R' L2 B'
F B2 L' R' D F2 B'
F B2 L' R' D B' F2
F B2 L' R' B' D F2
F B2 L' D R' F2 B'
F B2 L' D R' B' F2
F B2 L' D F2 R' B'
F B2 R' L' D F2 B'
F B2 R' L' D B' F2
F B2 R' L' B' D F2
L B2 F U' L U' L2
L B2 F U2 L' D F2
