D' R F' L' U' L
U L D' R F' U' F2
L R B U' L' R' F'
L R B U' R' L' F'
L2 R B U' L2 R' F'
L2 R B U' R' L2 F'
L2 R B U' R' F' L2
R L B U' L' R' F'
R L B U' R' L' F'
U L' R U B' L U2
D' L' R F' L' U' L2
F' L' U' L R B R'
F' L' U' R L B R'
D' L2 R F' L' U' L'
R L2 B U' L2 R' F'
R L2 B U' R' L2 F'
R L2 B U' R' F' L2
U L2 D2 R U' F' R
D' R L' F' L' U' L2
U R L' U B' L U2
D' R L2 F' L' U' L'
U' R U' B U2 R' B'
D' R D F' L' U' L
D' R D' F' L' U' L
D' R D2 F' L' U' L
D2 R F' L' U' L R
D2 R F' L' U' R L
D' R F' L' U' L D
D' R F' L' U' L D'
D' R F' L' U' L D2
D' R F' L' U' D L
D' R F' L' U' D' L
D' R F' L' U' D2 L
D' R F' L' D U' L
D' R F' L' D' U' L
D' R F' L' D2 U' L
D R F' L' F U' L
D' R F' D L' U' L
B R F' L' U' L R2
B R F' L' U' R2 L
D' R F' D' L' U' L
D' R F' D2 L' U' L
D' R F' B L' U' L
D' R F' B' L' U' L
D' R F' B2 L' U' L
D' R B F' L' U' L
D' R B' F' L' U' L
D' R B2 F' L' U' L
B R' U L R2 U' F
B R' U R2 L U' F
U' R' D2 L2 U F' R
B R' F' U L' R2 U'
B R' F' U R2 L' U'
D' U L R F' U' F2
B U L R U' R2 F
B U L R U' F R2
F' U L' U' B R' B2
D' U R L F' U' F2
R D F' L' F U' L
D' U R F' L U' F
B U R L U' R2 F
B U R L U' F R2
F' U D L' F U' B'
L' D' R F' L' U' L2
L2 D' R F' L' B2 U'
L2 D' R F' B2 L' U'
L2 D' R B2 F' L' U'
U D' L R F' U' F2
U D' R L F' U' F2
U D' R F' L U' F
L2 D' B2 R F' L' U'
R D2 F' L' U' L R
R D2 F' L' U' R L
F' D L' F R U' L
F D R' D' F2 B R'
F D R' D' B R' F2
F D R' D' B F2 R'
F' D U L' F U' B'
D2 F' L' U' L R B
D2 F' L' U' R L B
D F' L' F R U' L
D2 F' R U L' U' B'
D2 F' U L' U' R B'
D2 F' U L' U' B' R
D F' U L' F U' B'
R F' D L' F U' L
R F' B L' U' L R'
R F' B L' U' R' L
R B L U' L' R' F'
R B L U' R' L' F'
D' B R F' L' U' L
R B L' U' L R' F'
R B L' U' R' L F'
R B L' U' R' F' L
R B L2 U' L2 R' F'
R B L2 U' R' L2 F'
R B L2 U' R' F' L2
U2 B U' L R U' R2
U2 B U' R L U' R2
F' B R' U L' U' B'
F' B U L' U' R' B'
R B F' L' U' L R'
R B F' L' U' R' L
D' B' R F' L' U' L
B F D R' D' F2 B
B F D R' D' B F2
B F D R' B D' F2
F B D R' D' F2 B
F B D R' D' B F2
F B D R' B D' F2
B F' R' U L' U' B'
B2 F' U L' U' B' R'
B F' U L' U' R' B'
D' B2 R F' L' U' L
F' B2 U L' U' B' R'
