U R2 F' L'
U L R2 F' L'
U L' R2 F' L'
U L2 R2 F' L'
U R2 L F' L'
U R2 L' F' L'
U R2 L2 F' L'
U R2 D F' L'
U R2 D' F' L'
U R2 D2 F' L'
U R2 F' L' D
U R2 F' L' D'
U R2 F' L' D2
U R2 F' D L'
U R2 F' D' L'
U R2 F' D2 L'
F U R2 F' L'
F' U R2 F' L'
F2 U R2 F' L'
U F' L' R2 F'
U F' R2 L' F'
U' B U2 L R2
U' B U2 R2 L
U L R2 D F' L'
U L R2 D' F' L'
U L R2 D2 F' L'
U L R2 F' L' D
U L R2 F' L' D'
U L R2 F' L' D2
U L R2 F' D L'
U L R2 F' D' L'
U L R2 F' D2 L'
U' L U2 R2 F' L'
U L F' L' R2 F'
U L F' R2 L' F'
U' L B U2 L R2
U' L B U2 R2 L
U L' R2 D F' L'
U L' R2 D' F' L'
U L' R2 D2 F' L'
U L' R2 F' L' D
U L' R2 F' L' D'
U L' R2 F' L' D2
U L' R2 F' D L'
U L' R2 F' D' L'
U L' R2 F' D2 L'
U' L' U2 R2 F' L'
U L' F' L' R2 F'
U L' F' R2 L' F'
U' L' B U2 L R2
U' L' B U2 R2 L
U L2 R2 D F' L'
U L2 R2 D' F' L'
U L2 R2 D2 F' L'
U L2 R2 F' L' D
U L2 R2 F' L' D'
U L2 R2 F' L' D2
U L2 R2 F' D L'
U L2 R2 F' D' L'
U L2 R2 F' D2 L'
U' L2 U2 R2 F' L'
U L2 F' L' R2 F'
U L2 F' R2 L' F'
U' L2 B U2 L R2
U' L2 B U2 R2 L
U' R U2 R F' L'
U R' D R' F' L'
U R' D' R' F' L'
U R' D2 R' F' L'
U R' F' L' R' F'
U R' F' R' L' F'
U R2 L D F' L'
U R2 L D' F' L'
U R2 L D2 F' L'
U R2 L F' L' D
U R2 L F' L' D'
U R2 L F' L' D2
U R2 L F' D L'
U R2 L F' D' L'
U R2 L F' D2 L'
U R2 L' D F' L'
U R2 L' D' F' L'
U R2 L' D2 F' L'
U R2 L' F' L' D
U R2 L' F' L' D'
U R2 L' F' L' D2
U R2 L' F' D L'
U R2 L' F' D' L'
U R2 L' F' D2 L'
U R2 L2 D F' L'
U R2 L2 D' F' L'
U R2 L2 D2 F' L'
U R2 L2 F' L' D
U R2 L2 F' L' D'
U R2 L2 F' L' D2
U R2 L2 F' D L'
U R2 L2 F' D' L'
U R2 L2 F' D2 L'
R U2 B U' R F'
U R2 D L F' L'
U R2 D L' F' L'
U R2 D L2 F' L'
U R2 D F' L' D
U R2 D F' L' D'
U R2 D F' L' D2
U R2 D F' D L'
U R2 D F' D' L'
U R2 D F' D2 L'
U R2 D' L F' L'
U R2 D' L' F' L'
U R2 D' L2 F' L'
U R2 D' F' L' D
U R2 D' F' L' D'
U R2 D' F' L' D2
U R2 D' F' D L'
U R2 D' F' D' L'
U R2 D' F' D2 L'
U R2 D2 L F' L'
U R2 D2 L' F' L'
U R2 D2 L2 F' L'
U R2 D2 F' L' D
U R2 D2 F' L' D'
U R2 D2 F' L' D2
U R2 D2 F' D L'
U R2 D2 F' D' L'
U R2 D2 F' D2 L'
U R2 F L F2 L'
U R2 F L' F2 L'
U R2 F L2 F2 L'
U R2 F' L2 D L
U R2 F' L2 D' L
U R2 F' L2 D2 L
U R2 F' D L' D
U R2 F' D L' D'
U R2 F' D L' D2
U R2 F' D' L' D
U R2 F' D' L' D'
U R2 F' D' L' D2
U R2 F' D2 L' D
U R2 F' D2 L' D'
U R2 F' D2 L' D2
U R2 F' B' L' B
U R2 F' B2 L' B2
F' U L R2 F' L'
U R2 B' F' L' B
F2 U L R2 F' L'
F' U L' R2 F' L'
U R2 B2 F' L' B2
F2 U L' R2 F' L'
F U L R2 F' L'
F' U L2 R2 F' L'
F2 U L2 R2 F' L'
F U L' R2 F' L'
F U L2 R2 F' L'
F' U R2 L F' L'
F' U R2 L' F' L'
F' U R2 L2 F' L'
F' U R2 D F' L'
F' U R2 D' F' L'
F' U R2 D2 F' L'
F2 U R2 L F' L'
F' U R2 F' L' D
F' U R2 F' L' D'
F' U R2 F' L' D2
F2 U R2 L' F' L'
F' U R2 F' D L'
F' U R2 F' D' L'
F' U R2 F' D2 L'
F2 U R2 L2 F' L'
F2 U R2 D F' L'
F2 U R2 D' F' L'
F2 U R2 D2 F' L'
F2 U R2 F' L' D
F2 U R2 F' L' D'
F2 U R2 F' L' D2
F2 U R2 F' D L'
F2 U R2 F' D' L'
F2 U R2 F' D2 L'
F U R2 L F' L'
F U R2 L' F' L'
F U R2 L2 F' L'
F U R2 D F' L'
F U R2 D' F' L'
F U R2 D2 F' L'
F U R2 F' L' D
F U R2 F' L' D'
F U R2 F' L' D2
F U R2 F' D L'
F U R2 F' D' L'
F U R2 F' D2 L'
F' U F' L' R2 F'
F' U F' R2 L' F'
F2 U F' L' R2 F'
F2 U F' R2 L' F'
F U F' L' R2 F'
F U F' R2 L' F'
D2 U' L2 B U2 L
D2 U' B L2 U2 L'
F' U' B U2 L R2
F' U' B U2 R2 L
U' D2 L2 B U2 L
F2 U' B U2 L R2
F2 U' B U2 R2 L
B2 U' B' R' U2 R'
F U' B U2 L R2
F U' B U2 R2 L
U' D2 B L2 U2 L'
U' F R2 F' B L
U' F R2 B L F'
U' F R2 B F' L
U2 F U' R2 F' L'
R' F' R U R2 F'
U F' L R2 F' L2
U F' L' R2 D F'
U F' L' R2 D' F'
U F' L' R2 D2 F'
U F' L' R2 F' D
U F' L' R2 F' D'
U F' L' R2 F' D2
R' F' R2 U R F'
U F' L' F R2 F'
U F' L' F' R2 F'
U F' L' F2 R2 F'
U F' L2 R2 F' L
U F' R2 L F' L2
U F' R2 L' D F'
U F' R2 L' D' F'
U F' R2 L' D2 F'
U F' R2 L' F' D
U F' R2 L' F' D'
U F' R2 L' F' D2
U F' R2 L2 F' L
U F' R2 D L' F'
U F' R2 D' L' F'
U F' R2 D2 L' F'
U2 F' U' R2 F' L'
U2 F2 U' R2 F' L'
U F2 R2 F L' F2
U' B L' U2 L2 R2
U' B L' U2 R2 L2
U' B L2 U2 L' R2
U' B L2 U2 R2 L'
U' B R U2 L R
U' B R U2 R L
U' B R' U2 L R'
U' B R' U2 R' L
U' B U2 L R2 D
U' B U2 L R2 D'
U' B U2 L R2 D'
U' B U2 L R2 D2
U' B U2 R2 L D
U' B U2 R2 L D'
U' B U2 R2 L D2
U' B U2 R2 D L
U' B U2 R2 D' L
U' B U2 R2 D2 L
U' B D2 L2 U2 L'
U' B' R' B2 L U2
D B2 U' B' R' U2
U' L R U2 R F' L'
U L R' D R' F' L'
U L R' D' R' F' L'
U L R' D2 R' F' L'
U L R' F' L' R' F'
U L R' F' R' L' F'
U L R2 D L F' L'
U L R2 D L' F' L'
U L R2 D L2 F' L'
U L R2 D F' L' D
U L R2 D F' L' D'
U L R2 D F' L' D2
U L R2 D F' D L'
U L R2 D F' D' L'
U L R2 D F' D2 L'
U L R2 D' L F' L'
U L R2 D' L' F' L'
U L R2 D' L2 F' L'
U L R2 D' F' L' D
U L R2 D' F' L' D'
U L R2 D' F' L' D2
U L R2 D' F' D L'
U L R2 D' F' D' L'
U L R2 D' F' D2 L'
U L R2 D2 L F' L'
U L R2 D2 L' F' L'
U L R2 D2 L2 F' L'
U L R2 D2 F' L' D
U L R2 D2 F' L' D'
U L R2 D2 F' L' D2
U L R2 D2 F' D L'
U L R2 D2 F' D' L'
