R F2 U B R' U2
B' L R' D F' R2 B2
B' L R' D F' B2 R2
B' L R' D B2 F' R2
L' R F2 U B R' U2
L R F2 U B R' U2
L2 R F2 U B R' U2
R L F2 U B R' U2
R L' F2 U B R' U2
R L2 F2 U B R' U2
B' R U' L D R2 F'
B' R U' D L R2 F'
B' R U' D R2 L F'
B' R U' D R2 F' L
R U B R' U' F2 U'
R U B R' U2 D R2
R U B R' D U2 R2
R U B R' D' L2 U2
R U B D R' U2 R'
R U B D' L2 R' U2
R U B D' R' L2 U2
B' R D U' L R2 F'
B' R D U' R2 L F'
B' R D U' R2 F' L
B R F2 U R2 U2 F'
B R F2 U B R2 U2
B' R' L D F' R2 B2
B' R' L D F' B2 R2
B' R' L D B2 F' R2
B R' U' F2 R2 U' F
B R' U2 D F' R2 B2
B R' U2 D F' B2 R2
B' R' D L F' R2 B2
B R' U2 D B2 F' R2
B' R' D L F' B2 R2
B' R' D L B2 F' R2
B' R' D F' L R2 B2
B' R' D F' L B2 R2
B' R' D F' R2 L B2
B R' D U2 F' R2 B2
B R' D U2 F' B2 R2
B R' D U2 B2 F' R2
B R' D' L2 F2 U2 F
B R' D' F2 L2 B' U2
B' R' F2 R2 U' F L
R D L2 U' R2 F' L'
F' U F' L' U' B' L
B' U' R F2 U' L F
F2 U2 L' U' B' U2 L
R' D2 F' D' R2 B2 L
R F2 L U B R' U2
R F2 L' U B R' U2
R F2 L2 U B R' U2
R' F2 R2 U' D2 F L'
R2 F2 R' U B R' U2
R' F2 R2 D2 U' F L'
R' F2 R2 B' U' F L
R F2 U B R' U2 D
R F2 U B R' U2 D'
R F2 U B R' U2 D2
R F2 U B R' D U2
R F2 U B R' D' U2
R F2 U B R' D2 U2
R F2 U B D R' U2
R F2 U B D' R' U2
R F2 U B D2 R' U2
R' F2 B' R2 U' F L
R F2 B' U B2 R' U2
R F2 B' U' L D2 F2
R F2 B' U' D2 L F2
R F2 B' U' D2 F2 L
R F2 B' D L2 U' L'
R F2 B' D2 U' L F2
R F2 B' D2 U' F2 L
R B R' U' R F2 U'
R' B D F' B2 L R2
R' B D F' B2 R2 L
R' B D B2 L F' R2
R' B D B2 F' L R2
R' B D B2 F' R2 L
R' B' L D F' R2 B2
R' B' L D F' B2 R2
R' B' L D B2 F' R2
R' B' D L F' R2 B2
R' B' D L F' B2 R2
R' B' D L B2 F' R2
R' B' D F' L R2 B2
R' B' D F' L B2 R2
R' B' D F' R2 L B2
R B' D L2 U' L' R2
R B' D L2 U' R2 L'
F2 B' U2 L' U L2 F
R' B' F2 R2 U' F L
R B' F2 U B2 R' U2
R B' F2 U' L D2 F2
R B' F2 U' D2 L F2
R B' F2 U' D2 F2 L
R B' F2 D L2 U' L'
R B' F2 D2 U' L F2
R B' F2 D2 U' F2 L
B' F2 U2 L' U L2 F
