R U R2 D2 B' L
D2 R U R2 B' L
D2 R U B' L R2
D2 R U B' R2 L
D R F' U R2 B'
D R F' U B' R2
D' R' D' F2 B' L
D' R' D' B' L F2
D' R' D' B' F2 L
F R' D' B' L' F
D2 R' B' L D' F2
D2 R' B' D' L F2
D2 R' B' D' F2 L
F R' B' D' L' F
R' D' F2 D' B' L
R' D2 B' D L F2
R' D2 B' D F2 L
R F U R2 B' L'
R F U B' L' R2
R F U B' R2 L'
R' F D' B' L' F2
R' F B' L' D' F2
R' F B' D' L' F2
R' F' D' F2 B' L'
R' F' D' B' F2 L'
R' F' B' D' F2 L'
F D' R' B' L' F
R' B' F L' D' F2
R' B' F D' L' F2
R' B' F' D' F2 L'
L2 R U' F U2 L' R2
L2 R U' F U2 R2 L'
R' L F L' D' F2 B'
R' L F L' D' B' F2
R' L F L' B' D' F2
R' L F D' L' F2 B'
R' L F D' L' B' F2
R' L F' D' F2 L' B'
L R' F L' D' F2 B'
L R' F L' D' B' F2
L R' F L' B' D' F2
L R' F D' L' F2 B'
L R' F D' L' B' F2
L R' F' D' F2 L' B'
R L2 U' F U2 L' R2
R L2 U' F U2 R2 L'
R U R D2 R B' L
R U R D2 B' L R
R U R D2 B' R L
R U R' D2 R' B' L
R U R2 D2 B' L D
R U R2 D2 B' L D'
R U R2 D2 B' L D2
R U R2 D2 B' D L
R U R2 D2 B' D' L
R U R2 D2 B' D2 L
R U R2 F B' L' F'
R U R2 B' F L' F'
R U D2 B' D2 L R2
R U D2 B' D2 R2 L
R U F B' L' F' R2
D2 R U R B' L R
D2 R U R B' R L
D2 R U R2 B' L D
D2 R U R2 B' L D'
D2 R U R2 B' L D2
D2 R U R2 B' D L
D2 R U R2 B' D' L
D2 R U R2 B' D2 L
D' R U R2 D' B' L
U' R U R2 D2 B' L
U2 R U R2 D2 B' L
D2 R U B' L R2 D
D2 R U B' L R2 D'
D2 R U B' L R2 D2
D2 R U B' R2 L D
D2 R U B' R2 L D'
D2 R U B' R2 L D2
D2 R U B' R2 D L
D2 R U B' R2 D' L
D2 R U B' R2 D2 L
D R U R2 B' D L2
U R U R2 D2 B' L
D2 R U' B' L R2 F'
D2 R U' B' R2 L F'
D2 R U' B' R2 F' L
R U B' R2 F L' F'
D R D F' B2 U B
R U B' F L' F' R2
D R D B2 F' U B
D2 R F U R2 B' L
D2 R F U B' L R2
D2 R F U B' R2 L
U' R F U R2 B' L'
U' R F U B' L' R2
U' R F U B' R2 L'
U2 R F U R2 B' L'
U2 R F U B' L' R2
U2 R F U B' R2 L'
U R F U R2 B' L'
U R F U B' L' R2
U R F U B' R2 L'
D2 R F' U R2 B' L
D2 R F' U B' L R2
D2 R F' U B' R2 L
D R F' U R B' R
D R F' U R2 D B'
D R F' U R2 D' B'
D R F' U R2 D2 B'
D R F' U R2 B' D
D R F' U R2 B' D'
D R F' U R2 B' D2
D R F' U B R2 B2
D R F' U B' R2 D
D R F' U B' R2 D'
D R F' U B' R2 D2
R U' L2 F U2 L' R2
R U' L2 F U2 R2 L'
D R F' D B2 U B
D R F' B U R2 B2
D R F' B U B2 R2
D2 R F2 U R2 B' L
D2 R F2 U B' L R2
D2 R F2 U B' R2 L
D R F' B2 U B R2
D2 R B U B2 L R2
D2 R B U B2 R2 L
R' U' R2 U D2 B' L
R' U' R2 D2 U B' L
R' U' R2 F U B' L'
D2 R B' L R2 D' F2
D2 R B' R2 L D' F2
D2 R B' R2 D' L F2
D2 R B' R2 D' F2 L
D R B F' U R2 B2
D R B F' U B2 R2
F R B' R2 D' L' F
D R B2 F' U B R2
R' U' F R2 U B' L'
R U' F U2 R2 B' L'
R U' F U2 B' L' R2
R U' F U2 B' R2 L'
R U' F B' L' R2 F'
R U' F B' R2 L' F'
R U' F' R U2 R B'
R U' F' R U2 B' R
D2 R' U' R2 U B' L
D R' U' R2 F' U B'
R U' F2 B' R2 F' L'
D' R' D B' L2 F L'
R U' B' R2 F L' F2
R U' B' F L' R2 F'
R U' B' F R2 L' F'
R U' B' F2 R2 F' L'
D R' D B' D L2 F
D' R' D' F' B' L F'
D2 R' D' F2 D B' L
D' R' D' F2 B' L D
D' R' D' F2 B' L D'
D' R' D' F2 B' L D2
D' R' D' F2 B' D L
D' R' D' F2 B' D' L
D' R' D' F2 B' D2 L
D' R' D' B' L F2 D
D' R' D' B' L F2 D'
D' R' D' B' L F2 D2
D' R' D' B' L' F2 L2
U' R' D' F2 D' B' L
F R' D B' D2 L' F
D' R' D' B' F' L F'
D' R' D' B' F2 L D
D' R' D' B' F2 L D'
D' R' D' B' F2 L D2
D' R' D' B' F2 D L
D' R' D' B' F2 D' L
D' R' D' B' F2 D2 L
U2 R' D' F2 D' B' L
D R' D' F2 B' D L2
D R' D' B' F2 D L2
F R' D' B L' F B2
F R' D' B L' B2 F
U R' D' F2 D' B' L
F R' D' B' L' D F
F R' D' B' L' D' F
F R' D' B' L' D2 F
F R' D' B' L' F D
F R' D' B' L' F D'
F R' D' B' L' F D2
F R' D' B2 L' F B
F R' D' B2 L' B F
U' R' D2 B' D L F2
U' R' D2 B' D F2 L
U2 R' D2 B' D L F2
U2 R' D2 B' D F2 L
D R' D2 B' D L2 F2
D R' D2 B' D F2 L2
D' R' F D' F2 B' L
D' R' F D' B' L F2
D' R' F D' B' F2 L
F R' D2 B' L' D F2
D2 R' F B' L D' F2
U' R' F D' B' L' F2
D2 R' F B' D' L F2
D2 R' F B' D' F2 L
U R' D2 B' D L F2
U R' D2 B' D F2 L
U' R' F B' L' D' F2
U' R' F B' D' L' F2
U2 R' F D' B' L' F2
U2 R' F B' L' D' F2
U2 R' F B' D' L' F2
D' R' F' D' F2 B' L
D' R' F' D' B' L F2
D' R' F' D' B' F2 L
U R' F D' B' L' F2
U' R' F' D' F2 B' L'
D2 R' F' B' L D' F2
U' R' F' D' B' F2 L'
D2 R' F' B' D' L F2
D2 R' F' B' D' F2 L
U R' F B' L' D' F2
U R' F B' D' L' F2
U' R' F' B' D' F2 L'
F2 R' F' D' B' L' F
U2 R' F' D' F2 B' L'
U2 R' F' D' B' F2 L'
F2 R' F' B' D' L' F
U2 R' F' B' D' F2 L'
D' R' F2 D' F2 B' L
D' R' F2 D' B' L F2
D' R' F2 D' B' F2 L
U R' F' D' F2 B' L'
U R' F' D' B' F2 L'
D2 R' F2 B' L D' F2
D2 R' F2 B' D' L F2
D2 R' F2 B' D' F2 L
U R' F' B' D' F2 L'
D2 R' B' L U' R2 U
D2 R' B' L D' F2 D
D2 R' B' L D' F2 D'
D2 R' B' L D' F2 D2
D2 R' B' L F D' F2
D2 R' B' L F' D' F2
D2 R' B' L F2 D' F2
D2 R' B' L2 D' L' F2
D2 R' B' U' R2 U L
D2 R' B' D L D2 F2
D2 R' B' D' L F2 D
D2 R' B' D' L F2 D'
D2 R' B' D' L F2 D2
D2 R' B' D' L' F2 L2
D2 R' B' D' F' L F'
D2 R' B' D' F2 L D
D2 R' B' D' F2 L D'
D2 R' B' D' F2 L D2
D2 R' B' D' F2 D L
D2 R' B' D' F2 D' L
D2 R' B' D' F2 D2 L
D2 R' B' F L D' F2
F2 R' B' U L' B' U'
D2 R' B' F D' L F2
D2 R' B' F D' F2 L
D2 R' B' F' L D' F2
D2 R' B' F' D' L F2
D2 R' B' F' D' F2 L
D2 R' B' F2 L D' F2
U' R' B' F L' D' F2
D2 R' B' F2 D' L F2
D2 R' B' F2 D' F2 L
U' R' B' F D' L' F2
U' R' B' F' D' F2 L'
F2 R' B' F' D' L' F
U2 R' B' F L' D' F2
D R' B' D L2 D2 F2
U2 R' B' F D' L' F2
U2 R' B' F' D' F2 L'
D R' B' D' F2 D2 L2
F R' B' D' L' D F
F R' B' D' L' D' F
F R' B' D' L' D2 F
F R' B' D' L' F D
F R' B' D' L' F D'
F R' B' D' L' F D2
D2 R' B2 D' F2 B L
D2 R' B2 D' B L F2
D2 R' B2 D' B F2 L
U R' B' F L' D' F2
U R' B' F D' L' F2
U R' B' F' D' F2 L'
F R' B2 D' L' F B
F R' B2 D' L' B F
F R' B2 D' B L' F
R U2 F U' R2 B' L'
R U2 F U' B' L' R2
R U2 F U' B' R2 L'
F R2 D R B' L' F'
F R2 D B' L' R F'
F R2 D B' R L' F'
F R2 D' R B' L' F
F R2 D' B' L' R F
F R2 D' B' R L' F
D2 R2 B' L D' R F'
D2 R2 B' D' L R F'
D2 R2 B' D' R L F'
D2 R2 B' D' R F' L
F R2 B' L' D R F'
F R2 B' R D' L' F
F R2 B' D L' R F'
F R2 B' D R L' F'
F R2 B' D' L' R F
F R2 B' D' R L' F
D2 U R U R2 B' L
D2 U R U B' L R2
D2 U R U B' R2 L
U' D R F' U R2 B'
U' D R F' U B' R2
U2 D R F' U R2 B'
U2 D R F' U B' R2
D' U R' D' F2 B' L
D' U R' D' B' L F2
D' U R' D' B' F2 L
D U R F' U R2 B'
D U R F' U B' R2
D2 U R' B' L D' F2
D2 U R' B' D' L F2
D2 U R' B' D' F2 L
U D R F' U R2 B'
U D R F' U B' R2
R' D B' L2 D' F L'
R' D B' D' L2 F L'
F U R' D' B' L' F
F U R' B' D' L' F
F U D' R' B' L' F
R2 D' R D' F2 B' L
R2 D' R D' B' L F2
R2 D' R D' B' F2 L
D2 U' R U R2 B' L
D2 U' R U B' L R2
D2 U' R U B' R2 L
R' D' F D F B' L'
R' D' F D B' F L'
R' D' F D' F B' L
R' D' F D' B' F L
R' D' F B' D F L'
U' D' R' D' F2 B' L
U' D' R' D' B' L F2
U' D' R' D' B' F2 L
D' U' R' D' F2 B' L
D' U' R' D' B' L F2
D' U' R' D' B' F2 L
D' U' R' D' B' F2 L
D U' R F' U R2 B'
D U' R F' U B' R2
D2 U' R' B' L D' F2
D2 U' R' B' D' L F2
D2 U' R' B' D' F2 L
R' D' F' D' F' B' L
R' D' F' D' B' L F'
R' D' F' D' B' F' L
U2 D' R' D' F2 B' L
U2 D' R' D' B' L F2
U2 D' R' D' B' F2 L
U D' R' D' F2 B' L
U D' R' D' B' L F2
U D' R' D' B' F2 L
F' U' R U2 R2 F' B'
F' U' R U2 R2 B' F'
R' D' F2 D' B' L D
R' D' F2 D' B' L D'
R' D' F2 D' B' L D2
R' D' F2 D' B' D L
R' D' F2 D' B' D' L
R' D' F2 D' B' D2 L
F' U' R B U2 R2 B2
F' U' R B U2 B2 R2
F' U' R' D2 F' B' L2
F' U' R' D2 B' L2 F'
F' U' R' D2 B' F' L2
F' U' R' F' D2 B' L2
F' U' R' F' B' D2 L2
F' U' R' B' D2 L2 F'
F' U' R' B' D2 F' L2
F' U' R' B' F' D2 L2
R' D' B' F D F L'
F U' R' D' B' L' F
F U' R' B' D' L' F
F U' D' R' B' L' F
F' U' F' R' F' B' L'
F' U' F' R' B' F' L'
F' U' F2 R' B' L' F'
R2 D2 R B' L D' F2
R2 D2 R B' D' L F2
R2 D2 R B' D' F2 L
R2 D2 R' U R2 B' L
R2 D2 R' U B' L R2
R2 D2 R' U B' R2 L
U' D2 R U R2 B' L
U' D2 R U B' L R2
U' D2 R U B' R2 L
D2 U2 R U R2 B' L
D2 U2 R U B' L R2
D2 U2 R U B' R2 L
U2 D2 R U R2 B' L
U2 D2 R U B' L R2
U2 D2 R U B' R2 L
D' U2 R' D' F2 B' L
D' U2 R' D' B' L F2
D' U2 R' D' B' F2 L
U' D2 R' B' L D' F2
U' D2 R' B' D' L F2
U' D2 R' B' D' F2 L
U D2 R U R2 B' L
U D2 R U B' L R2
U D2 R U B' R2 L
D U2 R F' U R2 B'
D U2 R F' U B' R2
D2 U2 R' B' L D' F2
D2 U2 R' B' D' L F2
D2 U2 R' B' D' F2 L
U2 D2 R' B' L D' F2
U2 D2 R' B' D' L F2
U2 D2 R' B' D' F2 L
R D2 U B' D2 L R2
R D2 U B' D2 R2 L
U D2 R' B' L D' F2
U D2 R' B' D' L F2
U D2 R' B' D' F2 L
R' D2 F B' D L F2
R' D2 F B' D F2 L
R' D2 F' B' D L F2
R' D2 F' B' D F2 L
R' D2 F2 B' D L F2
R' D2 F2 B' D F2 L
R' D2 B' L U L U'
R' D2 B' U L2 U' L'
R' D2 B' D L F2 D
R' D2 B' D L F2 D'
R' D2 B' D L F2 D2
R' D2 B' D L' F2 L2
R' D2 B' D F' L F'
R' D2 B' D F2 L D
R' D2 B' D F2 L D'
R' D2 B' D F2 L D2
R' D2 B' D F2 D L
R' D2 B' D F2 D' L
R' D2 B' D F2 D2 L
R' D2 B' D' L D2 F2
R' D2 B' D2 L D' F2
R' D2 B' F D L F2
R' D2 B' F D F2 L
R' D2 B' F' D L F2
R' D2 B' F' D F2 L
R' D2 B' F2 D L F2
R' D2 B' F2 D F2 L
R2 D2 B' L D' R F'
F U2 R' D' B' L' F
F U2 R' B' D' L' F
R' D2 B2 D F2 B L
R' D2 B2 D B L F2
R' D2 B2 D B F2 L
R2 D2 B' D' L R F'
R2 D2 B' D' R L F'
R2 D2 B' D' R F' L
F U2 D' R' B' L' F
U' F R' D' B' L' F
U' F R' B' D' L' F
R' F R2 U R2 B' L'
R' F R2 U B' L' R2
R' F R2 U B' R2 L'
U2 F R' D' B' L' F
U2 F R' B' D' L' F
U F R' D' B' L' F
L F R' D' L' F B'
L F R' D' L' B' F
U F R' B' D' L' F
R' F U' R2 U B' L'
R F R2 D' B' L' F2
R F R2 B' L' D' F2
R F R2 B' D' L' F2
R F U R B' L' R
R F U R B' R L'
R F U R2 D B' L'
R F U R2 D' B' L'
R F U R2 D2 B' L'
R F U R2 B L' B2
R F U R2 B' L' D
R F U R2 B' L' D'
R F U R2 B' L' D2
R F U R2 B' D L'
R F U R2 B' D' L'
R F U R2 B' D2 L'
R F U R2 B2 L' B
R F U B L' R2 B2
R F U B L' B2 R2
R F U B R2 L' B2
R F U B R2 B2 L'
R F U B' L' R2 D
R F U B' L' R2 D'
R F U B' L' R2 D2
R F U B' R2 L' D
R F U B' R2 L' D'
R F U B' R2 L' D2
R F U B' R2 D L'
R F U B' R2 D' L'
R F U B' R2 D2 L'
R F U B2 L' B R2
L2 F U2 R' D' L' F
L2 F U2 D' L' R' F
L2 F U2 D' L' F R'
L2 F U2 D' R' L' F
R' F D B' L2 F L
R F U' B' L' R2 F'
R F U' B' R2 L' F'
U' F D' R' B' L' F
R' F D' B L' F2 B2
R' F D' B L' B2 F2
R' F D' B' L F2 L2
R' F D' B' L' F2 D
R' F D' B' L' F2 D'
R' F D' B' L' F2 D2
R' F D' B' L2 F2 L
R' F D' B2 L' F2 B
R' F D' B2 L' B F2
U2 F D' R' B' L' F
L2 F D' U2 L' R' F
L2 F D' U2 L' F R'
L2 F D' U2 R' L' F
R' F D2 B' D L' F2
L F D' L' R' F B'
L F D' L' R' B' F
L F D' L' F R' B'
R F D B2 U L' B
R F D B2 U B L'
R' F B L' B2 D' F2
U F D' R' B' L' F
L F D' R' L' F B'
L F D' R' L' B' F
R' F B' L' U' R2 U
R' F B' L' D' F2 D
R' F B' L' D' F2 D'
R' F B' L' D' F2 D2
R' F B' L' F D' F2
R' F B' L' F' D' F2
R' F B' L' F2 D' F2
R' F B' L2 D' L F2
R' F B' L2 D' F2 L
F D R B' L' F' R2
R' F B' U' R2 U L'
R' F B' D L' D2 F2
R' F B' D' L F2 L2
R' F B' D' L' F2 D
R' F B' D' L' F2 D'
R' F B' D' L' F2 D2
R' F B' D' L2 F2 L
R' F B2 L' D' F2 B
R' F B2 L' D' B F2
R' F B2 L' B D' F2
F D R' B' L' D2 F2
F D R' B' D2 L' F2
R' F B2 D' L' F2 B
R' F B2 D' L' B F2
R' F B2 D' B L' F2
R F B U L' R2 B2
R F B U L' B2 R2
R F B U R2 L' B2
R F B U R2 B2 L'
R F B U B2 L' R2
R F B U B2 R2 L'
R' F' L D' F2 L' B'
R F B' L' R2 D' F2
