B' L D B2 R' F' U'
L2 R F2 B R' U L'
L2 R B R' U D2 L2
L2 R B R' U' R2 U2
L2 R B R' D' F2 U
L2 R B R' D2 U L2
L2 R B F2 R' U L'
R L2 F2 B R' U L'
R L2 B R' U D2 L2
R L2 B R' U' R2 U2
R L2 B R' D' F2 U
R L2 B R' D2 U L2
R L2 B F2 R' U L'
B' L2 D' F2 R B U
R2 U L2 R' B R' U
R2 U L2 B R' B U
R2 U R' L2 B R' U
R2 U R' B L2 R' U
R2 U R' B R' L2 U
R2 U B L2 R' B U
R2 U B R' L2 B U
R2 U B R' B L2 U
D' R F2 B U F B
D' R F2 B U B F
D' R B F2 U F B
D' R B F2 U B F
R2 U2 D' R F' R B2
R2 U2 D' R F' B2 R
R2 U2 D' R B2 F' R
R2 U2 D' F' R F' B2
R2 U2 D' F' R B2 F'
R2 U2 D' F' B2 R F'
R2 U2 D' B2 R F' R
R2 U2 D' B2 F' R F'
R2 D L F2 B' L U2
R2 D L B' L F2 U2
R2 D L B' F2 L U2
R2 D F2 L B' L U2
R2 D F2 B' L B' U2
R2 D B' L F2 B' U2
R2 D B' L B' F2 U2
R2 D B' F2 L B' U2
L2 D' R F2 B U F
L2 D' R B F2 U F
R2 D' R F' B2 L R
R2 D' R F' B2 R L
R2 D' R B2 L F' R
R2 D' R B2 F' L R
R2 D' R B2 F' R L
R2 D' U2 R F' R B2
R2 D' U2 R F' B2 R
R2 D' U2 R B2 F' R
R2 D' U2 F' R F' B2
R2 D' U2 F' R B2 F'
R2 D' U2 F' B2 R F'
R2 D' U2 B2 R F' R
R2 D' U2 B2 F' R F'
R2 D' F' R F' B2 L
R2 D' F' R B2 L F'
R2 D' F' R B2 F' L
R2 D' F' U2 R F' B2
R2 D' F' U2 R B2 F'
R2 D' F' U2 B2 R F'
L2 D' F2 R B U F'
L2 D' F2 U F R F'
L2 D2 F' R B U L2
D' F2 R B U F' B
D' F2 R B U B F'
D' F2 U F R F' B2
D' F2 U F R B2 F'
D' F2 U F B2 R F'
D' F2 U B2 F R F'
R F2 B L2 R' U L
R F2 B R' L2 U L
R B L2 R' U D2 L2
R B L2 R' U' R2 U2
R B L2 R' D' F2 U
R B L2 R' D2 U L2
R B L2 F2 R' U L'
R B R' L2 U D2 L2
R B R' L2 U' R2 U2
R B R' L2 D' F2 U
R B R' L2 D2 U L2
R B R' D' F2 U B2
R2 B U L2 R' B U
R2 B U R' L2 B U
R2 B U R' B L2 U
R B F2 L2 R' U L
R B F2 R' L2 U L
