F' L' F2 B R' U' L
F' L' B R' F2 U' L
F' L' B F2 R' U' L
B R' F U2 R U L
B R' F' L' F2 U' L2
F R2 B R' U' L F
B U' R' F U' L F2
B U' R' F U' F2 L
B U' F R' U' L F'
B U' F R' U' F' L
B U2 R' F U' L F
B U2 F R' U' L F
U' F B R' U' F' L'
F' B L' R' F2 U' L2
F' B L' F2 R' U' L2
F' B R' L' F2 U' L2
U' B F R' U' F' L'
B F R' U' L D' F2
B F R' U' D' L F2
B F R' U' D' F2 L
B F R' U2 R2 U L
B F R' D' U' L F2
B F R' D' U' F2 L
B F R' D2 L2 U' L'
F B R' U' L D' F2
F B R' U' D' L F2
F B R' U' D' F2 L
F B R' U2 R2 U L
F B R' D' U' L F2
F B R' D' U' F2 L
F B R' D2 L2 U' L'
L2 B' L U' R' U2 F'
B F' L' R' F2 U' L2
B F' L' F2 R' U' L2
B F' R' L' F2 U' L2
