B2 L' F2 U' L' B'
B L' F2 R' U' L'
L' F2 B R' U' L'
L' F2 B2 U' L' B'
L' B F2 R' U' L'
L' B2 F2 U' L' B'
B' L U D F2 L' R2
B' L U D F2 R2 L'
B' L U2 L2 F2 U' L'
B' L U2 F2 L2 U' L
B' L D U F2 L' R2
B' L D U F2 R2 L'
B' L D2 R2 B2 U L
L' R B R' F2 U' L'
B L F2 L2 R' U' L
B L F2 R' L2 U' L
B L' R' D B2 U' R2
B L' R' F2 U R2 U2
B L' R' F2 U' D2 L2
B L' R' F2 D B2 U'
B L' R' F2 D2 U' L2
D' L' U L' R F' U2
D' L' U R L' F' U2
R L' B R' F2 U' L'
B L' F R' F U' L'
B2 L' F2 R U' L' B'
B2 L' F2 R' U' L' B'
B' L' F2 U' D' L' B2
B' L' F2 U' D' B2 L'
B2 L' F2 R2 U' L' B'
B L' F2 R' U' L' D
B L' F2 R' U' L' D'
B L' F2 R' U' L' D2
B' L' F2 U2 L2 U L
B L' F2 R' U' D L'
B L' F2 R' U' D' L'
B L' F2 R' U' D2 L'
B L' F2 R' D U' L'
B L' F2 R' D' U' L'
B L' F2 R' D2 U' L'
B L' F2 R' B U' L'
B L' F2 R' B' U' L'
B L' F2 R' B2 U' L'
B2 L' F2 U' L' D B'
B2 L' F2 U' L' D' B'
B2 L' F2 U' L' D2 B'
B2 L' F2 U' L' B' D
B2 L' F2 U' L' B' D'
B2 L' F2 U' L' B' D2
B2 L' F2 U' D L' B'
B2 L' F2 U' D' L' B'
B2 L' F2 U' D2 L' B'
B2 L' F2 U' B L' B'
B2 L' F2 U' B' L' B'
B2 L' F2 U' B2 L' B'
B' L' F2 D' U' L' B2
B' L' F2 D' U' B2 L'
D L' F2 U' L' R2 B
D L' F2 U' R2 L' B
D L' F2 U' R2 B L'
B' L' F2 D2 R2 U' L'
B2 L' F2 D U' L' B'
B2 L' F2 D' U' L' B'
U' L' F2 B R' U' L'
B L' F2 D R' U' L'
B2 L' F2 D2 U' L' B'
B L' F2 D' R' U' L'
U2 L' F2 B R' U' L'
U' L' F2 B2 U' L' B'
B L' F2 D2 R' U' L'
B2 L' F2 B' R' U' L'
U2 L' F2 B2 U' L' B'
B L' F2 B U' L' B'
U L' F2 B R' U' L'
U L' F2 B2 U' L' B'
U' L' B F2 R' U' L'
U2 L' B F2 R' U' L'
B L' B F2 U' L' B'
U L' B F2 R' U' L'
B2 L' B' F2 R' U' L'
U' L' B2 F2 U' L' B'
U2 L' B2 F2 U' L' B'
D' L2 R F' U' L U'
U L' B2 F2 U' L' B'
B' L2 F2 L R U' L2
B' L2 F2 R L U' L2
B L2 F2 L R' U' L2
B L2 F2 R' L U' L2
L' U D' L2 R F' U2
L' U D' R L2 F' U2
L' U D' R F' L2 U2
D' R L2 F' U' L U'
B2 R U' L' F2 U' B'
B R U' L' R2 F2 U'
B R U' L' F2 R2 U'
B R U' R2 L' F2 U'
L' U' D R2 B2 L B'
B R' L' D B2 U' R2
B R' L' F2 U R2 U2
B R' L' F2 U' D2 L2
B R' L' F2 D B2 U'
B R' L' F2 D2 U' L2
B R' D L' B2 U' R2
B R' D B2 L' U' R2
L D L F2 R2 B' L'
L D L F2 B' L' R2
L D L F2 B' R2 L'
L D L B' F2 L' R2
L D L B' F2 R2 L'
L D L' F2 L' R2 B
L D L' F2 R2 L' B
L D L' F2 R2 B L'
L D L2 F2 L' R2 B'
L D L2 F2 L' B' R2
L D L2 F2 R2 L' B'
L D R2 F2 B2 L B'
L D R2 B2 L F2 B'
L D R2 B2 L B' F2
L D R2 B2 F2 L B'
L' D U' R2 B2 L B'
D R2 B2 L D F2 B'
D R2 B2 L D B' F2
D R2 B2 L B' D F2
B U L' F2 R' U' L'
L D F2 L R2 B' L2
L D F2 L B' L2 R2
L D F2 L B' R2 L2
L D F2 R2 L B' L2
L D' L2 R F' B2 U2
L D' L2 R B2 F' U2
L D' L2 B2 R F' U2
L D' R L2 F' B2 U2
L D' R L2 B2 F' U2
L D' R F' L2 B2 U2
L D' R F' B2 L2 U2
L D' R B2 L2 F' U2
L D' R B2 F' L2 U2
L' D' U L2 R F' U2
L' D' U R L2 F' U2
L' D' U R F' L2 U2
B2 U' L' F2 U' B' L'
B U' L' F2 R' U' L'
L D' B2 L2 R F' U2
L D' B2 R L2 F' U2
L D' B2 R F' L2 U2
B U2 L' F2 R' U' L'
L' F B R' F U' L'
L' F' D2 F' R U' L'
L2 F2 L B R' U' L2
D2 F2 R B2 U L' B'
L' F2 R B R' U' L'
L' F2 R B2 U' L' B'
L F2 L2 U' D L B'
L F2 L2 D U' L B'
L' F2 R' B R' U' L'
L' F2 R' B2 U' L' B'
L' F2 R2 B R' U' L'
L' F2 R2 B2 U' L' B'
L' F2 U' L2 D L B'
L' F2 U' D L B' L2
L' F2 U' B' L' D' B2
L' F2 D U' L B' L2
L2 F2 D L U' B' L2
L' F2 D' R' U' L' B
L' F2 D' R' U' B L'
L' F2 B R' U' L' D
L' F2 B R' U' L' D'
L' F2 B R' U' L' D2
L' F2 B R' U' D L'
L' F2 B R' U' D' L'
L' F2 B R' U' D2 L'
L' F2 B R' D U' L'
L' F2 B R' D' U' L'
L' F2 B R' D2 U' L'
L' F2 B R' B U' L'
L' F2 B R' B' U' L'
L' F2 B R' B2 U' L'
L' F2 B D R' U' L'
L' F2 B D' R' U' L'
L' F2 B D2 R' U' L'
L' F2 B' U' L' D' B2
L' F2 B' U2 L U L2
D2 F2 B2 R U L' B'
L' F2 B2 R U' L' B'
L' F2 B2 R' U' L' B'
L' F2 B2 R2 U' L' B'
L F2 B L2 R' U' L
L' F2 B2 U' L' D B'
L' F2 B2 U' L' D' B'
L' F2 B2 U' L' D2 B'
L' F2 B2 U' L' B' D
L' F2 B2 U' L' B' D'
L' F2 B2 U' L' B' D2
L F2 B R' L2 U' L
L' F2 B2 U' D L' B'
L' F2 B2 U' D' L' B'
L' F2 B2 U' D2 L' B'
L' F2 B2 U' B L' B'
L' F2 B2 U' B' L' B'
L' F2 B2 U' B2 L' B'
L' F2 B2 D U' L' B'
L' F2 B2 D' U' L' B'
L' F2 B2 D2 U' L' B'
U' B L' F2 R' U' L'
U2 B L' F2 R' U' L'
R B L' R' F2 U' L'
U B L' F2 R' U' L'
L' B R' D B2 U' R2
L B L2 F2 R' U' L'
L' B R' F2 U R2 U2
L' B R' F2 U' D2 L2
L' B R' F2 D B2 U'
L' B R' F2 D2 U' L2
R B R' L' F2 U' L'
R B U' L' R' F2 U'
R B U' L' F2 R' U'
R B U' R' L' F2 U'
F2 B R' U' L' D' F2
F2 B R' U' D' L' F2
F2 B R' U2 R2 U L'
L' B F R' F U' L'
F2 B R' D' U' L' F2
F2 B R' D2 L2 U' L
L' B F2 R' U' L' D
L' B F2 R' U' L' D'
L' B F2 R' U' L' D2
L' B F2 R' U' D L'
L' B F2 R' U' D' L'
L' B F2 R' U' D2 L'
L' B F2 R' D U' L'
L' B F2 R' D' U' L'
L' B F2 R' D2 U' L'
L' B F2 R' B U' L'
L' B F2 R' B' U' L'
L' B F2 R' B2 U' L'
L' B F2 D R' U' L'
L' B F2 D' R' U' L'
